DanTh 1:1
καὶ C--------- καί
ποίησον VA--AAD2S- ποιέω
μὴ D--------- μή
χρονίσῃς VA--AAS2S- χρονίζω
ἕνεκέν P--------- ἕνεκεν
σου RP--GS---- σύ
ὁ RA--NSM--- ὁ
θεός N2--NSM--- θεός
μου RP--GS---- ἐγώ
ὅτι C--------- ὅτι
τὸ RA--NSN--- ὁ
ὄνομά N3M-NSN--- ὄνομα
σου RP--GS---- σύ
ἐπικέκληται VM--XMI3S- καλέω ἐπι
ἐπὶ P--------- ἐπί
τὴν RA--ASF--- ὁ
πόλιν N3I-ASF--- πόλις
σου RP--GS---- σύ
καὶ C--------- καί
ἐπὶ P--------- ἐπί
τὸν RA--ASM--- ὁ
λαόν N2--ASM--- λαός
σου RP--GS---- σύ

DanTh 9:20
καὶ C--------- καί
ἔτι D--------- ἔτι
ἐμοῦ RP--GS---- ἐγώ
λαλοῦντος V2--PAPGSM λαλέω
καὶ C--------- καί
προσευχομένου V1--PMPGSM εὔχομαι προς
καὶ C--------- καί
ἐξαγορεύοντος V1--PAPGSM ἀγορεύω ἐκ
τὰς RA--APF--- ὁ
ἁμαρτίας N1A-APF--- ἁμαρτία
μου RP--GS---- ἐγώ
καὶ C--------- καί
τὰς RA--APF--- ὁ
ἁμαρτίας N1A-APF--- ἁμαρτία
τοῦ RA--GSM--- ὁ
λαοῦ N2--GSM--- λαός
μου RP--GS---- ἐγώ
Ισραηλ N---GSM--- Ἰσραήλ
καὶ C--------- καί
ῥιπτοῦντος V2--PAPGSM ῥιπτέω
τὸν RA--ASM--- ὁ
ἔλεόν N2--ASM--- ἔλεος
μου RP--GS---- ἐγώ
ἐναντίον P--------- ἐναντίον
κυρίου N2--GSM--- κύριος
τοῦ RA--GSM--- ὁ
θεοῦ N2--GSM--- θεός
μου RP--GS---- ἐγώ
περὶ P--------- περί
τοῦ RA--GSN--- ὁ
ὄρους N3E-GSN--- ὄρος
τοῦ RA--GSN--- ὁ
ἁγίου A1A-GSN--- ἅγιος
τοῦ RA--GSM--- ὁ
θεοῦ N2--GSM--- θεός
μου RP--GS---- ἐγώ

DanTh 9:21
καὶ C--------- καί
ἔτι D--------- ἔτι
ἐμοῦ RP--GS---- ἐγώ
λαλοῦντος V2--PAPGSM λαλέω
ἐν P--------- ἐν
τῇ RA--DSF--- ὁ
προσευχῇ N1--DSF--- προσευχή
καὶ C--------- καί
ἰδοὺ I--------- ἰδού
ὁ RA--NSM--- ὁ
ἀνὴρ N3--NSM--- ἀνήρ
Γαβριηλ N---NSM--- Γαβριηλ
ὃν RR--ASM--- ὅς
εἶδον VBI-AAI1S- ὁράω
ἐν P--------- ἐν
τῇ RA--DSF--- ὁ
ὁράσει N3I-DSF--- ὅρασις
ἐν P--------- ἐν
τῇ RA--DSF--- ὁ
ἀρχῇ N1--DSF--- ἀρχή
πετόμενος V1--PMPNSM πέτομαι
καὶ C--------- καί
ἥψατό VAI-AMI3S- ἅπτομαι
μου RP--GS---- ἐγώ
ὡσεὶ D--------- ὡσεί
ὥραν N1A-ASF--- ὥρα
θυσίας N1A-GSF--- θυσία
ἑσπερινῆς A1--GSF--- ἑσπερινός

DanTh 9:22
καὶ C--------- καί
συνέτισέν VA--AAI3S- συνετίζω
με RP--AS---- ἐγώ
καὶ C--------- καί
ἐλάλησεν VAI-AAI3S- λαλέω
μετ' P--------- μετά
ἐμοῦ RP--GS---- ἐγώ
καὶ C--------- καί
εἶπεν VBI-AAI3S- εἶπον
Δανιηλ N---VSM--- Δανιηλ
νῦν D--------- νῦν
ἐξῆλθον VBI-AAI1S- ἔρχομαι ἐκ
συμβιβάσαι VA--AAN--- βιβάζω συν
σε RP--AS---- σύ
σύνεσιν N3I-ASF--- σύνεσις

DanTh 9:23
ἐν P--------- ἐν
ἀρχῇ N1--DSF--- ἀρχή
τῆς RA--GSF--- ὁ
δεήσεώς N3I-GSF--- δέησις
σου RP--GS---- σύ
ἐξῆλθεν VBI-AAI3S- ἔρχομαι ἐκ
λόγος N2--NSM--- λόγος
καὶ C--------- καί
ἐγὼ RP--NS---- ἐγώ
ἦλθον VBI-AAI1S- ἔρχομαι
τοῦ RA--GSN--- ὁ
ἀναγγεῖλαί VA--AAN--- ἀγγέλλω ἀνα
σοι RP--DS---- σύ
ὅτι C--------- ὅτι
ἀνὴρ N3--NSM--- ἀνήρ
ἐπιθυμιῶν N1A-GPF--- ἐπιθυμία
σὺ RP--NS---- σύ
εἶ V9--PAI2S- εἰμί
καὶ C--------- καί
ἐννοήθητι VC--APD2S- νοέω ἐν
ἐν P--------- ἐν
τῷ RA--DSN--- ὁ
ῥήματι N3M-DSN--- ῥῆμα
καὶ C--------- καί
σύνες VH--AAD2S- ἵημι συν
ἐν P--------- ἐν
τῇ RA--DSF--- ὁ
ὀπτασίᾳ N1A-DSF--- ὀπτασία

DanTh 9:24
ἑβδομήκοντα M--------- ἑβδομήκοντα
ἑβδομάδες N3D-NPF--- ἑβδομάς
συνετμήθησαν VCI-API3P- τέμνω συν
ἐπὶ P--------- ἐπί
τὸν RA--ASM--- ὁ
λαόν N2--ASM--- λαός
σου RP--GS---- σύ
καὶ C--------- καί
ἐπὶ P--------- ἐπί
τὴν RA--ASF--- ὁ
πόλιν N3I-ASF--- πόλις
τὴν RA--ASF--- ὁ
ἁγίαν A1A-ASF--- ἅγιος
σου RP--GS---- σύ
τοῦ RA--GSN--- ὁ
συντελεσθῆναι VS--APN--- τελέω συν
ἁμαρτίαν N1A-ASF--- ἁμαρτία
καὶ C--------- καί
τοῦ RA--GSN--- ὁ
σφραγίσαι VA--AAN--- σφραγίζω
ἁμαρτίας N1A-GSF--- ἁμαρτία
καὶ C--------- καί
ἀπαλεῖψαι VA--AAN--- ἀλείφω ἀπο
τὰς RA--APF--- ὁ
ἀνομίας N1A-APF--- ἀνομία
καὶ C--------- καί
τοῦ RA--GSN--- ὁ
ἐξιλάσασθαι VA--AMN--- ἱλάσκομαι ἐκ
ἀδικίας N1A-APF--- ἀδικία
καὶ C--------- καί
τοῦ RA--GSN--- ὁ
ἀγαγεῖν VB--AAN--- ἄγω
δικαιοσύνην N1--ASF--- δικαιοσύνη
αἰώνιον A1B-ASF--- αἰώνιος
καὶ C--------- καί
τοῦ RA--GSN--- ὁ
σφραγίσαι VA--AAN--- σφραγίζω
ὅρασιν N3I-ASF--- ὅρασις
καὶ C--------- καί
προφήτην N1M-ASM--- προφήτης
καὶ C--------- καί
τοῦ RA--GSN--- ὁ
χρῖσαι VA--AAN--- χρίω
ἅγιον A1A-ASM--- ἅγιος
ἁγίων A1A-GPM--- ἅγιος

DanTh 9:25
καὶ C--------- καί
γνώσῃ VF--FMI2S- γιγνώσκω
καὶ C--------- καί
συνήσεις VF--FAI2S- ἵημι συν
ἀπὸ P--------- ἀπό
ἐξόδου N2--GSF--- ἔξοδος
λόγου N2--GSM--- λόγος
τοῦ RA--GSN--- ὁ
ἀποκριθῆναι VC--APN--- κρίνω ἀπο
καὶ C--------- καί
τοῦ RA--GSN--- ὁ
οἰκοδομῆσαι VA--AAN--- οἰκοδομέω
Ιερουσαλημ N---ASF--- Ἰερουσαλήμ
ἕως P--------- ἕως
χριστοῦ A1--GSM--- χριστός
ἡγουμένου V2--PMPGSM ἡγέομαι
ἑβδομάδες N3D-NPF--- ἑβδομάς
ἑπτὰ M--------- ἑπτά
καὶ C--------- καί
ἑβδομάδες N3D-NPF--- ἑβδομάς
ἑξήκοντα M--------- ἑξήκοντα
δύο M--------- δύο
καὶ C--------- καί
ἐπιστρέψει VF--FAI3S- στρέφω ἐπι
καὶ C--------- καί
οἰκοδομηθήσεται VC--FPI3S- οἰκοδομέω
πλατεῖα N1A-APN--- πλατεῖα
καὶ C--------- καί
τεῖχος N3E-ASN--- τεῖχος
καὶ C--------- καί
ἐκκενωθήσονται VC--FPI3P- κενόω ἐκ
οἱ RA--NPM--- ὁ
καιροί N2--NPM--- καιρός

DanTh 9:26
καὶ C--------- καί
μετὰ P--------- μετά
τὰς RA--APF--- ὁ
ἑβδομάδας N3D-APF--- ἑβδομάς
τὰς RA--APF--- ὁ
ἑξήκοντα M--------- ἑξήκοντα
δύο M--------- δύο
ἐξολεθρευθήσεται VC--FPI3S- ὀλεθρεύω ἐκ
χρῖσμα N3M-NSN--- χρῖσμα
καὶ C--------- καί
κρίμα N3M-NSN--- κρίμα
οὐκ D--------- οὐ
ἔστιν V9--PAI3S- εἰμί
ἐν P--------- ἐν
αὐτῷ RD--DSN--- αὐτός
καὶ C--------- καί
τὴν RA--ASF--- ὁ
πόλιν N3I-ASF--- πόλις
καὶ C--------- καί
τὸ RA--ASN--- ὁ
ἅγιον A1A-ASN--- ἅγιος
διαφθερεῖ VF2-FAI3S- φθείρω δια
σὺν P--------- σύν
τῷ RA--DSM--- ὁ
ἡγουμένῳ V2--PMPDSM ἡγέομαι
τῷ RA--DSM--- ὁ
ἐρχομένῳ V1--PMPDSM ἔρχομαι
καὶ C--------- καί
ἐκκοπήσονται VF--FMI3P- κοπάω ἐκ
ἐν P--------- ἐν
κατακλυσμῷ N2--DSM--- κατακλυσμός
καὶ C--------- καί
ἕως P--------- ἕως
τέλους N3E-GSN--- τέλος
πολέμου N2--GSM--- πόλεμος
συντετμημένου VX--XMPGSM τέμνω συν
τάξει N3I-DSF--- τάξις
ἀφανισμοῖς N2--DPM--- ἀφανισμός

DanTh 9:27
καὶ C--------- καί
δυναμώσει VF--FAI3S- δυναμόω
διαθήκην N1--ASF--- διαθήκη
πολλοῖς A1--DPM--- πολύς
ἑβδομὰς N3D-NSF--- ἑβδομάς
μία A1A-NSF--- εἷς
καὶ C--------- καί
ἐν P--------- ἐν
τῷ RA--DSM--- ὁ
ἡμίσει A3U-DSM--- ἥμισυς
τῆς RA--GSF--- ὁ
ἑβδομάδος N3D-GSF--- ἑβδομάς
ἀρθήσεταί VC--FPI3S- αἴρω
μου RP--GS---- ἐγώ
θυσία N1A-NSF--- θυσία
καὶ C--------- καί
σπονδή N1--NSF--- σπονδή
καὶ C--------- καί
ἐπὶ P--------- ἐπί
τὸ RA--ASN--- ὁ
ἱερὸν A1A-ASN--- ἱερός
βδέλυγμα N3M-NSN--- βδέλυγμα
τῶν RA--GPF--- ὁ
ἐρημώσεων N3I-GPF--- ἐρήμωσις
καὶ C--------- καί
ἕως P--------- ἕως
συντελείας N1A-GSF--- συντέλεια
καιροῦ N2--GSM--- καιρός
συντέλεια N1A-NSF--- συντέλεια
δοθήσεται VC--FPI3S- δίδωμι
ἐπὶ P--------- ἐπί
τὴν RA--ASF--- ὁ
ἐρήμωσιν N3I-ASF--- ἐρήμωσις

DanTh 10:1
ἐν P--------- ἐν
ἔτει N3E-DSN--- ἔτος
τρίτῳ A1--DSN--- τρίτος
Κύρου N2--GSM--- Κῦρος
βασιλέως N3V-GSM--- βασιλεύς
Περσῶν N1M-GPM--- Πέρσης
λόγος N2--NSM--- λόγος
ἀπεκαλύφθη VVI-API3S- καλύπτω ἀπο
τῷ RA--DSM--- ὁ
Δανιηλ N---DSM--- Δανιηλ
οὗ RR--GSM--- ὅς
τὸ RA--NSN--- ὁ
ὄνομα N3M-NSN--- ὄνομα
ἐπεκλήθη VCI-API3S- καλέω ἐπι
Βαλτασαρ N---NSM--- Βαλτασαρ
καὶ C--------- καί
ἀληθινὸς A1--NSM--- ἀληθινός
ὁ RA--NSM--- ὁ
λόγος N2--NSM--- λόγος
καὶ C--------- καί
δύναμις N3I-NSF--- δύναμις
μεγάλη A1--NSF--- μέγας
καὶ C--------- καί
σύνεσις N3I-NSF--- σύνεσις
ἐδόθη VCI-API3S- δίδωμι
αὐτῷ RD--DSM--- αὐτός
ἐν P--------- ἐν
τῇ RA--DSF--- ὁ
ὀπτασίᾳ N1A-DSF--- ὀπτασία

DanTh 10:2
ἐν P--------- ἐν
ταῖς RA--DPF--- ὁ
ἡμέραις N1A-DPF--- ἡμέρα
ἐκείναις RD--DPF--- ἐκεῖνος
ἐγὼ RP--NS---- ἐγώ
Δανιηλ N---NSM--- Δανιηλ
ἤμην V9I-IMI1S- εἰμί
πενθῶν V2--PAPNSM πενθέω
τρεῖς A3--APF--- τρεῖς
ἑβδομάδας N3D-APF--- ἑβδομάς
ἡμερῶν N1A-GPF--- ἡμέρα

DanTh 10:3
ἄρτον N2--ASM--- ἄρτος
ἐπιθυμιῶν N1A-GPF--- ἐπιθυμία
οὐκ D--------- οὐ
ἔφαγον VBI-AAI1S- ἐσθίω
καὶ C--------- καί
κρέας N3--NSN--- κρέας
καὶ C--------- καί
οἶνος N2--NSM--- οἶνος
οὐκ D--------- οὐ
εἰσῆλθεν VBI-AAI3S- ἔρχομαι εἰς
εἰς P--------- εἰς
τὸ RA--ASN--- ὁ
στόμα N3M-ASN--- στόμα
μου RP--GS---- ἐγώ
καὶ C--------- καί
ἄλειμμα N3M-ASN--- ἄλειμμα
οὐκ D--------- οὐ
ἠλειψάμην VAI-AMI1S- ἀλείφω
ἕως P--------- ἕως
πληρώσεως N3I-GSF--- πλήρωσις
τριῶν A3--GPF--- τρεῖς
ἑβδομάδων N3D-GPF--- ἑβδομάς
ἡμερῶν N1A-GPF--- ἡμέρα

DanTh 10:4
ἐν P--------- ἐν
ἡμέρᾳ N1A-DSF--- ἡμέρα
εἰκοστῇ A1--DSF--- εἰκοστός
καὶ C--------- καί
τετάρτῃ A1--DSF--- τέταρτος
τοῦ RA--GSM--- ὁ
μηνὸς N3--GSM--- μήν
τοῦ RA--GSM--- ὁ
πρώτου A1--GSMS-- πρῶτος
καὶ C--------- καί
ἐγὼ RP--NS---- ἐγώ
ἤμην V9I-IMI1S- εἰμί
ἐχόμενα V1--PMPNPN ἔχω
τοῦ RA--GSM--- ὁ
ποταμοῦ N2--GSM--- ποταμός
τοῦ RA--GSM--- ὁ
μεγάλου A1--GSM--- μέγας
αὐτός RD--NSM--- αὐτός
ἐστιν V9--PAI3S- εἰμί
Εδδεκελ N---NS---- Εδδεκελ

DanTh 10:5
καὶ C--------- καί
ἦρα VAI-AAI1S- αἴρω
τοὺς RA--APM--- ὁ
ὀφθαλμούς N2--APM--- ὀφθαλμός
μου RP--GS---- ἐγώ
καὶ C--------- καί
εἶδον VBI-AAI1S- ὁράω
καὶ C--------- καί
ἰδοὺ I--------- ἰδού
ἀνὴρ N3--NSM--- ἀνήρ
εἷς A3--NSM--- εἷς
ἐνδεδυμένος VM--XPPNSM δύω ἐν
βαδδιν N---DPN--- βαδδιν
καὶ C--------- καί
ἡ RA--NSF--- ὁ
ὀσφὺς N3U-NSF--- ὀσφύς
αὐτοῦ RD--GSM--- αὐτός
περιεζωσμένη VT--XMPNSF ζώννυμι περι
ἐν P--------- ἐν
χρυσίῳ N2N-DSN--- χρυσίον
Ωφαζ N---GS---- Ωφαζ

DanTh 10:6
καὶ C--------- καί
τὸ RA--NSN--- ὁ
σῶμα N3M-NSN--- σῶμα
αὐτοῦ RD--GSM--- αὐτός
ὡσεὶ D--------- ὡσεί
θαρσις N---NS---- θαρσις
καὶ C--------- καί
τὸ RA--NSN--- ὁ
πρόσωπον N2N-NSN--- πρόσωπον
αὐτοῦ RD--GSM--- αὐτός
ὡσεὶ D--------- ὡσεί
ὅρασις N3I-NSF--- ὅρασις
ἀστραπῆς N1--GSF--- ἀστραπή
καὶ C--------- καί
οἱ RA--NPM--- ὁ
ὀφθαλμοὶ N2--NPM--- ὀφθαλμός
αὐτοῦ RD--GSM--- αὐτός
ὡσεὶ D--------- ὡσεί
λαμπάδες N3D-NPF--- λαμπάς
πυρός N3--GSN--- πῦρ
καὶ C--------- καί
οἱ RA--NPM--- ὁ
βραχίονες N3N-NPM--- βραχίων
αὐτοῦ RD--GSM--- αὐτός
καὶ C--------- καί
τὰ RA--NPN--- ὁ
σκέλη N3E-NPN--- σκέλος
ὡς C--------- ὡς
ὅρασις N3I-NSF--- ὅρασις
χαλκοῦ A1C-GSM--- χαλκοῦς
στίλβοντος V1--PAPGSM στίλβω
καὶ C--------- καί
ἡ RA--NSF--- ὁ
φωνὴ N1--NSF--- φωνή
τῶν RA--GPM--- ὁ
λόγων N2--GPM--- λόγος
αὐτοῦ RD--GSM--- αὐτός
ὡς C--------- ὡς
φωνὴ N1--NSF--- φωνή
ὄχλου N2--GSM--- ὄχλος

DanTh 10:7
καὶ C--------- καί
εἶδον VBI-AAI1S- ὁράω
ἐγὼ RP--NS---- ἐγώ
Δανιηλ N---NSM--- Δανιηλ
μόνος A1--NSM--- μόνος
τὴν RA--ASF--- ὁ
ὀπτασίαν N1A-ASF--- ὀπτασία
καὶ C--------- καί
οἱ RA--NPM--- ὁ
ἄνδρες N3--NPM--- ἀνήρ
οἱ RA--NPM--- ὁ
μετ' P--------- μετά
ἐμοῦ RP--GS---- ἐγώ
οὐκ D--------- οὐ
εἶδον VBI-AAI3P- ὁράω
τὴν RA--ASF--- ὁ
ὀπτασίαν N1A-ASF--- ὀπτασία
ἀλλ' C--------- ἀλλά
ἢ C--------- ἤ
ἔκστασις N3I-NSF--- ἔκστασις
μεγάλη A1--NSF--- μέγας
ἐπέπεσεν VAI-AAI3S- πίπτω ἐπι
ἐπ' P--------- ἐπί
αὐτούς RD--APM--- αὐτός
καὶ C--------- καί
ἔφυγον VBI-AAI3P- φεύγω
ἐν P--------- ἐν
φόβῳ N2--DSM--- φόβος

DanTh 10:8
καὶ C--------- καί
ἐγὼ RP--NS---- ἐγώ
ὑπελείφθην VVI-API1S- λείπω ὑπο
μόνος A1--NSM--- μόνος
καὶ C--------- καί
εἶδον VBI-AAI1S- ὁράω
τὴν RA--ASF--- ὁ
ὀπτασίαν N1A-ASF--- ὀπτασία
τὴν RA--ASF--- ὁ
μεγάλην A1--ASF--- μέγας
ταύτην RD--ASF--- οὗτος
καὶ C--------- καί
οὐχ D--------- οὐ
ὑπελείφθη VVI-API3S- λείπω ὑπο
ἐν P--------- ἐν
ἐμοὶ RP--DS---- ἐγώ
ἰσχύς N3--NSF--- ἰσχύς
καὶ C--------- καί
ἡ RA--NSF--- ὁ
δόξα N1S-NSF--- δόξα
μου RP--GS---- ἐγώ
μετεστράφη VDI-API3S- στρέφω μετα
εἰς P--------- εἰς
διαφθοράν N1A-ASF--- διαφθορά
καὶ C--------- καί
οὐκ D--------- οὐ
ἐκράτησα VAI-AAI1S- κρατέω
ἰσχύος N3U-GSF--- ἰσχύς

DanTh 10:9
καὶ C--------- καί
ἤκουσα VAI-AAI1S- ἀκούω
τὴν RA--ASF--- ὁ
φωνὴν N1--ASF--- φωνή
τῶν RA--GPM--- ὁ
λόγων N2--GPM--- λόγος
αὐτοῦ RD--GSM--- αὐτός
καὶ C--------- καί
ἐν P--------- ἐν
τῷ RA--DSN--- ὁ
ἀκοῦσαί VA--AAN--- ἀκούω
με RP--AS---- ἐγώ
αὐτοῦ RD--GSM--- αὐτός
ἤμην V9I-IMI1S- εἰμί
κατανενυγμένος VM--XPPNSM νύσσω κατα
καὶ C--------- καί
τὸ RA--NSN--- ὁ
πρόσωπόν N2N-NSN--- πρόσωπον
μου RP--GS---- ἐγώ
ἐπὶ P--------- ἐπί
τὴν RA--ASF--- ὁ
γῆν N1--ASF--- γῆ

DanTh 10:10
καὶ C--------- καί
ἰδοὺ I--------- ἰδού
χεὶρ N3--NSF--- χείρ
ἁπτομένη V1--PMPNSF ἅπτομαι
μου RP--GS---- ἐγώ
καὶ C--------- καί
ἤγειρέν V1I-IAI3S- ἀγείρω
με RP--AS---- ἐγώ
ἐπὶ P--------- ἐπί
τὰ RA--APN--- ὁ
γόνατά N3--APN--- γόνυ
μου RP--GS---- ἐγώ

DanTh 10:11
καὶ C--------- καί
εἶπεν VBI-AAI3S- εἶπον
πρός P--------- πρός
με RP--AS---- ἐγώ
Δανιηλ N---VSM--- Δανιηλ
ἀνὴρ N3--NSM--- ἀνήρ
ἐπιθυμιῶν N1A-GPF--- ἐπιθυμία
σύνες VH--AAD2S- ἵημι συν
ἐν P--------- ἐν
τοῖς RA--DPM--- ὁ
λόγοις N2--DPM--- λόγος
οἷς RR--DPM--- ὅς
ἐγὼ RP--NS---- ἐγώ
λαλῶ V2--PAI1S- λαλέω
πρὸς P--------- πρός
σέ RP--AS---- σύ
καὶ C--------- καί
στῆθι VH--AAD2S- ἵστημι
ἐπὶ P--------- ἐπί
τῇ RA--DSF--- ὁ
στάσει N3I-DSF--- στάσις
σου RP--GS---- σύ
ὅτι C--------- ὅτι
νῦν D--------- νῦν
ἀπεστάλην VDI-API1S- στέλλω ἀπο
πρὸς P--------- πρός
σέ RP--AS---- σύ
καὶ C--------- καί
ἐν P--------- ἐν
τῷ RA--DSN--- ὁ
λαλῆσαι VA--AAN--- λαλέω
αὐτὸν RD--ASM--- αὐτός
πρός P--------- πρός
με RP--AS---- ἐγώ
τὸν RA--ASM--- ὁ
λόγον N2--ASM--- λόγος
τοῦτον RD--ASM--- οὗτος
ἀνέστην VHI-AAI1S- ἵστημι ἀνα
ἔντρομος A1B-NSM--- ἔντρομος

DanTh 10:12
καὶ C--------- καί
εἶπεν VBI-AAI3S- εἶπον
πρός P--------- πρός
με RP--AS---- ἐγώ
μὴ D--------- μή
φοβοῦ V2--PMD2S- φοβέω
Δανιηλ N---VSM--- Δανιηλ
ὅτι C--------- ὅτι
ἀπὸ P--------- ἀπό
τῆς RA--GSF--- ὁ
πρώτης A1--GSFS-- πρῶτος
ἡμέρας N1A-GSF--- ἡμέρα
ἧς RR--GSF--- ὅς
ἔδωκας VAI-AAI2S- δίδωμι
τὴν RA--ASF--- ὁ
καρδίαν N1A-ASF--- καρδία
σου RP--GS---- σύ
τοῦ RA--GSN--- ὁ
συνιέναι V7--PAN--- ἵημι συν
καὶ C--------- καί
κακωθῆναι VC--APN--- κακόω
ἐναντίον P--------- ἐναντίον
τοῦ RA--GSM--- ὁ
θεοῦ N2--GSM--- θεός
σου RP--GS---- σύ
ἠκούσθησαν VSI-API3P- ἀκούω
οἱ RA--NPM--- ὁ
λόγοι N2--NPM--- λόγος
σου RP--GS---- σύ
καὶ C--------- καί
ἐγὼ RP--NS---- ἐγώ
ἦλθον VBI-AAI1S- ἔρχομαι
ἐν P--------- ἐν
τοῖς RA--DPM--- ὁ
λόγοις N2--DPM--- λόγος
σου RP--GS---- σύ

DanTh 10:13
καὶ C--------- καί
ὁ RA--NSM--- ὁ
ἄρχων N3--NSM--- ἄρχων
βασιλείας N1A-GSF--- βασιλεία
Περσῶν N1M-GPM--- Πέρσης
εἱστήκει VXI-YAI3S- ἵστημι
ἐξ P--------- ἐκ
ἐναντίας A1A-GSF--- ἐναντίος
μου RP--GS---- ἐγώ
εἴκοσι M--------- εἴκοσι
καὶ C--------- καί
μίαν A1A-ASF--- εἷς
ἡμέραν N1A-ASF--- ἡμέρα
καὶ C--------- καί
ἰδοὺ I--------- ἰδού
Μιχαηλ N---NSM--- Μιχαηλ
εἷς A3--NSM--- εἷς
τῶν RA--GPM--- ὁ
ἀρχόντων N3--GPM--- ἄρχων
τῶν RA--GPM--- ὁ
πρώτων A1--GPMS-- πρῶτος
ἦλθεν VBI-AAI3S- ἔρχομαι
βοηθῆσαί VA--AAN--- βοηθέω
μοι RP--DS---- ἐγώ
καὶ C--------- καί
αὐτὸν RD--ASM--- αὐτός
κατέλιπον VBI-AAI1S- λείπω κατα
ἐκεῖ D--------- ἐκεῖ
μετὰ P--------- μετά
τοῦ RA--GSM--- ὁ
ἄρχοντος N3--GSM--- ἄρχων
βασιλείας N1A-GSF--- βασιλεία
Περσῶν N1M-GPM--- Πέρσης

DanTh 10:14
καὶ C--------- καί
ἦλθον VBI-AAI1S- ἔρχομαι
συνετίσαι VA--AAN--- συνετίζω
σε RP--AS---- σύ
ὅσα A1--APN--- ὅσος
ἀπαντήσεται VF--FMI3S- ἀντάω ἀπο
τῷ RA--DSM--- ὁ
λαῷ N2--DSM--- λαός
σου RP--GS---- σύ
ἐπ' P--------- ἐπί
ἐσχάτων A1--GPF--- ἔσχατος
τῶν RA--GPF--- ὁ
ἡμερῶν N1A-GPF--- ἡμέρα
ὅτι C--------- ὅτι
ἔτι D--------- ἔτι
ἡ RA--NSF--- ὁ
ὅρασις N3I-NSF--- ὅρασις
εἰς P--------- εἰς
ἡμέρας N1A-APF--- ἡμέρα

DanTh 10:15
καὶ C--------- καί
ἐν P--------- ἐν
τῷ RA--DSN--- ὁ
λαλῆσαι VA--AAN--- λαλέω
αὐτὸν RD--ASM--- αὐτός
μετ' P--------- μετά
ἐμοῦ RP--GS---- ἐγώ
κατὰ P--------- κατά
τοὺς RA--APM--- ὁ
λόγους N2--APM--- λόγος
τούτους RD--APM--- οὗτος
ἔδωκα VAI-AAI1S- δίδωμι
τὸ RA--ASN--- ὁ
πρόσωπόν N2N-ASN--- πρόσωπον
μου RP--GS---- ἐγώ
ἐπὶ P--------- ἐπί
τὴν RA--ASF--- ὁ
γῆν N1--ASF--- γῆ
καὶ C--------- καί
κατενύγην VDI-API1S- νύσσω κατα

DanTh 10:16
καὶ C--------- καί
ἰδοὺ I--------- ἰδού
ὡς C--------- ὡς
ὁμοίωσις N3I-NSF--- ὁμοίωσις
υἱοῦ N2--GSM--- υἱός
ἀνθρώπου N2--GSM--- ἄνθρωπος
ἥψατο VAI-AMI3S- ἅπτομαι
τῶν RA--GPN--- ὁ
χειλέων N3E-GPN--- χεῖλος
μου RP--GS---- ἐγώ
καὶ C--------- καί
ἤνοιξα VAI-AAI1S- οἴγω ἀνα
τὸ RA--ASN--- ὁ
στόμα N3M-ASN--- στόμα
μου RP--GS---- ἐγώ
καὶ C--------- καί
ἐλάλησα VAI-AAI1S- λαλέω
καὶ C--------- καί
εἶπα VAI-AAI1S- εἶπον
πρὸς P--------- πρός
τὸν RA--ASM--- ὁ
ἑστῶτα VXI-XAPASM ἵστημι
ἐναντίον P--------- ἐναντίον
ἐμοῦ RP--GS---- ἐγώ
κύριε N2--VSM--- κύριος
ἐν P--------- ἐν
τῇ RA--DSF--- ὁ
ὀπτασίᾳ N1A-DSF--- ὀπτασία
σου RP--GS---- σύ
ἐστράφη VDI-API3S- στρέφω
τὰ RA--NPN--- ὁ
ἐντός P--------- ἐντός
μου RP--GS---- ἐγώ
ἐν P--------- ἐν
ἐμοί RP--DS---- ἐγώ
καὶ C--------- καί
οὐκ D--------- οὐ
ἔσχον VBI-AAI1S- ἔχω
ἰσχύν N3--ASF--- ἰσχύς

DanTh 10:17
καὶ C--------- καί
πῶς D--------- πῶς
δυνήσεται VF--FMI3S- δύναμαι
ὁ RA--NSM--- ὁ
παῖς N3D-NSM--- παῖς
σου RP--GS---- σύ
κύριε N2--VSM--- κύριος
λαλῆσαι VA--AAN--- λαλέω
μετὰ P--------- μετά
τοῦ RA--GSM--- ὁ
κυρίου N2--GSM--- κύριος
μου RP--GS---- ἐγώ
τούτου RD--GSM--- οὗτος
καὶ C--------- καί
ἐγὼ RP--NS---- ἐγώ
ἀπὸ P--------- ἀπό
τοῦ RA--GSM--- ὁ
νῦν D--------- νῦν
οὐ D--------- οὐ
στήσεται VF--FMI3S- ἵστημι
ἐν P--------- ἐν
ἐμοὶ RP--DS---- ἐγώ
ἰσχύς N3--NSF--- ἰσχύς
καὶ C--------- καί
πνοὴ N1--NSF--- πνοή
οὐχ D--------- οὐ
ὑπελείφθη VVI-API3S- λείπω ὑπο
ἐν P--------- ἐν
ἐμοί RP--DS---- ἐγώ

DanTh 10:18
καὶ C--------- καί
προσέθετο VEI-AMI3S- τίθημι προς
καὶ C--------- καί
ἥψατό VAI-AMI3S- ἅπτομαι
μου RP--GS---- ἐγώ
ὡς C--------- ὡς
ὅρασις N3I-NSF--- ὅρασις
ἀνθρώπου N2--GSM--- ἄνθρωπος
καὶ C--------- καί
