Jos 1:1
αὐτῶν RD--GPM--- αὐτός

Jos 22:9
καὶ C--------- καί
ἐπορεύθησαν VCI-API3P- πορεύομαι
οἱ RA--NPM--- ὁ
υἱοὶ N2--NPM--- υἱός
Ρουβην N---GS---- Ρουβην
καὶ C--------- καί
οἱ RA--NPM--- ὁ
υἱοὶ N2--NPM--- υἱός
Γαδ N---GS---- Γαδ
καὶ C--------- καί
τὸ RA--NSN--- ὁ
ἥμισυ A3U-NSN--- ἥμισυς
φυλῆς N1--GSF--- φυλή
υἱῶν N2--GPM--- υἱός
Μανασση N---GS---- Μανασσή
ἀπὸ P--------- ἀπό
τῶν RA--GPM--- ὁ
υἱῶν N2--GPM--- υἱός
Ισραηλ N---GSM--- Ἰσραήλ
ἐκ P--------- ἐκ
Σηλω N---GS---- Σηλω
ἐν P--------- ἐν
γῇ N1--DSF--- γῆ
Χανααν N---GS---- Χανααν
ἀπελθεῖν VB--AAN--- ἔρχομαι ἀπο
εἰς P--------- εἰς
γὴν N1--ASF--- γῆ
Γαλααδ N---GS---- Γαλαάδ
εἰς P--------- εἰς
γῆν N1--ASF--- γῆ
κατασχέσεως N3I-GSF--- κατάσχεσις
αὐτῶν RD--GPM--- αὐτός
ἣν RR--ASF--- ὅς
ἐκληρονόμησαν VAI-AAI3P- κληρονομέω
αὐτὴν RD--ASF--- αὐτός
διὰ P--------- διά
προστάγματος N3M-GSN--- πρόσταγμα
κυρίου N2--GSM--- κύριος
ἐν P--------- ἐν
χειρὶ N3--DSF--- χείρ
Μωυσῆ N1M-GSM--- Μωυσῆς

Jos 22:10
καὶ C--------- καί
ἦλθον VBI-AAI3P- ἔρχομαι
εἰς P--------- εἰς
Γαλγαλα N---ASF--- Γάλγαλα
τοῦ RA--GSM--- ὁ
Ιορδάνου N1M-GSM--- Ἰορδάνης
ἥ RR--NSF--- ὅς
ἐστιν V9--PAI3S- εἰμί
ἐν P--------- ἐν
γῇ N1--DSF--- γῆ
Χανααν N---GS---- Χανααν
καὶ C--------- καί
ᾠκοδόμησαν VAI-AAI3P- οἰκοδομέω
οἱ RA--NPM--- ὁ
υἱοὶ N2--NPM--- υἱός
Γαδ N---GS---- Γαδ
καὶ C--------- καί
οἱ RA--NPM--- ὁ
υἱοὶ N2--NPM--- υἱός
Ρουβην N---GS---- Ρουβην
καὶ C--------- καί
τὸ RA--NSN--- ὁ
ἥμισυ A3U-NSN--- ἥμισυς
φυλῆς N1--GSF--- φυλή
Μανασση N---GS---- Μανασσή
ἐκεῖ D--------- ἐκεῖ
βωμὸν N2--ASM--- βωμός
ἐπὶ P--------- ἐπί
τοῦ RA--GSM--- ὁ
Ιορδάνου N1M-GSM--- Ἰορδάνης
βωμὸν N2--ASM--- βωμός
μέγαν A1P-ASM--- μέγας
τοῦ RA--GSN--- ὁ
ἰδεῖν VB--AAN--- ὁράω

Jos 22:11
καὶ C--------- καί
ἤκουσαν VAI-AAI3P- ἀκούω
οἱ RA--NPM--- ὁ
υἱοὶ N2--NPM--- υἱός
Ισραηλ N---GSM--- Ἰσραήλ
λεγόντων V1--PAPGPM λέγω
ἰδοὺ I--------- ἰδού
ᾠκοδόμησαν VAI-AAI3P- οἰκοδομέω
οἱ RA--NPM--- ὁ
υἱοὶ N2--NPM--- υἱός
Γαδ N---GS---- Γαδ
καὶ C--------- καί
οἱ RA--NPM--- ὁ
υἱοὶ N2--NPM--- υἱός
Ρουβην N---GS---- Ρουβην
καὶ C--------- καί
τὸ RA--NSN--- ὁ
ἥμισυ A3U-NSN--- ἥμισυς
φυλῆς N1--GSF--- φυλή
Μανασση N---GS---- Μανασσή
βωμὸν N2--ASM--- βωμός
ἐφ' P--------- ἐπί
ὁρίων N2N-GPN--- ὅριον
γῆς N1--GSF--- γῆ
Χανααν N---GS---- Χανααν
ἐπὶ P--------- ἐπί
τοῦ RA--GSM--- ὁ
Γαλααδ N---GSM--- Γαλαάδ
τοῦ RA--GSM--- ὁ
Ιορδάνου N1M-GSM--- Ἰορδάνης
ἐν P--------- ἐν
τῷ RA--DSN--- ὁ
πέραν D--------- πέραν
υἱῶν N2--GPM--- υἱός
Ισραηλ N---GSM--- Ἰσραήλ

Jos 22:12
καὶ C--------- καί
συνηθροίσθησαν VSI-API3P- ἀθροίζω συν
πάντες A3--NPM--- πᾶς
οἱ RA--NPM--- ὁ
υἱοὶ N2--NPM--- υἱός
Ισραηλ N---GSM--- Ἰσραήλ
εἰς P--------- εἰς
Σηλω N---AS---- Σηλω
ὥστε C--------- ὥστε
ἀναβάντες VZ--AAPNPM βαίνω ἀνα
ἐκπολεμῆσαι VA--AAN--- πολεμέω ἐκ
αὐτούς RD--APM--- αὐτός

Jos 22:13
καὶ C--------- καί
ἀπέστειλαν VAI-AAI3P- στέλλω ἀπο
οἱ RA--NPM--- ὁ
υἱοὶ N2--NPM--- υἱός
Ισραηλ N---GSM--- Ἰσραήλ
πρὸς P--------- πρός
τοὺς RA--APM--- ὁ
υἱοὺς N2--APM--- υἱός
Ρουβην N---GS---- Ρουβην
καὶ C--------- καί
πρὸς P--------- πρός
τοὺς RA--APM--- ὁ
υἱοὺς N2--APM--- υἱός
Γαδ N---GS---- Γαδ
καὶ C--------- καί
πρὸς P--------- πρός
τὸ RA--ASN--- ὁ
ἥμισυ A3U-ASN--- ἥμισυς
φυλῆς N1--GSF--- φυλή
Μανασση N---GS---- Μανασσή
εἰς P--------- εἰς
γῆν N1--ASF--- γῆ
Γαλααδ N---GS---- Γαλαάδ
τόν RA--ASM--- ὁ
τε X--------- τε
Φινεες N---ASM--- Φινεες
υἱὸν N2--ASM--- υἱός
Ελεαζαρ N---GS---- Ελεαζαρ
υἱοῦ N2--GSM--- υἱός
Ααρων N---GSM--- Ἀαρών
τοῦ RA--GSM--- ὁ
ἀρχιερέως N3V-GSM--- ἀρχιερεύς

Jos 22:14
καὶ C--------- καί
δέκα M--------- δέκα
τῶν RA--GPM--- ὁ
ἀρχόντων N3--GPM--- ἄρχων
μετ' P--------- μετά
αὐτοῦ RD--GSM--- αὐτός
ἄρχων N3--NSM--- ἄρχων
εἷς A3--NSM--- εἷς
ἀπὸ P--------- ἀπό
οἴκου N2--GSM--- οἶκος
πατριᾶς N1A-GSF--- πατριά
ἀπὸ P--------- ἀπό
πασῶν A1S-GPF--- πᾶς
φυλῶν N1--GPF--- φυλή
Ισραηλ N---GSM--- Ἰσραήλ
ἄρχοντες N3--NPM--- ἄρχων
οἴκων N2--GPM--- οἶκος
πατριῶν N1A-GPF--- πατριά
εἰσιν V9--PAI3P- εἰμί
χιλίαρχοι N2--NPM--- χιλίαρχος
Ισραηλ N---GSM--- Ἰσραήλ

Jos 22:15
καὶ C--------- καί
παρεγένοντο VBI-AMI3P- γίγνομαι παρα
πρὸς P--------- πρός
τοὺς RA--APM--- ὁ
υἱοὺς N2--APM--- υἱός
Γαδ N---GS---- Γαδ
καὶ C--------- καί
πρὸς P--------- πρός
τοὺς RA--APM--- ὁ
υἱοὺς N2--APM--- υἱός
Ρουβην N---GS---- Ρουβην
καὶ C--------- καί
πρὸς P--------- πρός
τοὺς RA--APM--- ὁ
ἡμίσεις A3U-APM--- ἥμισυς
φυλῆς N1--GSF--- φυλή
Μανασση N---GS---- Μανασσή
εἰς P--------- εἰς
γῆν N1--ASF--- γῆ
Γαλααδ N---GS---- Γαλαάδ
καὶ C--------- καί
ἐλάλησαν VAI-AAI3P- λαλέω
πρὸς P--------- πρός
αὐτοὺς RD--APM--- αὐτός
λέγοντες V1--PAPNPM λέγω

Jos 22:16
τάδε RD--APN--- ὅδε
λέγει V1--PAI3S- λέγω
πᾶσα A1S-NSF--- πᾶς
ἡ RA--NSF--- ὁ
συναγωγὴ N1--NSF--- συναγωγή
κυρίου N2--GSM--- κύριος
τίς RI--NSF--- τίς
ἡ RA--NSF--- ὁ
πλημμέλεια N1A-NSF--- πλημμέλεια
αὕτη RD--NSF--- οὗτος
ἣν RR--ASF--- ὅς
ἐπλημμελήσατε VAI-AAI2P- πλημμελέω
ἐναντίον P--------- ἐναντίον
τοῦ RA--GSM--- ὁ
θεοῦ N2--GSM--- θεός
Ισραηλ N---GSM--- Ἰσραήλ
ἀποστραφῆναι VD--APN--- στρέφω ἀπο
σήμερον D--------- σήμερον
ἀπὸ P--------- ἀπό
κυρίου N2--GSM--- κύριος
οἰκοδομήσαντες VA--AAPNPM οἰκοδομέω
ὑμῖν RP--DP---- σύ
ἑαυτοῖς RD--DPM--- ἑαυτοῦ
βωμὸν N2--ASM--- βωμός
ἀποστάτας N1M-APM--- ἀποστάτης
ὑμᾶς RP--AP---- σύ
γενέσθαι VB--AMN--- γίγνομαι
ἀπὸ P--------- ἀπό
κυρίου N2--GSM--- κύριος

Jos 22:17
μὴ D--------- μή
μικρὸν A1A-NSN--- μικρός
ἡμῖν RP--DP---- ἐγώ
τὸ RA--NSN--- ὁ
ἁμάρτημα N3M-NSN--- ἁμάρτημα
Φογωρ N---GS---- Φογωρ
ὅτι C--------- ὅτι
οὐκ D--------- οὐ
ἐκαθαρίσθημεν VSI-API1P- καθαρίζω
ἀπ' P--------- ἀπό
αὐτοῦ RD--GSN--- αὐτός
ἕως P--------- ἕως
τῆς RA--GSF--- ὁ
ἡμέρας N1A-GSF--- ἡμέρα
ταύτης RD--GSF--- οὗτος
καὶ C--------- καί
ἐγενήθη VCI-API3S- γίγνομαι
πληγὴ N1--NSF--- πληγή
ἐν P--------- ἐν
τῇ RA--DSF--- ὁ
συναγωγῇ N1--DSF--- συναγωγή
κυρίου N2--GSM--- κύριος

Jos 22:18
καὶ C--------- καί
ὑμεῖς RP--NP---- σύ
ἀποστραφήσεσθε VD--FPI2P- στρέφω ἀπο
σήμερον D--------- σήμερον
ἀπὸ P--------- ἀπό
κυρίου N2--GSM--- κύριος
καὶ C--------- καί
ἔσται VF--FMI3S- εἰμί
ἐὰν C--------- ἐάν
ἀποστῆτε VH--AAS2P- ἵστημι ἀπο
σήμερον D--------- σήμερον
ἀπὸ P--------- ἀπό
κυρίου N2--GSM--- κύριος
καὶ C--------- καί
αὔριον D--------- αὔριον
ἐπὶ P--------- ἐπί
πάντα A3--ASM--- πᾶς
Ισραηλ N---DSM--- Ἰσραήλ
ἔσται VF--FMI3S- εἰμί
ἡ RA--NSF--- ὁ
ὀργή N1--NSF--- ὀργή

Jos 22:19
καὶ C--------- καί
νῦν D--------- νῦν
εἰ C--------- εἰ
μικρὰ A1A-NSF--- μικρός
ὑμῖν RP--DP---- σύ
ἡ RA--NSF--- ὁ
γῆ N1--NSF--- γῆ
τῆς RA--GSF--- ὁ
κατασχέσεως N3I-GSF--- κατάσχεσις
ὑμῶν RP--GP---- σύ
διάβητε VZ--AAD2P- βαίνω δια
εἰς P--------- εἰς
τὴν RA--ASF--- ὁ
γῆν N1--ASF--- γῆ
τῆς RA--GSF--- ὁ
κατασχέσεως N3I-GSF--- κατάσχεσις
κυρίου N2--GSM--- κύριος
οὗ D--------- οὗ
κατασκηνοῖ V4--PAI3S- σκηνόω κατα
ἐκεῖ D--------- ἐκεῖ
ἡ RA--NSF--- ὁ
σκηνὴ N1--NSF--- σκηνή
κυρίου N2--GSM--- κύριος
καὶ C--------- καί
κατακληρονομήσατε VA--AAD2P- κληρονομέω κατα
ἐν P--------- ἐν
ἡμῖν RP--DP---- ἐγώ
καὶ C--------- καί
μὴ D--------- μή
ἀποστάται N1M-NPM--- ἀποστάτης
ἀπὸ P--------- ἀπό
θεοῦ N2--GSM--- θεός
γενήθητε VC--APD2P- γίγνομαι
καὶ C--------- καί
μὴ D--------- μή
ἀπόστητε VH--AAD2P- ἵστημι ἀπο
ἀπὸ P--------- ἀπό
κυρίου N2--GSM--- κύριος
διὰ P--------- διά
τὸ RA--ASN--- ὁ
οἰκοδομῆσαι VA--AAN--- οἰκοδομέω
ὑμᾶς RP--AP---- σύ
βωμὸν N2--ASM--- βωμός
ἔξω P--------- ἔξω
τοῦ RA--GSN--- ὁ
θυσιαστηρίου N2N-GSN--- θυσιαστήριον
κυρίου N2--GSM--- κύριος
τοῦ RA--GSM--- ὁ
θεοῦ N2--GSM--- θεός
ἡμῶν RP--GP---- ἐγώ

Jos 22:20
οὐκ D--------- οὐ
ἰδοὺ I--------- ἰδού
Αχαρ N---NSM--- Αχαρ
ὁ RA--NSM--- ὁ
τοῦ RA--GSM--- ὁ
Ζαρα N---GSM--- Ζαρα
πλημμελείᾳ N1A-DSF--- πλημμέλεια
ἐπλημμέλησεν VAI-AAI3S- πλημμελέω
ἀπὸ P--------- ἀπό
τοῦ RA--GSN--- ὁ
ἀναθέματος N3M-GSN--- ἀνάθεμα
καὶ C--------- καί
ἐπὶ P--------- ἐπί
πᾶσαν A1S-ASF--- πᾶς
συναγωγὴν N1--ASF--- συναγωγή
Ισραηλ N---GSM--- Ἰσραήλ
ἐγενήθη VCI-API3S- γίγνομαι
ὀργή N1--NSF--- ὀργή
καὶ C--------- καί
οὗτος RD--NSM--- οὗτος
εἷς A3--NSM--- εἷς
μόνος A1--NSM--- μόνος
ἦν V9--IAI3S- εἰμί
μὴ D--------- μή
μόνος A1--NSM--- μόνος
οὗτος RD--NSM--- οὗτος
ἀπέθανεν VBI-AAI3S- θνήσκω ἀπο
τῇ RA--DSF--- ὁ
ἑαυτοῦ RD--GSM--- ἑαυτοῦ
ἁμαρτίᾳ N1A-DSF--- ἁμαρτία

Jos 22:21
καὶ C--------- καί
ἀπεκρίθησαν VCI-API3P- κρίνω ἀπο
οἱ RA--NPM--- ὁ
υἱοὶ N2--NPM--- υἱός
Ρουβην N---GS---- Ρουβην
καὶ C--------- καί
οἱ RA--NPM--- ὁ
υἱοὶ N2--NPM--- υἱός
Γαδ N---GS---- Γαδ
καὶ C--------- καί
τὸ RA--NSN--- ὁ
ἥμισυ A3U-NSN--- ἥμισυς
φυλῆς N1--GSF--- φυλή
Μανασση N---GS---- Μανασσή
καὶ C--------- καί
ἐλάλησαν VAI-AAI3P- λαλέω
τοῖς RA--DPM--- ὁ
χιλιάρχοις N2--DPM--- χιλίαρχος
Ισραηλ N---GSM--- Ἰσραήλ
λέγοντες V1--PAPNPM λέγω

Jos 22:22
ὁ RA--NSM--- ὁ
θεὸς N2--NSM--- θεός
θεός N2--NSM--- θεός
ἐστιν V9--PAI3S- εἰμί
κύριος N2--NSM--- κύριος
καὶ C--------- καί
ὁ RA--NSM--- ὁ
θεὸς N2--NSM--- θεός
θεὸς N2--NSM--- θεός
κύριος N2--NSM--- κύριος
αὐτὸς RD--NSM--- αὐτός
οἶδεν VX--XAI3S- οἶδα
καὶ C--------- καί
Ισραηλ N---NSM--- Ἰσραήλ
αὐτὸς RD--NSM--- αὐτός
γνώσεται VF--FMI3S- γιγνώσκω
εἰ C--------- εἰ
ἐν P--------- ἐν
ἀποστασίᾳ N1A-DSF--- ἀποστασία
ἐπλημμελήσαμεν VAI-AAI1P- πλημμελέω
ἔναντι P--------- ἔναντι
τοῦ RA--GSM--- ὁ
κυρίου N2--GSM--- κύριος
μὴ D--------- μή
ῥύσαιτο VA--AMO3S- ῥύομαι
ἡμᾶς RP--AP---- ἐγώ
ἐν P--------- ἐν
ταύτῃ RD--DSF--- οὗτος

Jos 22:23
καὶ C--------- καί
εἰ C--------- εἰ
ᾠκοδομήσαμεν VAI-AAI1P- οἰκοδομέω
αὑτοῖς RD--DPM--- ἑαυτοῦ
βωμὸν N2--ASM--- βωμός
ὥστε C--------- ὥστε
ἀποστῆναι VH--AAN--- ἵστημι ἀπο
ἀπὸ P--------- ἀπό
κυρίου N2--GSM--- κύριος
τοῦ RA--GSM--- ὁ
θεοῦ N2--GSM--- θεός
ἡμῶν RP--GP---- ἐγώ
ὥστε C--------- ὥστε
ἀναβιβάσαι VA--AAN--- βιβάζω ἀνα
ἐπ' P--------- ἐπί
αὐτὸν RD--ASM--- αὐτός
θυσίαν N1A-ASF--- θυσία
ὁλοκαυτωμάτων N3M-GPN--- ὁλοκαύτωμα
ἢ C--------- ἤ
ὥστε C--------- ὥστε
ποιῆσαι VA--AAN--- ποιέω
ἐπ' P--------- ἐπί
αὐτοῦ RD--GSM--- αὐτός
θυσίαν N1A-ASF--- θυσία
σωτηρίου N2N-GSN--- σωτήριον
κύριος N2--NSM--- κύριος
ἐκζητήσει VF--FAI3S- ζητέω ἐκ

Jos 22:24
ἀλλ' C--------- ἀλλά
ἕνεκεν P--------- ἕνεκεν
εὐλαβείας N1A-GSF--- εὐλάβεια
ῥήματος N3M-GSN--- ῥῆμα
ἐποιήσαμεν VAI-AAI1P- ποιέω
τοῦτο RD--ASN--- οὗτος
λέγοντες V1--PAPNPM λέγω
ἵνα C--------- ἵνα
μὴ D--------- μή
εἴπωσιν VB--AAS3P- λέγω
αὔριον D--------- αὔριον
τὰ RA--NPN--- ὁ
τέκνα N2N-NPN--- τέκνον
ὑμῶν RP--GP---- σύ
τοῖς RA--DPN--- ὁ
τέκνοις N2N-DPN--- τέκνον
ἡμῶν RP--GP---- ἐγώ
τί RI--NSN--- τίς
ὑμῖν RP--DP---- σύ
κυρίῳ N2--DSM--- κύριος
τῷ RA--DSM--- ὁ
θεῷ N2--DSM--- θεός
Ισραηλ N---GSM--- Ἰσραήλ

Jos 22:25
καὶ C--------- καί
ὅρια N2N-APN--- ὅριον
ἔθηκεν VAI-AAI3S- τίθημι
κύριος N2--NSM--- κύριος
ἀνὰ P--------- ἀνά
μέσον A1--ASN--- μέσος
ἡμῶν RP--GP---- ἐγώ
καὶ C--------- καί
ὑμῶν RP--GP---- σύ
τὸν RA--ASM--- ὁ
Ιορδάνην N1M-ASM--- Ἰορδάνης
καὶ C--------- καί
οὐκ D--------- οὐ
ἔστιν V9--PAI3S- εἰμί
ὑμῖν RP--DP---- σύ
μερὶς N3D-NSF--- μερίς
κυρίου N2--GSM--- κύριος
καὶ C--------- καί
ἀπαλλοτριώσουσιν VF--FAI3P- ἀλλοτριόω ἀπο
οἱ RA--NPM--- ὁ
υἱοὶ N2--NPM--- υἱός
ὑμῶν RP--GP---- σύ
τοὺς RA--APM--- ὁ
υἱοὺς N2--APM--- υἱός
ἡμῶν RP--GP---- ἐγώ
ἵνα C--------- ἵνα
μὴ D--------- μή
σέβωνται V1--PMS3P- σέβω
κύριον N2--ASM--- κύριος

Jos 22:26
καὶ C--------- καί
εἴπαμεν VAI-AAI1P- εἶπον
ποιῆσαι VA--AAN--- ποιέω
οὕτως D--------- οὕτως
τοῦ RA--GSN--- ὁ
οἰκοδομῆσαι VA--AAN--- οἰκοδομέω
τὸν RA--ASM--- ὁ
βωμὸν N2--ASM--- βωμός
τοῦτον RD--ASM--- οὗτος
οὐχ D--------- οὐ
ἕνεκεν P--------- ἕνεκεν
καρπωμάτων N3M-GPN--- κάρπωμα
οὐδὲ C--------- οὐδέ
ἕνεκεν P--------- ἕνεκεν
θυσιῶν N1A-GPF--- θυσία

Jos 22:27
ἀλλ' C--------- ἀλλά
ἵνα C--------- ἵνα
ᾖ V9--PAS3S- εἰμί
τοῦτο RD--NSN--- οὗτος
μαρτύριον N2N-NSN--- μαρτύριον
ἀνὰ P--------- ἀνά
μέσον A1--ASN--- μέσος
ἡμῶν RP--GP---- ἐγώ
καὶ C--------- καί
ὑμῶν RP--GP---- σύ
καὶ C--------- καί
ἀνὰ P--------- ἀνά
μέσον A1--ASN--- μέσος
τῶν RA--GPF--- ὁ
γενεῶν N1A-GPF--- γενεά
ἡμῶν RP--GP---- ἐγώ
μεθ' P--------- μετά
ἡμᾶς RP--AP---- ἐγώ
τοῦ RA--GSN--- ὁ
λατρεύειν V1--PAN--- λατρεύω
λατρείαν N1A-ASF--- λατρεία
κυρίῳ N2--DSM--- κύριος
ἐναντίον P--------- ἐναντίον
αὐτοῦ RD--GSM--- αὐτός
ἐν P--------- ἐν
τοῖς RA--DPN--- ὁ
καρπώμασιν N3M-DPN--- κάρπωμα
ἡμῶν RP--GP---- ἐγώ
καὶ C--------- καί
ἐν P--------- ἐν
ταῖς RA--DPF--- ὁ
θυσίαις N1A-DPF--- θυσία
ἡμῶν RP--GP---- ἐγώ
καὶ C--------- καί
ἐν P--------- ἐν
ταῖς RA--DPF--- ὁ
θυσίαις N1A-DPF--- θυσία
τῶν RA--GPM--- ὁ
σωτηρίων N2N-GPN--- σωτήριον
ἡμῶν RP--GP---- ἐγώ
καὶ C--------- καί
οὐκ D--------- οὐ
ἐροῦσιν VF2-FAI3P- εἶπον
τὰ RA--NPN--- ὁ
τέκνα N2N-NPN--- τέκνον
ὑμῶν RP--GP---- σύ
τοῖς RA--DPN--- ὁ
τέκνοις N2N-DPN--- τέκνον
ἡμῶν RP--GP---- ἐγώ
αὔριον D--------- αὔριον
οὐκ D--------- οὐ
ἔστιν V9--PAI3S- εἰμί
ὑμῖν RP--DP---- σύ
μερὶς N3D-NSF--- μερίς
κυρίου N2--GSM--- κύριος

Jos 22:28
καὶ C--------- καί
εἴπαμεν VAI-AAI1P- εἶπον
ἐὰν C--------- ἐάν
γένηταί VB--AMS3S- γίγνομαι
ποτε D--------- ποτέ
καὶ C--------- καί
λαλήσωσιν VA--AAS3P- λαλέω
πρὸς P--------- πρός
ἡμᾶς RP--AP---- ἐγώ
καὶ C--------- καί
ταῖς RA--DPF--- ὁ
γενεαῖς N1A-DPF--- γενεά
ἡμῶν RP--GP---- ἐγώ
αὔριον D--------- αὔριον
καὶ C--------- καί
ἐροῦσιν VF2-FAI3P- εἶπον
ἴδετε VB--AAD2P- ὁράω
ὁμοίωμα N3M-ASN--- ὁμοίωμα
τοῦ RA--GSN--- ὁ
θυσιαστηρίου N2N-GSN--- θυσιαστήριον
κυρίου N2--GSM--- κύριος
ὃ RR--ASN--- ὅς
ἐποίησαν VAI-AAI3P- ποιέω
οἱ RA--NPM--- ὁ
πατέρες N3--NPM--- πατήρ
ἡμῶν RP--GP---- ἐγώ
οὐχ D--------- οὐ
ἕνεκεν P--------- ἕνεκεν
καρπωμάτων N3M-GPN--- κάρπωμα
οὐδὲ C--------- οὐδέ
ἕνεκεν P--------- ἕνεκεν
θυσιῶν N1A-GPF--- θυσία
ἀλλὰ C--------- ἀλλά
μαρτύριόν N2N-NSN--- μαρτύριον
ἐστιν V9--PAI3S- εἰμί
ἀνὰ P--------- ἀνά
μέσον A1--ASN--- μέσος
ὑμῶν RP--GP---- σύ
καὶ C--------- καί
ἀνὰ P--------- ἀνά
μέσον A1--ASN--- μέσος
ἡμῶν RP--GP---- ἐγώ
καὶ C--------- καί
ἀνὰ P--------- ἀνά
μέσον A1--ASN--- μέσος
τῶν RA--GPM--- ὁ
υἱῶν N2--GPM--- υἱός
ἡμῶν RP--GP---- ἐγώ

Jos 22:29
μὴ D--------- μή
γένοιτο VB--AMO3S- γίγνομαι
οὖν X--------- οὖν
ἡμᾶς RP--AP---- ἐγώ
ἀποστραφῆναι VD--APN--- στρέφω ἀπο
ἀπὸ P--------- ἀπό
κυρίου N2--GSM--- κύριος
ἐν P--------- ἐν
ταῖς RA--DPF--- ὁ
σήμερον D--------- σήμερον
ἡμέραις N1A-DPF--- ἡμέρα
ἀποστῆναι VH--AAN--- ἵστημι ἀπο
ἀπὸ P--------- ἀπό
κυρίου N2--GSM--- κύριος
ὥστε C--------- ὥστε
οἰκοδομῆσαι VA--AAN--- οἰκοδομέω
ἡμᾶς RP--AP---- ἐγώ
θυσιαστήριον N2N-ASN--- θυσιαστήριον
τοῖς RA--DPN--- ὁ
καρπώμασιν N3M-DPN--- κάρπωμα
καὶ C--------- καί
ταῖς RA--DPF--- ὁ
θυσίαις N1A-DPF--- θυσία
σαλαμιν N---GS---- σαλαμιν
καὶ C--------- καί
τῇ RA--DSF--- ὁ
θυσίᾳ N1A-DSF--- θυσία
τοῦ RA--GSM--- ὁ
σωτηρίου N2N-GSN--- σωτήριον
πλὴν P--------- πλήν
τοῦ RA--GSN--- ὁ
θυσιαστηρίου N2N-GSN--- θυσιαστήριον
κυρίου N2--GSM--- κύριος
ὅ RR--NSN--- ὅς
ἐστιν V9--PAI3S- εἰμί
ἐναντίον P--------- ἐναντίον
τῆς RA--GSF--- ὁ
σκηνῆς N1--GSF--- σκηνή
αὐτοῦ RD--GSM--- αὐτός

Jos 22:30
καὶ C--------- καί
ἀκούσας VA--AAPNSM ἀκούω
Φινεες N---NS---- Φινεες
ὁ RA--NSM--- ὁ
ἱερεὺς N3V-NSM--- ἱερεύς
καὶ C--------- καί
πάντες A3--NPM--- πᾶς
οἱ RA--NPM--- ὁ
ἄρχοντες N3--NPM--- ἄρχων
τῆς RA--GSF--- ὁ
συναγωγῆς N1--GSF--- συναγωγή
Ισραηλ N---GSM--- Ἰσραήλ
οἳ RR--NPM--- ὅς
ἦσαν V9--IAI3P- εἰμί
μετ' P--------- μετά
αὐτοῦ RD--GSM--- αὐτός
τοὺς RA--APM--- ὁ
λόγους N2--APM--- λόγος
οὓς RR--APM--- ὅς
ἐλάλησαν VAI-AAI3P- λαλέω
οἱ RA--NPM--- ὁ
υἱοὶ N2--NPM--- υἱός
Ρουβην N---GS---- Ρουβην
καὶ C--------- καί
οἱ RA--NPM--- ὁ
υἱοὶ N2--NPM--- υἱός
Γαδ N---GS---- Γαδ
καὶ C--------- καί
τὸ RA--NSN--- ὁ
ἥμισυ A3U-NSN--- ἥμισυς
φυλῆς N1--GSF--- φυλή
Μανασση N---GS---- Μανασσή
καὶ C--------- καί
ἤρεσεν VAI-AAI3S- ἀρέσκω
αὐτοῖς RD--DPM--- αὐτός

Jos 22:31
καὶ C--------- καί
εἶπεν VBI-AAI3S- εἶπον
Φινεες N---NS---- Φινεες
ὁ RA--NSM--- ὁ
ἱερεὺς N3V-NSM--- ἱερεύς
τοῖς RA--DPM--- ὁ
υἱοῖς N2--DPM--- υἱός
Ρουβην N---GS---- Ρουβην
καὶ C--------- καί
τοῖς RA--DPM--- ὁ
υἱοῖς N2--DPM--- υἱός
Γαδ N---GS---- Γαδ
καὶ C--------- καί
τῷ RA--DSN--- ὁ
ἡμίσει A3U-DSN--- ἥμισυς
φυλῆς N1--GSF--- φυλή
Μανασση N---GS---- Μανασσή
σήμερον D--------- σήμερον
ἐγνώκαμεν VX--XAI1P- γιγνώσκω
ὅτι C--------- ὅτι
μεθ' P--------- μετά
ἡμῶν RP--GP---- ἐγώ
κύριος N2--NSM--- κύριος
διότι C--------- διότι
οὐκ D--------- οὐ
ἐπλημμελήσατε VAI-AAI2P- πλημμελέω
ἐναντίον P--------- ἐναντίον
κυρίου N2--GSM--- κύριος
πλημμέλειαν N1A-ASF--- πλημμέλεια
καὶ C--------- καί
ὅτι C--------- ὅτι
ἐρρύσασθε VAI-AMI2P- ῥύομαι
τοὺς RA--APM--- ὁ
υἱοὺς N2--APM--- υἱός
Ισραηλ N---GSM--- Ἰσραήλ
ἐκ P--------- ἐκ
χειρὸς N3--GSF--- χείρ
κυρίου N2--GSM--- κύριος

Jos 22:32
καὶ C--------- καί
ἀπέστρεψεν VAI-AAI3S- στρέφω ἀπο
Φινεες N---NS---- Φινεες
ὁ RA--NSM--- ὁ
ἱερεὺς N3V-NSM--- ἱερεύς
καὶ C--------- καί
οἱ RA--NPM--- ὁ
ἄρχοντες N3--NPM--- ἄρχων
ἀπὸ P--------- ἀπό
τῶν RA--GPM--- ὁ
υἱῶν N2--GPM--- υἱός
Ρουβην N---GS---- Ρουβην
καὶ C--------- καί
ἀπὸ P--------- ἀπό
τῶν RA--GPM--- ὁ
υἱῶν N2--GPM--- υἱός
Γαδ N---GS---- Γαδ
καὶ C--------- καί
ἀπὸ P--------- ἀπό
τοῦ RA--GSN--- ὁ
ἡμίσους A3U-GSN--- ἥμισυς
φυλῆς N1--GSF--- φυλή
Μανασση N---GS---- Μανασσή
