Est 1:1a
ἡμῖν RP--DP---- ἐγώ
ζητοῦσι V2--PAI3P- ζητέω
κακοποιεῖν V2--PAN--- κακοποιέω
τόν RA--ASM--- ὁ
τε X--------- τε
κόρον N2--ASM--- κόρος
οὐ D--------- οὐ
δυνάμενοι V6--PMPNPM δύναμαι
φέρειν V1--PAN--- φέρω
καὶ C--------- καί
τοῖς RA--DPM--- ὁ
ἑαυτῶν RD--GPM--- ἑαυτοῦ
εὐεργέταις N1M-DPM--- εὐεργέτης
ἐπιχειροῦσι V2--PAI3P- χειρέω ἐπι
μηχανᾶσθαι V3--PMN--- μηχανάομαι

Est 8:12d
καὶ C--------- καί
τὴν RA--ASF--- ὁ
εὐχαριστίαν N1A-ASF--- εὐχαριστία
οὐ D--------- οὐ
μόνον D--------- μόνον
ἐκ P--------- ἐκ
τῶν RA--GPM--- ὁ
ἀνθρώπων N2--GPM--- ἄνθρωπος
ἀνταναιροῦντες V2--PAPNPM αἱρέω ἀντι ἀνα
ἀλλὰ C--------- ἀλλά
καὶ C--------- καί
τοῖς RA--DPM--- ὁ
τῶν RA--GPM--- ὁ
ἀπειραγάθων N2--GPM--- ἀπειράγαθος
κόμποις N2--DPM--- κόμπος
ἐπαρθέντες VC--APPNPM αἴρω ἐπι
τοῦ RA--GSM--- ὁ
τὰ RA--APN--- ὁ
πάντα A3--APN--- πᾶς
κατοπτεύοντος V1--PAPGSM ὀπτεύω κατα
ἀεὶ D--------- ἀεί
θεοῦ N2--GSM--- θεός
μισοπόνηρον A1B-ASM--- μισοπόνηρος
ὑπολαμβάνουσιν V1--PAI3P- λαμβάνω ὑπο
ἐκφεύξεσθαι VF--FMN--- φεύγω ἐκ
δίκην N1--ASF--- δίκη

Est 8:12e
πολλάκις D--------- πολλάκις
δὲ X--------- δέ
καὶ C--------- καί
πολλοὺς A1--APM--- πολύς
τῶν RA--GPM--- ὁ
ἐπ' P--------- ἐπί
ἐξουσίαις N1A-DPF--- ἐξουσία
τεταγμένων VK--XMPGPM τάσσω
τῶν RA--GPM--- ὁ
πιστευθέντων VC--APPGPM πιστεύω
χειρίζειν V1--PAN--- χειρίζω
φίλων A1--GPM--- φίλος
τὰ RA--APN--- ὁ
πράγματα N3M-APN--- πρᾶγμα
παραμυθία N1A-NSF--- παραμυθία
μεταιτίους A1B-APM--- μεταίτιος
αἱμάτων N3M-GPN--- αἷμα
ἀθῴων A1--GPM--- ἀθῷος
καταστήσασα VA--AAPNSF ἵστημι κατα
περιέβαλε VBI-AAI3S- βάλλω περι
συμφοραῖς N1A-DPF--- συμφορά
ἀνηκέστοις A1B-DPM--- ἀνήκεστος

Est 8:12f
τῷ RA--DSM--- ὁ
τῆς RA--GSF--- ὁ
κακοηθείας N1A-GSF--- κακοήθεια
ψευδεῖ A3H-DSM--- ψευδής
παραλογισμῷ N2--DSM--- παραλογισμός
παραλογισαμένων VA--AMPGPM λογίζομαι παρα
τὴν RA--ASF--- ὁ
τῶν RA--GPM--- ὁ
ἐπικρατούντων V2--PAPGPM κρατέω ἐπι
ἀκέραιον A1B-ASF--- ἀκέραιος
εὐγνωμοσύνην N1--ASF--- εὐγνωμοσύνη

Est 8:12g
σκοπεῖν V2--PAN--- σκοπέω
δὲ X--------- δέ
ἔξεστιν V9--PAI3S- εἰμί ἐκ
οὐ D--------- οὐ
τοσοῦτον A1--ASM--- τοσοῦτος
ἐκ P--------- ἐκ
τῶν RA--GPM--- ὁ
παλαιοτέρων A1A-GPM--- παλαιός
ὧν RR--GPM--- ὅς
παρεδώκαμεν VAI-AAI1P- δίδωμι παρα
ἱστοριῶν N1A-GPF--- ἱστορία
ὅσα A1--NPN--- ὅσος
ἐστὶν V9--PAI3S- εἰμί
παρὰ P--------- παρά
πόδας N3D-APM--- πούς
ὑμᾶς RP--AP---- σύ
ἐκζητοῦντας V2--PAPAPM ζητέω ἐκ
ἀνοσίως D--------- ἀνοσίως
συντετελεσμένα VM--XMPAPN τελέω συν
τῇ RA--DSF--- ὁ
τῶν RA--GPM--- ὁ
ἀνάξια A1A-APN--- ἀνάξιος
δυναστευόντων V1--PAPGPM δυναστεύω
λοιμότητι N3H-DSF--- λοιμότης

Est 8:12h
καὶ C--------- καί
προσέχειν V1--PAN--- ἔχω προς
εἰς P--------- εἰς
τὰ RA--APN--- ὁ
μετὰ P--------- μετά
ταῦτα RD--APN--- οὗτος
εἰς P--------- εἰς
τὸ RA--ASN--- ὁ
τὴν RA--ASF--- ὁ
βασιλείαν N1A-ASF--- βασιλεία
ἀτάραχον A1B-ASN--- ἀτάραχος
τοῖς RA--DPM--- ὁ
πᾶσιν A3--DPM--- πᾶς
ἀνθρώποις N2--DPM--- ἄνθρωπος
μετ' P--------- μετά
εἰρήνης N1--GSF--- εἰρήνη
παρεξόμεθα VF--FMI1P- ἔχω παρα

Est 8:12i
χρώμενοι V3--PMPNPM χράομαι
ταῖς RA--DPF--- ὁ
μεταβολαῖς N1--DPF--- μεταβολή
τὰ RA--APN--- ὁ
δὲ X--------- δέ
ὑπὸ P--------- ὑπό
τὴν RA--ASF--- ὁ
ὄψιν N3I-ASF--- ὄψις
ἐρχόμενα V1--PMPAPN ἔρχομαι
διακρίνοντες V1--PAPNPM κρίνω δια
ἀεὶ D--------- ἀεί
μετ' P--------- μετά
ἐπιεικεστέρας A3H-GSF--- ἐπιεικής
ἀπαντήσεως N3I-GSF--- ἀπάντησις

Est 8:12k
ὡς C--------- ὡς
γὰρ X--------- γάρ
Αμαν N---NSM--- Αμαν
Αμαδαθου N---GSM--- Αμαδαθου
Μακεδών N3N-NSM--- Μακεδών
ταῖς RA--DPF--- ὁ
ἀληθείαις N1A-DPF--- ἀλήθεια
ἀλλότριος A1A-NSM--- ἀλλότριος
τοῦ RA--GSN--- ὁ
τῶν RA--GPM--- ὁ
Περσῶν N1M-GPM--- Πέρσης
αἵματος N3M-GSN--- αἷμα
καὶ C--------- καί
πολὺ A1P-ASN--- πολύς
διεστηκὼς VXI-XAPNSM ἵστημι δια
τῆς RA--GSF--- ὁ
ἡμετέρας A1A-GSF--- ἡμέτερος
χρηστότητος N3H-GSF--- χρηστότης
ἐπιξενωθεὶς VC--APPNSM ξενόομαι ἐπι
ἡμῖν RP--DP---- ἐγώ

Est 8:12l
ἔτυχεν VBI-AAI3S- τυγχάνω
ἧς RR--GSF--- ὅς
ἔχομεν V1--PAI1P- ἔχω
πρὸς P--------- πρός
πᾶν A3--ASN--- πᾶς
ἔθνος N3E-ASN--- ἔθνος
φιλανθρωπίας N1A-GSF--- φιλανθρωπία
ἐπὶ P--------- ἐπί
τοσοῦτον A1--ASM--- τοσοῦτος
ὥστε C--------- ὥστε
ἀναγορεύεσθαι V1--PMN--- ἀγορεύω ἀνα
ἡμῶν RP--GP---- ἐγώ
πατέρα N3--ASM--- πατήρ
καὶ C--------- καί
προσκυνούμενον V2--PMPASM κυνέω προς
ὑπὸ P--------- ὑπό
πάντων A3--GPM--- πᾶς
τὸ RA--ASN--- ὁ
δεύτερον A1A-ASN--- δεύτερος
τοῦ RA--GSM--- ὁ
βασιλικοῦ A1--GSM--- βασιλικός
θρόνου N2--GSM--- θρόνος
πρόσωπον N2N-ASN--- πρόσωπον
διατελεῖν V2--PAN--- τελέω δια

Est 8:12m
οὐκ D--------- οὐ
ἐνέγκας VA--AAPNSM φέρω
δὲ X--------- δέ
τὴν RA--ASF--- ὁ
ὑπερηφανίαν N1A-ASF--- ὑπερηφανία
ἐπετήδευσεν VAI-AAI3S- τηδεύω ἐπι
τῆς RA--GSF--- ὁ
ἀρχῆς N1--GSF--- ἀρχή
στερῆσαι VA--AAN--- στερέω
ἡμᾶς RP--AP---- ἐγώ
καὶ C--------- καί
τοῦ RA--GSN--- ὁ
πνεύματος N3M-GSN--- πνεῦμα

Est 8:12n
τόν RA--ASM--- ὁ
τε X--------- τε
ἡμέτερον A1A-ASM--- ἡμέτερος
σωτῆρα N3H-ASM--- σωτήρ
καὶ C--------- καί
διὰ P--------- διά
παντὸς A3--GSM--- πᾶς
εὐεργέτην N1M-ASM--- εὐεργέτης
Μαρδοχαῖον N2--ASM--- Μαρδοχαῖος
καὶ C--------- καί
τὴν RA--ASF--- ὁ
ἄμεμπτον A1B-ASF--- ἄμεμπτος
τῆς RA--GSF--- ὁ
βασιλείας N1A-GSF--- βασιλεία
κοινωνὸν N2--ASF--- κοινωνός
Εσθηρ N---ASF--- Εσθηρ
σὺν P--------- σύν
παντὶ A3--DSN--- πᾶς
τῷ RA--DSN--- ὁ
τούτων RD--GPM--- οὗτος
ἔθνει N3E-DSN--- ἔθνος
πολυπλόκοις A1B-DPM--- πολύπλοκος
μεθόδων N2--GPF--- μέθοδος
παραλογισμοῖς N2--DPM--- παραλογισμός
αἰτησάμενος VA--AMPNSM αἰτέω
εἰς P--------- εἰς
ἀπώλειαν N1A-ASF--- ἀπώλεια

Est 8:12o
διὰ P--------- διά
γὰρ X--------- γάρ
τῶν RA--GPM--- ὁ
τρόπων N2--GPM--- τρόπος
τούτων RD--GPM--- οὗτος
ᾠήθη VCI-API3S- οἴομαι
λαβὼν VB--AAPNSM λαμβάνω
ἡμᾶς RP--AP---- ἐγώ
ἐρήμους A1--APM--- ἔρημος
τὴν RA--ASF--- ὁ
τῶν RA--GPM--- ὁ
Περσῶν N1M-GPM--- Πέρσης
ἐπικράτησιν N3I-ASF--- ἐπικράτησις
εἰς P--------- εἰς
τοὺς RA--APM--- ὁ
Μακεδόνας N3N-APM--- Μακεδών
μετάξαι VA--AAN--- ἄγω μετα

Est 8:12p
ἡμεῖς RP--NP---- ἐγώ
δὲ X--------- δέ
τοὺς RA--APM--- ὁ
ὑπὸ P--------- ὑπό
τοῦ RA--GSM--- ὁ
τρισαλιτηρίου N2--GSM--- τρισαλιτήριος
παραδεδομένους VM--XMPAPM δίδωμι παρα
εἰς P--------- εἰς
ἀφανισμὸν N2--ASM--- ἀφανισμός
Ιουδαίους N2--APM--- Ἰουδαῖος
εὑρίσκομεν V1--PAI1P- εὑρίσκω
οὐ D--------- οὐ
κακούργους A1B-APM--- κακοῦργος
ὄντας V9--PAPAPM εἰμί
δικαιοτάτοις A1A-DPMS-- δίκαιος
δὲ X--------- δέ
πολιτευομένους V1--PMPAPM πολιτεύω
νόμοις N2--DPM--- νόμος

Est 8:12q
ὄντας V9--PAPAPM εἰμί
δὲ X--------- δέ
υἱοὺς N2--APM--- υἱός
τοῦ RA--GSM--- ὁ
ὑψίστου N2--GSM--- ὕψιστος
μεγίστου A1--GSMS-- μέγας
ζῶντος V3--PAPGSM ζάω
θεοῦ N2--GSM--- θεός
τοῦ RA--GSM--- ὁ
κατευθύνοντος V1--PAPGSM εὐθύνω κατα
ἡμῖν RP--DP---- ἐγώ
τε X--------- τε
καὶ C--------- καί
τοῖς RA--DPM--- ὁ
προγόνοις N2--DPM--- πρόγονος
ἡμῶν RP--GP---- ἐγώ
τὴν RA--ASF--- ὁ
βασιλείαν N1A-ASF--- βασιλεία
ἐν P--------- ἐν
τῇ RA--DSF--- ὁ
καλλίστῃ A1--DSFS-- καλός
διαθέσει N3I-DSF--- διάθεσις

Est 8:12r
καλῶς D--------- καλῶς
οὖν X--------- οὖν
ποιήσετε VF--FAI2P- ποιέω
μὴ D--------- μή
προσχρησάμενοι VA--AMPNPM χράω προς
τοῖς RA--DPN--- ὁ
ὑπὸ P--------- ὑπό
Αμαν N---GSM--- Αμαν
Αμαδαθου N2--GSM--- Αμαδαθος
ἀποσταλεῖσι VA--AAPDPN στέλλω ἀπο
γράμμασιν N3M-DPN--- γράμμα
διὰ P--------- διά
τὸ RA--ASN--- ὁ
αὐτὸν RD--ASM--- αὐτός
τὸν RA--ASM--- ὁ
ταῦτα RD--APN--- οὗτος
ἐξεργασάμενον VA--AMPASM ἐργάζομαι ἐκ
πρὸς P--------- πρός
ταῖς RA--DPF--- ὁ
Σούσων N---GPN--- Σουσά
πύλαις N1--DPF--- πύλη
ἐσταυρῶσθαι VM--XMN--- σταυρόω
σὺν P--------- σύν
τῇ RA--DSF--- ὁ
πανοικίᾳ N1A-DSF--- πανοικία
τὴν RA--ASF--- ὁ
καταξίαν A1A-ASF--- κατάξιος
τοῦ RA--GSM--- ὁ
τὰ RA--APN--- ὁ
πάντα A3--APN--- πᾶς
ἐπικρατοῦντος V2--PAPGSM κρατέω ἐπι
θεοῦ N2--GSM--- θεός
διὰ P--------- διά
τάχους N3E-GSN--- τάχος
ἀποδόντος VO--AAPGSM δίδωμι ἀπο
αὐτῷ RD--DSM--- αὐτός
κρίσιν N3I-ASF--- κρίσις

Est 8:12s
τὸ RA--NSN--- ὁ
δὲ X--------- δέ
ἀντίγραφον N2N-NSN--- ἀντίγραφον
τῆς RA--GSF--- ὁ
ἐπιστολῆς N1--GSF--- ἐπιστολή
ταύτης RD--GSF--- οὗτος
ἐκθέντες VE--AAPNPM τίθημι ἐκ
ἐν P--------- ἐν
παντὶ A3--DSM--- πᾶς
τόπῳ N2--DSM--- τόπος
μετὰ P--------- μετά
παρρησίας N1A-GSF--- παρρησία
ἐᾶν C--------- ἐάν
τοὺς RA--APM--- ὁ
Ιουδαίους N2--APM--- Ἰουδαῖος
χρῆσθαι V3--PMN--- χράομαι
τοῖς RA--DPM--- ὁ
ἑαυτῶν RD--GPM--- ἑαυτοῦ
νομίμοις A1--DPM--- νόμιμος
καὶ C--------- καί
συνεπισχύειν V1--PAN--- ἰσχύω συν ἐπι
αὐτοῖς RD--DPM--- αὐτός
ὅπως C--------- ὅπως
τοὺς RA--APM--- ὁ
ἐν P--------- ἐν
καιρῷ N2--DSM--- καιρός
θλίψεως N3I-GSF--- θλῖψις
ἐπιθεμένους VE--AMPAPM τίθημι ἐπι
αὐτοῖς RD--DPM--- αὐτός
ἀμύνωνται V1--PMS3P- ἀμύνω
τῇ RA--DSF--- ὁ
τρισκαιδεκάτῃ A1--DSF--- τρισκαιδέκατος
τοῦ RA--GSM--- ὁ
δωδεκάτου A1--GSM--- δωδέκατος
μηνὸς N3--GSM--- μήν
Αδαρ N---GSM--- Αδαρ
τῇ RA--DSF--- ὁ
αὐτῇ RD--DSF--- αὐτός
ἡμέρᾳ N1A-DSF--- ἡμέρα

Est 8:12t
ταύτην RD--ASF--- οὗτος
γὰρ X--------- γάρ
ὁ RA--NSM--- ὁ
πάντα A3--APN--- πᾶς
δυναστεύων V1--PAPNSM δυναστεύω
θεὸς N2--NSM--- θεός
ἀντ' P--------- ἀντί
ὀλεθρίας N1A-GSF--- ὀλεθρία
τοῦ RA--GSN--- ὁ
ἐκλεκτοῦ A1--GSN--- ἐκλεκτός
γένους N3E-GSN--- γένος
ἐποίησεν VAI-AAI3S- ποιέω
αὐτοῖς RD--DPM--- αὐτός
εὐφροσύνην N1--ASF--- εὐφροσύνη

Est 8:12u
καὶ D--------- καί
ὑμεῖς RP--NP---- σύ
οὖν X--------- οὖν
ἐν P--------- ἐν
ταῖς RA--DPF--- ὁ
ἐπωνύμοις N2--DPF--- ἐπώνυμος
ὑμῶν RP--GP---- σύ
ἑορταῖς N1--DPF--- ἑορτή
ἐπίσημον A1B-ASF--- ἐπίσημος
ἡμέραν N1A-ASF--- ἡμέρα
μετὰ P--------- μετά
πάσης A1S-GSF--- πᾶς
εὐωχίας N1A-GSF--- εὐωχία
ἄγετε V1--PAI2P- ἄγω
ὅπως C--------- ὅπως
καὶ C--------- καί
νῦν D--------- νῦν
καὶ C--------- καί
μετὰ P--------- μετά
ταῦτα RD--APN--- οὗτος
σωτηρία N1A-NSF--- σωτηρία
ᾖ V9--PAS3S- εἰμί
ἡμῖν RP--DP---- ἐγώ
καὶ C--------- καί
τοῖς RA--DPM--- ὁ
εὐνοοῦσιν V2--PAPDPM εὐνοέω
Πέρσαις N1M-DPM--- Πέρσης
τοῖς RA--DPM--- ὁ
δὲ X--------- δέ
ἡμῖν RP--DP---- ἐγώ
ἐπιβουλεύουσιν V1--PAPDPM βουλεύω ἐπι
μνημόσυνον N2N-NSN--- μνημόσυνον
τῆς RA--GSF--- ὁ
ἀπωλείας N1A-GSF--- ἀπώλεια

Est 8:12x
πᾶσα A1S-NSF--- πᾶς
δὲ X--------- δέ
πόλις N3I-NSF--- πόλις
ἢ C--------- ἤ
χώρα N1A-NSF--- χώρα
τὸ RA--ASN--- ὁ
σύνολον A1B-ASN--- σύνολος
ἥτις RX--NSF--- ὅστις
κατὰ P--------- κατά
ταῦτα RD--APN--- οὗτος
μὴ D--------- μή
ποιήσῃ VA--AAS3S- ποιέω
δόρατι N3--DSN--- δόρυ
καὶ C--------- καί
πυρὶ N3--DSN--- πῦρ
καταναλωθήσεται VC--FPI3S- ἁλίσκω κατα ἀνα
μετ' P--------- μετά
ὀργῆς N1--GSF--- ὀργή
οὐ D--------- οὐ
μόνον D--------- μόνον
ἀνθρώποις N2--DPM--- ἄνθρωπος
ἄβατος A1B-NSM--- ἄβατος
ἀλλὰ C--------- ἀλλά
καὶ D--------- καί
θηρίοις N2N-DPN--- θηρίον
καὶ C--------- καί
πετεινοῖς N2--DPN--- πετεινόν
εἰς P--------- εἰς
τὸν RA--ASM--- ὁ
ἅπαντα A3--ASM--- ἅπας
χρόνον N2--ASM--- χρόνος
ἔχθιστος A1--NSMS-- ἐχθρός
κατασταθήσεται VC--FPI3S- ἵστημι κατα

Est 8:13
τὰ RA--NPN--- ὁ
δὲ X--------- δέ
ἀντίγραφα N2N-NPN--- ἀντίγραφον
ἐκτιθέσθωσαν V7--PPD3P- τίθημι ἐκ
ὀφθαλμοφανῶς D--------- ὀφθαλμοφανῶς
ἐν P--------- ἐν
πάσῃ A1S-DSF--- πᾶς
τῇ RA--DSF--- ὁ
βασιλείᾳ N1A-DSF--- βασιλεία
ἑτοίμους A1--APM--- ἕτοιμος
τε X--------- τε
εἶναι V9--PAN--- εἰμί
πάντας A3--APM--- πᾶς
τοὺς RA--APM--- ὁ
Ιουδαίους N2--APM--- Ἰουδαῖος
εἰς P--------- εἰς
ταύτην RD--ASF--- οὗτος
τὴν RA--ASF--- ὁ
ἡμέραν N1A-ASF--- ἡμέρα
πολεμῆσαι VA--AAN--- πολεμέω
αὐτῶν RD--GPM--- αὐτός
τοὺς RA--APM--- ὁ
ὑπεναντίους A1A-APM--- ὑπεναντίος

Est 8:14
οἱ RA--NPM--- ὁ
μὲν X--------- μέν
οὖν X--------- οὖν
ἱππεῖς N3V-NPM--- ἱππεύς
ἐξῆλθον VBI-AAI3P- ἔρχομαι ἐκ
σπεύδοντες V1--PAPNPM σπεύδω
τὰ RA--APN--- ὁ
ὑπὸ P--------- ὑπό
τοῦ RA--GSM--- ὁ
βασιλέως N3V-GSM--- βασιλεύς
λεγόμενα V1--PPPAPN λέγω
ἐπιτελεῖν V2--PAN--- τελέω ἐπι
ἐξετέθη VCI-API3S- τίθημι ἐκ
δὲ X--------- δέ
τὸ RA--NSN--- ὁ
πρόσταγμα N3M-NSN--- πρόσταγμα
καὶ D--------- καί
ἐν P--------- ἐν
Σούσοις N---DPN--- Σουσά

Est 8:15
ὁ RA--NSM--- ὁ
δὲ X--------- δέ
Μαρδοχαῖος N2--NSM--- Μαρδοχαῖος
ἐξῆλθεν VBI-AAI3S- ἔρχομαι ἐκ
ἐστολισμένος VM--XPPNSM στολίζω
τὴν RA--ASF--- ὁ
βασιλικὴν A1--ASF--- βασιλικός
στολὴν N1--ASF--- στολή
καὶ C--------- καί
στέφανον N2--ASM--- στέφανος
ἔχων V1--PAPNSM ἔχω
χρυσοῦν A1C-ASM--- χρυσοῦς
καὶ C--------- καί
διάδημα N3M-ASN--- διάδημα
βύσσινον A1--ASN--- βύσσινος
πορφυροῦν A1B-ASN--- πορφύρεος
ἰδόντες VB--AAPNPM ὁράω
δὲ X--------- δέ
οἱ RA--NPM--- ὁ
ἐν P--------- ἐν
Σούσοις N---DPN--- Σουσά
ἐχάρησαν VDI-API3P- χαίρω

Est 8:16
τοῖς RA--DPM--- ὁ
δὲ X--------- δέ
Ιουδαίοις N2--DPM--- Ἰουδαῖος
ἐγένετο VBI-AMI3S- γίγνομαι
φῶς N3T-NSN--- φῶς
καὶ C--------- καί
εὐφροσύνη N1--NSF--- εὐφροσύνη

Est 8:17
κατὰ P--------- κατά
πόλιν N3I-ASF--- πόλις
καὶ C--------- καί
χώραν N1A-ASF--- χώρα
οὗ D--------- οὗ
ἂν X--------- ἄν
ἐξετέθη VCI-API3S- τίθημι ἐκ
τὸ RA--NSN--- ὁ
πρόσταγμα N3M-NSN--- πρόσταγμα
οὗ D--------- οὗ
ἂν X--------- ἄν
ἐξετέθη VCI-API3S- τίθημι ἐκ
τὸ RA--NSN--- ὁ
ἔκθεμα N3M-NSN--- ἔκθεμα
χαρὰ N1A-NSF--- χαρά
καὶ C--------- καί
εὐφροσύνη N1--NSF--- εὐφροσύνη
τοῖς RA--DPM--- ὁ
Ιουδαίοις N2--DPM--- Ἰουδαῖος
κώθων N3W-NSM--- κώθων
καὶ C--------- καί
εὐφροσύνη N1--NSF--- εὐφροσύνη
καὶ C--------- καί
πολλοὶ A1--NPM--- πολύς
τῶν RA--GPN--- ὁ
ἐθνῶν N3E-GPN--- ἔθνος
περιετέμοντο VBI-AMI3P- τέμνω περι
καὶ C--------- καί
ιουδάιζον VB--AAI3P- ἰουδαίζω
διὰ P--------- διά
τὸν RA--ASM--- ὁ
φόβον N2--ASM--- φόβος
τῶν RA--GPM--- ὁ
Ιουδαίων N2--GPM--- Ἰουδαῖος

Est 9:1
ἐν P--------- ἐν
γὰρ X--------- γάρ
τῷ RA--DSM--- ὁ
δωδεκάτῳ A1--DSM--- δωδέκατος
μηνὶ N3--DSM--- μήν
τρισκαιδεκάτῃ A1--DSF--- τρισκαιδέκατος
τοῦ RA--GSM--- ὁ
μηνός N3--GSM--- μήν
ὅς RR--NSM--- ὅς
ἐστιν V9--PAI3S- εἰμί
Αδαρ N---NSM--- Αδαρ
παρῆν V9--IAI3S- εἰμί παρα
τὰ RA--NPN--- ὁ
γράμματα N3M-NPN--- γράμμα
τὰ RA--NPN--- ὁ
γραφέντα VD--APPNPN γράφω
ὑπὸ P--------- ὑπό
τοῦ RA--GSM--- ὁ
βασιλέως N3V-GSM--- βασιλεύς

Est 9:2
ἐν P--------- ἐν
αὐτῇ RD--DSF--- αὐτός
τῇ RA--DSF--- ὁ
ἡμέρᾳ N1A-DSF--- ἡμέρα
ἀπώλοντο VBI-AMI3P- ὀλλύω ἀπο
οἱ RA--NPM--- ὁ
ἀντικείμενοι V5--PMPNPM κεῖμαι ἀντι
τοῖς RA--DPM--- ὁ
Ιουδαίοις N2--DPM--- Ἰουδαῖος
οὐδεὶς A3--NSM--- οὐδείς
γὰρ X--------- γάρ
ἀντέστη VHI-AAI3S- ἵστημι ἀντι
φοβούμενος V2--PMPNSM φοβέω
αὐτούς RD--APM--- αὐτός

Est 9:3
οἱ RA--NPM--- ὁ
γὰρ X--------- γάρ
ἄρχοντες N3--NPM--- ἄρχων
τῶν RA--GPM--- ὁ
σατραπῶν N1M-GPM--- σατράπης
καὶ C--------- καί
οἱ RA--NPM--- ὁ
τύραννοι N2--NPM--- τύραννος
καὶ C--------- καί
οἱ RA--NPM--- ὁ
βασιλικοὶ A1--NPM--- βασιλικός
γραμματεῖς N3V-NPM--- γραμματεύς
ἐτίμων V3I-IAI3P- τιμάω
τοὺς RA--APM--- ὁ
Ιουδαίους N2--APM--- Ἰουδαῖος
ὁ RA--NSM--- ὁ
γὰρ X--------- γάρ
φόβος N2--NSM--- φόβος
Μαρδοχαίου N2--GSM--- Μαρδοχαῖος
ἐνέκειτο V5I-IMI3S- κεῖμαι ἐν
αὐτοῖς RD--DPM--- αὐτός

Est 9:4
προσέπεσεν VAI-AAI3S- πίπτω προς
γὰρ X--------- γάρ
τὸ RA--NSN--- ὁ
πρόσταγμα N3M-NSN--- πρόσταγμα
τοῦ RA--GSM--- ὁ
βασιλέως N3V-GSM--- βασιλεύς
ὀνομασθῆναι VC--APN--- ὀνομάζω
ἐν P--------- ἐν
πάσῃ A1S-DSF--- πᾶς
τῇ RA--DSF--- ὁ
βασιλείᾳ N1A-DSF--- βασιλεία

Est 9:6
καὶ C--------- καί
ἐν P--------- ἐν
Σούσοις N---DPN--- Σουσά
τῇ RA--DSF--- ὁ
πόλει N3I-DSF--- πόλις
ἀπέκτειναν VAI-AAI3P- κτείνω ἀπο
οἱ RA--NPM--- ὁ
Ιουδαῖοι N2--NPM--- Ἰουδαῖος
ἄνδρας N3--APM--- ἀνήρ
πεντακοσίους A1A-APM--- πεντακόσιοι

Est 9:7
τόν RA--ASM--- ὁ
τε X--------- τε
Φαρσαννεσταιν N---ASM--- Φαρσαννεσταιν
καὶ C--------- καί
Δελφων N---ASM--- Δελφων
καὶ C--------- καί
Φασγα N---ASM--- Φασγα

Est 9:8
καὶ C--------- καί
Φαρδαθα N---ASM--- Φαρδαθα
καὶ C--------- καί
Βαρεα N---ASM--- Βαρεα
καὶ C--------- καί
Σαρβαχα N---ASM--- Σαρβαχα

Est 9:9
καὶ C--------- καί
Μαρμασιμα N---ASM--- Μαρμασιμα
καὶ C--------- καί
Αρουφαιον N2--ASM--- Αρουφαιος
καὶ C--------- καί
Αρσαιον N2--ASM--- Αρσαιος
καὶ C--------- καί
Ζαβουθαιθαν N---ASM--- Ζαβουθαιθαν

Est 9:10
τοὺς RA--APM--- ὁ
δέκα M--------- δέκα
υἱοὺς N2--APM--- υἱός
Αμαν N---GSM--- Αμαν
Αμαδαθου N2--GSM--- Αμαδαθος
Βουγαίου N2--GSM--- Βουγαῖος
τοῦ RA--GSM--- ὁ
ἐχθροῦ A1A-GSM--- ἐχθρός
τῶν RA--GPM--- ὁ
Ιουδαίων N2--GPM--- Ἰουδαῖος
καὶ C--------- καί
διήρπασαν VAI-AAI3P- ἁρπάζω δια

Est 9:11
ἐν P--------- ἐν
αὐτῇ RD--DSF--- αὐτός
τῇ RA--DSF--- ὁ
ἡμέρᾳ N1A-DSF--- ἡμέρα
ἐπεδόθη VCI-API3S- δίδωμι ἐπι
ὁ RA--NSM--- ὁ
ἀριθμὸς N2--NSM--- ἀριθμός
τῷ RA--DSM--- ὁ
βασιλεῖ N3V-DSM--- βασιλεύς
τῶν RA--GPM--- ὁ
ἀπολωλότων VX--XAPGPM ὀλλύω ἀπο
ἐν P--------- ἐν
Σούσοις N---DPN--- Σουσά

Est 9:12
εἶπεν VBI-AAI3S- εἶπον
δὲ X--------- δέ
ὁ RA--NSM--- ὁ
βασιλεὺς N3V-NSM--- βασιλεύς
πρὸς P--------- πρός
Εσθηρ N---ASF--- Εσθηρ
ἀπώλεσαν VAI-AAI3P- ὀλλύω ἀπο
οἱ RA--NPM--- ὁ
Ιουδαῖοι N2--NPM--- Ἰουδαῖος
ἐν P--------- ἐν
Σούσοις N---DPN--- Σουσά
τῇ RA--DSF--- ὁ
πόλει N3I-DSF--- πόλις
ἄνδρας N3--APM--- ἀνήρ
πεντακοσίους A1A-APM--- πεντακόσιοι
ἐν P--------- ἐν
δὲ X--------- δέ
τῇ RA--DSF--- ὁ
περιχώρῳ A1B-DSF--- περίχωρος
πῶς D--------- πῶς
οἴει V1--PMI2S- οἴομαι
ἐχρήσαντο VAI-AMI3P- χράω
τί RI--ASN--- τίς
οὖν X--------- οὖν
ἀξιοῖς V4--PAI2S- ἀξιόω
ἔτι D--------- ἔτι
καὶ C--------- καί
ἔσται VF--FMI3S- εἰμί
σοι RP--DS---- σύ

Est 9:13
καὶ C--------- καί
εἶπεν VBI-AAI3S- εἶπον
Εσθηρ N---NSF--- Εσθηρ
τῷ RA--DSM--- ὁ
βασιλεῖ N3V-DSM--- βασιλεύς
