Gen 1:1
πρὸς P--------- πρός
ὑμᾶς RP--AP---- σύ

Gen 45:13
ἀπαγγείλατε VA--AAD2P- ἀγγέλλω ἀπο
οὖν X--------- οὖν
τῷ RA--DSM--- ὁ
πατρί N3--DSM--- πατήρ
μου RP--GS---- ἐγώ
πᾶσαν A1S-ASF--- πᾶς
τὴν RA--ASF--- ὁ
δόξαν N1S-ASF--- δόξα
μου RP--GS---- ἐγώ
τὴν RA--ASF--- ὁ
ἐν P--------- ἐν
Αἰγύπτῳ N2--DSF--- Αἴγυπτος
καὶ C--------- καί
ὅσα A1--APN--- ὅσος
εἴδετε VBI-AAI2P- ὁράω
καὶ C--------- καί
ταχύναντες VA--AAPNPM ταχύνω
καταγάγετε VB--AAD2P- ἄγω κατα
τὸν RA--ASM--- ὁ
πατέρα N3--ASM--- πατήρ
μου RP--GS---- ἐγώ
ὧδε D--------- ὧδε

Gen 45:14
καὶ C--------- καί
ἐπιπεσὼν VB--AAPNSM πίπτω ἐπι
ἐπὶ P--------- ἐπί
τὸν RA--ASM--- ὁ
τράχηλον N2--ASM--- τράχηλος
Βενιαμιν N---GSM--- Βενιαμίν
τοῦ RA--GSM--- ὁ
ἀδελφοῦ N2--GSM--- ἀδελφός
αὐτοῦ RD--GSM--- αὐτός
ἔκλαυσεν VAI-AAI3S- κλαίω
ἐπ' P--------- ἐπί
αὐτῷ RD--DSM--- αὐτός
καὶ C--------- καί
Βενιαμιν N---NSM--- Βενιαμίν
ἔκλαυσεν VAI-AAI3S- κλαίω
ἐπὶ P--------- ἐπί
τῷ RA--DSM--- ὁ
τραχήλῳ N2--DSM--- τράχηλος
αὐτοῦ RD--GSM--- αὐτός

Gen 45:15
καὶ C--------- καί
καταφιλήσας VA--AAPNSM φιλέω κατα
πάντας A3--APM--- πᾶς
τοὺς RA--APM--- ὁ
ἀδελφοὺς N2--APM--- ἀδελφός
αὐτοῦ RD--GSM--- αὐτός
ἔκλαυσεν VAI-AAI3S- κλαίω
ἐπ' P--------- ἐπί
αὐτοῖς RD--DPM--- αὐτός
καὶ C--------- καί
μετὰ P--------- μετά
ταῦτα RD--APN--- οὗτος
ἐλάλησαν VAI-AAI3P- λαλέω
οἱ RA--NPM--- ὁ
ἀδελφοὶ N2--NPM--- ἀδελφός
αὐτοῦ RD--GSM--- αὐτός
πρὸς P--------- πρός
αὐτόν RD--ASM--- αὐτός

Gen 45:16
καὶ C--------- καί
διεβοήθη VCI-API3S- βοάω δια
ἡ RA--NSF--- ὁ
φωνὴ N1--NSF--- φωνή
εἰς P--------- εἰς
τὸν RA--ASM--- ὁ
οἶκον N2--ASM--- οἶκος
Φαραω N---GSM--- Φαραώ
λέγοντες V1--PAPNPM λέγω
ἥκασιν V1--PAI3P- ἥκω
οἱ RA--NPM--- ὁ
ἀδελφοὶ N2--NPM--- ἀδελφός
Ιωσηφ N---GSM--- Ιωσηφ
ἐχάρη VDI-API3S- χαίρω
δὲ X--------- δέ
Φαραω N---NSM--- Φαραώ
καὶ C--------- καί
ἡ RA--NSF--- ὁ
θεραπεία N1A-NSF--- θεραπεία
αὐτοῦ RD--GSM--- αὐτός

Gen 45:17
εἶπεν VBI-AAI3S- εἶπον
δὲ X--------- δέ
Φαραω N---NSM--- Φαραώ
πρὸς P--------- πρός
Ιωσηφ N---ASM--- Ιωσηφ
εἰπὸν VBI-AAD2S- εἶπον
τοῖς RA--DPM--- ὁ
ἀδελφοῖς N2--DPM--- ἀδελφός
σου RP--GS---- σύ
τοῦτο RD--ASN--- οὗτος
ποιήσατε VA--AAD2P- ποιέω
γεμίσατε VA--AAD2S- γεμίζω
τὰ RA--APN--- ὁ
πορεῖα N2N-APN--- πορεῖον
ὑμῶν RP--GP---- σύ
καὶ C--------- καί
ἀπέλθατε VA--AAD2P- ἔρχομαι ἀπο
εἰς P--------- εἰς
γῆν N1--ASF--- γῆ
Χανααν N----S---- Χανααν

Gen 45:18
καὶ C--------- καί
παραλαβόντες VB--AAPNPM λαμβάνω παρα
τὸν RA--ASM--- ὁ
πατέρα N3--ASM--- πατήρ
ὑμῶν RP--GP---- σύ
καὶ C--------- καί
τὰ RA--APN--- ὁ
ὑπάρχοντα V1--PAPAPN ἄρχω ὑπο
ὑμῶν RP--GP---- σύ
ἥκετε V1--PAD2P- ἥκω
πρός P--------- πρός
με RP--AS---- ἐγώ
καὶ C--------- καί
δώσω VF--FAI1S- δίδωμι
ὑμῖν RP--DP---- σύ
πάντων A3--GPN--- πᾶς
τῶν RA--GPN--- ὁ
ἀγαθῶν A1--GPN--- ἀγαθός
Αἰγύπτου N2--GSF--- Αἴγυπτος
καὶ C--------- καί
φάγεσθε VF--FMI2P- ἐσθίω
τὸν RA--ASM--- ὁ
μυελὸν N2--ASM--- μυελός
τῆς RA--GSF--- ὁ
γῆς N1--GSF--- γῆ

Gen 45:19
σὺ RP--NS---- σύ
δὲ X--------- δέ
ἔντειλαι VA--AMD2S- τέλλομαι ἐν
ταῦτα RD--APN--- οὗτος
λαβεῖν VB--AAN--- λαμβάνω
αὐτοῖς RD--DPM--- αὐτός
ἁμάξας N1S-APF--- ἅμαξα
ἐκ P--------- ἐκ
γῆς N1--GSF--- γῆ
Αἰγύπτου N2--GSF--- Αἴγυπτος
τοῖς RA--DPN--- ὁ
παιδίοις N2N-DPN--- παιδίον
ὑμῶν RP--GP---- σύ
καὶ C--------- καί
ταῖς RA--DPF--- ὁ
γυναιξίν N3K-DPF--- γυνή
καὶ C--------- καί
ἀναλαβόντες VB--AAPNPM λαμβάνω ἀνα
τὸν RA--ASM--- ὁ
πατέρα N3--ASM--- πατήρ
ὑμῶν RP--GP---- σύ
παραγίνεσθε V1--PMD2P- γίγνομαι παρα

Gen 45:20
καὶ C--------- καί
μὴ D--------- μή
φείσησθε VA--AMS2P- φείδομαι
τοῖς RA--DPM--- ὁ
ὀφθαλμοῖς N2--DPM--- ὀφθαλμός
τῶν RA--GPN--- ὁ
σκευῶν N3E-GPN--- σκεῦος
ὑμῶν RP--GP---- σύ
τὰ RA--NPN--- ὁ
γὰρ X--------- γάρ
πάντα A3--NPN--- πᾶς
ἀγαθὰ A1--NPN--- ἀγαθός
Αἰγύπτου N2--GSF--- Αἴγυπτος
ὑμῖν RP--DP---- σύ
ἔσται VF--FMI3S- εἰμί

Gen 45:21
ἐποίησαν VAI-AAI3P- ποιέω
δὲ X--------- δέ
οὕτως D--------- οὕτως
οἱ RA--NPM--- ὁ
υἱοὶ N2--NPM--- υἱός
Ισραηλ N---GSM--- Ἰσραήλ
ἔδωκεν VAI-AAI3S- δίδωμι
δὲ X--------- δέ
Ιωσηφ N---NSM--- Ιωσηφ
αὐτοῖς RD--DPM--- αὐτός
ἁμάξας N1S-APF--- ἅμαξα
κατὰ P--------- κατά
τὰ RA--APN--- ὁ
εἰρημένα VM--XMPAPN εἶπον
ὑπὸ P--------- ὑπό
Φαραω N---GSM--- Φαραώ
τοῦ RA--GSM--- ὁ
βασιλέως N3V-GSM--- βασιλεύς
καὶ C--------- καί
ἔδωκεν VAI-AAI3S- δίδωμι
αὐτοῖς RD--DPM--- αὐτός
ἐπισιτισμὸν N2--ASM--- ἐπισιτισμός
εἰς P--------- εἰς
τὴν RA--ASF--- ὁ
ὁδόν N2--ASF--- ὁδός

Gen 45:22
καὶ C--------- καί
πᾶσιν A3--DPM--- πᾶς
ἔδωκεν VAI-AAI3S- δίδωμι
δισσὰς A1--APF--- δισσός
στολάς N1--APF--- στολή
τῷ RA--DSM--- ὁ
δὲ X--------- δέ
Βενιαμιν N---DSM--- Βενιαμίν
ἔδωκεν VAI-AAI3S- δίδωμι
τριακοσίους A1A-APM--- τριακόσιοι
χρυσοῦς A1C-APM--- χρυσοῦς
καὶ C--------- καί
πέντε M--------- πέντε
ἐξαλλασσούσας V1--PAPAPF ἀλλάσσω ἐκ
στολάς N1--APF--- στολή

Gen 45:23
καὶ C--------- καί
τῷ RA--DSM--- ὁ
πατρὶ N3--DSM--- πατήρ
αὐτοῦ RD--GSM--- αὐτός
ἀπέστειλεν VAI-AAI3S- στέλλω ἀπο
κατὰ P--------- κατά
τὰ RA--APN--- ὁ
αὐτὰ RD--APN--- αὐτός
καὶ C--------- καί
δέκα M--------- δέκα
ὄνους N2--APM--- ὄνος
αἴροντας V1--PAPAPM αἴρω
ἀπὸ P--------- ἀπό
πάντων A3--GPN--- πᾶς
τῶν RA--GPN--- ὁ
ἀγαθῶν A1--GPN--- ἀγαθός
Αἰγύπτου N2--GSF--- Αἴγυπτος
καὶ C--------- καί
δέκα M--------- δέκα
ἡμιόνους N2--APF--- ἡμίονος
αἰρούσας V1--PAPAPF αἴρω
ἄρτους N2--APM--- ἄρτος
τῷ RA--DSM--- ὁ
πατρὶ N3--DSM--- πατήρ
αὐτοῦ RD--GSM--- αὐτός
εἰς P--------- εἰς
ὁδόν N2--ASF--- ὁδός

Gen 45:24
ἐξαπέστειλεν VAI-AAI3S- στέλλω ἐκ ἀπο
δὲ X--------- δέ
τοὺς RA--APM--- ὁ
ἀδελφοὺς N2--APM--- ἀδελφός
αὐτοῦ RD--GSM--- αὐτός
καὶ C--------- καί
ἐπορεύθησαν VCI-API3P- πορεύομαι
καὶ C--------- καί
εἶπεν VBI-AAI3S- εἶπον
αὐτοῖς RD--DPM--- αὐτός
μὴ D--------- μή
ὀργίζεσθε V1--PMD2P- ὀργίζω
ἐν P--------- ἐν
τῇ RA--DSF--- ὁ
ὁδῷ N2--DSF--- ὁδός

Gen 45:25
καὶ C--------- καί
ἀνέβησαν VZI-AAI3P- βαίνω ἀνα
ἐξ P--------- ἐκ
Αἰγύπτου N2--GSF--- Αἴγυπτος
καὶ C--------- καί
ἦλθον VBI-AAI3P- ἔρχομαι
εἰς P--------- εἰς
γῆν N1--ASF--- γῆ
Χανααν N----S---- Χανααν
πρὸς P--------- πρός
Ιακωβ N---ASM--- Ἰακώβ
τὸν RA--ASM--- ὁ
πατέρα N3--ASM--- πατήρ
αὐτῶν RD--GPM--- αὐτός

Gen 45:26
καὶ C--------- καί
ἀνήγγειλαν VAI-AAI3P- ἀγγέλλω ἀνα
αὐτῷ RD--DSM--- αὐτός
λέγοντες V1--PAPNPM λέγω
ὅτι C--------- ὅτι
ὁ RA--NSM--- ὁ
υἱός N2--NSM--- υἱός
σου RP--GS---- σύ
Ιωσηφ N---NSM--- Ιωσηφ
ζῇ V3--PAI3S- ζάω
καὶ C--------- καί
αὐτὸς RD--NSM--- αὐτός
ἄρχει V1--PAI3S- ἄρχω
πάσης A1S-GSF--- πᾶς
γῆς N1--GSF--- γῆ
Αἰγύπτου N2--GSF--- Αἴγυπτος
καὶ C--------- καί
ἐξέστη VHI-AAI3S- ἵστημι ἐκ
ἡ RA--NSF--- ὁ
διάνοια N1A-NSF--- διάνοια
Ιακωβ N---GSM--- Ἰακώβ
οὐ D--------- οὐ
γὰρ X--------- γάρ
ἐπίστευσεν VAI-AAI3S- πιστεύω
αὐτοῖς RD--DPM--- αὐτός

Gen 45:27
ἐλάλησαν VAI-AAI3P- λαλέω
δὲ X--------- δέ
αὐτῷ RD--DSM--- αὐτός
πάντα A3--APN--- πᾶς
τὰ RA--APN--- ὁ
ῥηθέντα VC--APPAPN εἶπον
ὑπὸ P--------- ὑπό
Ιωσηφ N---GSM--- Ιωσηφ
ὅσα A1--APN--- ὅσος
εἶπεν VBI-AAI3S- εἶπον
αὐτοῖς RD--DPM--- αὐτός
ἰδὼν VB--AAPNSM ὁράω
δὲ X--------- δέ
τὰς RA--APF--- ὁ
ἁμάξας N1S-APF--- ἅμαξα
ἃς RR--APF--- ὅς
ἀπέστειλεν VAI-AAI3S- στέλλω ἀπο
Ιωσηφ N---NSM--- Ιωσηφ
ὥστε C--------- ὥστε
ἀναλαβεῖν VB--AAN--- λαμβάνω ἀνα
αὐτόν RD--ASM--- αὐτός
ἀνεζωπύρησεν VAI-AAI3S- ζωπυρέω ἀνα
τὸ RA--NSN--- ὁ
πνεῦμα N3M-NSN--- πνεῦμα
Ιακωβ N---GSM--- Ἰακώβ
τοῦ RA--GSM--- ὁ
πατρὸς N3--GSM--- πατήρ
αὐτῶν RD--GPM--- αὐτός

Gen 45:28
εἶπεν VBI-AAI3S- εἶπον
δὲ X--------- δέ
Ισραηλ N---NSM--- Ἰσραήλ
μέγα A1P-NPN--- μέγας
μοί RP--DS---- ἐγώ
ἐστιν V9--PAI3S- εἰμί
εἰ C--------- εἰ
ἔτι D--------- ἔτι
Ιωσηφ N---NSM--- Ιωσηφ
ὁ RA--NSM--- ὁ
υἱός N2--NSM--- υἱός
μου RP--GS---- ἐγώ
ζῇ V3--PAI3S- ζάω
πορευθεὶς VC--APPNSM πορεύομαι
ὄψομαι VF--FMI1S- ὁράω
αὐτὸν RD--ASM--- αὐτός
πρὸ P--------- πρό
τοῦ RA--GSN--- ὁ
ἀποθανεῖν VB--AAN--- θνήσκω ἀπο
με RP--AS---- ἐγώ

Gen 46:1
ἀπάρας VA--AAPNSM αἴρω ἀπο
δὲ X--------- δέ
Ισραηλ N---NSM--- Ἰσραήλ
αὐτὸς RD--NSM--- αὐτός
καὶ C--------- καί
πάντα A3--NPN--- πᾶς
τὰ RA--NPN--- ὁ
αὐτοῦ RD--GSM--- αὐτός
ἦλθεν VBI-AAI3S- ἔρχομαι
ἐπὶ P--------- ἐπί
τὸ RA--ASN--- ὁ
φρέαρ N3T-ASN--- φρέαρ
τοῦ RA--GSM--- ὁ
ὅρκου N2--GSM--- ὅρκος
καὶ C--------- καί
ἔθυσεν VAI-AAI3S- θύω
θυσίαν N1A-ASF--- θυσία
τῷ RA--DSM--- ὁ
θεῷ N2--DSM--- θεός
τοῦ RA--GSM--- ὁ
πατρὸς N3--GSM--- πατήρ
αὐτοῦ RD--GSM--- αὐτός
Ισαακ N---GSM--- Ισαακ

Gen 46:2
εἶπεν VBI-AAI3S- εἶπον
δὲ X--------- δέ
ὁ RA--NSM--- ὁ
θεὸς N2--NSM--- θεός
Ισραηλ N---DSM--- Ἰσραήλ
ἐν P--------- ἐν
ὁράματι N3M-DSN--- ὅραμα
τῆς RA--GSF--- ὁ
νυκτὸς N3--GSF--- νύξ
εἴπας VAI-AAI2S- εἶπον
Ιακωβ N---VSM--- Ἰακώβ
Ιακωβ N---VSM--- Ἰακώβ
ὁ RA--NSM--- ὁ
δὲ X--------- δέ
εἶπεν VBI-AAI3S- εἶπον
τί RI--NSN--- τίς
ἐστιν V9--PAI3S- εἰμί

Gen 46:3
λέγων V1--PAPNSM λέγω
ἐγώ RP--NS---- ἐγώ
εἰμι V9--PAI1S- εἰμί
ὁ RA--NSM--- ὁ
θεὸς N2--NSM--- θεός
τῶν RA--GPM--- ὁ
πατέρων N3--GPM--- πατήρ
σου RP--GS---- σύ
μὴ D--------- μή
φοβοῦ V2--PMD2S- φοβέω
καταβῆναι VZ--AAN--- βαίνω κατα
εἰς P--------- εἰς
Αἴγυπτον N2--ASF--- Αἴγυπτος
εἰς P--------- εἰς
γὰρ X--------- γάρ
ἔθνος N3E-ASN--- ἔθνος
μέγα A1P-ASN--- μέγας
ποιήσω VF--FAI1S- ποιέω
σε RP--AS---- σύ
ἐκεῖ D--------- ἐκεῖ

Gen 46:4
καὶ C--------- καί
ἐγὼ RP--NS---- ἐγώ
καταβήσομαι VF--FMI1S- βαίνω κατα
μετὰ P--------- μετά
σοῦ RP--GS---- σύ
εἰς P--------- εἰς
Αἴγυπτον N2--ASF--- Αἴγυπτος
καὶ C--------- καί
ἐγὼ RP--NS---- ἐγώ
ἀναβιβάσω VF--FAI1S- βιβάζω ἀνα
σε RP--AS---- σύ
εἰς P--------- εἰς
τέλος N3E-ASN--- τέλος
καὶ C--------- καί
Ιωσηφ N---NSM--- Ιωσηφ
ἐπιβαλεῖ VF--FAI3S- βάλλω ἐπι
τὰς RA--APF--- ὁ
χεῖρας N3--APF--- χείρ
ἐπὶ P--------- ἐπί
τοὺς RA--APM--- ὁ
ὀφθαλμούς N2--APM--- ὀφθαλμός
σου RP--GS---- σύ

Gen 46:5
ἀνέστη VHI-AAI3S- ἵστημι ἀνα
δὲ X--------- δέ
Ιακωβ N---NSM--- Ἰακώβ
ἀπὸ P--------- ἀπό
τοῦ RA--GSN--- ὁ
φρέατος N3T-GSN--- φρέαρ
τοῦ RA--GSM--- ὁ
ὅρκου N2--GSM--- ὅρκος
καὶ C--------- καί
ἀνέλαβον VBI-AAI3P- λαμβάνω ἀνα
οἱ RA--NPM--- ὁ
υἱοὶ N2--NPM--- υἱός
Ισραηλ N---GSM--- Ἰσραήλ
τὸν RA--ASM--- ὁ
πατέρα N3--ASM--- πατήρ
αὐτῶν RD--GPM--- αὐτός
καὶ C--------- καί
τὴν RA--ASF--- ὁ
ἀποσκευὴν N1--ASF--- ἀποσκευή
καὶ C--------- καί
τὰς RA--APF--- ὁ
γυναῖκας N3K-APF--- γυνή
αὐτῶν RD--GPM--- αὐτός
ἐπὶ P--------- ἐπί
τὰς RA--APF--- ὁ
ἁμάξας N1S-APF--- ἅμαξα
ἃς RR--APF--- ὅς
ἀπέστειλεν VAI-AAI3S- στέλλω ἀπο
Ιωσηφ N---NSM--- Ιωσηφ
ἆραι VA--AAN--- αἴρω
αὐτόν RD--ASM--- αὐτός

Gen 46:6
καὶ C--------- καί
ἀναλαβόντες VB--AAPNPM λαμβάνω ἀνα
τὰ RA--APN--- ὁ
ὑπάρχοντα V1--PAPAPN ἄρχω ὑπο
αὐτῶν RD--GPM--- αὐτός
καὶ C--------- καί
πᾶσαν A1S-ASF--- πᾶς
τὴν RA--ASF--- ὁ
κτῆσιν N3I-ASF--- κτῆσις
ἣν RR--ASF--- ὅς
ἐκτήσαντο VAI-AMI3P- κτάομαι
ἐν P--------- ἐν
γῇ N1--DSF--- γῆ
Χανααν N----S---- Χανααν
εἰσῆλθον VBI-AAI3P- ἔρχομαι εἰς
εἰς P--------- εἰς
Αἴγυπτον N2--ASF--- Αἴγυπτος
Ιακωβ N---NSM--- Ἰακώβ
καὶ C--------- καί
πᾶν A3--NSN--- πᾶς
τὸ RA--NSN--- ὁ
σπέρμα N3M-NSN--- σπέρμα
αὐτοῦ RD--GSM--- αὐτός
μετ' P--------- μετά
αὐτοῦ RD--GSM--- αὐτός

Gen 46:7
υἱοὶ N2--NPM--- υἱός
καὶ C--------- καί
οἱ RA--NPM--- ὁ
υἱοὶ N2--NPM--- υἱός
τῶν RA--GPM--- ὁ
υἱῶν N2--GPM--- υἱός
αὐτοῦ RD--GSM--- αὐτός
μετ' P--------- μετά
αὐτοῦ RD--GSM--- αὐτός
θυγατέρες N3--NPF--- θυγάτηρ
καὶ C--------- καί
θυγατέρες N3--NPF--- θυγάτηρ
τῶν RA--GPM--- ὁ
υἱῶν N2--GPM--- υἱός
αὐτοῦ RD--GSM--- αὐτός
καὶ C--------- καί
πᾶν A3--ASN--- πᾶς
τὸ RA--ASN--- ὁ
σπέρμα N3M-ASN--- σπέρμα
αὐτοῦ RD--GSM--- αὐτός
ἤγαγεν VBI-AAI3S- ἄγω
εἰς P--------- εἰς
Αἴγυπτον N2--ASF--- Αἴγυπτος

Gen 46:8
ταῦτα RD--NPN--- οὗτος
δὲ X--------- δέ
τὰ RA--NPN--- ὁ
ὀνόματα N3M-NPN--- ὄνομα
τῶν RA--GPM--- ὁ
υἱῶν N2--GPM--- υἱός
Ισραηλ N---GSM--- Ἰσραήλ
τῶν RA--GPM--- ὁ
εἰσελθόντων VB--AAPGPM ἔρχομαι εἰς
εἰς P--------- εἰς
Αἴγυπτον N2--ASF--- Αἴγυπτος
Ιακωβ N---NSM--- Ἰακώβ
καὶ C--------- καί
οἱ RA--NPM--- ὁ
υἱοὶ N2--NPM--- υἱός
αὐτοῦ RD--GSM--- αὐτός
πρωτότοκος A1B-NSM--- πρωτότοκος
Ιακωβ N---GSM--- Ἰακώβ
Ρουβην N---NSM--- Ρουβην

Gen 46:9
υἱοὶ N2--NPM--- υἱός
δὲ X--------- δέ
Ρουβην N---GSM--- Ρουβην
Ενωχ N---NSM--- Ενωχ
καὶ C--------- καί
Φαλλους N---NSM--- Φαλλους
Ασρων N---NSM--- Ασρων
καὶ C--------- καί
Χαρμι N---NSM--- Χαρμι

Gen 46:10
υἱοὶ N2--NPM--- υἱός
δὲ X--------- δέ
Συμεων N---GSM--- Συμεων
Ιεμουηλ N---NSM--- Ιεμουηλ
καὶ C--------- καί
Ιαμιν N---NSM--- Ιαμιν
καὶ C--------- καί
Αωδ N---NSM--- Αωδ
καὶ C--------- καί
Ιαχιν N---NSM--- Ιαχιν
καὶ C--------- καί
Σααρ N---NSM--- Σααρ
καὶ C--------- καί
Σαουλ N---NSM--- Σαουλ
υἱὸς N2--NSM--- υἱός
τῆς RA--GSF--- ὁ
Χανανίτιδος N3D-GSF--- Χανανῖτις

Gen 46:11
υἱοὶ N2--NPM--- υἱός
δὲ X--------- δέ
Λευι N---GSM--- Λευί
Γηρσων N---NSM--- Γηρσων
Κααθ N---NSM--- Κααθ
καὶ C--------- καί
Μεραρι N---NSM--- Μεραρι

Gen 46:12
υἱοὶ N2--NPM--- υἱός
δὲ X--------- δέ
Ιουδα N---GSM--- Ιουδα
Ηρ N---NSM--- Ηρ
καὶ C--------- καί
Αυναν N---NSM--- Αυναν
καὶ C--------- καί
Σηλωμ N---NSM--- Σηλωμ
καὶ C--------- καί
Φαρες N---NSM--- Φαρες
καὶ C--------- καί
Ζαρα N---NSM--- Ζαρα
ἀπέθανεν VBI-AAI3S- θνήσκω ἀπο
δὲ X--------- δέ
Ηρ N---NSM--- Ηρ
καὶ C--------- καί
Αυναν N---NSM--- Αυναν
ἐν P--------- ἐν
γῇ N1--DSF--- γῆ
Χανααν N----S---- Χανααν
ἐγένοντο VBI-AMI3P- γίγνομαι
δὲ X--------- δέ
υἱοὶ N2--NPM--- υἱός
Φαρες N---GSM--- Φαρες
Ασρων N---NSM--- Ασρων
καὶ C--------- καί
Ιεμουηλ N---NSM--- Ιεμουηλ

Gen 46:13
υἱοὶ N2--NPM--- υἱός
δὲ X--------- δέ
Ισσαχαρ N---GSM--- Ισσαχαρ
Θωλα N---NSM--- Θωλα
καὶ C--------- καί
Φουα N---NSM--- Φουα
καὶ C--------- καί
Ιασουβ N---NSM--- Ιασουβ
καὶ C--------- καί
Ζαμβραμ N---NSM--- Ζαμβραμ

Gen 46:14
υἱοὶ N2--NPM--- υἱός
δὲ X--------- δέ
Ζαβουλων N---GSM--- Ζαβουλων
Σερεδ N---NSM--- Σερεδ
καὶ C--------- καί
Αλλων N---NSM--- Αλλων
καὶ C--------- καί
Αλοηλ N---NSM--- Αλοηλ

Gen 46:15
οὗτοι RD--NPM--- οὗτος
υἱοὶ N2--NPM--- υἱός
Λειας N---GSF--- Λεια
οὓς RR--APM--- ὅς
ἔτεκεν VBI-AAI3S- τίκτω
τῷ RA--DSM--- ὁ
Ιακωβ N---DSM--- Ἰακώβ
ἐν P--------- ἐν
Μεσοποταμίᾳ N1A-DSF--- Μεσοποταμία
τῆς RA--GSF--- ὁ
Συρίας N1A-GSF--- Συρία
καὶ C--------- καί
Διναν N---ASF--- Δινα
τὴν RA--ASF--- ὁ
θυγατέρα N3--ASF--- θυγάτηρ
αὐτοῦ RD--GSM--- αὐτός
πᾶσαι A1S-NPF--- πᾶς
αἱ RA--NPF--- ὁ
ψυχαί N1--NPF--- ψυχή
υἱοὶ N2--NPM--- υἱός
καὶ C--------- καί
θυγατέρες N3--NPF--- θυγάτηρ
τριάκοντα M--------- τριάκοντα
τρεῖς A3--NPM--- τρεῖς

Gen 46:16
υἱοὶ N2--NPM--- υἱός
δὲ X--------- δέ
Γαδ N---GSM--- Γαδ
Σαφων N---NSM--- Σαφων
καὶ C--------- καί
Αγγις N---NSM--- Αγγις
καὶ C--------- καί
Σαυνις N---NSM--- Σαυνις
καὶ C--------- καί
Θασοβαν N---NSM--- Θασοβαν
καὶ C--------- καί
Αηδις N---NSM--- Αηδις
καὶ C--------- καί
Αροηδις N---NSM--- Αροηδις
καὶ C--------- καί
Αροηλις N---NSM--- Αροηλις

Gen 46:17
υἱοὶ N2--NPM--- υἱός
δὲ X--------- δέ
Ασηρ N---GSM--- Ασηρ
Ιεμνα N---NSM--- Ιεμνα
καὶ C--------- καί
Ιεσουα N---NSM--- Ιεσουα
καὶ C--------- καί
Ιεουλ N---NSM--- Ιεουλ
καὶ C--------- καί
Βαρια N---NSM--- Βαρια
καὶ C--------- καί
Σαρα N---NSF--- Σαρα
ἀδελφὴ N1--NSF--- ἀδελφή
αὐτῶν RD--GPM--- αὐτός
υἱοὶ N2--NPM--- υἱός
δὲ X--------- δέ
Βαρια N---GSM--- Βαρια
Χοβορ N---NSM--- Χοβορ
καὶ C--------- καί
Μελχιηλ N---NSM--- Μελχιηλ

Gen 46:18
οὗτοι RD--NPM--- οὗτος
υἱοὶ N2--NPM--- υἱός
Ζελφας N---GSF--- Ζελφα
ἣν RR--ASF--- ὅς
ἔδωκεν VAI-AAI3S- δίδωμι
Λαβαν N---NSM--- Λαβαν
Λεια N---DSF--- Λεια
τῇ RA--DSF--- ὁ
θυγατρὶ N3--DSF--- θυγάτηρ
αὐτοῦ RD--GSM--- αὐτός
ἣ RR--NSF--- ὅς
ἔτεκεν VBI-AAI3S- τίκτω
τούτους RD--APM--- οὗτος
τῷ RA--DSM--- ὁ
Ιακωβ N---DSM--- Ἰακώβ
δέκα M--------- δέκα
ἓξ M--------- ἕξ
ψυχάς N1--APF--- ψυχή

Gen 46:19
υἱοὶ N2--NPM--- υἱός
δὲ X--------- δέ
Ραχηλ N---GSF--- Ραχηλ
γυναικὸς N3K-GSF--- γυνή
Ιακωβ N---GSM--- Ἰακώβ
Ιωσηφ N---NSM--- Ιωσηφ
καὶ C--------- καί
Βενιαμιν N---NSM--- Βενιαμίν

Gen 46:20
ἐγένοντο VBI-AMI3P- γίγνομαι
δὲ X--------- δέ
υἱοὶ N2--NPM--- υἱός
Ιωσηφ N---GSM--- Ιωσηφ
ἐν P--------- ἐν
γῇ N1--DSF--- γῆ
Αἰγύπτῳ N2--DSF--- Αἴγυπτος
οὓς RR--APM--- ὅς
ἔτεκεν VBI-AAI3S- τίκτω
αὐτῷ RD--DSM--- αὐτός
Ασεννεθ N---NSF--- Ασεννεθ
θυγάτηρ N3--NSF--- θυγάτηρ
Πετεφρη N---GSM--- Πετεφρης
ἱερέως N3V-GSM--- ἱερεύς
Ἡλίου N2--GSM--- ἥλιος
πόλεως N3I-GSF--- πόλις
τὸν RA--ASM--- ὁ
Μανασση N---ASM--- Μανασσή
καὶ C--------- καί
τὸν RA--ASM--- ὁ
Εφραιμ N---ASM--- Ἐφράιμ
ἐγένοντο VBI-AMI3P- γίγνομαι
δὲ X--------- δέ
υἱοὶ N2--NPM--- υἱός
Μανασση N---GSM--- Μανασσή
οὓς RR--APM--- ὅς
ἔτεκεν VBI-AAI3S- τίκτω
αὐτῷ RD--DSM--- αὐτός
ἡ RA--NSF--- ὁ
παλλακὴ N1--NSF--- παλλακή
ἡ RA--NSF--- ὁ
Σύρα N1A-NSF--- Σύρα
τὸν RA--ASM--- ὁ
Μαχιρ N---ASM--- Μαχιρ
Μαχιρ N---NSM--- Μαχιρ
δὲ X--------- δέ
ἐγέννησεν VAI-AAI3S- γεννάω
τὸν RA--ASM--- ὁ
Γαλααδ N---ASM--- Γαλαάδ
υἱοὶ N2--NPM--- υἱός
δὲ X--------- δέ
Εφραιμ N---GSM--- Ἐφράιμ
ἀδελφοῦ N2--GSM--- ἀδελφός
Μανασση N---GSM--- Μανασσή
Σουταλααμ N---NSM--- Σουταλααμ
καὶ C--------- καί
Τααμ N---NSM--- Τααμ
