Eze 1:1
μέτρον N2N-NSN--- μέτρον
καὶ C--------- καί
ἡ RA--NSF--- ὁ
χοῖνιξ N3K-NSF--- χοῖνιξ
ὁμοίως D--------- ὁμοίως
μία A1A-NSF--- εἷς
ἔσται VF--FMI3S- εἰμί
τοῦ RA--GSN--- ὁ
λαμβάνειν V1--PAN--- λαμβάνω
τὸ RA--ASN--- ὁ
δέκατον A1--ASN--- δέκατος
τοῦ RA--GSN--- ὁ
γομορ N---GSN--- γομορ
ἡ RA--NSF--- ὁ
χοῖνιξ N3K-NSF--- χοῖνιξ
καὶ C--------- καί
τὸ RA--ASN--- ὁ
δέκατον A1--ASN--- δέκατος
τοῦ RA--GSN--- ὁ
γομορ N---GSN--- γομορ
τὸ RA--ASN--- ὁ
μέτρον N2N-ASN--- μέτρον
πρὸς P--------- πρός
τὸ RA--ASN--- ὁ
γομορ N---ASN--- γομορ
ἔσται VF--FMI3S- εἰμί
ἴσον A1--NSN--- ἴσος

Eze 45:12
καὶ C--------- καί
τὸ RA--NSN--- ὁ
στάθμιον N2N-NSN--- στάθμιον
εἴκοσι M--------- εἴκοσι
ὀβολοί N2--NPM--- ὀβολός
οἱ RA--NPM--- ὁ
πέντε M--------- πέντε
σίκλοι N2--NPM--- σίκλος
πέντε M--------- πέντε
καὶ C--------- καί
οἱ RA--NPM--- ὁ
δέκα M--------- δέκα
σίκλοι N2--NPM--- σίκλος
δέκα M--------- δέκα
καὶ C--------- καί
πεντήκοντα M--------- πεντήκοντα
σίκλοι N2--NPM--- σίκλος
ἡ RA--NSF--- ὁ
μνᾶ N1A-NSF--- μνᾶ
ἔσται VF--FMI3S- εἰμί
ὑμῖν RP--DP---- σύ

Eze 45:13
καὶ C--------- καί
αὕτη RD--NSF--- οὗτος
ἡ RA--NSF--- ὁ
ἀπαρχή N1--NSF--- ἀπαρχή
ἣν RR--ASF--- ὅς
ἀφοριεῖτε VF2-FAI2P- ὁρίζω ἀπο
ἕκτον A1--ASN--- ἕκτος
τοῦ RA--GSN--- ὁ
μέτρου N2N-GSN--- μέτρον
ἀπὸ P--------- ἀπό
τοῦ RA--GSN--- ὁ
γομορ N---GSN--- γομορ
τοῦ RA--GSM--- ὁ
πυροῦ N2--GSM--- πυρός
καὶ C--------- καί
τὸ RA--ASN--- ὁ
ἕκτον A1--ASN--- ἕκτος
τοῦ RA--GSN--- ὁ
οιφι N---GSN--- οιφι
ἀπὸ P--------- ἀπό
τοῦ RA--GSM--- ὁ
κόρου N2--GSM--- κόρος
τῶν RA--GPF--- ὁ
κριθῶν N1--GPF--- κριθή

Eze 45:14
καὶ C--------- καί
τὸ RA--ASN--- ὁ
πρόσταγμα N3M-ASN--- πρόσταγμα
τοῦ RA--GSN--- ὁ
ἐλαίου N2N-GSN--- ἔλαιον
κοτύλην N1--ASF--- κοτύλη
ἐλαίου N2N-GSN--- ἔλαιον
ἀπὸ P--------- ἀπό
δέκα M--------- δέκα
κοτυλῶν N1--GPF--- κοτύλη
ὅτι C--------- ὅτι
αἱ RA--NPF--- ὁ
δέκα M--------- δέκα
κοτύλαι N1--NPF--- κοτύλη
εἰσὶν V9--PAI3P- εἰμί
γομορ N---NSN--- γομορ

Eze 45:15
καὶ C--------- καί
πρόβατον N2N-ASN--- πρόβατον
ἀπὸ P--------- ἀπό
τῶν RA--GPN--- ὁ
δέκα M--------- δέκα
προβάτων N2N-GPN--- πρόβατον
ἀφαίρεμα N3M-ASN--- ἀφαίρεμα
ἐκ P--------- ἐκ
πασῶν A1S-GPF--- πᾶς
τῶν RA--GPF--- ὁ
πατριῶν N1A-GPF--- πατριά
τοῦ RA--GSM--- ὁ
Ισραηλ N---GSM--- Ἰσραήλ
εἰς P--------- εἰς
θυσίας N1A-APF--- θυσία
καὶ C--------- καί
εἰς P--------- εἰς
ὁλοκαυτώματα N3M-APN--- ὁλοκαύτωμα
καὶ C--------- καί
εἰς P--------- εἰς
σωτηρίου N2N-GSN--- σωτήριον
τοῦ RA--GSN--- ὁ
ἐξιλάσκεσθαι V1--PMN--- ἱλάσκομαι ἐκ
περὶ P--------- περί
ὑμῶν RP--GP---- σύ
λέγει V1--PAI3S- λέγω
κύριος N2--NSM--- κύριος
θεός N2--NSM--- θεός

Eze 45:16
καὶ C--------- καί
πᾶς A3--NSM--- πᾶς
ὁ RA--NSM--- ὁ
λαὸς N2--NSM--- λαός
δώσει VF--FAI3S- δίδωμι
τὴν RA--ASF--- ὁ
ἀπαρχὴν N1--ASF--- ἀπαρχή
ταύτην RD--ASF--- οὗτος
τῷ RA--DSM--- ὁ
ἀφηγουμένῳ V2--PMPDSM ἡγέομαι ἀπο
τοῦ RA--GSM--- ὁ
Ισραηλ N---GSM--- Ἰσραήλ

Eze 45:17
καὶ C--------- καί
διὰ P--------- διά
τοῦ RA--GSM--- ὁ
ἀφηγουμένου V2--PMPGSM ἡγέομαι ἀπο
ἔσται VF--FMI3S- εἰμί
τὰ RA--NPN--- ὁ
ὁλοκαυτώματα N3M-NPN--- ὁλοκαύτωμα
καὶ C--------- καί
αἱ RA--NPF--- ὁ
θυσίαι N1A-NPF--- θυσία
καὶ C--------- καί
αἱ RA--NPF--- ὁ
σπονδαὶ N1--NPF--- σπονδή
ἔσονται VF--FMI3P- εἰμί
ἐν P--------- ἐν
ταῖς RA--DPF--- ὁ
ἑορταῖς N1--DPF--- ἑορτή
καὶ C--------- καί
ἐν P--------- ἐν
ταῖς RA--DPF--- ὁ
νουμηνίαις N1A-DPF--- νεομηνία
καὶ C--------- καί
ἐν P--------- ἐν
τοῖς RA--DPN--- ὁ
σαββάτοις N2N-DPN--- σάββατον
καὶ C--------- καί
ἐν P--------- ἐν
πάσαις A1S-DPF--- πᾶς
ταῖς RA--DPF--- ὁ
ἑορταῖς N1--DPF--- ἑορτή
οἴκου N2--GSM--- οἶκος
Ισραηλ N---GSM--- Ἰσραήλ
αὐτὸς RD--NSM--- αὐτός
ποιήσει VF--FAI3S- ποιέω
τὰ RA--APN--- ὁ
ὑπὲρ P--------- ὑπέρ
ἁμαρτίας N1A-APF--- ἁμαρτία
καὶ C--------- καί
τὴν RA--ASF--- ὁ
θυσίαν N1A-ASF--- θυσία
καὶ C--------- καί
τὰ RA--APN--- ὁ
ὁλοκαυτώματα N3M-APN--- ὁλοκαύτωμα
καὶ C--------- καί
τὰ RA--APN--- ὁ
τοῦ RA--GSN--- ὁ
σωτηρίου N2N-GSN--- σωτήριον
τοῦ RA--GSN--- ὁ
ἐξιλάσκεσθαι V1--PMN--- ἱλάσκομαι ἐκ
ὑπὲρ P--------- ὑπέρ
τοῦ RA--GSM--- ὁ
οἴκου N2--GSM--- οἶκος
Ισραηλ N---GSM--- Ἰσραήλ

Eze 45:18
τάδε RD--APN--- ὅδε
λέγει V1--PAI3S- λέγω
κύριος N2--NSM--- κύριος
θεός N2--NSM--- θεός
ἐν P--------- ἐν
τῷ RA--DSM--- ὁ
πρώτῳ A1--DSM--- πρῶτος
μηνὶ N3--DSM--- μήν
μιᾷ A1A-DSF--- εἷς
τοῦ RA--GSM--- ὁ
μηνὸς N3--GSM--- μήν
λήμψεσθε VF--FMI2P- λαμβάνω
μόσχον N2--ASM--- μόσχος
ἐκ P--------- ἐκ
βοῶν N3--GPM--- βοῦς
ἄμωμον A1B-ASM--- ἄμωμος
τοῦ RA--GSN--- ὁ
ἐξιλάσασθαι VA--AMN--- ἱλάσκομαι ἐκ
τὸ RA--ASN--- ὁ
ἅγιον A1A-ASN--- ἅγιος

Eze 45:19
καὶ C--------- καί
λήμψεται VF--FMI3S- λαμβάνω
ὁ RA--NSM--- ὁ
ἱερεὺς N3V-NSM--- ἱερεύς
ἀπὸ P--------- ἀπό
τοῦ RA--GSN--- ὁ
αἵματος N3M-GSN--- αἷμα
τοῦ RA--GSM--- ὁ
ἐξιλασμοῦ N2--GSM--- ἐξιλασμός
καὶ C--------- καί
δώσει VF--FAI3S- δίδωμι
ἐπὶ P--------- ἐπί
τὰς RA--APF--- ὁ
φλιὰς N1A-APF--- φλιά
τοῦ RA--GSM--- ὁ
οἴκου N2--GSM--- οἶκος
καὶ C--------- καί
ἐπὶ P--------- ἐπί
τὰς RA--APF--- ὁ
τέσσαρας A3--APF--- τέσσαρες
γωνίας N1A-APF--- γωνία
τοῦ RA--GSM--- ὁ
ἱεροῦ A1A-GSM--- ἱερός
καὶ C--------- καί
ἐπὶ P--------- ἐπί
τὸ RA--ASN--- ὁ
θυσιαστήριον N2N-ASN--- θυσιαστήριον
καὶ C--------- καί
ἐπὶ P--------- ἐπί
τὰς RA--APF--- ὁ
φλιὰς N1A-APF--- φλιά
τῆς RA--GSF--- ὁ
πύλης N1--GSF--- πύλη
τῆς RA--GSF--- ὁ
αὐλῆς N1--GSF--- αὐλή
τῆς RA--GSF--- ὁ
ἐσωτέρας A1A-GSF--- ἐσώτερος

Eze 45:20
καὶ C--------- καί
οὕτως D--------- οὕτως
ποιήσεις VF--FAI2S- ποιέω
ἐν P--------- ἐν
τῷ RA--DSM--- ὁ
ἑβδόμῳ A1--DSM--- ἕβδομος
μηνὶ N3--DSM--- μήν
μιᾷ A1A-DSF--- εἷς
τοῦ RA--GSM--- ὁ
μηνὸς N3--GSM--- μήν
λήμψῃ VF--FMI2S- λαμβάνω
παρ' P--------- παρά
ἑκάστου A1--GSM--- ἕκαστος
ἀπόμοιραν N1A-NSF--- ἀπόμοιρα
καὶ C--------- καί
ἐξιλάσεσθε VF--FMI2P- ἱλάσκομαι ἐκ
τὸν RA--ASM--- ὁ
οἶκον N2--ASM--- οἶκος

Eze 45:21
καὶ C--------- καί
ἐν P--------- ἐν
τῷ RA--DSM--- ὁ
πρώτῳ A1--DSMS-- πρῶτος
μηνὶ N3--DSM--- μήν
τεσσαρεσκαιδεκάτῃ A1--DSF--- τεσσαρεσκαιδέκατος
τοῦ RA--GSM--- ὁ
μηνὸς N3--GSM--- μήν
ἔσται VF--FMI3S- εἰμί
ὑμῖν RP--DP---- σύ
τὸ RA--NSN--- ὁ
πασχα N---NSN--- πασχα
ἑορτή N1--NSF--- ἑορτή
ἑπτὰ M--------- ἑπτά
ἡμέρας N1A-APF--- ἡμέρα
ἄζυμα A1B-APN--- ἄζυμος
ἔδεσθε VF--FMI2P- ἐσθίω

Eze 45:22
καὶ C--------- καί
ποιήσει VF--FAI3S- ποιέω
ὁ RA--NSM--- ὁ
ἀφηγούμενος V2--PMPNSM ἡγέομαι ἀπο
ἐν P--------- ἐν
ἐκείνῃ RD--DSF--- ἐκεῖνος
τῇ RA--DSF--- ὁ
ἡμέρᾳ N1A-DSF--- ἡμέρα
ὑπὲρ P--------- ὑπέρ
αὑτοῦ RD--GSM--- ἑαυτοῦ
καὶ C--------- καί
τοῦ RA--GSM--- ὁ
οἴκου N2--GSM--- οἶκος
καὶ C--------- καί
ὑπὲρ P--------- ὑπέρ
παντὸς A3--GSM--- πᾶς
τοῦ RA--GSM--- ὁ
λαοῦ N2--GSM--- λαός
τῆς RA--GSF--- ὁ
γῆς N1--GSF--- γῆ
μόσχον N2--ASM--- μόσχος
ὑπὲρ P--------- ὑπέρ
ἁμαρτίας N1A-APF--- ἁμαρτία

Eze 45:23
καὶ C--------- καί
τὰς RA--APF--- ὁ
ἑπτὰ M--------- ἑπτά
ἡμέρας N1A-APF--- ἡμέρα
τῆς RA--GSF--- ὁ
ἑορτῆς N1--GSF--- ἑορτή
ποιήσει VF--FAI3S- ποιέω
ὁλοκαυτώματα N3M-APN--- ὁλοκαύτωμα
τῷ RA--DSM--- ὁ
κυρίῳ N2--DSM--- κύριος
ἑπτὰ M--------- ἑπτά
μόσχους N2--APM--- μόσχος
καὶ C--------- καί
ἑπτὰ M--------- ἑπτά
κριοὺς N2--APM--- κριός
ἀμώμους A1B-APM--- ἄμωμος
καθ' P--------- κατά
ἡμέραν N1A-ASF--- ἡμέρα
τὰς RA--APF--- ὁ
ἑπτὰ M--------- ἑπτά
ἡμέρας N1A-APF--- ἡμέρα
καὶ C--------- καί
ὑπὲρ P--------- ὑπέρ
ἁμαρτίας N1A-APF--- ἁμαρτία
ἔριφον N2--ASM--- ἔριφος
αἰγῶν N3G-GPM--- αἴξ
καθ' P--------- κατά
ἡμέραν N1A-ASF--- ἡμέρα

Eze 45:24
καὶ C--------- καί
θυσίαν N1A-ASF--- θυσία
πέμμα N3M-ASN--- πέμμα
τῷ RA--DSM--- ὁ
μόσχῳ N2--DSM--- μόσχος
καὶ C--------- καί
πέμμα N3M-ASN--- πέμμα
τῷ RA--DSM--- ὁ
κριῷ N2--DSM--- κριός
ποιήσεις VF--FAI2S- ποιέω
καὶ C--------- καί
ἐλαίου N2N-GSN--- ἔλαιον
τὸ RA--ASN--- ὁ
ιν N---ASN--- ιν
τῷ RA--DSN--- ὁ
πέμματι N3M-DSN--- πέμμα

Eze 45:25
καὶ C--------- καί
ἐν P--------- ἐν
τῷ RA--DSM--- ὁ
ἑβδόμῳ A1--DSM--- ἕβδομος
μηνὶ N3--DSM--- μήν
πεντεκαιδεκάτῃ A1--DSF--- πεντεκαιδέκατος
τοῦ RA--GSM--- ὁ
μηνὸς N3--GSM--- μήν
ἐν P--------- ἐν
τῇ RA--DSF--- ὁ
ἑορτῇ N1--DSF--- ἑορτή
ποιήσεις VF--FAI2S- ποιέω
κατὰ P--------- κατά
τὰ RA--APN--- ὁ
αὐτὰ RD--APN--- αὐτός
ἑπτὰ M--------- ἑπτά
ἡμέρας N1A-APF--- ἡμέρα
καθὼς D--------- καθώς
τὰ RA--APN--- ὁ
ὑπὲρ P--------- ὑπέρ
τῆς RA--GSF--- ὁ
ἁμαρτίας N1A-GSF--- ἁμαρτία
καὶ C--------- καί
καθὼς D--------- καθώς
τὰ RA--APN--- ὁ
ὁλοκαυτώματα N3M-APN--- ὁλοκαύτωμα
καὶ C--------- καί
καθὼς D--------- καθώς
τὸ RA--ASN--- ὁ
μαναα N---ASN--- μαναα
καὶ C--------- καί
καθὼς D--------- καθώς
τὸ RA--ASN--- ὁ
ἔλαιον N2N-ASN--- ἔλαιον

Eze 46:1
τάδε RD--APN--- ὅδε
λέγει V1--PAI3S- λέγω
κύριος N2--NSM--- κύριος
θεός N2--NSM--- θεός
πύλη N1--NSF--- πύλη
ἡ RA--NSF--- ὁ
ἐν P--------- ἐν
τῇ RA--DSF--- ὁ
αὐλῇ N1--DSF--- αὐλή
τῇ RA--DSF--- ὁ
ἐσωτέρᾳ A1A-DSF--- ἐσώτερος
ἡ RA--NSF--- ὁ
βλέπουσα V1--PAPNSF βλέπω
πρὸς P--------- πρός
ἀνατολὰς N1--APF--- ἀνατολή
ἔσται VF--FMI3S- εἰμί
κεκλεισμένη VT--XPPNSF κλείω
ἓξ M--------- ἕξ
ἡμέρας N1A-APF--- ἡμέρα
τὰς RA--APF--- ὁ
ἐνεργούς A1B-APF--- ἐνεργός
ἐν P--------- ἐν
δὲ X--------- δέ
τῇ RA--DSF--- ὁ
ἡμέρᾳ N1A-DSF--- ἡμέρα
τῶν RA--GPN--- ὁ
σαββάτων N2N-GPN--- σάββατον
ἀνοιχθήσεται VQ--FPI3S- οἴγω ἀνα
καὶ C--------- καί
ἐν P--------- ἐν
τῇ RA--DSF--- ὁ
ἡμέρᾳ N1A-DSF--- ἡμέρα
τῆς RA--GSF--- ὁ
νουμηνίας N1A-GSF--- νεομηνία
ἀνοιχθήσεται VQ--FPI3S- οἴγω ἀνα

Eze 46:2
καὶ C--------- καί
εἰσελεύσεται VF--FMI3S- ἔρχομαι εἰς
ὁ RA--NSM--- ὁ
ἀφηγούμενος V2--PMPNSM ἡγέομαι ἀπο
κατὰ P--------- κατά
τὴν RA--ASF--- ὁ
ὁδὸν N2--ASF--- ὁδός
τοῦ RA--GSN--- ὁ
αιλαμ N---GSN--- αιλαμ
τῆς RA--GSF--- ὁ
πύλης N1--GSF--- πύλη
τῆς RA--GSF--- ὁ
ἔξωθεν D--------- ἔξωθεν
καὶ C--------- καί
στήσεται VF--FMI3S- ἵστημι
ἐπὶ P--------- ἐπί
τὰ RA--APN--- ὁ
πρόθυρα N2N-APN--- πρόθυρον
τῆς RA--GSF--- ὁ
πύλης N1--GSF--- πύλη
καὶ C--------- καί
ποιήσουσιν VF--FAI3P- ποιέω
οἱ RA--NPM--- ὁ
ἱερεῖς N3V-NPM--- ἱερεύς
τὰ RA--APN--- ὁ
ὁλοκαυτώματα N3M-APN--- ὁλοκαύτωμα
αὐτοῦ RD--GSM--- αὐτός
καὶ C--------- καί
τὰ RA--APN--- ὁ
τοῦ RA--GSN--- ὁ
σωτηρίου N2N-GSN--- σωτήριον
αὐτοῦ RD--GSM--- αὐτός
καὶ C--------- καί
προσκυνήσει VF--FAI3S- κυνέω προς
ἐπὶ P--------- ἐπί
τοῦ RA--GSN--- ὁ
προθύρου N2N-GSN--- πρόθυρον
τῆς RA--GSF--- ὁ
πύλης N1--GSF--- πύλη
καὶ C--------- καί
ἐξελεύσεται VF--FMI3S- ἔρχομαι ἐκ
καὶ C--------- καί
ἡ RA--NSF--- ὁ
πύλη N1--NSF--- πύλη
οὐ D--------- οὐ
μὴ D--------- μή
κλεισθῇ VC--APS3S- κλείω
ἕως P--------- ἕως
ἑσπέρας N1A-GSF--- ἑσπέρα

Eze 46:3
καὶ C--------- καί
προσκυνήσει VF--FAI3S- κυνέω προς
ὁ RA--NSM--- ὁ
λαὸς N2--NSM--- λαός
τῆς RA--GSF--- ὁ
γῆς N1--GSF--- γῆ
κατὰ P--------- κατά
τὰ RA--APN--- ὁ
πρόθυρα N2N-APN--- πρόθυρον
τῆς RA--GSF--- ὁ
πύλης N1--GSF--- πύλη
ἐκείνης RD--GSF--- ἐκεῖνος
ἐν P--------- ἐν
τοῖς RA--DPN--- ὁ
σαββάτοις N2N-DPN--- σάββατον
καὶ C--------- καί
ἐν P--------- ἐν
ταῖς RA--DPF--- ὁ
νουμηνίαις N1A-DPF--- νεομηνία
ἐναντίον P--------- ἐναντίον
κυρίου N2--GSM--- κύριος

Eze 46:4
καὶ C--------- καί
τὰ RA--APN--- ὁ
ὁλοκαυτώματα N3M-APN--- ὁλοκαύτωμα
προσοίσει VF--FAI3S- φέρω προς
ὁ RA--NSM--- ὁ
ἀφηγούμενος V2--PMPNSM ἡγέομαι ἀπο
τῷ RA--DSM--- ὁ
κυρίῳ N2--DSM--- κύριος
ἐν P--------- ἐν
τῇ RA--DSF--- ὁ
ἡμέρᾳ N1A-DSF--- ἡμέρα
τῶν RA--GPN--- ὁ
σαββάτων N2N-GPN--- σάββατον
ἓξ M--------- ἕξ
ἀμνοὺς N2--APM--- ἀμνός
ἀμώμους A1B-APM--- ἄμωμος
καὶ C--------- καί
κριὸν N2--ASM--- κριός
ἄμωμον A1B-ASM--- ἄμωμος

Eze 46:5
καὶ C--------- καί
μαναα N---ASN--- μαναα
πέμμα N3M-ASN--- πέμμα
τῷ RA--DSM--- ὁ
κριῷ N2--DSM--- κριός
καὶ C--------- καί
τοῖς RA--DPM--- ὁ
ἀμνοῖς N2--DPM--- ἀμνός
θυσίαν N1A-ASF--- θυσία
δόμα N3M-ASN--- δόμα
χειρὸς N3--GSF--- χείρ
αὐτοῦ RD--GSM--- αὐτός
καὶ C--------- καί
ἐλαίου N2N-GSN--- ἔλαιον
τὸ RA--ASN--- ὁ
ιν N---ASN--- ιν
τῷ RA--DSN--- ὁ
πέμματι N3M-DSN--- πέμμα

Eze 46:6
καὶ C--------- καί
ἐν P--------- ἐν
τῇ RA--DSF--- ὁ
ἡμέρᾳ N1A-DSF--- ἡμέρα
τῆς RA--GSF--- ὁ
νουμηνίας N1A-GSF--- νεομηνία
μόσχον N2--ASM--- μόσχος
ἄμωμον A1B-ASM--- ἄμωμος
καὶ C--------- καί
ἓξ M--------- ἕξ
ἀμνούς N2--APM--- ἀμνός
καὶ C--------- καί
κριὸς N2--NSM--- κριός
ἄμωμος A1B-NSM--- ἄμωμος
ἔσται VF--FMI3S- εἰμί

Eze 46:7
καὶ C--------- καί
πέμμα N3M-NSN--- πέμμα
τῷ RA--DSM--- ὁ
κριῷ N2--DSM--- κριός
καὶ C--------- καί
πέμμα N3M-NSN--- πέμμα
τῷ RA--DSM--- ὁ
μόσχῳ N2--DSM--- μόσχος
ἔσται VF--FMI3S- εἰμί
μαναα N---NSN--- μαναα
καὶ C--------- καί
τοῖς RA--DPM--- ὁ
ἀμνοῖς N2--DPM--- ἀμνός
καθὼς D--------- καθώς
ἐὰν C--------- ἐάν
ἐκποιῇ V2--PAS3S- ποιέω ἐκ
ἡ RA--NSF--- ὁ
χεὶρ N3--NSF--- χείρ
αὐτοῦ RD--GSM--- αὐτός
καὶ C--------- καί
ἐλαίου N2N-GSN--- ἔλαιον
τὸ RA--ASN--- ὁ
ιν N---ASN--- ιν
τῷ RA--DSN--- ὁ
πέμματι N3M-DSN--- πέμμα

Eze 46:8
καὶ C--------- καί
ἐν P--------- ἐν
τῷ RA--DSN--- ὁ
εἰσπορεύεσθαι V1--PMN--- πορεύομαι εἰς
τὸν RA--ASM--- ὁ
ἀφηγούμενον V2--PMPASM ἡγέομαι ἀπο
κατὰ P--------- κατά
τὴν RA--ASF--- ὁ
ὁδὸν N2--ASF--- ὁδός
τοῦ RA--GSN--- ὁ
αιλαμ N---GSN--- αιλαμ
τῆς RA--GSF--- ὁ
πύλης N1--GSF--- πύλη
εἰσελεύσεται VF--FMI3S- ἔρχομαι εἰς
καὶ C--------- καί
κατὰ P--------- κατά
τὴν RA--ASF--- ὁ
ὁδὸν N2--ASF--- ὁδός
τῆς RA--GSF--- ὁ
πύλης N1--GSF--- πύλη
ἐξελεύσεται VF--FMI3S- ἔρχομαι ἐκ

Eze 46:9
καὶ C--------- καί
ὅταν D--------- ὅταν
εἰσπορεύηται V1--PMS3S- πορεύομαι εἰς
ὁ RA--NSM--- ὁ
λαὸς N2--NSM--- λαός
τῆς RA--GSF--- ὁ
γῆς N1--GSF--- γῆ
ἐναντίον P--------- ἐναντίον
κυρίου N2--GSM--- κύριος
ἐν P--------- ἐν
ταῖς RA--DPF--- ὁ
ἑορταῖς N1--DPF--- ἑορτή
ὁ RA--NSM--- ὁ
εἰσπορευόμενος V1--PMPNSM πορεύομαι εἰς
κατὰ P--------- κατά
τὴν RA--ASF--- ὁ
ὁδὸν N2--ASF--- ὁδός
τῆς RA--GSF--- ὁ
πύλης N1--GSF--- πύλη
τῆς RA--GSF--- ὁ
πρὸς P--------- πρός
βορρᾶν N1T-ASM--- βορέας
προσκυνεῖν V2--PAN--- κυνέω προς
ἐξελεύσεται VF--FMI3S- ἔρχομαι ἐκ
κατὰ P--------- κατά
τὴν RA--ASF--- ὁ
ὁδὸν N2--ASF--- ὁδός
τῆς RA--GSF--- ὁ
πύλης N1--GSF--- πύλη
τῆς RA--GSF--- ὁ
πρὸς P--------- πρός
νότον N2--ASM--- νότος
καὶ C--------- καί
ὁ RA--NSM--- ὁ
εἰσπορευόμενος V1--PMPNSM πορεύομαι εἰς
κατὰ P--------- κατά
τὴν RA--ASF--- ὁ
ὁδὸν N2--ASF--- ὁδός
τῆς RA--GSF--- ὁ
πύλης N1--GSF--- πύλη
τῆς RA--GSF--- ὁ
πρὸς P--------- πρός
νότον N2--ASM--- νότος
ἐξελεύσεται VF--FMI3S- ἔρχομαι ἐκ
κατὰ P--------- κατά
τὴν RA--ASF--- ὁ
ὁδὸν N2--ASF--- ὁδός
τῆς RA--GSF--- ὁ
πύλης N1--GSF--- πύλη
τῆς RA--GSF--- ὁ
πρὸς P--------- πρός
βορρᾶν N1T-ASM--- βορέας
οὐκ D--------- οὐ
ἀναστρέψει VF--FAI3S- στρέφω ἀνα
κατὰ P--------- κατά
τὴν RA--ASF--- ὁ
πύλην N1--ASF--- πύλη
ἣν RR--ASF--- ὅς
εἰσελήλυθεν VX--XAI3S- ἔρχομαι εἰς
ἀλλ' C--------- ἀλλά
ἢ C--------- ἤ
κατ' P--------- κατά
εὐθὺ A3U-ASN--- εὐθύς
αὐτῆς RD--GSF--- αὐτός
ἐξελεύσεται VF--FMI3S- ἔρχομαι ἐκ

Eze 46:10
καὶ C--------- καί
ὁ RA--NSM--- ὁ
ἀφηγούμενος V2--PMPNSM ἡγέομαι ἀπο
ἐν P--------- ἐν
μέσῳ A1--DSM--- μέσος
αὐτῶν RD--GPM--- αὐτός
ἐν P--------- ἐν
τῷ RA--DSN--- ὁ
εἰσπορεύεσθαι V1--PMN--- πορεύομαι εἰς
αὐτοὺς RD--APM--- αὐτός
εἰσελεύσεται VF--FMI3S- ἔρχομαι εἰς
μετ' P--------- μετά
αὐτῶν RD--GPM--- αὐτός
καὶ C--------- καί
ἐν P--------- ἐν
τῷ RA--DSN--- ὁ
ἐκπορεύεσθαι V1--PMN--- πορεύομαι ἐκ
αὐτοὺς RD--APM--- αὐτός
ἐξελεύσεται VF--FMI3S- ἔρχομαι ἐκ

Eze 46:11
καὶ C--------- καί
ἐν P--------- ἐν
ταῖς RA--DPF--- ὁ
ἑορταῖς N1--DPF--- ἑορτή
καὶ C--------- καί
ἐν P--------- ἐν
ταῖς RA--DPF--- ὁ
πανηγύρεσιν N3I-DPF--- πανήγυρις
ἔσται VF--FMI3S- εἰμί
τὸ RA--ASN--- ὁ
μαναα N---ASN--- μαναα
πέμμα N3M-ASN--- πέμμα
τῷ RA--DSM--- ὁ
μόσχῳ N2--DSM--- μόσχος
καὶ C--------- καί
πέμμα N3M-ASN--- πέμμα
τῷ RA--DSM--- ὁ
κριῷ N2--DSM--- κριός
καὶ C--------- καί
τοῖς RA--DPM--- ὁ
ἀμνοῖς N2--DPM--- ἀμνός
καθὼς D--------- καθώς
ἂν X--------- ἄν
ἐκποιῇ V2--PAS3S- ποιέω ἐκ
ἡ RA--NSF--- ὁ
χεὶρ N3--NSF--- χείρ
αὐτοῦ RD--GSM--- αὐτός
καὶ C--------- καί
ἐλαίου N2N-GSN--- ἔλαιον
τὸ RA--ASN--- ὁ
ιν N---ASN--- ιν
τῷ RA--DSN--- ὁ
πέμματι N3M-DSN--- πέμμα

Eze 46:12
ἐὰν C--------- ἐάν
δὲ X--------- δέ
ποιήσῃ VA--AAS3S- ποιέω
ὁ RA--NSM--- ὁ
ἀφηγούμενος V2--PMPNSM ἡγέομαι ἀπο
ὁμολογίαν N1A-ASF--- ὁμολογία
ὁλοκαύτωμα N3M-ASN--- ὁλοκαύτωμα
σωτηρίου N2N-GSN--- σωτήριον
τῷ RA--DSM--- ὁ
κυρίῳ N2--DSM--- κύριος
καὶ C--------- καί
ἀνοίξει VF--FAI3S- οἴγω ἀνα
ἑαυτῷ RD--DSM--- ἑαυτοῦ
τὴν RA--ASF--- ὁ
πύλην N1--ASF--- πύλη
τὴν RA--ASF--- ὁ
βλέπουσαν V1--PAPASF βλέπω
κατ' P--------- κατά
ἀνατολὰς N1--APF--- ἀνατολή
καὶ C--------- καί
ποιήσει VF--FAI3S- ποιέω
τὸ RA--ASN--- ὁ
ὁλοκαύτωμα N3M-ASN--- ὁλοκαύτωμα
αὐτοῦ RD--GSM--- αὐτός
καὶ C--------- καί
τὰ RA--APN--- ὁ
τοῦ RA--GSN--- ὁ
σωτηρίου N2N-GSN--- σωτήριον
αὐτοῦ RD--GSM--- αὐτός
ὃν RR--ASM--- ὅς
τρόπον N2--ASM--- τρόπος
ποιεῖ V2--PAI3S- ποιέω
ἐν P--------- ἐν
τῇ RA--DSF--- ὁ
ἡμέρᾳ N1A-DSF--- ἡμέρα
τῶν RA--GPN--- ὁ
σαββάτων N2N-GPN--- σάββατον
καὶ C--------- καί
ἐξελεύσεται VF--FMI3S- ἔρχομαι ἐκ
καὶ C--------- καί
κλείσει VF--FAI3S- κλείω
τὰς RA--APF--- ὁ
