2Ch 1:1
ἡμῶν RP--GP---- ἐγώ
τοῦ RA--GSN--- ὁ
σῴζειν V1--PAN--- σώζω
καὶ C--------- καί
τοῦ RA--GSN--- ὁ
πολεμεῖν V2--PAN--- πολεμέω
τὸν RA--ASM--- ὁ
πόλεμον N2--ASM--- πόλεμος
ἡμῶν RP--GP---- ἐγώ
καὶ C--------- καί
κατεθάρσησεν VAI-AAI3S- θαρσύνω κατα
ὁ RA--NSM--- ὁ
λαὸς N2--NSM--- λαός
ἐπὶ P--------- ἐπί
τοῖς RA--DPM--- ὁ
λόγοις N2--DPM--- λόγος
Εζεκιου N1T-GSM--- Εζεκιας
βασιλέως N3V-GSM--- βασιλεύς
Ιουδα N---GSM--- Ἰουδά

2Ch 32:9
καὶ C--------- καί
μετὰ P--------- μετά
ταῦτα RD--APN--- οὗτος
ἀπέστειλεν VAI-AAI3S- στέλλω ἀπο
Σενναχηριμ N---NSM--- Σενναχηριμ
βασιλεὺς N3V-NSM--- βασιλεύς
Ἀσσυρίων N2--GPM--- Ἀσσύριος
τοὺς RA--APM--- ὁ
παῖδας N3D-APM--- παῖς
αὐτοῦ RD--GSM--- αὐτός
ἐπὶ P--------- ἐπί
Ιερουσαλημ N---ASF--- Ἰερουσαλήμ
καὶ C--------- καί
αὐτὸς RD--NSM--- αὐτός
ἐπὶ P--------- ἐπί
Λαχις N---ASF--- Λαχις
καὶ C--------- καί
πᾶσα A3--NSF--- πᾶς
ἡ RA--NSF--- ὁ
στρατιὰ N1A-NSF--- στρατιά
μετ' P--------- μετά
αὐτοῦ RD--GSM--- αὐτός
καὶ C--------- καί
ἀπέστειλεν VAI-AAI3S- στέλλω ἀπο
πρὸς P--------- πρός
Εζεκιαν N1T-ASM--- Εζεκιας
βασιλέα N3V-ASM--- βασιλεύς
Ιουδα N---GSM--- Ἰουδά
καὶ C--------- καί
πρὸς P--------- πρός
πάντα A3--ASM--- πᾶς
Ιουδαν N1T-ASM--- Ἰούδας
τὸν RA--ASM--- ὁ
ἐν P--------- ἐν
Ιερουσαλημ N---DSF--- Ἰερουσαλήμ
λέγων V1--PAPNSM λέγω

2Ch 32:10
οὕτως D--------- οὕτως
λέγει V1--PAI3S- λέγω
Σενναχηριμ N---NSM--- Σενναχηριμ
ὁ RA--NSM--- ὁ
βασιλεὺς N3V-NSM--- βασιλεύς
Ἀσσυρίων N2--GPM--- Ἀσσύριος
ἐπὶ P--------- ἐπί
τίνι RI--DSN--- τίς
ὑμεῖς RP--NP---- σύ
πεποίθατε VX--XAI2P- πείθω
καὶ C--------- καί
κάθησθε V5--PMI2P- ἧμαι κατα
ἐν P--------- ἐν
τῇ RA--DSF--- ὁ
περιοχῇ N1--DSF--- περιοχή
ἐν P--------- ἐν
Ιερουσαλημ N---DSF--- Ἰερουσαλήμ

2Ch 32:11
οὐχὶ D--------- οὐ
Εζεκιας N1T-NSM--- Εζεκιας
ἀπατᾷ V3--PAI3S- ἀπατάω
ὑμᾶς RP--AP---- σύ
τοῦ RA--GSN--- ὁ
παραδοῦναι VO--AAN--- δίδωμι παρα
ὑμᾶς RP--AP---- σύ
εἰς P--------- εἰς
θάνατον N2--ASM--- θάνατος
καὶ C--------- καί
εἰς P--------- εἰς
λιμὸν N2--ASM--- λιμός
καὶ C--------- καί
εἰς P--------- εἰς
δίψαν N1S-ASF--- δίψα
λέγων V1--PAPNSM λέγω
κύριος N2--NSM--- κύριος
ὁ RA--NSM--- ὁ
θεὸς N2--NSM--- θεός
ἡμῶν RP--GP---- ἐγώ
σώσει VF--FAI3S- σώζω
ἡμᾶς RP--AP---- ἐγώ
ἐκ P--------- ἐκ
χειρὸς N3--GSF--- χείρ
βασιλέως N3V-GSM--- βασιλεύς
Ασσουρ N---GSM--- Ασσουρ

2Ch 32:12
οὐχ D--------- οὐ
οὗτός RD--NSM--- οὗτος
ἐστιν V9--PAI3S- εἰμί
Εζεκιας N1T-NSM--- Εζεκιας
ὃς RR--NSM--- ὅς
περιεῖλεν VBI-AAI3S- αἱρέω περι
τὰ RA--APN--- ὁ
θυσιαστήρια N2N-APN--- θυσιαστήριον
αὐτοῦ RD--GSM--- αὐτός
καὶ C--------- καί
τὰ RA--APN--- ὁ
ὑψηλὰ A1--APN--- ὑψηλός
αὐτοῦ RD--GSM--- αὐτός
καὶ C--------- καί
εἶπεν VBI-AAI3S- εἶπον
τῷ RA--DSM--- ὁ
Ιουδα N---DSM--- Ἰουδά
καὶ C--------- καί
τοῖς RA--DPM--- ὁ
κατοικοῦσιν V2--PAI3P- οἰκέω κατα
Ιερουσαλημ N---DSF--- Ἰερουσαλήμ
λέγων V1--PAPNSM λέγω
κατέναντι D--------- κατέναντι
τοῦ RA--GSN--- ὁ
θυσιαστηρίου N2N-GSN--- θυσιαστήριον
τούτου RD--GSN--- οὗτος
προσκυνήσετε VF--FAI2P- κυνέω προς
καὶ C--------- καί
ἐπ' P--------- ἐπί
αὐτῷ RD--DSN--- αὐτός
θυμιάσετε VF--FAI2P- θυμιάω

2Ch 32:13
οὐ D--------- οὐ
γνώσεσθε VF--FMI2P- γιγνώσκω
ὅ RR--ASN--- ὅς
τι RI--ASN--- τις
ἐποίησα VAI-AAI1S- ποιέω
ἐγὼ RP--NS---- ἐγώ
καὶ C--------- καί
οἱ RA--NPM--- ὁ
πατέρες N3--NPM--- πατήρ
μου RP--GS---- ἐγώ
πᾶσι A3--DPM--- πᾶς
τοῖς RA--DPM--- ὁ
λαοῖς N2--DPM--- λαός
τῶν RA--GPF--- ὁ
χωρῶν N1A-GPF--- χώρα
μὴ D--------- μή
δυνάμενοι V6--PMPNPM δύναμαι
ἠδύναντο V6I-IMI3P- δύναμαι
θεοὶ N2--NPM--- θεός
τῶν RA--GPN--- ὁ
ἐθνῶν N3E-GPN--- ἔθνος
πάσης A3--GSF--- πᾶς
τῆς RA--GSF--- ὁ
γῆς N1--GSF--- γῆ
σῶσαι VA--AAN--- σώζω
τὸν RA--ASM--- ὁ
λαὸν N2--ASM--- λαός
αὐτῶν RD--GPM--- αὐτός
ἐκ P--------- ἐκ
χειρός N3--GSF--- χείρ
μου RP--GS---- ἐγώ

2Ch 32:14
τίς RI--NSM--- τίς
ἐν P--------- ἐν
πᾶσι A3--DPM--- πᾶς
τοῖς RA--DPM--- ὁ
θεοῖς N2--DPM--- θεός
τῶν RA--GPN--- ὁ
ἐθνῶν N3E-GPN--- ἔθνος
τούτων RD--GPN--- οὗτος
οὓς RR--APM--- ὅς
ἐξωλέθρευσαν VAI-AAI3P- ὀλεθρεύω ἐκ
οἱ RA--NPM--- ὁ
πατέρες N3--NPM--- πατήρ
μου RP--GS---- ἐγώ
μὴ D--------- μή
ἠδύναντο V6I-IMI3P- δύναμαι
σῶσαι VA--AAN--- σώζω
τὸν RA--ASM--- ὁ
λαὸν N2--ASM--- λαός
αὐτῶν RD--GPM--- αὐτός
ἐκ P--------- ἐκ
χειρός N3--GSF--- χείρ
μου RP--GS---- ἐγώ
ὅτι C--------- ὅτι
δυνήσεται VF--FMI3S- δύναμαι
ὁ RA--NSM--- ὁ
θεὸς N2--NSM--- θεός
ὑμῶν RP--GP---- σύ
σῶσαι VA--AAN--- σώζω
ὑμᾶς RP--AP---- σύ
ἐκ P--------- ἐκ
χειρός N3--GSF--- χείρ
μου RP--GS---- ἐγώ

2Ch 32:15
νῦν D--------- νῦν
μὴ D--------- μή
ἀπατάτω V3--PAD3S- ἀπατάω
ὑμᾶς RP--AP---- σύ
Εζεκιας N1T-NSM--- Εζεκιας
καὶ C--------- καί
μὴ D--------- μή
πεποιθέναι VX--XAN--- πείθω
ὑμᾶς RP--AP---- σύ
ποιείτω V2--PAD3S- ποιέω
κατὰ P--------- κατά
ταῦτα RD--APN--- οὗτος
καὶ C--------- καί
μὴ D--------- μή
πιστεύετε V1--PAI2P- πιστεύω
αὐτῷ RD--DSM--- αὐτός
ὅτι C--------- ὅτι
οὐ D--------- οὐ
μὴ D--------- μή
δύνηται V6--PMS3S- δύναμαι
ὁ RA--NSM--- ὁ
θεὸς N2--NSM--- θεός
παντὸς A3--GSN--- πᾶς
ἔθνους N3E-GSN--- ἔθνος
καὶ C--------- καί
βασιλείας N1A-GSF--- βασιλεία
τοῦ RA--GSN--- ὁ
σῶσαι VA--AAN--- σώζω
τὸν RA--ASM--- ὁ
λαὸν N2--ASM--- λαός
αὐτοῦ RD--GSM--- αὐτός
ἐκ P--------- ἐκ
χειρός N3--GSF--- χείρ
μου RP--GS---- ἐγώ
καὶ C--------- καί
ἐκ P--------- ἐκ
χειρὸς N3--GSF--- χείρ
πατέρων N3--GPM--- πατήρ
μου RP--GS---- ἐγώ
ὅτι C--------- ὅτι
ὁ RA--NSM--- ὁ
θεὸς N2--NSM--- θεός
ὑμῶν RP--GP---- σύ
οὐ D--------- οὐ
μὴ D--------- μή
σώσει VF--FAI3S- σώζω
ὑμᾶς RP--AP---- σύ
ἐκ P--------- ἐκ
χειρός N3--GSF--- χείρ
μου RP--GS---- ἐγώ

2Ch 32:16
καὶ C--------- καί
ἔτι D--------- ἔτι
ἐλάλησαν VAI-AAI3P- λαλέω
οἱ RA--NPM--- ὁ
παῖδες N3D-NPM--- παῖς
αὐτοῦ RD--GSM--- αὐτός
ἐπὶ P--------- ἐπί
κύριον N2--ASM--- κύριος
θεὸν N2--ASM--- θεός
καὶ C--------- καί
ἐπὶ P--------- ἐπί
Εζεκιαν N1T-ASM--- Εζεκιας
παῖδα N3D-ASM--- παῖς
αὐτοῦ RD--GSM--- αὐτός

2Ch 32:17
καὶ C--------- καί
βιβλίον N2N-ASN--- βιβλίον
ἔγραψεν VAI-AAI3S- γράφω
ὀνειδίζειν V1--PAN--- ὀνειδίζω
τὸν RA--ASM--- ὁ
κύριον N2--ASM--- κύριος
θεὸν N2--ASM--- θεός
Ισραηλ N---GSM--- Ἰσραήλ
καὶ C--------- καί
εἶπεν VBI-AAI3S- εἶπον
περὶ P--------- περί
αὐτοῦ RD--GSM--- αὐτός
λέγων V1--PAPNSM λέγω
ὡς X--------- ὡς
θεοὶ N2--NPM--- θεός
τῶν RA--GPN--- ὁ
ἐθνῶν N3E-GPN--- ἔθνος
τῆς RA--GSF--- ὁ
γῆς N1--GSF--- γῆ
οὐκ D--------- οὐ
ἐξείλαντο VAI-AMI3P- αἱρέω ἐκ
τοὺς RA--APM--- ὁ
λαοὺς N2--APM--- λαός
αὐτῶν RD--GPM--- αὐτός
ἐκ P--------- ἐκ
χειρός N3--GSF--- χείρ
μου RP--GS---- ἐγώ
οὕτως D--------- οὕτως
οὐ D--------- οὐ
μὴ D--------- μή
ἐξέληται VB--AMS3S- αἱρέω ἐκ
ὁ RA--NSM--- ὁ
θεὸς N2--NSM--- θεός
Εζεκιου N1T-GSM--- Εζεκιας
λαὸν N2--ASM--- λαός
αὐτοῦ RD--GSM--- αὐτός
ἐκ P--------- ἐκ
χειρός N3--GSF--- χείρ
μου RP--GS---- ἐγώ

2Ch 32:18
καὶ C--------- καί
ἐβόησεν VAI-AAI3S- βοάω
φωνῇ N1--DSF--- φωνή
μεγάλῃ A1--DSF--- μέγας
Ιουδαϊστὶ N---DSF--- Ἰουδαϊστί
ἐπὶ P--------- ἐπί
λαὸν N2--ASM--- λαός
Ιερουσαλημ N---GSF--- Ἰερουσαλήμ
τὸν RA--ASM--- ὁ
ἐπὶ P--------- ἐπί
τοῦ RA--GSN--- ὁ
τείχους N3E-GSN--- τεῖχος
τοῦ RA--GSN--- ὁ
φοβῆσαι VA--AAN--- φοβέω
αὐτοὺς RD--APM--- αὐτός
καὶ C--------- καί
κατασπάσαι VA--AAN--- σπάω κατα
ὅπως C--------- ὅπως
προκαταλάβωνται VB--AMS3P- λαμβάνω προ κατα
τὴν RA--ASF--- ὁ
πόλιν N3I-ASF--- πόλις

2Ch 32:19
καὶ C--------- καί
ἐλάλησεν VAI-AAI3S- λαλέω
ἐπὶ P--------- ἐπί
θεὸν N2--ASM--- θεός
Ιερουσαλημ N---GSM--- Ἰερουσαλήμ
ὡς D--------- ὡς
καὶ C--------- καί
ἐπὶ P--------- ἐπί
θεοὺς N2--APM--- θεός
λαῶν N2--GPM--- λαός
τῆς RA--GSF--- ὁ
γῆς N1--GSF--- γῆ
ἔργα N2N-APN--- ἔργον
χειρῶν N3--GPF--- χείρ
ἀνθρώπων N2--GPM--- ἄνθρωπος

2Ch 32:20
καὶ C--------- καί
προσηύξατο VAI-AMI3S- εὔχομαι προς
Εζεκιας N1T-NSM--- Εζεκιας
ὁ RA--NSM--- ὁ
βασιλεὺς N3V-NSM--- βασιλεύς
καὶ C--------- καί
Ησαιας N1T-NSM--- Ησαιας
υἱὸς N2--NSM--- υἱός
Αμως N---GSM--- Αμως
ὁ RA--NSM--- ὁ
προφήτης N1M-NSM--- προφήτης
περὶ P--------- περί
τούτων RD--GPN--- οὗτος
καὶ C--------- καί
ἐβόησαν VAI-AAI3P- βοάω
εἰς P--------- εἰς
τὸν RA--ASM--- ὁ
οὐρανόν N2--ASM--- οὐρανός

2Ch 32:21
καὶ C--------- καί
ἀπέστειλεν VAI-AAI3S- στέλλω ἀπο
κύριος N2--NSM--- κύριος
ἄγγελον N2--ASM--- ἄγγελος
καὶ C--------- καί
ἐξέτριψεν VAI-AAI3S- τρίβω ἐκ
πᾶν A3--ASN--- πᾶς
δυνατὸν A1--ASN--- δυνατός
πολεμιστὴν N1--ASM--- πολεμιστής
καὶ C--------- καί
ἄρχοντα N3--ASM--- ἄρχων
καὶ C--------- καί
στρατηγὸν N2--ASM--- στρατηγός
ἐν P--------- ἐν
τῇ RA--DSF--- ὁ
παρεμβολῇ N1--DSF--- παρεμβολή
βασιλέως N3V-GSM--- βασιλεύς
Ασσουρ N---GSM--- Ασσουρ
καὶ C--------- καί
ἀπέστρεψεν VAI-AAI3S- στρέφω ἀπο
μετὰ P--------- μετά
αἰσχύνης N1--GSF--- αἰσχύνη
προσώπου N2N-GSN--- πρόσωπον
εἰς P--------- εἰς
τὴν RA--ASF--- ὁ
γῆν N1--ASF--- γῆ
αὐτοῦ RD--GSM--- αὐτός
καὶ C--------- καί
ἦλθεν VBI-AAI3S- ἔρχομαι
εἰς P--------- εἰς
οἶκον N2--ASM--- οἶκος
τοῦ RA--GSM--- ὁ
θεοῦ N2--GSM--- θεός
αὐτοῦ RD--GSM--- αὐτός
καὶ C--------- καί
τῶν RA--GPM--- ὁ
ἐξελθόντων VB--AAPGPM ἔρχομαι ἐκ
ἐκ P--------- ἐκ
κοιλίας N1A-GSF--- κοιλία
αὐτοῦ RD--GSM--- αὐτός
κατέβαλον VBI-AAI3P- βάλλω κατα
αὐτὸν RD--ASM--- αὐτός
ἐν P--------- ἐν
ῥομφαίᾳ N1A-DSF--- ῥομφαία

2Ch 32:22
καὶ C--------- καί
ἔσωσεν VAI-AAI3S- σώζω
κύριος N2--NSM--- κύριος
Εζεκιαν N1T-ASM--- Εζεκιας
καὶ C--------- καί
τοὺς RA--APM--- ὁ
κατοικοῦντας V2--PAPAPM οἰκέω κατα
ἐν P--------- ἐν
Ιερουσαλημ N---DSF--- Ἰερουσαλήμ
ἐκ P--------- ἐκ
χειρὸς N3--GSF--- χείρ
Σενναχηριμ N---GSM--- Σενναχηριμ
βασιλέως N3V-GSM--- βασιλεύς
Ασσουρ N---GSM--- Ασσουρ
καὶ C--------- καί
ἐκ P--------- ἐκ
χειρὸς N3--GSF--- χείρ
πάντων A3--GPM--- πᾶς
καὶ C--------- καί
κατέπαυσεν VAI-AAI3S- παύω κατα
αὐτοὺς RD--APM--- αὐτός
κυκλόθεν D--------- κυκλόθεν

2Ch 32:23
καὶ C--------- καί
πολλοὶ A1--NPM--- πολύς
ἔφερον V1I-IAI3P- φέρω
δῶρα N2N-APN--- δῶρον
τῷ RA--DSM--- ὁ
κυρίῳ N2--DSM--- κύριος
εἰς P--------- εἰς
Ιερουσαλημ N---ASF--- Ἰερουσαλήμ
καὶ C--------- καί
δόματα N3M-APN--- δόμα
τῷ RA--DSM--- ὁ
Εζεκια N1T-DSM--- Εζεκιας
βασιλεῖ N3V-DSM--- βασιλεύς
Ιουδα N---GSM--- Ἰουδά
καὶ C--------- καί
ὑπερήρθη VCI-API3S- αἴρω ὑπερ
κατ' P--------- κατά
ὀφθαλμοὺς N2--APM--- ὀφθαλμός
πάντων A3--GPN--- πᾶς
τῶν RA--GPN--- ὁ
ἐθνῶν N3E-GPN--- ἔθνος
μετὰ P--------- μετά
ταῦτα RD--APN--- οὗτος

2Ch 32:24
ἐν P--------- ἐν
ταῖς RA--DPF--- ὁ
ἡμέραις N1A-DPF--- ἡμέρα
ἐκείναις RD--DPF--- ἐκεῖνος
ἠρρώστησεν VAI-AAI3S- ἀρρωστέω
Εζεκιας N1T-NSM--- Εζεκιας
ἕως C--------- ἕως
θανάτου N2--GSM--- θάνατος
καὶ C--------- καί
προσηύξατο VAI-AMI3S- εὔχομαι προς
πρὸς P--------- πρός
κύριον N2--ASM--- κύριος
καὶ C--------- καί
ἐπήκουσεν VAI-AAI3S- ἀκούω ἐπι
αὐτοῦ RD--GSM--- αὐτός
καὶ C--------- καί
σημεῖον N2--ASN--- σημεῖον
ἔδωκεν VAI-AAI3S- δίδωμι
αὐτῷ RD--DSM--- αὐτός

2Ch 32:25
καὶ C--------- καί
οὐ D--------- οὐ
κατὰ P--------- κατά
τὸ RA--ASN--- ὁ
ἀνταπόδομα N3M-ASN--- ἀνταπόδομα
ὃ RR--NSM--- ὅς
ἔδωκεν VAI-AAI3S- δίδωμι
αὐτῷ RD--DSM--- αὐτός
ἀνταπέδωκεν VAI-AAI3S- δίδωμι ἀντι ἀπο
Εζεκιας N1T-NSM--- Εζεκιας
ἀλλὰ C--------- ἀλλά
ὑψώθη VCI-API3S- ὑψόω
ἡ RA--NSF--- ὁ
καρδία N1A-NSF--- καρδία
αὐτοῦ RD--GSM--- αὐτός
καὶ C--------- καί
ἐγένετο VBI-AMI3S- γίγνομαι
ἐπ' P--------- ἐπί
αὐτὸν RD--ASM--- αὐτός
ὀργὴ N1--NSF--- ὀργή
καὶ C--------- καί
ἐπὶ P--------- ἐπί
Ιουδαν N1T-ASM--- Ἰούδας
καὶ C--------- καί
Ιερουσαλημ N---ASM--- Ἰερουσαλήμ

2Ch 32:26
καὶ C--------- καί
ἐταπεινώθη VCI-API3S- ταπεινόω
Εζεκιας N1T-NSM--- Εζεκιας
ἀπὸ P--------- ἀπό
τοῦ RA--GSM--- ὁ
ὕψους N3E-GSM--- ὕψος
τῆς RA--GSF--- ὁ
καρδίας N1A-GSF--- καρδία
αὐτοῦ RD--GSM--- αὐτός
καὶ C--------- καί
οἱ RA--NPM--- ὁ
κατοικοῦντες V2--PAPNPM οἰκέω κατα
Ιερουσαλημ N---DSF--- Ἰερουσαλήμ
καὶ C--------- καί
οὐκ D--------- οὐ
ἐπῆλθεν VBI-AAI3S- ἔρχομαι ἐπι
ἐπ' P--------- ἐπί
αὐτοὺς RD--APM--- αὐτός
ὀργὴ N1--NSF--- ὀργή
κυρίου N2--GSM--- κύριος
ἐν P--------- ἐν
ταῖς RA--DPF--- ὁ
ἡμέραις N1A-DPF--- ἡμέρα
Εζεκιου N1T-GSM--- Εζεκιας

2Ch 32:27
καὶ C--------- καί
ἐγένετο VBI-AMI3S- γίγνομαι
τῷ RA--DSM--- ὁ
Εζεκια N1T-DSM--- Εζεκιας
πλοῦτος N2--NSM--- πλοῦτος
καὶ C--------- καί
δόξα N1S-NSF--- δόξα
πολλὴ A1--NSF--- πολύς
σφόδρα D--------- σφόδρα
καὶ C--------- καί
θησαυροὺς N2--APM--- θησαυρός
ἐποίησεν VAI-AAI3S- ποιέω
ἑαυτῷ RD--DSM--- ἑαυτοῦ
ἀργυρίου N2N-GSN--- ἀργύριον
καὶ C--------- καί
χρυσίου N2N-GSN--- χρυσίον
καὶ C--------- καί
τοῦ RA--GSM--- ὁ
λίθου N2--GSM--- λίθος
τοῦ RA--GSM--- ὁ
τιμίου A1A-GSM--- τίμιος
καὶ C--------- καί
εἰς P--------- εἰς
τὰ RA--APN--- ὁ
ἀρώματα N3M-APM--- ἄρωμα
καὶ C--------- καί
ὁπλοθήκας N1--APF--- ὁπλοθήκη
καὶ C--------- καί
εἰς P--------- εἰς
σκεύη N3E-APN--- σκεῦος
ἐπιθυμητὰ A1--APN--- ἐπιθυμητός

2Ch 32:28
καὶ C--------- καί
πόλεις N3I-APF--- πόλις
εἰς P--------- εἰς
τὰ RA--APN--- ὁ
γενήματα N3M-APN--- γένημα
σίτου N2--GSM--- σῖτος
καὶ C--------- καί
ἐλαίου N2N-GSN--- ἔλαιον
καὶ C--------- καί
οἴνου N2--GSM--- οἶνος
καὶ C--------- καί
φάτνας N1--APF--- φάτνη
παντὸς A3--GSN--- πᾶς
κτήνους N3E-GSN--- κτῆνος
καὶ C--------- καί
μάνδρας A1A-APF--- μάνδρα
εἰς P--------- εἰς
τὰ RA--APN--- ὁ
ποίμνια N2N-APN--- ποίμνιον

2Ch 32:29
καὶ C--------- καί
πόλεις N3I-APF--- πόλις
ἃς RR--APF--- ὅς
ᾠκοδόμησεν VAI-AAI3S- οἰκοδομέω
αὑτῷ RD--DSM--- ἑαυτοῦ
καὶ C--------- καί
ἀποσκευὴν N1--ASF--- ἀποσκευή
προβάτων N2N-GPN--- πρόβατον
καὶ C--------- καί
βοῶν N3--GPM--- βοῦς
εἰς P--------- εἰς
πλῆθος N3E-ASN--- πλῆθος
ὅτι C--------- ὅτι
ἔδωκεν VAI-AAI3S- δίδωμι
αὐτῷ RD--DSM--- αὐτός
κύριος N2--NSM--- κύριος
ἀποσκευὴν N1--ASF--- ἀποσκευή
πολλὴν A1--ASF--- πολύς
σφόδρα D--------- σφόδρα

2Ch 32:30
αὐτὸς RD--NSM--- αὐτός
Εζεκιας N1T-NSM--- Εζεκιας
ἐνέφραξεν VAI-AAI3S- φράσσω ἐν
τὴν RA--ASF--- ὁ
ἔξοδον N2--ASF--- ἔξοδος
τοῦ RA--GSN--- ὁ
ὕδατος N3T-GSN--- ὕδωρ
Γιων N---GS---- Γιων
τὸ RA--ASN--- ὁ
ἄνω D--------- ἄνω
καὶ C--------- καί
κατηύθυνεν VAI-AAI3S- εὐθύνω κατα
αὐτὰ RD--APN--- αὐτός
κάτω D--------- κάτω
πρὸς P--------- πρός
λίβα N3--ASM--- λίψ
τῆς RA--GSF--- ὁ
πόλεως N3I-GSF--- πόλις
Δαυιδ N---GSM--- Δαυίδ
καὶ C--------- καί
εὐοδώθη VC--API3S- εὐοδόω
Εζεκιας N1T-NSM--- Εζεκιας
ἐν P--------- ἐν
πᾶσι A3--DPN--- πᾶς
τοῖς RA--DPN--- ὁ
ἔργοις N2N-DPN--- ἔργον
αὐτοῦ RD--GSM--- αὐτός

2Ch 32:31
καὶ C--------- καί
οὕτως D--------- οὕτως
τοῖς RA--DPM--- ὁ
πρεσβευταῖς N1M-DPM--- πρεσβευτής
τῶν RA--GPM--- ὁ
ἀρχόντων N3--GPM--- ἄρχων
ἀπὸ P--------- ἀπό
Βαβυλῶνος N3W-GSM--- Βαβυλών
τοῖς RA--DPM--- ὁ
ἀποσταλεῖσιν VC--APPDPM στέλλω ἀπο
πρὸς P--------- πρός
αὐτὸν RD--ASM--- αὐτός
πυθέσθαι VB--AMN--- πυνθάνομαι
παρ' P--------- παρά
αὐτοῦ RD--GSM--- αὐτός
τὸ RA--ASN--- ὁ
τέρας N3T-ASN--- τέρας
ὃ RR--NSM--- ὅς
ἐγένετο VBI-AMI3S- γίγνομαι
ἐπὶ P--------- ἐπί
τῆς RA--GSF--- ὁ
γῆς N1--GSF--- γῆ
καὶ C--------- καί
ἐγκατέλιπεν VBI-AAI3S- λείπω ἐν κατα
αὐτὸν RD--ASM--- αὐτός
κύριος N2--NSM--- κύριος
τοῦ RA--GSN--- ὁ
πειράσαι VA--AAN--- πειράζω
αὐτὸν RD--ASM--- αὐτός
εἰδέναι V---XAN--- οἶδα
τὰ RA--APN--- ὁ
ἐν P--------- ἐν
τῇ RA--DSF--- ὁ
καρδίᾳ N1A-DSF--- καρδία
αὐτοῦ RD--GSM--- αὐτός

2Ch 32:32
καὶ C--------- καί
τὰ RA--NPN--- ὁ
κατάλοιπα A1B-NPN--- κατάλοιπος
τῶν RA--GPM--- ὁ
λόγων N2--GPM--- λόγος
Εζεκιου N1T-GSM--- Εζεκιας
καὶ C--------- καί
τὸ RA--NSN--- ὁ
ἔλεος N2--NSN--- ἔλεος
αὐτοῦ RD--GSM--- αὐτός
ἰδοὺ I--------- ἰδού
γέγραπται VP--XMI3S- γράφω
ἐν P--------- ἐν
τῇ RA--DSF--- ὁ
προφητείᾳ N1A-DSF--- προφητεία
Ησαιου N1T-GSM--- Ησαιας
υἱοῦ N2--GSM--- υἱός
Αμως N---GSM--- Αμως
τοῦ RA--GSM--- ὁ
προφήτου N1M-GSM--- προφήτης
καὶ C--------- καί
ἐπὶ P--------- ἐπί
βιβλίου N2N-GSN--- βιβλίον
βασιλέων N3V-GPM--- βασιλεύς
Ιουδα N---GSM--- Ἰουδά
καὶ C--------- καί
Ισραηλ N---GSM--- Ἰσραήλ

2Ch 32:33
καὶ C--------- καί
ἐκοιμήθη VCI-API3S- κοιμάω
Εζεκιας N1T-NSM--- Εζεκιας
μετὰ P--------- μετά
τῶν RA--GPM--- ὁ
πατέρων N3--GPM--- πατήρ
αὐτοῦ RD--GSM--- αὐτός
καὶ C--------- καί
ἔθαψαν VAI-AAI3P- θάπτω
αὐτὸν RD--ASM--- αὐτός
ἐν P--------- ἐν
ἀναβάσει N3I-DSF--- ἀνάβασις
τάφων N2--GPM--- τάφος
υἱῶν N2--GPM--- υἱός
Δαυιδ N---GSM--- Δαυίδ
καὶ C--------- καί
δόξαν N1S-ASF--- δόξα
καὶ C--------- καί
τιμὴν N1--ASF--- τιμή
ἔδωκαν VAI-AAI3P- δίδωμι
αὐτῷ RD--DSM--- αὐτός
ἐν P--------- ἐν
τῷ RA--DSM--- ὁ
θανάτῳ N2--DSM--- θάνατος
αὐτοῦ RD--GSM--- αὐτός
πᾶς A3--NSM--- πᾶς
Ιουδα N---NSM--- Ἰουδά
καὶ C--------- καί
οἱ RA--NPM--- ὁ
κατοικοῦντες V2--PAPNPM οἰκέω κατα
ἐν P--------- ἐν
Ιερουσαλημ N---DSF--- Ἰερουσαλήμ
καὶ C--------- καί
ἐβασίλευσεν VAI-AAI3S- βασιλεύω
Μανασσης N1M-NSM--- Μανασσής
υἱὸς N2--NSM--- υἱός
αὐτοῦ RD--GSM--- αὐτός
ἀντ' P--------- ἀντί
αὐτοῦ RD--GSM--- αὐτός

2Ch 33:1
ὢν V9--PAPNSM εἰμί
δέκα M--------- δέκα
δύο M--------- δύο
ἐτῶν N3E-GPN--- ἔτος
Μανασσης N1M-NSM--- Μανασσής
ἐν P--------- ἐν
τῷ RA--DSN--- ὁ
βασιλεῦσαι VA--AAN--- βασιλεύω
αὐτὸν RD--ASM--- αὐτός
καὶ C--------- καί
πεντήκοντα M--------- πεντήκοντα
πέντε M--------- πέντε
ἔτη N3E-APN--- ἔτος
ἐβασίλευσεν VAI-AAI3S- βασιλεύω
ἐν P--------- ἐν
Ιερουσαλημ N---DSF--- Ἰερουσαλήμ

2Ch 33:2
καὶ C--------- καί
ἐποίησεν VAI-AAI3S- ποιέω
τὸ RA--ASN--- ὁ
πονηρὸν A1A-ASN--- πονηρός
ἐναντίον P--------- ἐναντίον
κυρίου N2--GSM--- κύριος
ἀπὸ P--------- ἀπό
πάντων A3--GPN--- πᾶς
τῶν RA--GPN--- ὁ
βδελυγμάτων N3M-GPN--- βδέλυγμα
τῶν RA--GPN--- ὁ
