Mic 1:1
ἐν P--------- ἐν
ταῖς RA--DPF--- ὁ
ὁδοῖς N2--DPF--- ὁδός

Mic 7:11
ἡμέρας N1A-GSF--- ἡμέρα
ἀλοιφῆς N1--GSF--- ἀλοιφή
πλίνθου N2--GSF--- πλίνθος
ἐξάλειψίς N3I-NSF--- ἐξάλειψις
σου RP--GS---- σύ
ἡ RA--NSF--- ὁ
ἡμέρα N1A-NSF--- ἡμέρα
ἐκείνη RD--NSF--- ἐκεῖνος
καὶ C--------- καί
ἀποτρίψεται VF--FPI3S- τρίβω ἀπο
νόμιμά A1--NPN--- νόμιμος
σου RP--GS---- σύ

Mic 7:12
ἡ RA--NSF--- ὁ
ἡμέρα N1A-NSF--- ἡμέρα
ἐκείνη RD--NSF--- ἐκεῖνος
καὶ C--------- καί
αἱ RA--NPF--- ὁ
πόλεις N3I-NPF--- πόλις
σου RP--GS---- σύ
ἥξουσιν VF--FAI3P- ἥκω
εἰς P--------- εἰς
ὁμαλισμὸν N2--ASM--- ὁμαλισμός
καὶ C--------- καί
εἰς P--------- εἰς
διαμερισμὸν N2--ASM--- διαμερισμός
Ἀσσυρίων N2--GPM--- Ἀσσύριος
καὶ C--------- καί
αἱ RA--NPF--- ὁ
πόλεις N3I-NPF--- πόλις
σου RP--GS---- σύ
αἱ RA--NPF--- ὁ
ὀχυραὶ A1A-NPF--- ὀχυρός
εἰς P--------- εἰς
διαμερισμὸν N2--ASM--- διαμερισμός
ἀπὸ P--------- ἀπό
Τύρου N2--GSF--- Τύρος
ἕως P--------- ἕως
τοῦ RA--GSM--- ὁ
ποταμοῦ N2--GSM--- ποταμός
Συρίας N1A-GSF--- Συρία
ἡμέρα N1A-NSF--- ἡμέρα
ὕδατος N3T-GSN--- ὕδωρ
καὶ C--------- καί
θορύβου N2--GSM--- θόρυβος

Mic 7:13
καὶ C--------- καί
ἔσται V9--FMI3S- εἰμί
ἡ RA--NSF--- ὁ
γῆ N1--NSF--- γῆ
εἰς P--------- εἰς
ἀφανισμὸν N2--ASM--- ἀφανισμός
σὺν P--------- σύν
τοῖς RA--DPM--- ὁ
κατοικοῦσιν V2--PAPDPM οἰκέω κατα
αὐτὴν RD--ASF--- αὐτός
ἐκ P--------- ἐκ
καρπῶν N2--GPM--- καρπός
ἐπιτηδευμάτων N3M-GPN--- ἐπιτήδευμα
αὐτῶν RD--GPM--- αὐτός

Mic 7:14
ποίμαινε V1--PAD2S- ποιμαίνω
λαόν N2--ASM--- λαός
σου RP--GS---- σύ
ἐν P--------- ἐν
ῥάβδῳ N2--DSF--- ῥάβδος
σου RP--GS---- σύ
πρόβατα N2N-APN--- πρόβατον
κληρονομίας N1A-GSF--- κληρονομία
σου RP--GS---- σύ
κατασκηνοῦντας V4--PAPAPM σκηνόω κατα
καθ' P--------- κατά
ἑαυτοὺς RD--APM--- ἑαυτοῦ
δρυμὸν N2--ASM--- δρυμός
ἐν P--------- ἐν
μέσῳ A1--DSN--- μέσος
τοῦ RA--GSM--- ὁ
Καρμήλου N2--GSM--- Καρμήλος
νεμήσονται VF--FMI3P- νέμω
τὴν RA--ASF--- ὁ
Βασανῖτιν N3D-ASF--- Βασανῖτις
καὶ C--------- καί
τὴν RA--ASF--- ὁ
Γαλααδῖτιν N3--ASF--- Γαλααδῖτις
καθὼς D--------- καθώς
αἱ RA--NPF--- ὁ
ἡμέραι N1A-NPF--- ἡμέρα
τοῦ RA--GSM--- ὁ
αἰῶνος N3W-GSM--- αἰών

Mic 7:15
καὶ C--------- καί
κατὰ P--------- κατά
τὰς RA--APF--- ὁ
ἡμέρας N1A-APF--- ἡμέρα
ἐξοδίας N1A-GSF--- ἐξοδία
σου RP--GS---- σύ
ἐξ P--------- ἐκ
Αἰγύπτου N2--GSF--- Αἴγυπτος
ὄψεσθε VF--FMI2P- ὁράω
θαυμαστά A1--APN--- θαυμαστός

Mic 7:16
ὄψονται VF--FMI3P- ὁράω
ἔθνη N3E-NPN--- ἔθνος
καὶ C--------- καί
καταισχυνθήσονται VC--FPI3P- αἰσχύνω κατα
ἐκ P--------- ἐκ
πάσης A1S-GSF--- πᾶς
τῆς RA--GSF--- ὁ
ἰσχύος N3U-GSF--- ἰσχύς
αὐτῶν RD--GPM--- αὐτός
ἐπιθήσουσιν VF--FAI3P- τίθημι ἐπι
χεῖρας N3--APF--- χείρ
ἐπὶ P--------- ἐπί
τὸ RA--ASN--- ὁ
στόμα N3M-ASN--- στόμα
αὐτῶν RD--GPM--- αὐτός
τὰ RA--NPN--- ὁ
ὦτα N3T-NPN--- οὖς
αὐτῶν RD--GPM--- αὐτός
ἀποκωφωθήσονται VC--FPI3P- κωφόω ἀπο

Mic 7:17
λείξουσιν VF--FAI3P- λείχω
χοῦν N3--ASM--- χοῦς
ὡς C--------- ὡς
ὄφεις N3I-NPM--- ὄφις
σύροντες V1--PAPNPM σύρω
γῆν N1--ASF--- γῆ
συγχυθήσονται VC--FPI3P- χέω συν
ἐν P--------- ἐν
συγκλεισμῷ N2--DSM--- συγκλεισμός
αὐτῶν RD--GPM--- αὐτός
ἐπὶ P--------- ἐπί
τῷ RA--DSM--- ὁ
κυρίῳ N2--DSM--- κύριος
θεῷ N2--DSM--- θεός
ἡμῶν RP--GP---- ἐγώ
ἐκστήσονται VF--FMI3P- ἵστημι ἐκ
καὶ C--------- καί
φοβηθήσονται VC--FPI3P- φοβέω
ἀπὸ P--------- ἀπό
σοῦ RP--GS---- σύ

Mic 7:18
τίς RI--NSM--- τίς
θεὸς N2--NSM--- θεός
ὥσπερ D--------- ὥσπερ
σύ RP--NS---- σύ
ἐξαίρων V1--PAPNSM αἴρω ἐκ
ἀδικίας N1A-APF--- ἀδικία
καὶ C--------- καί
ὑπερβαίνων V1--PAPNSM βαίνω ὑπερ
ἀσεβείας N1A-APF--- ἀσέβεια
τοῖς RA--DPM--- ὁ
καταλοίποις A1B-DPM--- κατάλοιπος
τῆς RA--GSF--- ὁ
κληρονομίας N1A-GSF--- κληρονομία
αὐτοῦ RD--GSM--- αὐτός
καὶ C--------- καί
οὐ D--------- οὐ
συνέσχεν VBI-AAI3S- ἔχω συν
εἰς P--------- εἰς
μαρτύριον N2N-ASN--- μαρτύριον
ὀργὴν N1--ASF--- ὀργή
αὐτοῦ RD--GSM--- αὐτός
ὅτι C--------- ὅτι
θελητὴς N1M-NSM--- θελητής
ἐλέους N3E-APN--- ἔλεος
ἐστίν V9--PAI3S- εἰμί

Mic 7:19
αὐτὸς RD--NSM--- αὐτός
ἐπιστρέψει VF--FAI3S- στρέφω ἐπι
καὶ C--------- καί
οἰκτιρήσει VF--FAI3S- οἰκτείρω
ἡμᾶς RP--AP---- ἐγώ
καταδύσει VF--FAI3S- δύω κατα
τὰς RA--APF--- ὁ
ἀδικίας N1A-APF--- ἀδικία
ἡμῶν RP--GP---- ἐγώ
καὶ C--------- καί
ἀπορριφήσονται VV--FPI3P- ῥίπτω ἀπο
εἰς P--------- εἰς
τὰ RA--APN--- ὁ
βάθη N3E-APN--- βάθος
τῆς RA--GSF--- ὁ
θαλάσσης N1S-GSF--- θάλασσα
πάσας A1S-APF--- πᾶς
τὰς RA--APF--- ὁ
ἁμαρτίας N1A-APF--- ἁμαρτία
ἡμῶν RP--GP---- ἐγώ

Mic 7:20
δώσεις VF--FAI2S- δίδωμι
ἀλήθειαν N1A-ASF--- ἀλήθεια
τῷ RA--DSM--- ὁ
Ιακωβ N---DSM--- Ἰακώβ
ἔλεον N3E-ASN--- ἔλεος
τῷ RA--DSM--- ὁ
Αβρααμ N---DSM--- Ἀβραάμ
καθότι D--------- καθότι
ὤμοσας VAI-AAI2S- ὄμνυμι
τοῖς RA--DPM--- ὁ
πατράσιν N3--DPM--- πατήρ
ἡμῶν RP--GP---- ἐγώ
κατὰ P--------- κατά
τὰς RA--APF--- ὁ
ἡμέρας N1A-APF--- ἡμέρα
τὰς RA--APF--- ὁ
ἔμπροσθεν D--------- ἔμπροσθεν

