Job 1:1
καὶ C--------- καί
χειμὼν N3W-NSM--- χειμών
ὑετῶν N2--GPM--- ὑετός
δυναστείας N1A-GSF--- δυναστεία
αὐτοῦ RD--GSM--- αὐτός

Job 37:7
ἐν P--------- ἐν
χειρὶ N3--DSF--- χείρ
παντὸς A3--GSM--- πᾶς
ἀνθρώπου N2--GSM--- ἄνθρωπος
κατασφραγίζει V1--PAI3S- σφραγίζω κατα
ἵνα C--------- ἵνα
γνῷ VZ--AAS3S- γιγνώσκω
πᾶς A3--NSM--- πᾶς
ἄνθρωπος N2--NSM--- ἄνθρωπος
τὴν RA--ASF--- ὁ
ἑαυτοῦ RD--GSM--- ἑαυτοῦ
ἀσθένειαν N1A-ASF--- ἀσθένεια

Job 37:8
εἰσῆλθεν VBI-AAI3S- ἔρχομαι εἰς
δὲ X--------- δέ
θηρία N2N-NPN--- θηρίον
ὑπὸ P--------- ὑπό
σκέπην N1--ASF--- σκέπη
ἡσύχασαν VA--AAI3P- ἡσυχάζω
δὲ X--------- δέ
ἐπὶ P--------- ἐπί
κοίτης N1--GSF--- κοίτη

Job 37:9
ἐκ P--------- ἐκ
ταμιείων N2N-GPN--- ταμιεῖον
ἐπέρχονται V1--PMI3P- ἔρχομαι ἐπι
δῖναι N1--NPF--- δίνη
ἀπὸ P--------- ἀπό
δὲ X--------- δέ
ἀκρωτηρίων N2N-GPN--- ἀκρωτήριον
ψῦχος N3E-NSN--- ψῦχος

Job 37:10
καὶ C--------- καί
ἀπὸ P--------- ἀπό
πνοῆς N1--GSF--- πνοή
ἰσχυροῦ A1A-GSM--- ἰσχυρός
δώσει VF--FAI3S- δίδωμι
πάγος N2--NSM--- πάγος
οἰακίζει V1--PAI3S- οἰακίζω
δὲ X--------- δέ
τὸ RA--ASN--- ὁ
ὕδωρ N3--ASN--- ὕδωρ
ὡς C--------- ὡς
ἐὰν C--------- ἐάν
βούληται V1--PMS3S- βούλομαι

Job 37:11
καὶ C--------- καί
ἐκλεκτὸν A1--ASM--- ἐκλεκτός
καταπλάσσει V1--PAI3S- πλάσσω κατα
νεφέλη N1--NSF--- νεφέλη
διασκορπιεῖ VF2-FAI3S- σκορπίζω δια
νέφος N3E-ASN--- νέφος
φῶς N3T-NSN--- φῶς
αὐτοῦ RD--GSM--- αὐτός

Job 37:12
καὶ C--------- καί
αὐτὸς RD--NSM--- αὐτός
κυκλώματα N3M-APN--- κύκλωμα
διαστρέψει VF--FAI3S- στρέφω δια
ἐν P--------- ἐν
θεεβουλαθω N---DP---- θεεβουλαθωθ
εἰς P--------- εἰς
ἔργα N2N-APN--- ἔργον
αὐτῶν RD--GPM--- αὐτός
πάντα A3--APN--- πᾶς
ὅσα A1--APN--- ὅσος
ἂν X--------- ἄν
ἐντείληται VA--AMS3S- τέλλομαι ἐν
αὐτοῖς RD--DPM--- αὐτός
ταῦτα RD--NPN--- οὗτος
συντέτακται VK--XPI3S- τάσσω συν
παρ' P--------- παρά
αὐτοῦ RD--GSM--- αὐτός
ἐπὶ P--------- ἐπί
τῆς RA--GSF--- ὁ
γῆς N1--GSF--- γῆ

Job 37:13
ἐὰν C--------- ἐάν
εἰς P--------- εἰς
παιδείαν N1A-ASF--- παιδεία
ἐὰν C--------- ἐάν
εἰς P--------- εἰς
τὴν RA--ASF--- ὁ
γῆν N1--ASF--- γῆ
αὐτοῦ RD--GSM--- αὐτός
ἐὰν C--------- ἐάν
εἰς P--------- εἰς
ἔλεος N3E-ASN--- ἔλεος
εὑρήσει VF--FAI3S- εὑρίσκω
αὐτόν RD--ASM--- αὐτός

Job 37:14
ἐνωτίζου V1--PMD2S- ὠτίζομαι ἐν
ταῦτα RD--APN--- οὗτος
Ιωβ N---VSM--- Ιωβ
στῆθι VH--AAD2S- ἵστημι
νουθετοῦ V2--PPD2S- νουθετέω
δύναμιν N3I-ASF--- δύναμις
κυρίου N2--GSM--- κύριος

Job 37:15
οἴδαμεν VX--XAI1P- οἶδα
ὅτι C--------- ὅτι
ὁ RA--NSM--- ὁ
θεὸς N2--NSM--- θεός
ἔθετο VEI-AMI3S- τίθημι
ἔργα N2N-APN--- ἔργον
αὐτοῦ RD--GSM--- αὐτός
φῶς N3T-ASN--- φῶς
ποιήσας VA--AAPNSM ποιέω
ἐκ P--------- ἐκ
σκότους N3E-GSN--- σκότος

Job 37:16
ἐπίσταται V6--PMI3S- ἐπίσταμαι
δὲ X--------- δέ
διάκρισιν N3I-ASF--- διάκρισις
νεφῶν N3E-GPN--- νέφος
ἐξαίσια A1B-APN--- ἐξαίσιος
δὲ X--------- δέ
πτώματα N3M-APN--- πτῶμα
πονηρῶν A1A-GPM--- πονηρός

Job 37:17
σοῦ RP--GS---- σύ
δὲ X--------- δέ
ἡ RA--NSF--- ὁ
στολὴ N1--NSF--- στολή
θερμή A1--NSF--- θερμός
ἡσυχάζεται V1--PMI3S- ἡσυχάζω
δὲ X--------- δέ
ἐπὶ P--------- ἐπί
τῆς RA--GSF--- ὁ
γῆς N1--GSF--- γῆ

Job 37:18
στερεώσεις VF--FAI2S- στερεόω
μετ' P--------- μετά
αὐτοῦ RD--GSM--- αὐτός
εἰς P--------- εἰς
παλαιώματα N3M-APN--- παλαίωμα
ἰσχυραὶ A1A-NPF--- ἰσχυρός
ὡς C--------- ὡς
ὅρασις N3I-NSF--- ὅρασις
ἐπιχύσεως N3I-GSF--- ἐπίχυσις

Job 37:19
διὰ P--------- διά
τί RI--ASN--- τίς
δίδαξόν VA--AAD2S- διδάσκω
με RP--AS---- ἐγώ
τί RI--ASN--- τίς
ἐροῦμεν VF2-FAI1P- εἶπον
αὐτῷ RD--DSM--- αὐτός
καὶ C--------- καί
παυσώμεθα VA--AMS1P- παύω
πολλὰ A1--APN--- πολύς
λέγοντες V1--PAPNPM λέγω

Job 37:20
μὴ D--------- μή
βίβλος N2--NSF--- βίβλος
ἢ C--------- ἤ
γραμματεύς N3V-NSM--- γραμματεύς
μοι RP--DS---- ἐγώ
παρέστηκεν VXI-XAI3S- ἵστημι παρα
ἵνα C--------- ἵνα
ἄνθρωπον N2--ASM--- ἄνθρωπος
ἑστηκὼς VXI-XAPNSM ἵστημι
κατασιωπήσω VA--AAS1S- σιωπάω κατα

Job 37:21
πᾶσιν A3--DPM--- πᾶς
δ' X--------- δέ
οὐχ D--------- οὐ
ὁρατὸν A1--ASN--- ὁρατός
τὸ RA--ASN--- ὁ
φῶς N3T-ASN--- φῶς
τηλαυγές A3H-NSN--- τηλαυγής
ἐστιν V9--PAI3S- εἰμί
ἐν P--------- ἐν
τοῖς RA--DPM--- ὁ
παλαιώμασιν N3M-DPM--- παλαίωμα
ὥσπερ D--------- ὥσπερ
τὸ RA--ASN--- ὁ
παρ' P--------- παρά
αὐτοῦ RD--GSM--- αὐτός
ἐπὶ P--------- ἐπί
νεφῶν N3E-GPN--- νέφος

Job 37:22
ἀπὸ P--------- ἀπό
βορρᾶ N1T-GSM--- βορέας
νέφη N3E-NPN--- νέφος
χρυσαυγοῦντα V2--PAPNPN χρυσαυγέω
ἐπὶ P--------- ἐπί
τούτοις RD--DPM--- οὗτος
μεγάλη A1--NSF--- μέγας
ἡ RA--NSF--- ὁ
δόξα N1S-NSF--- δόξα
καὶ C--------- καί
τιμὴ N1--NSF--- τιμή
παντοκράτορος N3R-GSM--- παντοκράτωρ

Job 37:23
καὶ C--------- καί
οὐχ D--------- οὐ
εὑρίσκομεν V1--PAI1P- εὑρίσκω
ἄλλον RD--ASM--- ἄλλος
ὅμοιον A1A-ASM--- ὅμοιος
τῇ RA--DSF--- ὁ
ἰσχύι N3U-DSF--- ἰσχύς
αὐτοῦ RD--GSM--- αὐτός
ὁ RA--NSM--- ὁ
τὰ RA--APN--- ὁ
δίκαια A1A-APN--- δίκαιος
κρίνων V1--PAPNSM κρίνω
οὐκ D--------- οὐ
οἴει V1--PAI3S- οἴομαι
ἐπακούειν V1--PAN--- ἀκούω ἐπι
αὐτόν RD--ASM--- αὐτός

Job 37:24
διὸ C--------- διό
φοβηθήσονται VC--FPI3P- φοβέω
αὐτὸν RD--ASM--- αὐτός
οἱ RA--NPM--- ὁ
ἄνθρωποι N2--NPM--- ἄνθρωπος
φοβηθήσονται VC--FPI3P- φοβέω
δὲ X--------- δέ
αὐτὸν RD--ASM--- αὐτός
καὶ C--------- καί
οἱ RA--NPM--- ὁ
σοφοὶ A1--NPM--- σοφός
καρδίᾳ N1A-DSF--- καρδία

Job 38:1
μετὰ P--------- μετά
δὲ X--------- δέ
τὸ RA--ASN--- ὁ
παύσασθαι VA--AMN--- παύω
Ελιουν N---ASM--- Ελιους
τῆς RA--GSF--- ὁ
λέξεως N3I-GSF--- λέξις
εἶπεν VBI-AAI3S- εἶπον
ὁ RA--NSM--- ὁ
κύριος N2--NSM--- κύριος
τῷ RA--DSM--- ὁ
Ιωβ N---DSM--- Ιωβ
διὰ P--------- διά
λαίλαπος N3P-GSF--- λαῖλαψ
καὶ C--------- καί
νεφῶν N3E-GPN--- νέφος

Job 38:2
τίς RI--NSM--- τίς
οὗτος RD--NSM--- οὗτος
ὁ RA--NSM--- ὁ
κρύπτων V1--PAPNSM κρύπτω
με RP--AS---- ἐγώ
βουλήν N1--ASF--- βουλή
συνέχων V1--PAPNSM ἔχω συν
δὲ X--------- δέ
ῥήματα N3M-APN--- ῥῆμα
ἐν P--------- ἐν
καρδίᾳ N1A-DSF--- καρδία
ἐμὲ RP--AS---- ἐγώ
δὲ X--------- δέ
οἴεται V1--PMI3S- οἴομαι
κρύπτειν V1--PAN--- κρύπτω

Job 38:3
ζῶσαι VO--AMD2S- ζώννυμι
ὥσπερ D--------- ὥσπερ
ἀνὴρ N3--NSM--- ἀνήρ
τὴν RA--ASF--- ὁ
ὀσφύν N3U-ASF--- ὀσφύς
σου RP--GS---- σύ
ἐρωτήσω VA--AAS1S- ἐρωτάω
δέ X--------- δέ
σε RP--AS---- σύ
σὺ RP--NS---- σύ
δέ X--------- δέ
μοι RP--DS---- ἐγώ
ἀποκρίθητι VC--APD2S- κρίνω ἀπο

Job 38:4
ποῦ D--------- ποῦ
ἦς V9--IAS2S- εἰμί
ἐν P--------- ἐν
τῷ RA--DSN--- ὁ
θεμελιοῦν V4--PAN--- θεμελιόω
με RP--AS---- ἐγώ
τὴν RA--ASF--- ὁ
γῆν N1--ASF--- γῆ
ἀπάγγειλον VA--AAD2S- ἀγγέλλω ἀπο
δέ X--------- δέ
μοι RP--DS---- ἐγώ
εἰ C--------- εἰ
ἐπίστῃ V6--PMS2S- ἐπίσταμαι
σύνεσιν N3I-ASF--- σύνεσις

Job 38:5
τίς RI--NSM--- τίς
ἔθετο VEI-AMI3S- τίθημι
τὰ RA--APN--- ὁ
μέτρα N2N-APN--- μέτρον
αὐτῆς RD--GSF--- αὐτός
εἰ C--------- εἰ
οἶδας VX--XAI2S- οἶδα
ἢ C--------- ἤ
τίς RI--NSM--- τίς
ὁ RA--NSM--- ὁ
ἐπαγαγὼν VB--AAPNSM ἄγω ἐπι
σπαρτίον N2--ASN--- σπαρτίον
ἐπ' P--------- ἐπί
αὐτῆς RD--GSF--- αὐτός

Job 38:6
ἐπὶ P--------- ἐπί
τίνος RI--GSN--- τίς
οἱ RA--NPM--- ὁ
κρίκοι N2--NPM--- κρίκος
αὐτῆς RD--GSF--- αὐτός
πεπήγασιν VX--XAI3P- πήγνυμι
τίς RI--NSM--- τίς
δέ X--------- δέ
ἐστιν V9--PAI3S- εἰμί
ὁ RA--NSM--- ὁ
βαλὼν VB--AAPNSM βάλλω
λίθον N2--ASM--- λίθος
γωνιαῖον A1--ASM--- γωνιαῖος
ἐπ' P--------- ἐπί
αὐτῆς RD--GSF--- αὐτός

Job 38:7
ὅτε D--------- ὅτε
ἐγενήθησαν VCI-API3P- γίγνομαι
ἄστρα N2N-NPN--- ἄστρον
ᾔνεσάν VAI-AAI3P- αἰνέω
με RP--AS---- ἐγώ
φωνῇ N1--DSF--- φωνή
μεγάλῃ A1--DSF--- μέγας
πάντες A3--NPM--- πᾶς
ἄγγελοί N2--NPM--- ἄγγελος
μου RP--GS---- ἐγώ

Job 38:8
ἔφραξα VAI-AAI1S- φράσσω
δὲ X--------- δέ
θάλασσαν N1S-ASF--- θάλασσα
πύλαις N1--DPF--- πύλη
ὅτε D--------- ὅτε
ἐμαίμασσεν VAI-AAI3S- μαιμάσσω
ἐκ P--------- ἐκ
κοιλίας N1A-GSF--- κοιλία
μητρὸς N3--GSF--- μήτηρ
αὐτῆς RD--GSF--- αὐτός
ἐκπορευομένη V1--PMPNSF πορεύομαι ἐκ

Job 38:9
ἐθέμην VEI-AMI1S- τίθημι
δὲ X--------- δέ
αὐτῇ RD--DSF--- αὐτός
νέφος N3E-ASN--- νέφος
ἀμφίασιν N3I-ASM--- ἀμφίασις
ὁμίχλῃ N1--DSF--- ὁμίχλη
δὲ X--------- δέ
αὐτὴν RD--ASF--- αὐτός
ἐσπαργάνωσα VAI-AAI1S- σπαργανόω

Job 38:10
ἐθέμην VEI-AMI1S- τίθημι
δὲ X--------- δέ
αὐτῇ RD--DSF--- αὐτός
ὅρια N2N-APN--- ὅριον
περιθεὶς VE--AAPNSM τίθημι περι
κλεῖθρα N2N-APN--- κλεῖθρον
καὶ C--------- καί
πύλας N1--APF--- πύλη

Job 38:11
εἶπα VAI-AAI1S- εἶπον
δὲ X--------- δέ
αὐτῇ RD--DSF--- αὐτός
μέχρι P--------- μέχρι
τούτου RD--GSM--- οὗτος
ἐλεύσῃ VF--FMI2S- ἔρχομαι
καὶ C--------- καί
οὐχ D--------- οὐ
ὑπερβήσῃ VF--FMI2S- βαίνω ὑπερ
ἀλλ' C--------- ἀλλά
ἐν P--------- ἐν
σεαυτῇ RD--DSF--- σεαυτοῦ
συντριβήσεταί VD--FPI3S- τρίβω συν
σου RP--GS---- σύ
τὰ RA--NPN--- ὁ
κύματα N3M-NPN--- κῦμα

Job 38:12
ἦ D--------- ἦ
ἐπὶ P--------- ἐπί
σοῦ RP--GS---- σύ
συντέταχα VX--XAI1S- τάσσω συν
φέγγος N3E-ASN--- φέγγος
πρωινόν A1--ASN--- πρωινός
ἑωσφόρος N2--NSM--- ἑωσφόρος
δὲ X--------- δέ
εἶδεν VBI-AAI3S- ὁράω
τὴν RA--ASF--- ὁ
ἑαυτοῦ RD--GSM--- ἑαυτοῦ
τάξιν N3I-ASF--- τάξις

Job 38:13
ἐπιλαβέσθαι VB--AMN--- λαμβάνω ἐπι
πτερύγων N3G-GPF--- πτέρυξ
γῆς N1--GSF--- γῆ
ἐκτινάξαι VA--AAN--- τινάσσω ἐκ
ἀσεβεῖς A3H-APM--- ἀσεβής
ἐξ P--------- ἐκ
αὐτῆς RD--GSF--- αὐτός

Job 38:14
ἦ D--------- ἦ
σὺ RP--NS---- σύ
λαβὼν VB--AAPNSM λαμβάνω
γῆν N1--ASF--- γῆ
πηλὸν N2--ASM--- πηλός
ἔπλασας VAI-AAI2S- πλάσσω
ζῷον N2N-ASN--- ζῷον
καὶ C--------- καί
λαλητὸν N2--ASM--- λαλητός
αὐτὸν RD--ASM--- αὐτός
ἔθου VEI-AMI2S- τίθημι
ἐπὶ P--------- ἐπί
γῆς N1--GSF--- γῆ

Job 38:15
ἀφεῖλας VBI-AAI2S- αἱρέω ἀπο
δὲ X--------- δέ
ἀπὸ P--------- ἀπό
ἀσεβῶν A3H-GPM--- ἀσεβής
τὸ RA--ASN--- ὁ
φῶς N3T-ASN--- φῶς
βραχίονα N3N-ASM--- βραχίων
δὲ X--------- δέ
ὑπερηφάνων A1B-GPM--- ὑπερήφανος
συνέτριψας VAI-AAI2S- τρίβω συν

Job 38:16
ἦλθες VBI-AAI2S- ἔρχομαι
δὲ X--------- δέ
ἐπὶ P--------- ἐπί
πηγὴν N1--ASF--- πηγή
θαλάσσης N1S-GSF--- θάλασσα
ἐν P--------- ἐν
δὲ X--------- δέ
ἴχνεσιν N3E-DPN--- ἴχνος
ἀβύσσου N2--GSF--- ἄβυσσος
περιεπάτησας VAI-AAI2S- πατέω περι

Job 38:17
ἀνοίγονται V1--PMI3P- οἴγω ἀνα
δέ X--------- δέ
σοι RP--DS---- σύ
φόβῳ N2--DSM--- φόβος
πύλαι N1--NPF--- πύλη
θανάτου N2--GSM--- θάνατος
πυλωροὶ N2--NPM--- πυλωρός
δὲ X--------- δέ
ᾅδου N1M-GSM--- ᾅδης
ἰδόντες VB--AAPNPM ὁράω
σε RP--AS---- σύ
ἔπτηξαν VAI-AAI3P- πτήσσω

Job 38:18
νενουθέτησαι VM--XPP2S- νουθετέω
δὲ X--------- δέ
τὸ RA--ASN--- ὁ
εὖρος N3E-ASN--- εὖρος
τῆς RA--GSF--- ὁ
ὑπ' P--------- ὑπό
οὐρανόν N2--ASM--- οὐρανός
ἀνάγγειλον VA--AAD2S- ἀγγέλλω ἀνα
δή X--------- δή
μοι RP--DS---- ἐγώ
πόση A1--NSF--- πόσος
τίς RI--NSM--- τίς
ἐστιν V9--PAI3S- εἰμί

Job 38:19
ποίᾳ A1A-DSF--- ποῖος
δὲ X--------- δέ
γῇ N1--DSF--- γῆ
αὐλίζεται V1--PMI3S- αὐλίζω
τὸ RA--NSN--- ὁ
φῶς N3T-NSN--- φῶς
σκότους N3E-GSN--- σκότος
δὲ X--------- δέ
ποῖος A1A-NSM--- ποῖος
ὁ RA--NSM--- ὁ
τόπος N2--NSM--- τόπος

Job 38:20
εἰ C--------- εἰ
ἀγάγοις VB--AAO2S- ἄγω
με RP--AS---- ἐγώ
εἰς P--------- εἰς
ὅρια N2N-APN--- ὅριον
αὐτῶν RD--GPM--- αὐτός
εἰ C--------- εἰ
δὲ X--------- δέ
καὶ C--------- καί
ἐπίστασαι V6--PMI2S- ἐπίσταμαι
τρίβους N2--APF--- τρίβος
αὐτῶν RD--GPM--- αὐτός

Job 38:21
οἶδα VX--XAI1S- οἶδα
ἄρα X--------- ἄρα
ὅτι C--------- ὅτι
τότε D--------- τότε
γεγέννησαι VM--XMI2S- γεννάω
ἀριθμὸς N2--NSM--- ἀριθμός
δὲ X--------- δέ
ἐτῶν N3E-GPN--- ἔτος
σου RP--GS---- σύ
πολύς A1--NSM--- πολύς

Job 38:22
ἦλθες VBI-AAI2S- ἔρχομαι
δὲ X--------- δέ
ἐπὶ P--------- ἐπί
θησαυροὺς N2--APM--- θησαυρός
χιόνος N3N-GSF--- χιών
θησαυροὺς N2--APM--- θησαυρός
δὲ X--------- δέ
χαλάζης N1S-GSF--- χαλάζα
ἑόρακας VX--XAI2S- ὁράω

Job 38:23
ἀπόκειται V5--PMI3S- κεῖμαι ἀπο
δέ X--------- δέ
σοι RP--DS---- σύ
εἰς P--------- εἰς
ὥραν N1A-ASF--- ὥρα
ἐχθρῶν N2--GPM--- ἐχθρός
εἰς P--------- εἰς
ἡμέραν N1A-ASF--- ἡμέρα
πολέμου N2--GSM--- πόλεμος
καὶ C--------- καί
μάχης N1--GSF--- μάχη

Job 38:24
πόθεν D--------- πόθεν
δὲ X--------- δέ
ἐκπορεύεται V1--PMI3S- πορεύομαι ἐκ
πάχνη N1--NSF--- πάχνη
ἢ C--------- ἤ
διασκεδάννυται V5--PPI3S- σκεδάζω δια
νότος N2--NSM--- νότος
εἰς P--------- εἰς
τὴν RA--ASF--- ὁ
ὑπ' P--------- ὑπό
οὐρανόν N2--ASM--- οὐρανός

Job 38:25
τίς RI--NSM--- τίς
δὲ X--------- δέ
ἡτοίμασεν VAI-AAI3S- ἑτοιμάζω
ὑετῷ N2--DSM--- ὑετός
λάβρῳ A1B-DSM--- λάβρος
ῥύσιν N3I-ASF--- ῥύσις
ὁδὸν N2--ASF--- ὁδός
δὲ X--------- δέ
κυδοιμῶν V2--PAPNSM κυδοιμέω

Job 38:26
τοῦ RA--GSN--- ὁ
ὑετίσαι VA--AAN--- ὑετίζω
ἐπὶ P--------- ἐπί
γῆν N1--ASF--- γῆ
οὗ RR--GSM--- ὅς
οὐκ D--------- οὐ
ἀνήρ N3--NSM--- ἀνήρ
ἔρημον N2--ASF--- ἔρημος
οὗ RR--GSM--- ὅς
οὐχ D--------- οὐ
ὑπάρχει V1--PAI3S- ἄρχω ὑπο
ἄνθρωπος N2--NSM--- ἄνθρωπος
ἐν P--------- ἐν
αὐτῇ RD--DSF--- αὐτός

Job 38:27
τοῦ RA--GSN--- ὁ
χορτάσαι VA--AAN--- χορτάζω
ἄβατον A1B-ASM--- ἄβατος
καὶ C--------- καί
ἀοίκητον A1B-ASM--- ἀοίκητος
καὶ C--------- καί
τοῦ RA--GSN--- ὁ
ἐκβλαστῆσαι VA--AAN--- βλαστάνω ἐκ
ἔξοδον N2--ASF--- ἔξοδος
χλόης N1--GSF--- χλόη

Job 38:28
τίς RI--NSM--- τίς
ἐστιν V9--PAI3S- εἰμί
ὑετοῦ N2--GSM--- ὑετός
πατήρ N3--NSM--- πατήρ
τίς RI--NSM--- τίς
δέ X--------- δέ
ἐστιν V9--PAI3S- εἰμί
ὁ RA--NSM--- ὁ
τετοκὼς VX--XAPNSM τίκτω
βώλους N2--APF--- βῶλος
δρόσου N2--GSF--- δρόσος

Job 38:29
ἐκ P--------- ἐκ
γαστρὸς N3--GSF--- γαστήρ
δὲ X--------- δέ
τίνος RI--GSN--- τίς
ἐκπορεύεται V1--PMI3S- πορεύομαι ἐκ
ὁ RA--NSM--- ὁ
κρύσταλλος N2--NSM--- κρυστάλλος
πάχνην N1--ASF--- πάχνη
δὲ X--------- δέ
ἐν P--------- ἐν
οὐρανῷ N2--DSM--- οὐρανός
τίς RI--NSM--- τίς
τέτοκεν VX--XAI3S- τίκτω

Job 38:30
ἣ RR--NSF--- ὅς
καταβαίνει V1--PAI3S- βαίνω κατα
ὥσπερ D--------- ὥσπερ
ὕδωρ N3--NSN--- ὕδωρ
ῥέον V2--PAPNSN ῥέω
πρόσωπον N2N-ASN--- πρόσωπον
δὲ X--------- δέ
ἀβύσσου N2--GSF--- ἄβυσσος
τίς RI--NSM--- τίς
ἔπηξεν VAI-AAI3S- πήγνυμι

Job 38:31
συνῆκας VAI-AAI2S- ἵημι συν
δὲ X--------- δέ
δεσμὸν N2--ASM--- δεσμός
Πλειάδος N3D-GSM--- Πλειάς
καὶ C--------- καί
φραγμὸν N2--ASM--- φραγμός
Ὠρίωνος N---GSM--- Ὠρίων
ἤνοιξας VAI-AAI2S- οἴγω ἀνα

Job 38:32
ἦ D--------- ἦ
διανοίξεις VF--FAI2S- οἴγω δια ἀνα
μαζουρωθ N---ASM--- μαζουρωθ
ἐν P--------- ἐν
καιρῷ N2--DSM--- καιρός
αὐτοῦ RD--GSM--- αὐτός
καὶ C--------- καί
Ἕσπερον N---ASM--- Ἕσπερος
ἐπὶ P--------- ἐπί
κόμης N1--GSF--- κόμη
αὐτοῦ RD--GSM--- αὐτός
ἄξεις VF--FAI2S- ἄγω
αὐτά RD--APN--- αὐτός

Job 38:33
ἐπίστασαι V6--PMI2S- ἐπίσταμαι
δὲ X--------- δέ
τροπὰς N1--APF--- τροπή
οὐρανοῦ N2--GSM--- οὐρανός
ἢ C--------- ἤ
τὰ RA--APN--- ὁ
ὑπ' P--------- ὑπό
οὐρανὸν N2--ASM--- οὐρανός
ὁμοθυμαδὸν D--------- ὁμοθυμαδόν
γινόμενα V1--PMPAPN γίγνομαι

Job 38:34
καλέσεις VF--FAI2S- καλέω
δὲ X--------- δέ
νέφος N3E-ASN--- νέφος
φωνῇ N1--DSF--- φωνή
καὶ C--------- καί
τρόμῳ N2--DSM--- τρόμος
ὕδατος N3T-GSN--- ὕδωρ
λάβρῳ A1B-DSM--- λάβρος
ὑπακούσεταί VF--FMI3S- ἀκούω ὑπο
σου RP--GS---- σύ

Job 38:35
ἀποστελεῖς VF2-FAI2S- στέλλω ἀπο
δὲ X--------- δέ
κεραυνοὺς N2--APM--- κεραυνός
καὶ C--------- καί
πορεύσονται VF--FMI3P- πορεύομαι
ἐροῦσιν VF2-FAI3P- εἶπον
δέ X--------- δέ
σοι RP--DS---- σύ
τί RI--NSN--- τίς
ἐστιν V9--PAI3S- εἰμί

Job 38:36
τίς RI--NSM--- τίς
δὲ X--------- δέ
ἔδωκεν VAI-AAI3S- δίδωμι
γυναιξὶν N3K-DPF--- γυνή
ὑφάσματος N3M-GSN--- ὕφασμα
σοφίαν N1A-ASF--- σοφία
ἢ C--------- ἤ
ποικιλτικὴν A1--ASF--- ποικιλτικός
ἐπιστήμην N1--ASF--- ἐπιστήμη

Job 38:37
τίς RI--NSM--- τίς
δὲ X--------- δέ
ὁ RA--NSM--- ὁ
ἀριθμῶν V2--PAPNSM ἀριθμέω
νέφη N3E-APN--- νέφος
σοφίᾳ N1A-DSF--- σοφία
οὐρανὸν N2--ASM--- οὐρανός
δὲ X--------- δέ
εἰς P--------- εἰς
γῆν N1--ASF--- γῆ
ἔκλινεν V1I-IAI3S- κλίνω

Job 38:38
κέχυται VM--XMI3S- χέω
δὲ X--------- δέ
ὥσπερ D--------- ὥσπερ
γῆ N1--NSF--- γῆ
κονία N1A-NSF--- κονία
κεκόλληκα VX--XAI1S- κολλάω
δὲ X--------- δέ
αὐτὸν RD--ASM--- αὐτός
ὥσπερ D--------- ὥσπερ
λίθῳ N2--DSM--- λίθος
κύβον N2--ASM--- κύβος

Job 38:39
θηρεύσεις VF--FAI2S- θηρεύω
δὲ X--------- δέ
λέουσιν N3N-DPM--- λέων
βοράν N1A-ASF--- βορά
ψυχὰς N1--APF--- ψυχή
δὲ X--------- δέ
δρακόντων N3--GPM--- δράκων
ἐμπλήσεις VF--FAI2S- πίμπλημι ἐν

Job 38:40
δεδοίκασιν VX--XAI3P- δείδω
γὰρ X--------- γάρ
ἐν P--------- ἐν
κοίταις N1--DPF--- κοίτη
αὐτῶν RD--GPM--- αὐτός
κάθηνται V5--PMI3P- ἧμαι κατα
δὲ X--------- δέ
ἐν P--------- ἐν
ὕλαις N1--DPF--- ὕλη
ἐνεδρεύοντες V1--PAPNPM ἐνεδρεύω

Job 38:41
τίς RI--NSM--- τίς
δὲ X--------- δέ
ἡτοίμασεν VAI-AAI3S- ἑτοιμάζω
κόρακι N3K-DSM--- κόραξ
βοράν N1A-ASF--- βορά
νεοσσοὶ N2--NPM--- νεοσσός
γὰρ X--------- γάρ
αὐτοῦ RD--GSM--- αὐτός
πρὸς P--------- πρός
κύριον N2--ASM--- κύριος
κεκράγασιν VX--XAI3P- κράζω
πλανώμενοι V3--PMPNPM πλανάω
τὰ RA--APN--- ὁ
σῖτα N2--APN--- σῖτος
ζητοῦντες V2--PAPNPM ζητέω

Job 39:1
εἰ C--------- εἰ
ἔγνως VZI-AAI2S- γιγνώσκω
καιρὸν N2--ASM--- καιρός
τοκετοῦ N2--GSM--- τοκετός
τραγελάφων N2--GPM--- τραγελάφος
πέτρας N1A-APF--- πέτρα
ἐφύλαξας VAI-AAI2S- φυλάσσω
δὲ X--------- δέ
ὠδῖνας N3--APF--- ὠδίν
ἐλάφων N2--GPM--- ἔλαφος

Job 39:2
ἠρίθμησας VAI-AAI2S- ἀριθμέω
δὲ X--------- δέ
αὐτῶν RD--GPM--- αὐτός
μῆνας N3--APM--- μήν
πλήρεις A3H-APM--- πλήρης
τοκετοῦ N2--GSM--- τοκετός
ὠδῖνας N3--APF--- ὠδίν
δὲ X--------- δέ
αὐτῶν RD--GPM--- αὐτός
ἔλυσας VAI-AAI2S- λύω

Job 39:3
ἐξέθρεψας VAI-AAI2S- τρέφω ἐκ
δὲ X--------- δέ
αὐτῶν RD--GPM--- αὐτός
τὰ RA--APN--- ὁ
παιδία N2N-APN--- παιδίον
ἔξω P--------- ἔξω
