Num 1:1
ἐπὶ P--------- ἐπί
Μαδιαν N---ASF--- Μαδιαν
καθὰ D--------- καθά
ἐνετείλατο VAI-AMI3S- τέλλομαι ἐν
κύριος N2--NSM--- κύριος
τῷ RA--DSM--- ὁ
Μωυσῇ N1M-DSM--- Μωυσῆς
καὶ C--------- καί
ἀπέκτειναν VAI-AAI3P- κτείνω ἀπο
πᾶν A3--ASN--- πᾶς
ἀρσενικόν A1--ASN--- ἀρσενικός

Num 31:8
καὶ C--------- καί
τοὺς RA--APM--- ὁ
βασιλεῖς N3V-NPM--- βασιλεύς
Μαδιαν N---GSF--- Μαδιαν
ἀπέκτειναν VAI-AAI3P- κτείνω ἀπο
ἅμα D--------- ἅμα
τοῖς RA--DPM--- ὁ
τραυματίαις N1T-DPM--- τραυματίας
αὐτῶν RD--GPM--- αὐτός
καὶ C--------- καί
τὸν RA--ASM--- ὁ
Ευιν N---ASM--- Ευιν
καὶ C--------- καί
τὸν RA--ASM--- ὁ
Σουρ N---ASM--- Σουρ
καὶ C--------- καί
τὸν RA--ASM--- ὁ
Ροκομ N---ASM--- Ροκομ
καὶ C--------- καί
τὸν RA--ASM--- ὁ
Ουρ N---ASM--- Ουρ
καὶ C--------- καί
τὸν RA--ASM--- ὁ
Ροβοκ N---ASM--- Ροβοκ
πέντε M--------- πέντε
βασιλεῖς N3V-NPM--- βασιλεύς
Μαδιαν N---GSF--- Μαδιαν
καὶ C--------- καί
τὸν RA--ASM--- ὁ
Βαλααμ N---ASM--- Βαλααμ
υἱὸν N2--ASM--- υἱός
Βεωρ N---ASM--- Βεωρ
ἀπέκτειναν VAI-AAI3P- κτείνω ἀπο
ἐν P--------- ἐν
ῥομφαίᾳ N1A-DSF--- ῥομφαία
σὺν P--------- σύν
τοῖς RA--DPM--- ὁ
τραυματίαις N1T-DPM--- τραυματίας
αὐτῶν RD--GPM--- αὐτός

Num 31:9
καὶ C--------- καί
ἐπρονόμευσαν VAI-AAI3P- νομεύω προ
τὰς RA--APF--- ὁ
γυναῖκας N3K-APF--- γυνή
Μαδιαν N---GSF--- Μαδιαν
καὶ C--------- καί
τὴν RA--ASF--- ὁ
ἀποσκευὴν N1--ASF--- ἀποσκευή
αὐτῶν RD--GPM--- αὐτός
καὶ C--------- καί
τὰ RA--APN--- ὁ
κτήνη N3E-APN--- κτῆνος
αὐτῶν RD--GPM--- αὐτός
καὶ C--------- καί
πάντα A3--APN--- πᾶς
τὰ RA--APN--- ὁ
ἔγκτητα A1--APN--- ἔγκτητος
αὐτῶν RD--GPM--- αὐτός
καὶ C--------- καί
τὴν RA--ASF--- ὁ
δύναμιν N3I-ASF--- δύναμις
αὐτῶν RD--GPM--- αὐτός
ἐπρονόμευσαν VAI-AAI3P- νομεύω προ

Num 31:10
καὶ C--------- καί
πάσας A1S-APF--- πᾶς
τὰς RA--APF--- ὁ
πόλεις N3I-APF--- πόλις
αὐτῶν RD--GPM--- αὐτός
τὰς RA--APF--- ὁ
ἐν P--------- ἐν
ταῖς RA--DPF--- ὁ
οἰκίαις N1A-DPF--- οἰκία
αὐτῶν RD--GPM--- αὐτός
καὶ C--------- καί
τὰς RA--APF--- ὁ
ἐπαύλεις N3I-APF--- ἔπαυλις
αὐτῶν RD--GPM--- αὐτός
ἐνέπρησαν VAI-AAI3P- πίπρημι ἐν
ἐν P--------- ἐν
πυρί N3--DSN--- πῦρ

Num 31:11
καὶ C--------- καί
ἔλαβον VBI-AAI3P- λαμβάνω
πᾶσαν A1S-ASF--- πᾶς
τὴν RA--ASF--- ὁ
προνομὴν N1--ASF--- προνομή
καὶ C--------- καί
πάντα A3--APN--- πᾶς
τὰ RA--APN--- ὁ
σκῦλα N2N-APN--- σκῦλον
αὐτῶν RD--GPM--- αὐτός
ἀπὸ P--------- ἀπό
ἀνθρώπου N2--GSM--- ἄνθρωπος
ἕως P--------- ἕως
κτήνους N3E-GSN--- κτῆνος

Num 31:12
καὶ C--------- καί
ἤγαγον VBI-AAI3P- ἄγω
πρὸς P--------- πρός
Μωυσῆν N1M-ASM--- Μωυσῆς
καὶ C--------- καί
πρὸς P--------- πρός
Ελεαζαρ N---ASM--- Ελεαζαρ
τὸν RA--ASM--- ὁ
ἱερέα N3V-ASM--- ἱερεύς
καὶ C--------- καί
πρὸς P--------- πρός
πάντας A3--APM--- πᾶς
υἱοὺς N2--APM--- υἱός
Ισραηλ N---GSM--- Ἰσραήλ
τὴν RA--ASF--- ὁ
αἰχμαλωσίαν N1A-ASF--- αἰχμαλωσία
καὶ C--------- καί
τὰ RA--APN--- ὁ
σκῦλα N2N-APN--- σκῦλον
καὶ C--------- καί
τὴν RA--ASF--- ὁ
προνομὴν N1--ASF--- προνομή
εἰς P--------- εἰς
τὴν RA--ASF--- ὁ
παρεμβολὴν N1--ASF--- παρεμβολή
εἰς P--------- εἰς
Αραβωθ N---ASM--- Ἀραβώθ
Μωαβ N---GSM--- Μωαβ
ἥ RR--NSF--- ὅς
ἐστιν V9--PAI3S- εἰμί
ἐπὶ P--------- ἐπί
τοῦ RA--GSM--- ὁ
Ιορδάνου N1M-GSM--- Ἰορδάνης
κατὰ P--------- κατά
Ιεριχω N---ASM--- Ιεριχω

Num 31:13
καὶ C--------- καί
ἐξῆλθεν VBI-AAI3S- ἔρχομαι ἐκ
Μωυσῆς N1M-NSM--- Μωυσῆς
καὶ C--------- καί
Ελεαζαρ N---NSM--- Ελεαζαρ
ὁ RA--NSM--- ὁ
ἱερεὺς N3V-NSM--- ἱερεύς
καὶ C--------- καί
πάντες A3--NPM--- πᾶς
οἱ RA--NPM--- ὁ
ἄρχοντες N3--NPM--- ἄρχων
τῆς RA--GSF--- ὁ
συναγωγῆς N1--GSF--- συναγωγή
εἰς P--------- εἰς
συνάντησιν N3I-ASF--- συνάντησις
αὐτοῖς RD--DPM--- αὐτός
ἔξω P--------- ἔξω
τῆς RA--GSF--- ὁ
παρεμβολῆς N1--GSF--- παρεμβολή

Num 31:14
καὶ C--------- καί
ὠργίσθη VSI-API3S- ὀργίζω
Μωυσῆς N1M-NSM--- Μωυσῆς
ἐπὶ P--------- ἐπί
τοῖς RA--DPM--- ὁ
ἐπισκόποις N2--DPM--- ἐπισκοπός
τῆς RA--GSF--- ὁ
δυνάμεως N3I-GSF--- δύναμις
χιλιάρχοις N2--DPM--- χιλίαρχος
καὶ C--------- καί
ἑκατοντάρχοις N2--DPM--- ἑκατόνταρχος
τοῖς RA--DPM--- ὁ
ἐρχομένοις V1--PMPDPM ἔρχομαι
ἐκ P--------- ἐκ
τῆς RA--GSF--- ὁ
παρατάξεως N3I-GSF--- παράταξις
τοῦ RA--GSM--- ὁ
πολέμου N2--GSM--- πόλεμος

Num 31:15
καὶ C--------- καί
εἶπεν VBI-AAI3S- εἶπον
αὐτοῖς RD--DPM--- αὐτός
Μωυσῆς N1M-NSM--- Μωυσῆς
ἵνα C--------- ἵνα
τί RI--ASN--- τίς
ἐζωγρήσατε VAI-AAI2P- ζωγρέω
πᾶν A3--ASN--- πᾶς
θῆλυ A3U-ASN--- θῆλυς

Num 31:16
αὗται RD--NPF--- οὗτος
γὰρ X--------- γάρ
ἦσαν V9--IAI3P- εἰμί
τοῖς RA--DPM--- ὁ
υἱοῖς N2--DPM--- υἱός
Ισραηλ N---GSM--- Ἰσραήλ
κατὰ P--------- κατά
τὸ RA--ASN--- ὁ
ῥῆμα N3M-ASN--- ῥῆμα
Βαλααμ N---GSM--- Βαλααμ
τοῦ RA--GSN--- ὁ
ἀποστῆσαι VA--AAN--- ἵστημι ἀπο
καὶ C--------- καί
ὑπεριδεῖν VB--AAN--- ὁράω ὑπερ
τὸ RA--ASN--- ὁ
ῥῆμα N3M-ASN--- ῥῆμα
κυρίου N2--GSM--- κύριος
ἕνεκεν P--------- ἕνεκεν
Φογωρ N---GS---- Φογωρ
καὶ C--------- καί
ἐγένετο VBI-AMI3S- γίγνομαι
ἡ RA--NSF--- ὁ
πληγὴ N1--NSF--- πληγή
ἐν P--------- ἐν
τῇ RA--DSF--- ὁ
συναγωγῇ N1--DSF--- συναγωγή
κυρίου N2--GSM--- κύριος

Num 31:17
καὶ C--------- καί
νῦν D--------- νῦν
ἀποκτείνατε VA--AAD2P- κτείνω ἀπο
πᾶν A3--ASN--- πᾶς
ἀρσενικὸν A1--ASN--- ἀρσενικός
ἐν P--------- ἐν
πάσῃ A1S-DSF--- πᾶς
τῇ RA--DSF--- ὁ
ἀπαρτίᾳ N1A-DSF--- ἀπαρτία
καὶ C--------- καί
πᾶσαν A1S-ASF--- πᾶς
γυναῖκα N3K-ASF--- γυνή
ἥτις RX--NSF--- ὅστις
ἔγνωκεν VX--XAI3S- γιγνώσκω
κοίτην N1--ASF--- κοίτη
ἄρσενος A3--GSM--- ἄρσην
ἀποκτείνατε VA--AAD2P- κτείνω ἀπο

Num 31:18
πᾶσαν A1S-ASF--- πᾶς
τὴν RA--ASF--- ὁ
ἀπαρτίαν N1A-ASF--- ἀπαρτία
τῶν RA--GPF--- ὁ
γυναικῶν N3K-GPF--- γυνή
ἥτις RX--NSF--- ὅστις
οὐκ D--------- οὐ
οἶδεν VX--XAI3S- οἶδα
κοίτην N1--ASF--- κοίτη
ἄρσενος A3--GSM--- ἄρσην
ζωγρήσατε VA--AAD2P- ζωγρέω
αὐτάς RD--APF--- αὐτός

Num 31:19
καὶ C--------- καί
ὑμεῖς RP--NP---- σύ
παρεμβάλετε VB--AAD2P- βάλλω παρα ἐν
ἔξω P--------- ἔξω
τῆς RA--GSF--- ὁ
παρεμβολῆς N1--GSF--- παρεμβολή
ἑπτὰ M--------- ἑπτά
ἡμέρας N1A-GSF--- ἡμέρα
πᾶς A3--NSM--- πᾶς
ὁ RA--NSM--- ὁ
ἀνελὼν VA--AAPNSM αἱρέω ἀνα
καὶ C--------- καί
ὁ RA--NSM--- ὁ
ἁπτόμενος V1--PMPNSM ἅπτομαι
τοῦ RA--GSN--- ὁ
τετρωμένου VM--XMPGSN τιτρώσκω
ἁγνισθήσεται VC--FPI3S- ἁγνίζω
τῇ RA--DSF--- ὁ
ἡμέρᾳ N1A-DSF--- ἡμέρα
τῇ RA--DSF--- ὁ
τρίτῃ A1--DSF--- τρίτος
καὶ C--------- καί
τῇ RA--DSF--- ὁ
ἡμέρᾳ N1A-DSF--- ἡμέρα
τῇ RA--DSF--- ὁ
ἑβδόμῃ A1--DSF--- ἕβδομος
ὑμεῖς RP--NP---- σύ
καὶ C--------- καί
ἡ RA--NSF--- ὁ
αἰχμαλωσία N1A-NSF--- αἰχμαλωσία
ὑμῶν RP--GP---- σύ

Num 31:20
καὶ C--------- καί
πᾶν A3--ASN--- πᾶς
περίβλημα A3--ASN--- περίβλημα
καὶ C--------- καί
πᾶν A3--ASN--- πᾶς
σκεῦος N3E-ASN--- σκεῦος
δερμάτινον A1--ASN--- δερμάτινος
καὶ C--------- καί
πᾶσαν A1S-ASF--- πᾶς
ἐργασίαν N1A-ASF--- ἐργασία
ἐξ P--------- ἐκ
αἰγείας A1A-GSF--- αἴγειος
καὶ C--------- καί
πᾶν A3--ASN--- πᾶς
σκεῦος N3E-ASN--- σκεῦος
ξύλινον A1--ASN--- ξύλινος
ἀφαγνιεῖτε VF2-FAI2P- ἁγνίζω ἀπο

Num 31:21
καὶ C--------- καί
εἶπεν VBI-AAI3S- εἶπον
Ελεαζαρ N---NSM--- Ελεαζαρ
ὁ RA--NSM--- ὁ
ἱερεὺς N3V-NSM--- ἱερεύς
πρὸς P--------- πρός
τοὺς RA--APM--- ὁ
ἄνδρας N3--APM--- ἀνήρ
τῆς RA--GSF--- ὁ
δυνάμεως N3I-GSF--- δύναμις
τοὺς RA--APM--- ὁ
ἐρχομένους V1--PMPAPM ἔρχομαι
ἐκ P--------- ἐκ
τῆς RA--GSF--- ὁ
παρατάξεως N3I-GSF--- παράταξις
τοῦ RA--GSM--- ὁ
πολέμου N2--GSM--- πόλεμος
τοῦτο RD--NSN--- οὗτος
τὸ RA--NSN--- ὁ
δικαίωμα N3M-NSN--- δικαίωμα
τοῦ RA--GSM--- ὁ
νόμου N2--GSM--- νόμος
ὃ RR--NSN--- ὅς
συνέταξεν VAI-AAI3S- τάσσω συν
κύριος N2--NSM--- κύριος
τῷ RA--DSM--- ὁ
Μωυσῇ N1M-DSM--- Μωυσῆς

Num 31:22
πλὴν P--------- πλήν
τοῦ RA--GSN--- ὁ
χρυσίου N2N-GSN--- χρυσίον
καὶ C--------- καί
τοῦ RA--GSN--- ὁ
ἀργυρίου N2N-GSN--- ἀργύριον
καὶ C--------- καί
χαλκοῦ N2--GSM--- χαλκός
καὶ C--------- καί
σιδήρου N2--GSM--- σίδηρος
καὶ C--------- καί
μολίβου N2--GSM--- μόλιβος
καὶ C--------- καί
κασσιτέρου N2--GSM--- κασσίτερος

Num 31:23
πᾶν A3--ASN--- πᾶς
πρᾶγμα N3M-ASN--- πρᾶγμα
ὃ RR--NSN--- ὅς
διελεύσεται VF--FMI3S- ἔρχομαι δια
ἐν P--------- ἐν
πυρί N3--DSN--- πῦρ
καὶ C--------- καί
καθαρισθήσεται VS--FPI3S- καθαρίζω
ἀλλ' C--------- ἀλλά
ἢ C--------- ἤ
τῷ RA--DSN--- ὁ
ὕδατι N3T-DSN--- ὕδωρ
τοῦ RA--GSM--- ὁ
ἁγνισμοῦ N2--GSM--- ἁγνισμός
ἁγνισθήσεται VC--FPI3S- ἁγνίζω
καὶ C--------- καί
πάντα A3--APN--- πᾶς
ὅσα A1--APN--- ὅσος
ἐὰν C--------- ἐάν
μὴ D--------- μή
διαπορεύηται V1--PMS3S- πορεύομαι δια
διὰ P--------- διά
πυρός N3--GSN--- πῦρ
διελεύσεται VF--FMI3S- ἔρχομαι δια
δι' P--------- διά
ὕδατος N3T-GSN--- ὕδωρ

Num 31:24
καὶ C--------- καί
πλυνεῖσθε VF2-FMI2P- πλύνω
τὰ RA--APN--- ὁ
ἱμάτια N2N-APN--- ἱμάτιον
τῇ RA--DSF--- ὁ
ἡμέρᾳ N1A-DSF--- ἡμέρα
τῇ RA--DSF--- ὁ
ἑβδόμῃ A1--DSF--- ἕβδομος
καὶ C--------- καί
καθαρισθήσεσθε VS--FPI2P- καθαρίζω
καὶ C--------- καί
μετὰ P--------- μετά
ταῦτα RD--APN--- οὗτος
εἰσελεύσεσθε VF--FMI2P- ἔρχομαι εἰς
εἰς P--------- εἰς
τὴν RA--ASF--- ὁ
παρεμβολήν N1--ASF--- παρεμβολή

Num 31:25
καὶ C--------- καί
ἐλάλησεν VAI-AAI3S- λαλέω
κύριος N2--NSM--- κύριος
πρὸς P--------- πρός
Μωυσῆν N1M-ASM--- Μωυσῆς
λέγων V1--PAPNSM λέγω

Num 31:26
λαβὲ VB--AAD2S- λαμβάνω
τὸ RA--ASN--- ὁ
κεφάλαιον N2N-ASN--- κεφάλαιον
τῶν RA--GPN--- ὁ
σκύλων N2N-GPN--- σκῦλον
τῆς RA--GSF--- ὁ
αἰχμαλωσίας N1A-GSF--- αἰχμαλωσία
ἀπὸ P--------- ἀπό
ἀνθρώπου N2--GSM--- ἄνθρωπος
ἕως P--------- ἕως
κτήνους N3E-GSN--- κτῆνος
σὺ RP--NS---- σύ
καὶ C--------- καί
Ελεαζαρ N---NSM--- Ελεαζαρ
ὁ RA--NSM--- ὁ
ἱερεὺς N3V-NSM--- ἱερεύς
καὶ C--------- καί
οἱ RA--NPM--- ὁ
ἄρχοντες N3--NPM--- ἄρχων
τῶν RA--GPM--- ὁ
πατριῶν N1A-GPF--- πατριά
τῆς RA--GSF--- ὁ
συναγωγῆς N1--GSF--- συναγωγή

Num 31:27
καὶ C--------- καί
διελεῖτε VF2-FAI2P- αἱρέω δια
τὰ RA--APN--- ὁ
σκῦλα N2N-APN--- σκῦλον
ἀνὰ P--------- ἀνά
μέσον A1--ASM--- μέσος
τῶν RA--GPM--- ὁ
πολεμιστῶν N1M-GPM--- πολεμιστής
τῶν RA--GPM--- ὁ
ἐκπορευομένων V1--PMPGPM πορεύομαι ἐκ
εἰς P--------- εἰς
τὴν RA--ASF--- ὁ
παράταξιν N3I-ASF--- παράταξις
καὶ C--------- καί
ἀνὰ P--------- ἀνά
μέσον A1--ASN--- μέσος
πάσης A1S-GSF--- πᾶς
συναγωγῆς N1--GSF--- συναγωγή

Num 31:28
καὶ C--------- καί
ἀφελεῖτε VF2-FAI2P- αἱρέω ἀπο
τέλος N3E-ASN--- τέλος
κυρίῳ N2--DSM--- κύριος
παρὰ P--------- παρά
τῶν RA--GPM--- ὁ
ἀνθρώπων N2--GPM--- ἄνθρωπος
τῶν RA--GPM--- ὁ
πολεμιστῶν N1M-GPM--- πολεμιστής
τῶν RA--GPM--- ὁ
ἐκπεπορευμένων VM--XMPGPM πορεύομαι ἐκ
εἰς P--------- εἰς
τὴν RA--ASF--- ὁ
παράταξιν N3I-ASF--- παράταξις
μίαν A1A-ASF--- εἷς
ψυχὴν N1--ASF--- ψυχή
ἀπὸ P--------- ἀπό
πεντακοσίων A1A-GPM--- πεντακόσιοι
ἀπὸ P--------- ἀπό
τῶν RA--GPM--- ὁ
ἀνθρώπων N2--GPM--- ἄνθρωπος
καὶ C--------- καί
ἀπὸ P--------- ἀπό
τῶν RA--GPN--- ὁ
κτηνῶν N3E-GPN--- κτῆνος
καὶ C--------- καί
ἀπὸ P--------- ἀπό
τῶν RA--GPM--- ὁ
βοῶν N3--GPM--- βοῦς
καὶ C--------- καί
ἀπὸ P--------- ἀπό
τῶν RA--GPN--- ὁ
προβάτων N2N-GPN--- πρόβατον
καὶ C--------- καί
ἀπὸ P--------- ἀπό
τῶν RA--GPM--- ὁ
αἰγῶν N3G-GPM--- αἴξ

Num 31:29
καὶ C--------- καί
ἀπὸ P--------- ἀπό
τοῦ RA--GSN--- ὁ
ἡμίσους A3U-GSN--- ἥμισυς
αὐτῶν RD--GPM--- αὐτός
λήμψεσθε VF--FMI2P- λαμβάνω
καὶ C--------- καί
δώσεις VF--FAI2S- δίδωμι
Ελεαζαρ N---DSM--- Ελεαζαρ
τῷ RA--DSM--- ὁ
ἱερεῖ N3V-DSM--- ἱερεύς
τὰς RA--APF--- ὁ
ἀπαρχὰς N1--APF--- ἀπαρχή
κυρίου N2--GSM--- κύριος

Num 31:30
καὶ C--------- καί
ἀπὸ P--------- ἀπό
τοῦ RA--GSN--- ὁ
ἡμίσους A3U-GSN--- ἥμισυς
τοῦ RA--GSN--- ὁ
τῶν RA--GPM--- ὁ
υἱῶν N2--GPM--- υἱός
Ισραηλ N---GSM--- Ἰσραήλ
λήμψῃ VF--FMI2S- λαμβάνω
ἕνα A3--ASM--- εἷς
ἀπὸ P--------- ἀπό
τῶν RA--GPN--- ὁ
πεντήκοντα M--------- πεντήκοντα
ἀπὸ P--------- ἀπό
τῶν RA--GPM--- ὁ
ἀνθρώπων N2--GPM--- ἄνθρωπος
καὶ C--------- καί
ἀπὸ P--------- ἀπό
τῶν RA--GPM--- ὁ
βοῶν N3--GPM--- βοῦς
καὶ C--------- καί
ἀπὸ P--------- ἀπό
τῶν RA--GPN--- ὁ
προβάτων N2N-GPN--- πρόβατον
καὶ C--------- καί
ἀπὸ P--------- ἀπό
τῶν RA--GPM--- ὁ
ὄνων N2--GPM--- ὄνος
καὶ C--------- καί
ἀπὸ P--------- ἀπό
πάντων A3--GPN--- πᾶς
τῶν RA--GPN--- ὁ
κτηνῶν N3E-GPN--- κτῆνος
καὶ C--------- καί
δώσεις VF--FAI2S- δίδωμι
αὐτὰ RD--APN--- αὐτός
τοῖς RA--DPM--- ὁ
Λευίταις N1M-DPM--- Λευίτης
τοῖς RA--DPM--- ὁ
φυλάσσουσιν V1--PAPDPM φυλάσσω
τὰς RA--APF--- ὁ
φυλακὰς N1--APF--- φυλακή
ἐν P--------- ἐν
τῇ RA--DSF--- ὁ
σκηνῇ N1--DSF--- σκηνή
κυρίου N2--GSM--- κύριος

Num 31:31
καὶ C--------- καί
ἐποίησεν VAI-AAI3S- ποιέω
Μωυσῆς N1M-NSM--- Μωυσῆς
καὶ C--------- καί
Ελεαζαρ N---NSM--- Ελεαζαρ
ὁ RA--NSM--- ὁ
ἱερεὺς N3V-NSM--- ἱερεύς
καθὰ D--------- καθά
συνέταξεν VAI-AAI3S- τάσσω συν
κύριος N2--NSM--- κύριος
τῷ RA--DSM--- ὁ
Μωυσῇ N1M-DSM--- Μωυσῆς

Num 31:32
καὶ C--------- καί
ἐγενήθη VCI-API3S- γίγνομαι
τὸ RA--NSN--- ὁ
πλεόνασμα N3M-NSN--- πλεόνασμα
τῆς RA--GSF--- ὁ
προνομῆς N1--GSF--- προνομή
ὃ RR--NSN--- ὅς
ἐπρονόμευσαν VAI-AAI3P- νομεύω προ
οἱ RA--NPM--- ὁ
ἄνδρες N3--NPM--- ἀνήρ
οἱ RA--NPM--- ὁ
πολεμισταί N1M-NPM--- πολεμιστής
ἀπὸ P--------- ἀπό
τῶν RA--GPN--- ὁ
προβάτων N2N-GPN--- πρόβατον
ἑξακόσιαι A1A-NPF--- ἑξακόσιοι
χιλιάδες N3D-NPF--- χιλιάς
καὶ C--------- καί
ἑβδομήκοντα M--------- ἑβδομήκοντα
καὶ C--------- καί
πέντε M--------- πέντε
χιλιάδες N3D-NPF--- χιλιάς

Num 31:33
καὶ C--------- καί
βόες N3--NPM--- βοῦς
δύο M--------- δύο
καὶ C--------- καί
ἑβδομήκοντα M--------- ἑβδομήκοντα
χιλιάδες N3D-NPF--- χιλιάς

Num 31:34
καὶ C--------- καί
ὄνοι N2--NPF--- ὄνος
μία A1A-NSF--- εἷς
καὶ C--------- καί
ἑξήκοντα M--------- ἑξήκοντα
χιλιάδες N3D-NPF--- χιλιάς

Num 31:35
καὶ C--------- καί
ψυχαὶ N1--NPF--- ψυχή
ἀνθρώπων N2--GPM--- ἄνθρωπος
ἀπὸ P--------- ἀπό
τῶν RA--GPF--- ὁ
γυναικῶν N3K-GPF--- γυνή
αἳ RR--NPF--- ὅς
οὐκ D--------- οὐ
ἔγνωσαν VZI-AAI3P- γιγνώσκω
κοίτην N1--ASF--- κοίτη
ἀνδρός N3--GSM--- ἀνήρ
πᾶσαι A1S-NPF--- πᾶς
ψυχαὶ N1--NPF--- ψυχή
δύο M--------- δύο
καὶ C--------- καί
τριάκοντα M--------- τριάκοντα
χιλιάδες N3D-NPF--- χιλιάς

Num 31:36
καὶ C--------- καί
ἐγενήθη VCI-API3S- γίγνομαι
τὸ RA--NSN--- ὁ
ἡμίσευμα N3M-NSN--- ἡμίσευμα
ἡ RA--NSF--- ὁ
μερὶς N3D-NSF--- μερίς
τῶν RA--GPM--- ὁ
ἐκπεπορευμένων VM--XMPGPM πορεύομαι ἐκ
εἰς P--------- εἰς
τὸν RA--ASM--- ὁ
πόλεμον N2--ASM--- πόλεμος
ἐκ P--------- ἐκ
τοῦ RA--GSM--- ὁ
ἀριθμοῦ N2--GSM--- ἀριθμός
τῶν RA--GPN--- ὁ
προβάτων N2N-GPN--- πρόβατον
τριακόσιαι A1A-NPF--- τριακόσιοι
καὶ C--------- καί
τριάκοντα M--------- τριάκοντα
χιλιάδες N3D-NPF--- χιλιάς
καὶ C--------- καί
ἑπτακισχίλια A1A-NPN--- ἑπτακισχίλιοι
καὶ C--------- καί
πεντακόσια A1A-NPN--- πεντακόσιοι

Num 31:37
καὶ C--------- καί
ἐγένετο VBI-AMI3S- γίγνομαι
τὸ RA--NSN--- ὁ
τέλος N3E-NSN--- τέλος
κυρίῳ N2--DSM--- κύριος
ἀπὸ P--------- ἀπό
τῶν RA--GPN--- ὁ
προβάτων N2N-GPN--- πρόβατον
ἑξακόσια A1A-NPN--- ἑξακόσιοι
ἑβδομήκοντα M--------- ἑβδομήκοντα
πέντε M--------- πέντε

Num 31:38
καὶ C--------- καί
βόες N3--NPM--- βοῦς
ἓξ M--------- ἕξ
καὶ C--------- καί
τριάκοντα M--------- τριάκοντα
χιλιάδες N3D-NPF--- χιλιάς
καὶ C--------- καί
τὸ RA--NSN--- ὁ
τέλος N3E-NSN--- τέλος
κυρίῳ N2--DSM--- κύριος
δύο M--------- δύο
καὶ C--------- καί
ἑβδομήκοντα M--------- ἑβδομήκοντα

Num 31:39
καὶ C--------- καί
ὄνοι N2--NPF--- ὄνος
τριάκοντα M--------- τριάκοντα
χιλιάδες N3D-NPF--- χιλιάς
καὶ C--------- καί
πεντακόσιοι A1A-NPM--- πεντακόσιοι
καὶ C--------- καί
τὸ RA--NSN--- ὁ
τέλος N3E-NSN--- τέλος
κυρίῳ N2--DSM--- κύριος
εἷς A3--NSM--- εἷς
καὶ C--------- καί
ἑξήκοντα M--------- ἑξήκοντα

Num 31:40
καὶ C--------- καί
ψυχαὶ N1--NPF--- ψυχή
ἀνθρώπων N2--GPM--- ἄνθρωπος
ἑκκαίδεκα M--------- ἑκκαίδεκα
χιλιάδες N3D-NPF--- χιλιάς
καὶ C--------- καί
τὸ RA--NSN--- ὁ
τέλος N3E-NSN--- τέλος
αὐτῶν RD--GPM--- αὐτός
κυρίῳ N2--DSM--- κύριος
δύο M--------- δύο
καὶ C--------- καί
τριάκοντα M--------- τριάκοντα
ψυχαί N1--NPF--- ψυχή

Num 31:41
καὶ C--------- καί
ἔδωκεν VAI-AAI3S- δίδωμι
Μωυσῆς N1M-NSM--- Μωυσῆς
τὸ RA--ASN--- ὁ
τέλος N3E-ASN--- τέλος
κυρίῳ N2--DSM--- κύριος
τὸ RA--ASN--- ὁ
ἀφαίρεμα N3M-ASN--- ἀφαίρεμα
τοῦ RA--GSM--- ὁ
θεοῦ N2--GSM--- θεός
Ελεαζαρ N---DSM--- Ελεαζαρ
τῷ RA--DSM--- ὁ
ἱερεῖ N3V-DSM--- ἱερεύς
καθὰ D--------- καθά
συνέταξεν VAI-AAI3S- τάσσω συν
κύριος N2--NSM--- κύριος
τῷ RA--DSM--- ὁ
Μωυσῇ N1M-DSM--- Μωυσῆς

Num 31:42
ἀπὸ P--------- ἀπό
τοῦ RA--GSN--- ὁ
ἡμισεύματος N3M-GSN--- ἡμίσευμα
τῶν RA--GPM--- ὁ
υἱῶν N2--GPM--- υἱός
Ισραηλ N---GSM--- Ἰσραήλ
οὓς RR--APM--- ὅς
διεῖλεν VBI-AAI3S- αἱρέω δια
Μωυσῆς N1M-NSM--- Μωυσῆς
ἀπὸ P--------- ἀπό
τῶν RA--GPM--- ὁ
ἀνδρῶν N3--GPM--- ἀνήρ
τῶν RA--GPM--- ὁ
πολεμιστῶν N1M-GPM--- πολεμιστής

Num 31:43
καὶ C--------- καί
ἐγένετο VBI-AMI3S- γίγνομαι
τὸ RA--NSN--- ὁ
ἡμίσευμα N3M-NSN--- ἡμίσευμα
τὸ RA--NSN--- ὁ
τῆς RA--GSF--- ὁ
συναγωγῆς N1--GSF--- συναγωγή
ἀπὸ P--------- ἀπό
τῶν RA--GPN--- ὁ
προβάτων N2N-GPN--- πρόβατον
τριακόσιαι A1A-NPF--- τριακόσιοι
χιλιάδες N3D-NPF--- χιλιάς
καὶ C--------- καί
τριάκοντα M--------- τριάκοντα
χιλιάδες N3D-NPF--- χιλιάς
καὶ C--------- καί
ἑπτακισχίλια A1A-NPN--- ἑπτακισχίλιοι
καὶ C--------- καί
πεντακόσια A1A-NPN--- πεντακόσιοι

Num 31:44
καὶ C--------- καί
βόες N3--NPM--- βοῦς
ἓξ M--------- ἕξ
καὶ C--------- καί
τριάκοντα M--------- τριάκοντα
χιλιάδες N3D-NPF--- χιλιάς

Num 31:45
ὄνοι N2--NPF--- ὄνος
τριάκοντα M--------- τριάκοντα
χιλιάδες N3D-NPF--- χιλιάς
καὶ C--------- καί
