Dan 1:1
καὶ C--------- καί
ἐποίησε VAI-AAI3S- ποιέω
καὶ C--------- καί
εὐωδώθη VC--API3S- εὐοδόω

Dan 8:13
καὶ C--------- καί
ἤκουον V1I-IAI1S- ἀκούω
ἑτέρου A1A-GSM--- ἕτερος
ἁγίου A1A-GSM--- ἅγιος
λαλοῦντος V2--PAPGSM λαλέω
καὶ C--------- καί
εἶπεν VBI-AAI3S- εἶπον
ὁ RA--NSM--- ὁ
ἕτερος A1A-NSM--- ἕτερος
τῷ RA--DSM--- ὁ
φελμουνι N---DS---- φελμουνι
τῷ RA--DSM--- ὁ
λαλοῦντι V2--PAPDSM λαλέω
ἕως C--------- ἕως
τίνος RI--GSN--- τίς
τὸ RA--NSN--- ὁ
ὅραμα N3M-NSN--- ὅραμα
στήσεται VF--FMI3S- ἵστημι
καὶ C--------- καί
ἡ RA--NSF--- ὁ
θυσία N1A-NSF--- θυσία
ἡ RA--NSF--- ὁ
ἀρθεῖσα VC--APPNSF αἴρω
καὶ C--------- καί
ἡ RA--NSF--- ὁ
ἁμαρτία N1A-NSF--- ἁμαρτία
ἐρημώσεως N3I-GSF--- ἐρήμωσις
ἡ RA--NSF--- ὁ
δοθεῖσα VC--APPNSF δίδωμι
καὶ C--------- καί
τὰ RA--NPN--- ὁ
ἅγια A1A-NPN--- ἅγιος
ἐρημωθήσεται VC--FPI3S- ἐρημόω
εἰς P--------- εἰς
καταπάτημα N3M-ASN--- καταπάτημα

Dan 8:14
καὶ C--------- καί
εἶπεν VBI-AAI3S- εἶπον
αὐτῷ RD--DSM--- αὐτός
ἕως P--------- ἕως
ἑσπέρας N1A-GSF--- ἑσπέρα
καὶ C--------- καί
πρωὶ D--------- πρωΐ
ἡμέραι N1A-NPF--- ἡμέρα
δισχίλιαι A1A-NPF--- δισχίλιοι
τριακόσιαι A1A-NPF--- τριακόσιοι
καὶ C--------- καί
καθαρισθήσεται VS--FPI3S- καθαρίζω
τὸ RA--NSN--- ὁ
ἅγιον A1A-NSN--- ἅγιος

Dan 8:15
καὶ C--------- καί
ἐγένετο VBI-AMI3S- γίγνομαι
ἐν P--------- ἐν
τῷ RA--DSN--- ὁ
θεωρεῖν V2--PAN--- θεωρέω
με RP--AS---- ἐγώ
ἐγὼ RP--NS---- ἐγώ
Δανιηλ N---NSM--- Δανιηλ
τὸ RA--ASN--- ὁ
ὅραμα N3M-ASN--- ὅραμα
ἐζήτουν V2I-IAI1S- ζητέω
διανοηθῆναι VC--APN--- νοέομαι δια
καὶ C--------- καί
ἰδοὺ I--------- ἰδού
ἔστη VHI-AAI3S- ἵστημι
κατεναντίον P--------- κατεναντίον
μου RP--GS---- ἐγώ
ὡς C--------- ὡς
ὅρασις N3I-NSF--- ὅρασις
ἀνθρώπου N2--GSM--- ἄνθρωπος

Dan 8:16
καὶ C--------- καί
ἤκουσα VAI-AAI1S- ἀκούω
φωνὴν N1--ASF--- φωνή
ἀνθρώπου N2--GSM--- ἄνθρωπος
ἀνὰ P--------- ἀνά
μέσον A1--ASM--- μέσος
τοῦ RA--GSM--- ὁ
Ουλαι N---GSM--- Ουλαι
καὶ C--------- καί
ἐκάλεσε VAI-AAI3S- καλέω
καὶ C--------- καί
εἶπεν VBI-AAI3S- εἶπον
Γαβριηλ N---VSM--- Γαβριηλ
συνέτισον VA--AAD2S- συνετίζω
ἐκεῖνον RD--ASM--- ἐκεῖνος
τὴν RA--ASF--- ὁ
ὅρασιν N3I-ASF--- ὅρασις
καὶ C--------- καί
ἀναβοήσας VA--AAPNSM βοάω ἀνα
εἶπεν VBI-AAI3S- εἶπον
ὁ RA--NSM--- ὁ
ἄνθρωπος N2--NSM--- ἄνθρωπος
ἐπὶ P--------- ἐπί
τὸ RA--ASN--- ὁ
πρόσταγμα N3M-ASN--- πρόσταγμα
ἐκεῖνο RD--ASN--- ἐκεῖνος
ἡ RA--NSF--- ὁ
ὅρασις N3I-NSF--- ὅρασις

Dan 8:17
καὶ C--------- καί
ἦλθε VBI-AAI3S- ἔρχομαι
καὶ C--------- καί
ἔστη VHI-AAI3S- ἵστημι
ἐχόμενός V1--PMPNSM ἔχω
μου RP--GS---- ἐγώ
τῆς RA--GSF--- ὁ
στάσεως N3I-GSF--- στάσις
καὶ C--------- καί
ἐν P--------- ἐν
τῷ RA--DSN--- ὁ
ἔρχεσθαι V1--PMN--- ἔρχομαι
αὐτὸν RD--ASM--- αὐτός
ἐθορυβήθην VCI-API3S- θορυβέω
καὶ C--------- καί
ἔπεσα VAI-AAI1S- πίπτω
ἐπὶ P--------- ἐπί
πρόσωπόν N2N-ASN--- πρόσωπον
μου RP--GS---- ἐγώ
καὶ C--------- καί
εἶπέν VBI-AAI3S- εἶπον
μοι RP--DS---- ἐγώ
διανοήθητι VC--APD2S- νοέομαι δια
υἱὲ N2--VSM--- υἱός
ἀνθρώπου N2--GSM--- ἄνθρωπος
ἔτι D--------- ἔτι
γὰρ X--------- γάρ
εἰς P--------- εἰς
ὥραν N1A-ASF--- ὥρα
καιροῦ N2--GSM--- καιρός
τοῦτο RD--NSN--- οὗτος
τὸ RA--NSN--- ὁ
ὅραμα N3M-NSN--- ὅραμα

Dan 8:18
καὶ C--------- καί
λαλοῦντος V2--PAPGSM λαλέω
αὐτοῦ RD--GSM--- αὐτός
μετ' P--------- μετά
ἐμοῦ RP--GS---- ἐγώ
ἐκοιμήθην VCI-API1S- κοιμάω
ἐπὶ P--------- ἐπί
πρόσωπον N2N-ASN--- πρόσωπον
χαμαί D--------- χαμαί
καὶ C--------- καί
ἁψάμενός VA--AMPNSM ἅπτομαι
μου RP--GS---- ἐγώ
ἤγειρέ V1I-IAI3S- ἀγείρω
με RP--AS---- ἐγώ
ἐπὶ P--------- ἐπί
τοῦ RA--GSM--- ὁ
τόπου N2--GSM--- τόπος

Dan 8:19
καὶ C--------- καί
εἶπέ VBI-AAI3S- εἶπον
μοι RP--DS---- ἐγώ
ἰδοὺ I--------- ἰδού
ἐγὼ RP--NS---- ἐγώ
ἀπαγγέλλω V1--PAI1S- ἀγγέλλω ἀπο
σοι RP--DS---- σύ
ἃ RR--APN--- ὅς
ἔσται VF--FMI3S- εἰμί
ἐπ' P--------- ἐπί
ἐσχάτου A1--GSN--- ἔσχατος
τῆς RA--GSF--- ὁ
ὀργῆς N1--GSF--- ὀργή
τοῖς RA--DPM--- ὁ
υἱοῖς N2--DPM--- υἱός
τοῦ RA--GSM--- ὁ
λαοῦ N2--GSM--- λαός
σου RP--GS---- σύ
ἔτι D--------- ἔτι
γὰρ X--------- γάρ
εἰς P--------- εἰς
ὥρας N1A-APF--- ὥρα
καιροῦ N2--GSM--- καιρός
συντελείας N1A-GSF--- συντέλεια
μενεῖ VF2-FAI3S- μένω

Dan 8:20
τὸν RA--ASM--- ὁ
κριὸν N2--ASM--- κριός
ὃν RR--ASM--- ὅς
εἶδες VBI-AAI2S- ὁράω
τὸν RA--ASM--- ὁ
ἔχοντα V1--PAPASM ἔχω
τὰ RA--APN--- ὁ
κέρατα N3T-APN--- κέρας
βασιλεὺς N3V-NSM--- βασιλεύς
Μήδων N2--GP---- Μῆδος
καὶ C--------- καί
Περσῶν N1M-GPM--- Πέρσης
ἐστι V9--PAI3S- εἰμί

Dan 8:21
καὶ C--------- καί
ὁ RA--NSM--- ὁ
τράγος N2--NSM--- τράγος
τῶν RA--GPM--- ὁ
αἰγῶν N3G-GPM--- αἴξ
βασιλεὺς N3V-NSM--- βασιλεύς
τῶν RA--GPM--- ὁ
Ἑλλήνων N3--GPM--- Ἕλλην
ἐστί V9--PAI3S- εἰμί
καὶ C--------- καί
τὸ RA--NSN--- ὁ
κέρας N3T-NSN--- κέρας
τὸ RA--NSN--- ὁ
μέγα A1P-NSN--- μέγας
τὸ RA--NSN--- ὁ
ἀνὰ P--------- ἀνά
μέσον A1--ASM--- μέσος
τῶν RA--GPM--- ὁ
ὀφθαλμῶν N2--GPM--- ὀφθαλμός
αὐτοῦ RD--GSM--- αὐτός
αὐτὸς RD--NSM--- αὐτός
ὁ RA--NSM--- ὁ
βασιλεὺς N3V-NSM--- βασιλεύς
ὁ RA--NSM--- ὁ
πρῶτος A1--NSMS-- πρῶτος

Dan 8:22
καὶ C--------- καί
τὰ RA--NPN--- ὁ
συντριβέντα VD--APPNPN τρίβω συν
καὶ C--------- καί
ἀναβάντα VZ--AAPNPN βαίνω ἀνα
ὀπίσω P--------- ὀπίσω
αὐτοῦ RD--GSM--- αὐτός
τέσσαρα A3--NPN--- τέσσαρες
κέρατα N3T-NPN--- κέρας
τέσσαρες A3--NPM--- τέσσαρες
βασιλεῖς N3V-NPM--- βασιλεύς
τοῦ RA--GSN--- ὁ
ἔθνους N3E-GSN--- ἔθνος
αὐτοῦ RD--GSM--- αὐτός
ἀναστήσονται VF--FMI3P- ἵστημι ἀνα
οὐ D--------- οὐ
κατὰ P--------- κατά
τὴν RA--ASF--- ὁ
ἰσχὺν N3--ASF--- ἰσχύς
αὐτοῦ RD--GSM--- αὐτός

Dan 8:23
καὶ C--------- καί
ἐπ' P--------- ἐπί
ἐσχάτου A1--GSN--- ἔσχατος
τῆς RA--GSF--- ὁ
βασιλείας N1A-GSF--- βασιλεία
αὐτῶν RD--GPM--- αὐτός
πληρουμένων V4--PMPGPM πληρόω
τῶν RA--GPF--- ὁ
ἁμαρτιῶν N1A-GPF--- ἁμαρτία
αὐτῶν RD--GPM--- αὐτός
ἀναστήσεται VF--FMI3S- ἵστημι ἀνα
βασιλεὺς N3V-NSM--- βασιλεύς
ἀναιδὴς A3--NSM--- ἀναιδής
προσώπῳ N2N-DSN--- πρόσωπον
διανοούμενος V2--PMPNSM νοέομαι δια
αἰνίγματα N3M-APN--- αἴνιγμα

Dan 8:24
καὶ C--------- καί
στερεωθήσεται VC--FPI3S- στερεόω
ἡ RA--NSF--- ὁ
ἰσχὺς N3--NSF--- ἰσχύς
αὐτοῦ RD--GSM--- αὐτός
καὶ C--------- καί
οὐκ D--------- οὐ
ἐν P--------- ἐν
τῇ RA--DSF--- ὁ
ἰσχύι N3U-DSF--- ἰσχύς
αὐτοῦ RD--GSM--- αὐτός
καὶ C--------- καί
θαυμαστῶς D--------- θαυμαστῶς
φθερεῖ VF2-FAI3S- φθείρω
καὶ C--------- καί
εὐοδωθήσεται VC--FPI3S- εὐοδόω
καὶ C--------- καί
ποιήσει VF--FAI3S- ποιέω
καὶ C--------- καί
φθερεῖ VF2-FAI3S- φθείρω
δυνάστας N1M-APM--- δυνάστης
καὶ C--------- καί
δῆμον N2--ASM--- δῆμος
ἁγίων A1A-GPM--- ἅγιος

Dan 8:25
καὶ C--------- καί
ἐπὶ P--------- ἐπί
τοὺς RA--APM--- ὁ
ἁγίους A1A-APM--- ἅγιος
τὸ RA--ASN--- ὁ
διανόημα N3M-ASN--- διανόημα
αὐτοῦ RD--GSM--- αὐτός
καὶ C--------- καί
εὐοδωθήσεται VC--FPI3S- εὐοδόω
τὸ RA--ASN--- ὁ
ψεῦδος N3E-ASN--- ψεῦδος
ἐν P--------- ἐν
ταῖς RA--DPF--- ὁ
χερσὶν N3--DPF--- χείρ
αὐτοῦ RD--GSM--- αὐτός
καὶ C--------- καί
ἡ RA--NSF--- ὁ
καρδία N1A-NSF--- καρδία
αὐτοῦ RD--GSM--- αὐτός
ὑψωθήσεται VC--FPI3S- ὑψόω
καὶ C--------- καί
δόλῳ N2--DSM--- δόλος
ἀφανιεῖ VF2-FAI3S- ἵζω ἀπο ἀνα
πολλοὺς A1P-APM--- πολύς
καὶ C--------- καί
ἐπὶ P--------- ἐπί
ἀπωλείας N1A-GSF--- ἀπώλεια
ἀνδρῶν N3--GPM--- ἀνήρ
στήσεται VF--FMI3S- ἵστημι
καὶ C--------- καί
ποιήσει VF--FAI3S- ποιέω
συναγωγὴν N1--ASF--- συναγωγή
χειρὸς N3--GSF--- χείρ
καὶ C--------- καί
ἀποδώσεται VF--FMI3S- δίδωμι ἀπο

Dan 8:26
τὸ RA--NSN--- ὁ
ὅραμα N3M-NSN--- ὅραμα
τὸ RA--NSN--- ὁ
ἑσπέρας N1A-GSF--- ἑσπέρα
καὶ C--------- καί
πρωὶ D--------- πρωΐ
ηὑρέθη VCI-API3S- εὑρίσκω
ἐπ' P--------- ἐπί
ἀληθείας N1A-GSF--- ἀλήθεια
καὶ C--------- καί
νῦν D--------- νῦν
πεφραγμένον VK--XMPASN φράσσω
τὸ RA--ASN--- ὁ
ὅραμα N3M-ASN--- ὅραμα
ἔτι D--------- ἔτι
γὰρ X--------- γάρ
εἰς P--------- εἰς
ἡμέρας N1A-APF--- ἡμέρα
πολλάς A1--APF--- πολύς

Dan 8:27
ἐγὼ RP--NS---- ἐγώ
Δανιηλ N---NSM--- Δανιηλ
ἀσθενήσας VA--AAPNSM ἀσθενέω
ἡμέρας N1A-APF--- ἡμέρα
πολλὰς A1--APF--- πολύς
καὶ C--------- καί
ἀναστὰς VH--AAPNSM ἵστημι ἀνα
ἐπραγματευόμην V1I-IMI1S- πραγματεύομαι
πάλιν D--------- πάλιν
βασιλικά A1--APN--- βασιλικός
καὶ C--------- καί
ἐξελυόμην V1I-IMI1S- λύω ἐκ
ἐπὶ P--------- ἐπί
τῷ RA--DSN--- ὁ
ὁράματι N3M-DSN--- ὅραμα
καὶ C--------- καί
οὐδεὶς A3--NSM--- οὐδείς
ἦν V9I-IAI3S- εἰμί
ὁ RA--NSM--- ὁ
διανοούμενος V2--PMPNSM νοέομαι δια

Dan 9:1
ἔτους N3E-GSN--- ἔτος
πρώτου A1--GSNS-- πρῶτος
ἐπὶ P--------- ἐπί
Δαρείου N2--GSM--- Δαρεῖος
τοῦ RA--GSM--- ὁ
Ξέρξου N1M-GSM--- Ξέρξης
ἀπὸ P--------- ἀπό
τῆς RA--GSF--- ὁ
γενεᾶς N1A-GSF--- γενεά
τῆς RA--GSF--- ὁ
Μηδικῆς N---GSF--- Μηδική
οἳ RR--NPM--- ὅς
ἐβασίλευσαν VAI-AAI3P- βασιλεύω
ἐπὶ P--------- ἐπί
τὴν RA--ASF--- ὁ
βασιλείαν N1A-ASF--- βασιλεία
τῶν RA--GPM--- ὁ
Χαλδαίων N2--GPM--- Χαλδαῖος

Dan 9:2
τῷ RA--DSN--- ὁ
πρώτῳ A1--DSNS-- πρῶτος
ἔτει N3E-DSN--- ἔτος
τῆς RA--GSF--- ὁ
βασιλείας N1A-GSF--- βασιλεία
αὐτοῦ RD--GSM--- αὐτός
ἐγὼ RP--NS---- ἐγώ
Δανιηλ N---NSM--- Δανιηλ
διενοήθην VCI-API1S- νοέομαι δια
ἐν P--------- ἐν
ταῖς RA--DPF--- ὁ
βίβλοις N2--DPF--- βίβλος
τὸν RA--ASM--- ὁ
ἀριθμὸν N2--ASM--- ἀριθμός
τῶν RA--GPN--- ὁ
ἐτῶν N3E-GPN--- ἔτος
ὅτε D--------- ὅτε
ἐγένετο VBI-AMI3S- γίγνομαι
πρόσταγμα N3M-NSN--- πρόσταγμα
τῇ RA--DSF--- ὁ
γῇ N1--DSF--- γῆ
ἐπὶ P--------- ἐπί
Ιερεμιαν N---ASM--- Ἰερεμίας
τὸν RA--ASM--- ὁ
προφήτην N1M-ASM--- προφήτης
ἐγεῖραι VA--AAN--- ἐγείρω
εἰς P--------- εἰς
ἀναπλήρωσιν N3I-ASF--- ἀναπλήρωσις
ὀνειδισμοῦ N2--GSM--- ὀνειδισμός
Ιερουσαλημ N---GSF--- Ἰερουσαλήμ
ἑβδομήκοντα M--------- ἑβδομήκοντα
ἔτη N3E-APN--- ἔτος

Dan 9:3
καὶ C--------- καί
ἔδωκα VAI-AAI1S- δίδωμι
τὸ RA--ASN--- ὁ
πρόσωπόν N2N-ASN--- πρόσωπον
μου RP--GS---- ἐγώ
ἐπὶ P--------- ἐπί
κύριον N2--ASM--- κύριος
τὸν RA--ASM--- ὁ
θεὸν N2--ASM--- θεός
εὑρεῖν VB--AAN--- εὑρίσκω
προσευχὴν N1--ASF--- προσευχή
καὶ C--------- καί
ἔλεος N3E-ASN--- ἔλεος
ἐν P--------- ἐν
νηστείαις N1A-DPF--- νηστεία
καὶ C--------- καί
σάκκῳ N2--DSM--- σάκκος
καὶ C--------- καί
σποδῷ N2--DSF--- σποδός

Dan 9:4
καὶ C--------- καί
προσηυξάμην VAI-AMI1S- εὔχομαι προς
πρὸς P--------- πρός
κύριον N2--ASM--- κύριος
τὸν RA--ASM--- ὁ
θεὸν N2--ASM--- θεός
καὶ C--------- καί
ἐξωμολογησάμην VAI-AMI1S- ὁμολογέω ἐκ
καὶ C--------- καί
εἶπα VAI-AAI1S- εἶπον
ἰδού I--------- ἰδού
κύριε N2--VSM--- κύριος
σὺ RP--NS---- σύ
εἶ V9--PAI2S- εἰμί
ὁ RA--NSM--- ὁ
θεὸς N2--NSM--- θεός
ὁ RA--NSM--- ὁ
μέγας A1P-NSM--- μέγας
καὶ C--------- καί
ὁ RA--NSM--- ὁ
ἰσχυρὸς A1A-NSM--- ἰσχυρός
καὶ C--------- καί
ὁ RA--NSM--- ὁ
φοβερὸς A1A-NSM--- φοβερός
τηρῶν V2--PAPNSM τηρέω
τὴν RA--ASF--- ὁ
διαθήκην N1--ASF--- διαθήκη
καὶ C--------- καί
τὸ RA--ASN--- ὁ
ἔλεος N3E-ASN--- ἔλεος
τοῖς RA--DPM--- ὁ
ἀγαπῶσί V3--PAPDPM ἀγαπάω
σε RP--AS---- σύ
καὶ C--------- καί
τοῖς RA--DPM--- ὁ
φυλάσσουσι V1--PAPDPM φυλάσσω
τὰ RA--APN--- ὁ
προστάγματά N3M-APN--- πρόσταγμα
σου RP--GS---- σύ

Dan 9:5
ἡμάρτομεν VBI-AAI1P- ἁμαρτάνω
ἠδικήσαμεν VAI-AAI1P- ἀδικέω
ἠσεβήσαμεν VAI-AAI1P- ἀσεβέω
καὶ C--------- καί
ἀπέστημεν VHI-AAI1P- ἵστημι ἀπο
καὶ C--------- καί
παρέβημεν VZI-AAI1P- βαίνω παρα
τὰς RA--APF--- ὁ
ἐντολάς N1A-APF--- ἐντολή
σου RP--GS---- σύ
καὶ C--------- καί
τὰ RA--APN--- ὁ
κρίματά N3M-APN--- κρίμα
σου RP--GS---- σύ

Dan 9:6
καὶ C--------- καί
οὐκ D--------- οὐ
ἠκούσαμεν VAI-AAI1P- ἀκούω
τῶν RA--GPM--- ὁ
παίδων N3D-GPM--- παῖς
σου RP--GS---- σύ
τῶν RA--GPM--- ὁ
προφητῶν N1M-GPM--- προφήτης
ἃ RR--APN--- ὅς
ἐλάλησαν VAI-AAI3P- λαλέω
ἐπὶ P--------- ἐπί
τῷ RA--DSN--- ὁ
ὀνόματί N3M-DSN--- ὄνομα
σου RP--GS---- σύ
ἐπὶ P--------- ἐπί
τοὺς RA--APM--- ὁ
βασιλεῖς N3V-NPM--- βασιλεύς
ἡμῶν RP--GP---- ἐγώ
καὶ C--------- καί
δυνάστας N1M-APM--- δυνάστης
ἡμῶν RP--GP---- ἐγώ
καὶ C--------- καί
πατέρας N3--APM--- πατήρ
ἡμῶν RP--GP---- ἐγώ
καὶ C--------- καί
παντὶ A3--DSN--- πᾶς
ἔθνει N3E-DSN--- ἔθνος
ἐπὶ P--------- ἐπί
τῆς RA--GSF--- ὁ
γῆς N1--GSF--- γῆ

Dan 9:7
σοί RP--DS---- σύ
κύριε N2--VSM--- κύριος
ἡ RA--NSF--- ὁ
δικαιοσύνη N1--NSF--- δικαιοσύνη
καὶ C--------- καί
ἡμῖν RP--DP---- ἐγώ
ἡ RA--NSF--- ὁ
αἰσχύνη N1--NSF--- αἰσχύνη
τοῦ RA--GSN--- ὁ
προσώπου N2N-GSN--- πρόσωπον
κατὰ P--------- κατά
τὴν RA--ASF--- ὁ
ἡμέραν N1A-ASF--- ἡμέρα
ταύτην RD--ASF--- οὗτος
ἀνθρώποις N2--DPM--- ἄνθρωπος
Ιουδα N---GSM--- Ιουδα
καὶ C--------- καί
καθημένοις V5--PMPDPM ἧμαι κατα
ἐν P--------- ἐν
Ιερουσαλημ N---DSF--- Ἰερουσαλήμ
καὶ C--------- καί
παντὶ A3--DSM--- πᾶς
τῷ RA--DSM--- ὁ
λαῷ N2--DSM--- λαός
Ισραηλ N---GSM--- Ἰσραήλ
τῷ RA--DSM--- ὁ
ἔγγιστα D--------- ἐγγύς
καὶ C--------- καί
τῷ RA--DSM--- ὁ
ἀπωτέρω D--------- ἀπωτέρω
ἐν P--------- ἐν
πάσαις A1S-DPF--- πᾶς
ταῖς RA--DPF--- ὁ
χώραις N1A-DPF--- χώρα
εἰς P--------- εἰς
ἃς RR--APF--- ὅς
διεσκόρπισας VAI-AAI2S- σκορπίζω δια
αὐτοὺς RD--APM--- αὐτός
ἐκεῖ D--------- ἐκεῖ
ἐν P--------- ἐν
τῇ RA--DSF--- ὁ
πλημμελείᾳ N1A-DSF--- πλημμέλεια
ᾗ RR--DSF--- ὅς
ἐπλημμέλησαν VAI-AAI3P- πλημμελέω
ἐναντίον P--------- ἐναντίον
σου RP--GS---- σύ

Dan 9:8
δέσποτα N1M-VSM--- δεσπότης
ἡμῖν RP--DP---- ἐγώ
ἡ RA--NSF--- ὁ
αἰσχύνη N1--NSF--- αἰσχύνη
τοῦ RA--GSN--- ὁ
προσώπου N2N-GSN--- πρόσωπον
καὶ C--------- καί
τοῖς RA--DPM--- ὁ
βασιλεῦσιν N3V-DPM--- βασιλεύς
ἡμῶν RP--GP---- ἐγώ
καὶ C--------- καί
δυνάσταις N1M-DPM--- δυνάστης
καὶ C--------- καί
τοῖς RA--DPM--- ὁ
πατράσιν N3--DPM--- πατήρ
ἡμῶν RP--GP---- ἐγώ
ὅτι C--------- ὅτι
ἡμάρτομέν VBI-AAI1P- ἁμαρτάνω
σοι RP--DS---- σύ

Dan 9:9
τῷ RA--DSM--- ὁ
κυρίῳ N2--DSM--- κύριος
ἡ RA--NSF--- ὁ
δικαιοσύνη N1--NSF--- δικαιοσύνη
καὶ C--------- καί
τὸ RA--NSN--- ὁ
ἔλεος N3E-NSN--- ἔλεος
ὅτι C--------- ὅτι
ἀπέστημεν VHI-AAI1P- ἵστημι ἀπο
ἀπὸ P--------- ἀπό
σοῦ RP--GS---- σύ

Dan 9:10
καὶ C--------- καί
οὐκ D--------- οὐ
ἠκούσαμεν VAI-AAI1P- ἀκούω
τῆς RA--GSF--- ὁ
φωνῆς N1--GSF--- φωνή
κυρίου N2--GSM--- κύριος
τοῦ RA--GSM--- ὁ
θεοῦ N2--GSM--- θεός
ἡμῶν RP--GP---- ἐγώ
κατακολουθῆσαι VA--AAN--- ἀκολουθέω κατα
τῷ RA--DSM--- ὁ
νόμῳ N2--DSM--- νόμος
σου RP--GS---- σύ
ᾧ RR--DSM--- ὅς
ἔδωκας VAI-AAI2S- δίδωμι
ἐνώπιον P--------- ἐνώπιον
Μωσῆ N1M-GSM--- Μωσῆς
καὶ C--------- καί
ἡμῶν RP--GP---- ἐγώ
διὰ P--------- διά
τῶν RA--GPM--- ὁ
παίδων N3D-GPM--- παῖς
σου RP--GS---- σύ
τῶν RA--GPM--- ὁ
προφητῶν N1M-GPM--- προφήτης

Dan 9:11
καὶ C--------- καί
πᾶς A3--NSM--- πᾶς
Ισραηλ N---NSM--- Ἰσραήλ
ἐγκατέλιπε VBI-AAI3S- λείπω ἐν κατα
τὸν RA--ASM--- ὁ
νόμον N2--ASM--- νόμος
σου RP--GS---- σύ
καὶ C--------- καί
ἀπέστησαν VHI-AAI3P- ἵστημι ἀπο
τοῦ RA--GSM--- ὁ
μὴ D--------- μή
ἀκοῦσαι VA--AAN--- ἀκούω
τῆς RA--GSF--- ὁ
φωνῆς N1--GSF--- φωνή
σου RP--GS---- σύ
καὶ C--------- καί
ἐπῆλθεν VBI-AAI3S- ἔρχομαι ἐπι
ἐφ' P--------- ἐπί
ἡμᾶς RP--AP---- ἐγώ
ἡ RA--NSF--- ὁ
κατάρα N1A-NSF--- κατάρα
καὶ C--------- καί
ὁ RA--NSM--- ὁ
ὅρκος N2--NSM--- ὅρκος
ὁ RA--NSM--- ὁ
γεγραμμένος VP--XMPNSM γράφω
ἐν P--------- ἐν
τῷ RA--DSM--- ὁ
νόμῳ N2--DSM--- νόμος
Μωσῆ N1M-GSM--- Μωσῆς
παιδὸς N3D-GSM--- παῖς
τοῦ RA--GSM--- ὁ
θεοῦ N2--GSM--- θεός
ὅτι C--------- ὅτι
ἡμάρτομεν VBI-AAI1P- ἁμαρτάνω
αὐτῷ RD--DSM--- αὐτός

Dan 9:12
καὶ C--------- καί
ἔστησεν VAI-AAI3S- ἵστημι
ἡμῖν RP--DP---- ἐγώ
τὰ RA--APN--- ὁ
προστάγματα N3M-APN--- πρόσταγμα
αὐτοῦ RD--GSM--- αὐτός
ὅσα A1--APN--- ὅσος
ἐλάλησεν VAI-AAI3S- λαλέω
ἐφ' P--------- ἐπί
ἡμᾶς RP--AP---- ἐγώ
καὶ C--------- καί
ἐπὶ P--------- ἐπί
τοὺς RA--APM--- ὁ
κριτὰς N1M-APM--- κριτής
ἡμῶν RP--GP---- ἐγώ
ὅσα A1--APN--- ὅσος
ἔκρινας VAI-AAI2S- κρίνω
ἡμῖν RP--DP---- ἐγώ
ἐπαγαγεῖν VB--AAN--- ἄγω ἐπι
ἐφ' P--------- ἐπί
ἡμᾶς RP--AP---- ἐγώ
κακὰ A1--APN--- κακός
μεγάλα A1--APN--- μέγας
οἷα A1A-APN--- οἷος
οὐκ D--------- οὐ
ἐγενήθη VCI-API3S- γίγνομαι
ὑπὸ P--------- ὑπό
τὸν RA--ASM--- ὁ
οὐρανὸν N2--ASM--- οὐρανός
καθότι D--------- καθότι
ἐγενήθη VCI-API3S- γίγνομαι
ἐν P--------- ἐν
Ιερουσαλημ N---DSF--- Ἰερουσαλήμ

Dan 9:13
κατὰ P--------- κατά
τὰ RA--APN--- ὁ
γεγραμμένα VP--XMPAPN γράφω
ἐν P--------- ἐν
διαθήκῃ N1--DSF--- διαθήκη
Μωσῆ N1M-GSM--- Μωσῆς
πάντα A3--APN--- πᾶς
τὰ RA--APN--- ὁ
κακὰ A1--APN--- κακός
ἐπῆλθεν VBI-AAI3S- ἔρχομαι ἐπι
ἡμῖν RP--DP---- ἐγώ
καὶ C--------- καί
οὐκ D--------- οὐ
ἐξεζητήσαμεν VAI-AAI1P- ζητέω ἐκ
τὸ RA--ASN--- ὁ
πρόσωπον N2N-ASN--- πρόσωπον
κυρίου N2--GSM--- κύριος
θεοῦ N2--GSM--- θεός
ἡμῶν RP--GP---- ἐγώ
ἀποστῆναι VH--AAN--- ἵστημι ἀπο
ἀπὸ P--------- ἀπό
τῶν RA--GPF--- ὁ
ἁμαρτιῶν N1A-GPF--- ἁμαρτία
ἡμῶν RP--GP---- ἐγώ
καὶ C--------- καί
διανοηθῆναι VC--APN--- νοέομαι δια
τὴν RA--ASF--- ὁ
δικαιοσύνην N1--ASF--- δικαιοσύνη
σου RP--GS---- σύ
κύριε N2--VSM--- κύριος

Dan 9:14
καὶ C--------- καί
ἠγρύπνησε VAI-AAI3S- ἀγρυπνέω
κύριος N2--NSM--- κύριος
ὁ RA--NSM--- ὁ
θεὸς N2--NSM--- θεός
ἐπὶ P--------- ἐπί
τὰ RA--APN--- ὁ
κακὰ A1--APN--- κακός
καὶ C--------- καί
ἐπήγαγεν VBI-AAI3S- ἄγω ἐπι
ἐφ' P--------- ἐπί
ἡμᾶς RP--AP---- ἐγώ
ὅτι C--------- ὅτι
δίκαιος A1A-NSM--- δίκαιος
κύριος N2--NSM--- κύριος
ὁ RA--NSM--- ὁ
θεὸς N2--NSM--- θεός
ἡμῶν RP--GP---- ἐγώ
ἐπὶ P--------- ἐπί
