Hos 1:1
ὅπως C--------- ὅπως
ἐξολεθρευθῶσιν VC--APS3P- ὀλεθρεύω ἐκ

Hos 8:5
ἀπότριψαι VA--AMD2S- τρίβω ἀπο
τὸν RA--ASM--- ὁ
μόσχον N2--ASM--- μόσχος
σου RP--GS---- σύ
Σαμάρεια N1A-VSF--- Σαμαρία
παρωξύνθη VCI-API3S- ὀξύνω παρα
ὁ RA--NSM--- ὁ
θυμός N2--NSM--- θυμός
μου RP--GS---- ἐγώ
ἐπ' P--------- ἐπί
αὐτούς RD--APM--- αὐτός
ἕως P--------- ἕως
τίνος RI--GSN--- τίς
οὐ D--------- οὐ
μὴ D--------- μή
δύνωνται V6--PMS3P- δύναμαι
καθαρισθῆναι VS--APN--- καθαρίζω

Hos 8:6
ἐν P--------- ἐν
τῷ RA--DSM--- ὁ
Ισραηλ N---DSM--- Ἰσραήλ
καὶ C--------- καί
αὐτὸ RD--ASN--- αὐτός
τέκτων N3N-NSM--- τέκτων
ἐποίησεν VAI-AAI3S- ποιέω
καὶ C--------- καί
οὐ D--------- οὐ
θεός N2--NSM--- θεός
ἐστιν V9--PAI3S- εἰμί
διότι C--------- διότι
πλανῶν V3--PAPNSM πλανάω
ἦν V9--IAI3S- εἰμί
ὁ RA--NSM--- ὁ
μόσχος N2--NSM--- μόσχος
σου RP--GS---- σύ
Σαμάρεια N1A-VSF--- Σαμαρία

Hos 8:7
ὅτι C--------- ὅτι
ἀνεμόφθορα A1B-APN--- ἀνεμόφθορος
ἔσπειραν VAI-AAI3P- σπείρω
καὶ C--------- καί
ἡ RA--NSF--- ὁ
καταστροφὴ N1--NSF--- καταστροφή
αὐτῶν RD--GPM--- αὐτός
ἐκδέξεται VF--FMI3S- δέχομαι ἐκ
αὐτά RD--APN--- αὐτός
δράγμα N3M-ASN--- δράγμα
οὐκ D--------- οὐ
ἔχον V1--PAPASN ἔχω
ἰσχὺν N3--ASF--- ἰσχύς
τοῦ RA--GSN--- ὁ
ποιῆσαι VA--AAN--- ποιέω
ἄλευρον N2N-ASN--- ἄλευρον
ἐὰν C--------- ἐάν
δὲ X--------- δέ
καὶ D--------- καί
ποιήσῃ VA--AAS3S- ποιέω
ἀλλότριοι A1A-NPM--- ἀλλότριος
καταφάγονται VF--FMI3P- ἐσθίω κατα
αὐτό RD--ASN--- αὐτός

Hos 8:8
κατεπόθη VAI-API3S- πίνω κατα
Ισραηλ N---NSM--- Ἰσραήλ
νῦν D--------- νῦν
ἐγένετο VBI-AMI3S- γίγνομαι
ἐν P--------- ἐν
τοῖς RA--DPN--- ὁ
ἔθνεσιν N3E-DPN--- ἔθνος
ὡς C--------- ὡς
σκεῦος N3E-NSN--- σκεῦος
ἄχρηστον A1B-NSN--- ἄχρηστος

Hos 8:9
ὅτι C--------- ὅτι
αὐτοὶ RD--NPM--- αὐτός
ἀνέβησαν VZI-AAI3P- βαίνω ἀνα
εἰς P--------- εἰς
Ἀσσυρίους N2--APM--- Ἀσσύριος
ἀνέθαλεν VBI-AAI3S- θάλλω ἀνα
καθ' P--------- κατά
ἑαυτὸν RD--ASM--- ἑαυτοῦ
Εφραιμ N---NSM--- Ἐφράιμ
δῶρα N2N-APN--- δῶρον
ἠγάπησαν VAI-AAI3P- ἀγαπάω

Hos 8:10
διὰ P--------- διά
τοῦτο RD--ASN--- οὗτος
παραδοθήσονται VC--FPI3P- δίδωμι παρα
ἐν P--------- ἐν
τοῖς RA--DPN--- ὁ
ἔθνεσιν N3E-DPN--- ἔθνος
νῦν D--------- νῦν
εἰσδέξομαι VF--FMI1S- δέχομαι εἰς
αὐτούς RD--APM--- αὐτός
καὶ C--------- καί
κοπάσουσιν VF--FAI3P- κοπάζω
μικρὸν A1A-ASM--- μικρός
τοῦ RA--GSN--- ὁ
χρίειν V1--PAN--- χρίω
βασιλέα N3V-ASM--- βασιλεύς
καὶ C--------- καί
ἄρχοντας N3--APM--- ἄρχων

Hos 8:11
ὅτι C--------- ὅτι
ἐπλήθυνεν V1I-IAI3S- πληθύνω
Εφραιμ N---NSM--- Ἐφράιμ
θυσιαστήρια N2N-APN--- θυσιαστήριον
εἰς P--------- εἰς
ἁμαρτίας N1A-APF--- ἁμαρτία
ἐγένοντο VBI-AMI3P- γίγνομαι
αὐτῷ RD--DSM--- αὐτός
θυσιαστήρια N2N-NPN--- θυσιαστήριον
ἠγαπημένα VM--XMPNPN ἀγαπάω

Hos 8:12
καταγράψω VF--AAS1S- γράφω κατα
αὐτῷ RD--DSM--- αὐτός
πλῆθος N3E-ASN--- πλῆθος
καὶ D--------- καί
τὰ RA--APN--- ὁ
νόμιμα A1--APN--- νόμιμος
αὐτοῦ RD--GSM--- αὐτός
εἰς P--------- εἰς
ἀλλότρια A1A-APN--- ἀλλότριος
ἐλογίσθησαν VSI-API3P- λογίζομαι
θυσιαστήρια N2N-APN--- θυσιαστήριον
τὰ RA--APN--- ὁ
ἠγαπημένα VM--XMPAPN ἀγαπάω

Hos 8:13
διότι C--------- διότι
ἐὰν C--------- ἐάν
θύσωσιν VA--AAS3P- θύω
θυσίαν N1A-ASF--- θυσία
καὶ C--------- καί
φάγωσιν VB--AAS3P- ἐσθίω
κρέα N3--APN--- κρέας
κύριος N2--NSM--- κύριος
οὐ D--------- οὐ
προσδέξεται VF--FMI3S- δέχομαι προς
αὐτά RD--APN--- αὐτός
νῦν D--------- νῦν
μνησθήσεται VS--FPI3S- μιμνήσκω
τὰς RA--APF--- ὁ
ἀδικίας N1A-APF--- ἀδικία
αὐτῶν RD--GPM--- αὐτός
καὶ C--------- καί
ἐκδικήσει VF--FAI3S- δικέω ἐκ
τὰς RA--APF--- ὁ
ἁμαρτίας N1A-APF--- ἁμαρτία
αὐτῶν RD--GPM--- αὐτός
αὐτοὶ RD--NPM--- αὐτός
εἰς P--------- εἰς
Αἴγυπτον N2--ASF--- Αἴγυπτος
ἀπέστρεψαν VAI-AAI3P- στρέφω ἀπο
καὶ C--------- καί
ἐν P--------- ἐν
Ἀσσυρίοις N2--DPM--- Ἀσσύριος
ἀκάθαρτα A1B-APN--- ἀκάθαρτος
φάγονται VF--FMI3P- ἐσθίω

Hos 8:14
καὶ C--------- καί
ἐπελάθετο VBI-AMI3S- λανθάνω ἐπι
Ισραηλ N---NSM--- Ἰσραήλ
τοῦ RA--GSM--- ὁ
ποιήσαντος VA--AAPGSM ποιέω
αὐτὸν RD--ASM--- αὐτός
καὶ C--------- καί
ᾠκοδόμησαν VAI-AAI3P- οἰκοδομέω
τεμένη N3E-APN--- τέμενος
καὶ C--------- καί
Ιουδας N1T-NSM--- Ἰούδας
ἐπλήθυνεν V1I-IAI3S- πληθύνω
πόλεις N3I-APF--- πόλις
τετειχισμένας VT--XMPAPF τειχίζω
καὶ C--------- καί
ἐξαποστελῶ VF2-FAI1S- στέλλω ἐκ ἀπο
πῦρ N3--ASN--- πῦρ
εἰς P--------- εἰς
τὰς RA--APF--- ὁ
πόλεις N3I-APF--- πόλις
αὐτοῦ RD--GSM--- αὐτός
καὶ C--------- καί
καταφάγεται VF--FMI3S- ἐσθίω κατα
τὰ RA--APN--- ὁ
θεμέλια N2N-APN--- θεμέλιον
αὐτῶν RD--GPM--- αὐτός

Hos 9:1
μὴ D--------- μή
χαῖρε V1--PAD2S- χαίρω
Ισραηλ N---VSM--- Ἰσραήλ
μηδὲ C--------- μηδέ
εὐφραίνου V1--PMD2S- εὐφραίνω
καθὼς D--------- καθώς
οἱ RA--NPM--- ὁ
λαοί N2--NPM--- λαός
διότι C--------- διότι
ἐπόρνευσας VAI-AAI2S- πορνεύω
ἀπὸ P--------- ἀπό
τοῦ RA--GSM--- ὁ
θεοῦ N2--GSM--- θεός
σου RP--GS---- σύ
ἠγάπησας VAI-AAI2S- ἀγαπάω
δόματα N3M-APN--- δόμα
ἐπὶ P--------- ἐπί
πάντα A3--ASM--- πᾶς
ἅλωνα N3W-ASF--- ἅλων
σίτου N2--GSM--- σῖτος

Hos 9:2
ἅλων N3W-NSF--- ἅλων
καὶ C--------- καί
ληνὸς N2--NSF--- ληνός
οὐκ D--------- οὐ
ἔγνω VZI-AAI3S- γιγνώσκω
αὐτούς RD--APM--- αὐτός
καὶ C--------- καί
ὁ RA--NSM--- ὁ
οἶνος N2--NSM--- οἶνος
ἐψεύσατο VAI-AMI3S- ψεύδω
αὐτούς RD--APM--- αὐτός

Hos 9:3
οὐ D--------- οὐ
κατῴκησαν VAI-AAI3P- οἰκέω κατα
ἐν P--------- ἐν
τῇ RA--DSF--- ὁ
γῇ N1--DSF--- γῆ
τοῦ RA--GSM--- ὁ
κυρίου N2--GSM--- κύριος
κατῴκησεν VAI-AAI3S- οἰκέω κατα
Εφραιμ N---NSM--- Ἐφράιμ
εἰς P--------- εἰς
Αἴγυπτον N2--ASF--- Αἴγυπτος
καὶ C--------- καί
ἐν P--------- ἐν
Ἀσσυρίοις N2--DPM--- Ἀσσύριος
ἀκάθαρτα A1B-APN--- ἀκάθαρτος
φάγονται VF--FMI3P- ἐσθίω

Hos 9:4
οὐκ D--------- οὐ
ἔσπεισαν VAI-AAI3P- σπένδω
τῷ RA--DSM--- ὁ
κυρίῳ N2--DSM--- κύριος
οἶνον N2--ASM--- οἶνος
καὶ C--------- καί
οὐχ D--------- οὐ
ἥδυναν VA--AAI3P- ἡδύνω
αὐτῷ RD--DSM--- αὐτός
αἱ RA--NPF--- ὁ
θυσίαι N1A-NPF--- θυσία
αὐτῶν RD--GPM--- αὐτός
ὡς C--------- ὡς
ἄρτος N2--NSM--- ἄρτος
πένθους N3E-GSN--- πένθος
αὐτοῖς RD--DPM--- αὐτός
πάντες A3--NPM--- πᾶς
οἱ RA--NPM--- ὁ
ἔσθοντες V1--PAPNPM ἐσθίω
αὐτὰ RD--APN--- αὐτός
μιανθήσονται VC--FPI3P- μιαίνω
διότι C--------- διότι
οἱ RA--NPM--- ὁ
ἄρτοι N2--NPM--- ἄρτος
αὐτῶν RD--GPM--- αὐτός
ταῖς RA--DPF--- ὁ
ψυχαῖς N1--DPF--- ψυχή
αὐτῶν RD--GPM--- αὐτός
οὐκ D--------- οὐ
εἰσελεύσονται VF--FMI3P- ἔρχομαι εἰς
εἰς P--------- εἰς
τὸν RA--ASM--- ὁ
οἶκον N2--ASM--- οἶκος
κυρίου N2--GSM--- κύριος

Hos 9:5
τί RI--ASN--- τίς
ποιήσετε VF--FAI2P- ποιέω
ἐν P--------- ἐν
ἡμέρᾳ N1A-DSF--- ἡμέρα
πανηγύρεως N3I-GSF--- πανήγυρις
καὶ C--------- καί
ἐν P--------- ἐν
ἡμέρᾳ N1A-DSF--- ἡμέρα
ἑορτῆς N1--GSF--- ἑορτή
τοῦ RA--GSM--- ὁ
κυρίου N2--GSM--- κύριος

Hos 9:6
διὰ P--------- διά
τοῦτο RD--ASN--- οὗτος
ἰδοὺ I--------- ἰδού
πορεύσονται VF--FMI3P- πορεύομαι
ἐκ P--------- ἐκ
ταλαιπωρίας N1A-GSF--- ταλαιπωρία
Αἰγύπτου N2--GSF--- Αἴγυπτος
καὶ C--------- καί
ἐκδέξεται VF--FMI3S- δέχομαι ἐκ
αὐτοὺς RD--APM--- αὐτός
Μέμφις N---NS---- Μέμφις
καὶ C--------- καί
θάψει VF--FAI3S- θάπτω
αὐτοὺς RD--APM--- αὐτός
Μαχμας N---NS---- Μαχμας
τὸ RA--ASN--- ὁ
ἀργύριον N2N-ASN--- ἀργύριον
αὐτῶν RD--GPM--- αὐτός
ὄλεθρος N2--NSM--- ὄλεθρος
κληρονομήσει VF--FAI3S- κληρονομέω
ἄκανθαι N1A-NPF--- ἄκανθα
ἐν P--------- ἐν
τοῖς RA--DPN--- ὁ
σκηνώμασιν N3M-DPN--- σκήνωμα
αὐτῶν RD--GPM--- αὐτός

Hos 9:7
ἥκασιν V1--PAI3P- ἥκω
αἱ RA--NPF--- ὁ
ἡμέραι N1A-NPF--- ἡμέρα
τῆς RA--GSF--- ὁ
ἐκδικήσεως N3I-GSF--- ἐκδίκησις
ἥκασιν V1--PAI3P- ἥκω
αἱ RA--NPF--- ὁ
ἡμέραι N1A-NPF--- ἡμέρα
τῆς RA--GSF--- ὁ
ἀνταποδόσεώς N3I-GSF--- ἀνταπόδοσις
σου RP--GS---- σύ
καὶ C--------- καί
κακωθήσεται VC--FPI3S- κακόω
Ισραηλ N---NSM--- Ἰσραήλ
ὥσπερ D--------- ὥσπερ
ὁ RA--NSM--- ὁ
προφήτης N1M-NSM--- προφήτης
ὁ RA--NSM--- ὁ
παρεξεστηκώς VXI-XAPNSM ἵστημι παρα ἐκ
ἄνθρωπος N2--NSM--- ἄνθρωπος
ὁ RA--NSM--- ὁ
πνευματοφόρος N2--NSM--- πνευματοφόρος
ὑπὸ P--------- ὑπό
τοῦ RA--GSN--- ὁ
πλήθους N3E-GSN--- πλῆθος
τῶν RA--GPF--- ὁ
ἀδικιῶν N1A-GPF--- ἀδικία
σου RP--GS---- σύ
ἐπληθύνθη VCI-API3S- πληθύνω
μανία N1A-NSF--- μανία
σου RP--GS---- σύ

Hos 9:8
σκοπὸς N2--NSM--- σκοπός
Εφραιμ N---NSM--- Ἐφράιμ
μετὰ P--------- μετά
θεοῦ N2--GSM--- θεός
προφήτης N1M-NSM--- προφήτης
παγὶς N3D-NSF--- παγίς
σκολιὰ A1A-NSF--- σκολιός
ἐπὶ P--------- ἐπί
πάσας A1S-APF--- πᾶς
τὰς RA--APF--- ὁ
ὁδοὺς N2--APF--- ὁδός
αὐτοῦ RD--GSM--- αὐτός
μανίαν N1A-ASF--- μανία
ἐν P--------- ἐν
οἴκῳ N2--DSM--- οἶκος
κυρίου N2--GSM--- κύριος
κατέπηξαν VAI-AAI3P- πήγνυμι κατα

Hos 9:9
ἐφθάρησαν VDI-API3P- φθείρω
κατὰ P--------- κατά
τὰς RA--APF--- ὁ
ἡμέρας N1A-APF--- ἡμέρα
τοῦ RA--GSM--- ὁ
βουνοῦ N2--GSM--- βουνός
μνησθήσεται VS--FPI3S- μιμνήσκω
ἀδικίας N1A-APF--- ἀδικία
αὐτοῦ RD--GSM--- αὐτός
ἐκδικήσει VF--FAI3S- δικέω ἐκ
ἁμαρτίας N1A-APF--- ἁμαρτία
αὐτοῦ RD--GSM--- αὐτός

Hos 9:10
ὡς C--------- ὡς
σταφυλὴν N1--ASF--- σταφυλή
ἐν P--------- ἐν
ἐρήμῳ N2--DSF--- ἔρημος
εὗρον VB--AAI1S- εὑρίσκω
τὸν RA--ASM--- ὁ
Ισραηλ N---ASM--- Ἰσραήλ
καὶ C--------- καί
ὡς C--------- ὡς
σκοπὸν N2--ASM--- σκοπός
ἐν P--------- ἐν
συκῇ N1--DSF--- συκῆ
πρόιμον A1B-ASM--- πρώιμος
εἶδον VBI-AAI1S- ὁράω
πατέρας N3--APM--- πατήρ
αὐτῶν RD--GPM--- αὐτός
αὐτοὶ RD--NPM--- αὐτός
εἰσῆλθον VBI-AAI3P- ἔρχομαι εἰς
πρὸς P--------- πρός
τὸν RA--ASM--- ὁ
Βεελφεγωρ N---ASM--- Βεελφεγωρ
καὶ C--------- καί
ἀπηλλοτριώθησαν VCI-API3P- ἀλλοτριόω ἀπο
εἰς P--------- εἰς
αἰσχύνην N1--ASF--- αἰσχύνη
καὶ C--------- καί
ἐγένοντο VBI-AMI3P- γίγνομαι
οἱ RA--NPM--- ὁ
ἠγαπημένοι VM--XMPNPM ἀγαπάω
ὡς C--------- ὡς
οἱ RA--NPM--- ὁ
ἐβδελυγμένοι VKI-XPPNSM βδελύσσω

Hos 9:11
Εφραιμ N---NSM--- Ἐφράιμ
ὡς C--------- ὡς
ὄρνεον N2N-NSN--- ὄρνεον
ἐξεπετάσθη VCI-API3S- πετάζω ἐκ
αἱ RA--NPF--- ὁ
δόξαι N1S-NPF--- δόξα
αὐτῶν RD--GPM--- αὐτός
ἐκ P--------- ἐκ
τόκων N2--GPM--- τόκος
καὶ C--------- καί
ὠδίνων N3--GPF--- ὠδίν
καὶ C--------- καί
συλλήμψεων N3I-GPF--- σύλληψις

Hos 9:12
διότι C--------- διότι
καὶ D--------- καί
ἐὰν C--------- ἐάν
ἐκθρέψωσιν VA--AAS3P- τρέφω ἐκ
τὰ RA--APN--- ὁ
τέκνα N2N-APN--- τέκνον
αὐτῶν RD--GPM--- αὐτός
ἀτεκνωθήσονται VC--FPI3P- ἀτεκνόω
ἐξ P--------- ἐκ
ἀνθρώπων N2--GPM--- ἄνθρωπος
διότι C--------- διότι
καὶ D--------- καί
οὐαὶ I--------- οὐαί
αὐτοῖς RD--DPM--- αὐτός
ἐστιν V9--PAI3S- εἰμί
σάρξ N3K-NSF--- σάρξ
μου RP--GS---- ἐγώ
ἐξ P--------- ἐκ
αὐτῶν RD--GPM--- αὐτός

Hos 9:13
Εφραιμ N---NSM--- Ἐφράιμ
ὃν RR--ASM--- ὅς
τρόπον N2--ASM--- τρόπος
εἶδον VBI-AAI1S- ὁράω
εἰς P--------- εἰς
θήραν N1A-ASF--- θήρα
παρέστησαν VHI-AAI3P- ἵστημι παρα
τὰ RA--APN--- ὁ
τέκνα N2N-APN--- τέκνον
αὐτῶν RD--GPM--- αὐτός
καὶ C--------- καί
Εφραιμ N---NSM--- Ἐφράιμ
τοῦ RA--GSN--- ὁ
ἐξαγαγεῖν VB--AAN--- ἄγω ἐκ
εἰς P--------- εἰς
ἀποκέντησιν N3I-ASF--- ἀποκέντησις
τὰ RA--APN--- ὁ
τέκνα N2N-APN--- τέκνον
αὐτοῦ RD--GSM--- αὐτός

Hos 9:14
δὸς VO--AAD2S- δίδωμι
αὐτοῖς RD--DPM--- αὐτός
κύριε N2--VSM--- κύριος
τί RI--ASN--- τίς
δώσεις VF--FAI2S- δίδωμι
αὐτοῖς RD--DPM--- αὐτός
δὸς VO--AAD2S- δίδωμι
αὐτοῖς RD--DPM--- αὐτός
μήτραν N1A-ASF--- μήτρα
ἀτεκνοῦσαν V4--PAPASF ἀτεκνόω
καὶ C--------- καί
μαστοὺς N2--APM--- μαστός
ξηρούς A1A-APM--- ξηρός

Hos 9:15
πᾶσαι A1S-NPF--- πᾶς
αἱ RA--NPF--- ὁ
κακίαι N1A-NPF--- κακία
αὐτῶν RD--GPM--- αὐτός
εἰς P--------- εἰς
Γαλγαλ N---AS---- Γαλγαλ
ὅτι C--------- ὅτι
ἐκεῖ D--------- ἐκεῖ
αὐτοὺς RD--APM--- αὐτός
ἐμίσησα VAI-AAI1S- μισέω
διὰ P--------- διά
τὰς RA--APF--- ὁ
κακίας N1A-APF--- κακία
τῶν RA--GPN--- ὁ
ἐπιτηδευμάτων N3M-GPN--- ἐπιτήδευμα
αὐτῶν RD--GPM--- αὐτός
ἐκ P--------- ἐκ
τοῦ RA--GSM--- ὁ
οἴκου N2--GSM--- οἶκος
μου RP--GS---- ἐγώ
ἐκβαλῶ VF2-FAI1S- βάλλω ἐκ
αὐτούς RD--APM--- αὐτός
οὐ D--------- οὐ
μὴ D--------- μή
προσθήσω VF--FAI1S- τίθημι προς
τοῦ RA--GSN--- ὁ
ἀγαπῆσαι VA--AAN--- ἀγαπάω
αὐτούς RD--APM--- αὐτός
πάντες A3--NPM--- πᾶς
οἱ RA--NPM--- ὁ
ἄρχοντες N3--NPM--- ἄρχων
αὐτῶν RD--GPM--- αὐτός
ἀπειθοῦντες V2--PAPNPM ἀπειθέω

Hos 9:16
ἐπόνεσεν V2I-IAI3S- πονέω
Εφραιμ N---NSM--- Ἐφράιμ
τὰς RA--APF--- ὁ
ῥίζας N1S-APF--- ῥίζα
αὐτοῦ RD--GSM--- αὐτός
ἐξηράνθη VCI-API3S- ξηραίνω
καρπὸν N2--ASM--- καρπός
οὐκέτι D--------- οὐκέτι
μὴ D--------- μή
ἐνέγκῃ VA--AAS3S- φέρω
διότι C--------- διότι
καὶ D--------- καί
ἐὰν C--------- ἐάν
γεννήσωσιν VA--AAS3P- γεννάω
ἀποκτενῶ VF2-FAI1S- κτείνω ἀπο
τὰ RA--APN--- ὁ
ἐπιθυμήματα N3M-APN--- ἐπιθύμημα
κοιλίας N1A-GSF--- κοιλία
αὐτῶν RD--GPM--- αὐτός

Hos 9:17
ἀπώσεται VF--FMI3S- ὠθέω ἀπο
αὐτοὺς RD--APM--- αὐτός
ὁ RA--NSM--- ὁ
θεός N2--NSM--- θεός
ὅτι C--------- ὅτι
οὐκ D--------- οὐ
εἰσήκουσαν VAI-AAI3P- ἀκούω εἰς
αὐτοῦ RD--GSM--- αὐτός
καὶ C--------- καί
ἔσονται VF--FMI3P- εἰμί
πλανῆται N1M-NPM--- πλανήτης
ἐν P--------- ἐν
τοῖς RA--DPN--- ὁ
ἔθνεσιν N3E-DPN--- ἔθνος

Hos 10:1
ἄμπελος N2--NSF--- ἄμπελος
εὐκληματοῦσα V2--PAPNSF εὐκληματέω
Ισραηλ N---NSM--- Ἰσραήλ
ὁ RA--NSM--- ὁ
καρπὸς N2--NSM--- καρπός
αὐτῆς RD--GSF--- αὐτός
εὐθηνῶν V2--PAPNSM εὐθηνέω
κατὰ P--------- κατά
τὸ RA--ASN--- ὁ
πλῆθος N3E-ASN--- πλῆθος
τῶν RA--GPM--- ὁ
καρπῶν N2--GPM--- καρπός
αὐτοῦ RD--GSM--- αὐτός
ἐπλήθυνεν V1I-IAI3S- πληθύνω
τὰ RA--APN--- ὁ
θυσιαστήρια N2N-APN--- θυσιαστήριον
κατὰ P--------- κατά
τὰ RA--APN--- ὁ
ἀγαθὰ A1--APN--- ἀγαθός
τῆς RA--GSF--- ὁ
γῆς N1--GSF--- γῆ
αὐτοῦ RD--GSM--- αὐτός
ᾠκοδόμησεν VAI-AAI3S- οἰκοδομέω
στήλας N1--APF--- στήλη

Hos 10:2
ἐμέρισαν VAI-AAI3P- μερίζω
καρδίας N1A-APF--- καρδία
αὐτῶν RD--GPM--- αὐτός
νῦν D--------- νῦν
ἀφανισθήσονται VS--FPI3P- ἵζω ἀπο ἀνα
αὐτὸς RD--NSM--- αὐτός
κατασκάψει VF--FAI3S- σκάπτω κατα
τὰ RA--APN--- ὁ
θυσιαστήρια N2N-APN--- θυσιαστήριον
αὐτῶν RD--GPM--- αὐτός
ταλαιπωρήσουσιν VF--FAI3P- ταλαιπωρέω
αἱ RA--NPF--- ὁ
στῆλαι N1--NPF--- στήλη
αὐτῶν RD--GPM--- αὐτός

Hos 10:3
διότι C--------- διότι
νῦν D--------- νῦν
ἐροῦσιν VF2-FAI3P- εἶπον
οὐκ D--------- οὐ
ἔστιν V9--PAI3S- εἰμί
βασιλεὺς N3V-NSM--- βασιλεύς
ἡμῖν RP--DP---- ἐγώ
ὅτι C--------- ὅτι
οὐκ D--------- οὐ
ἐφοβήθημεν VCI-API1P- φοβέω
τὸν RA--ASM--- ὁ
κύριον N2--ASM--- κύριος
ὁ RA--NSM--- ὁ
δὲ X--------- δέ
βασιλεὺς N3V-NSM--- βασιλεύς
τί RI--ASN--- τίς
ποιήσει VF--FAI3S- ποιέω
ἡμῖν RP--DP---- ἐγώ

Hos 10:4
λαλῶν V2--PAPNSM λαλέω
ῥήματα N3M-APN--- ῥῆμα
προφάσεις N3I-APF--- πρόφασις
ψευδεῖς A3H-APF--- ψευδής
διαθήσεται VF--FMI3S- τίθημι δια
διαθήκην N1--ASF--- διαθήκη
ἀνατελεῖ VF2-FAI3S- τέλλω ἀνα
ὡς C--------- ὡς
ἄγρωστις N3I-NSF--- ἄγρωστις
κρίμα N3M-NSN--- κρίμα
ἐπὶ P--------- ἐπί
χέρσον N2--ASF--- χέρσος
ἀγροῦ N2--GSM--- ἀγρός

Hos 10:5
τῷ RA--DSM--- ὁ
μόσχῳ N2--DSM--- μόσχος
τοῦ RA--GSM--- ὁ
οἴκου N2--GSM--- οἶκος
Ων N---GS---- Ων
παροικήσουσιν VF--FAI3P- οἰκέω παρα
οἱ RA--NPM--- ὁ
κατοικοῦντες V2--PAPNPM οἰκέω κατα
Σαμάρειαν N1A-ASF--- Σαμαρία
ὅτι C--------- ὅτι
ἐπένθησεν VAI-AAI3S- πενθέω
ὁ RA--NSM--- ὁ
λαὸς N2--NSM--- λαός
αὐτοῦ RD--GSM--- αὐτός
ἐπ' P--------- ἐπί
αὐτόν RD--ASM--- αὐτός
καὶ C--------- καί
καθὼς D--------- καθώς
παρεπίκραναν VAI-AAI3P- πικραίνω παρα
αὐτόν RD--ASM--- αὐτός
ἐπιχαροῦνται VF2-FMI3P- χαίρω ἐπι
ἐπὶ P--------- ἐπί
τὴν RA--ASF--- ὁ
δόξαν N1S-ASF--- δόξα
αὐτοῦ RD--GSM--- αὐτός
ὅτι C--------- ὅτι
μετῳκίσθη VSI-API3S- οἰκίζω μετα
ἀπ' P--------- ἀπό
αὐτοῦ RD--GSM--- αὐτός

Hos 10:6
καὶ C--------- καί
αὐτὸν RD--ASM--- αὐτός
εἰς P--------- εἰς
Ἀσσυρίους N2--APM--- Ἀσσύριος
δήσαντες VA--AAPNPM δέω
ἀπήνεγκαν VAI-AAI3P- φέρω ἀπο
ξένια N1A-NSF--- ξενία
τῷ RA--DSM--- ὁ
βασιλεῖ N3V-DSM--- βασιλεύς
Ιαριμ N---DSM--- Ιαριμ
ἐν P--------- ἐν
δόματι N3M-DSN--- δόμα
Εφραιμ N---NSM--- Ἐφράιμ
δέξεται VF--FMI3S- δέχομαι
καὶ C--------- καί
αἰσχυνθήσεται VC--FPI3S- αἰσχύνω
Ισραηλ N---NSM--- Ἰσραήλ
ἐν P--------- ἐν
τῇ RA--DSF--- ὁ
βουλῇ N1--DSF--- βουλή
αὐτοῦ RD--GSM--- αὐτός

Hos 10:7
ἀπέρριψεν VAI-AAI3S- ῥίπτω ἀπο
Σαμάρεια N1A-NSF--- Σαμαρία
βασιλέα N3V-ASM--- βασιλεύς
αὐτῆς RD--GSF--- αὐτός
ὡς C--------- ὡς
φρύγανον N2N-ASN--- φρύγανον
ἐπὶ P--------- ἐπί
προσώπου N2N-GSN--- πρόσωπον
ὕδατος N3T-GSN--- ὕδωρ

Hos 10:8
καὶ C--------- καί
ἐξαρθήσονται VC--FPI3P- αἴρω ἐκ
βωμοὶ N2--NPM--- βωμός
Ων N---G----- Ων
ἁμαρτήματα N3M-NPN--- ἁμάρτημα
τοῦ RA--GSM--- ὁ
Ισραηλ N---GSM--- Ἰσραήλ
ἄκανθαι N1A-NPF--- ἄκανθα
καὶ C--------- καί
τρίβολοι N2--NPM--- τρίβολος
ἀναβήσονται VF--FMI3P- βαίνω ἀνα
ἐπὶ P--------- ἐπί
τὰ RA--APN--- ὁ
θυσιαστήρια N2N-APN--- θυσιαστήριον
αὐτῶν RD--GPM--- αὐτός
καὶ C--------- καί
ἐροῦσιν VF2-FAI3P- εἶπον
τοῖς RA--DPN--- ὁ
ὄρεσιν N3E-DPN--- ὄρος
καλύψατε VA--AAD2P- καλύπτω
ἡμᾶς RP--AP---- ἐγώ
καὶ C--------- καί
τοῖς RA--DPM--- ὁ
βουνοῖς N2--DPM--- βουνός
πέσατε VB--AAD2P- πίπτω
ἐφ' P--------- ἐπί
ἡμᾶς RP--AP---- ἐγώ

Hos 10:9
ἀφ' P--------- ἀπό
οὗ RR--GSM--- ὅς
οἱ RA--NPM--- ὁ
βουνοί N2--NPM--- βουνός
ἥμαρτεν VBI-AAI3S- ἁμαρτάνω
Ισραηλ N---NSM--- Ἰσραήλ
ἐκεῖ D--------- ἐκεῖ
ἔστησαν VAI-AAI3P- ἵστημι
οὐ D--------- οὐ
μὴ D--------- μή
καταλάβῃ VB--AAS3S- λαμβάνω κατα
αὐτοὺς RD--APM--- αὐτός
ἐν P--------- ἐν
τῷ RA--DSM--- ὁ
βουνῷ N2--DSM--- βουνός
