Wis 1:1
καὶ C--------- καί
ἀργυροχόοις N2--DPM--- ἀργυροχόος
χαλκοπλάστας N1M-APM--- χαλκοπλάστης
τε X--------- τε
μιμεῖται V2--PMI3S- μιμέομαι
καὶ C--------- καί
δόξαν N1S-ASF--- δόξα
ἡγεῖται V2--PMI3S- ἡγέομαι
ὅτι C--------- ὅτι
κίβδηλα A1B-APN--- κίβδηλος
πλάσσει V1--PAI3S- πλάσσω

Wis 15:10
σποδὸς N2--NSF--- σποδός
ἡ RA--NSF--- ὁ
καρδία N1A-NSF--- καρδία
αὐτοῦ RD--GSM--- αὐτός
καὶ C--------- καί
γῆς N1--GSF--- γῆ
εὐτελεστέρα A3H-NSFC-- εὐτελής
ἡ RA--NSF--- ὁ
ἐλπὶς N3D-NSF--- ἐλπίς
αὐτοῦ RD--GSM--- αὐτός
πηλοῦ N2--GSM--- πηλός
τε X--------- τε
ἀτιμότερος A1B-NSMC-- ἄτιμος
ὁ RA--NSM--- ὁ
βίος N2--NSM--- βίος
αὐτοῦ RD--GSM--- αὐτός

Wis 15:11
ὅτι C--------- ὅτι
ἠγνόησεν VAI-AAI3S- ἀγνοέω
τὸν RA--ASM--- ὁ
πλάσαντα VA--AAPASM πλάσσω
αὐτὸν RD--ASM--- αὐτός
καὶ C--------- καί
τὸν RA--ASM--- ὁ
ἐμπνεύσαντα VA--AAPASM πνέω ἐν
αὐτῷ RD--DSM--- αὐτός
ψυχὴν N1--ASF--- ψυχή
ἐνεργοῦσαν V2--PAPASF ἐργέω ἐν
καὶ C--------- καί
ἐμφυσήσαντα VA--AAPASM φυσάω ἐν
πνεῦμα N3M-ASN--- πνεῦμα
ζωτικόν A1--ASM--- ζωτικός

Wis 15:12
ἀλλ' C--------- ἀλλά
ἐλογίσαντο VAI-AMI3P- λογίζομαι
παίγνιον N2N-ASN--- παίγνιον
εἶναι V9--PAN--- εἰμί
τὴν RA--ASF--- ὁ
ζωὴν N1--ASF--- ζωή
ἡμῶν RP--GP---- ἐγώ
καὶ C--------- καί
τὸν RA--ASM--- ὁ
βίον N2--ASM--- βίος
πανηγυρισμὸν N2--ASM--- πανηγυρισμός
ἐπικερδῆ A3H-ASM--- ἐπικερδής
δεῖν V2--PAN--- δέω
γάρ X--------- γάρ
φησιν V6--PAI3S- φημί
ὅθεν D--------- ὅθεν
δή X--------- δή
κἂν C+X------- καί+ἄν
ἐκ P--------- ἐκ
κακοῦ A1--GSN--- κακός
πορίζειν V1--PAN--- πορίζω

Wis 15:13
οὗτος RD--NSM--- οὗτος
γὰρ X--------- γάρ
παρὰ P--------- παρά
πάντας A3--APM--- πᾶς
οἶδεν VX--XAI3S- οἶδα
ὅτι C--------- ὅτι
ἁμαρτάνει V1--PAI3S- ἁμαρτάνω
ὕλης N1--GSF--- ὕλη
γεώδους A3H-GSF--- γεώδης
εὔθραυστα A1B-APN--- εὔθραστος
σκεύη N3E-APN--- σκεῦος
καὶ C--------- καί
γλυπτὰ A1--APN--- γλυπτός
δημιουργῶν N2--GPM--- δημιουργός

Wis 15:14
πάντες A3--NPM--- πᾶς
δὲ X--------- δέ
ἀφρονέστατοι A3--NPMS-- ἄφρων
καὶ C--------- καί
τάλανες A3N-NPM--- τάλας
ὑπὲρ P--------- ὑπέρ
ψυχὴν N1--ASF--- ψυχή
νηπίου A1A-GSM--- νήπιος
οἱ RA--NPM--- ὁ
ἐχθροὶ A1A-NPM--- ἐχθρός
τοῦ RA--GSM--- ὁ
λαοῦ N2--GSM--- λαός
σου RP--GS---- σύ
καταδυναστεύσαντες VA--AAPNPM δυναστεύω κατα
αὐτόν RD--ASM--- αὐτός

Wis 15:15
ὅτι C--------- ὅτι
καὶ C--------- καί
πάντα A3--APN--- πᾶς
τὰ RA--APN--- ὁ
εἴδωλα N2N-APN--- εἴδωλον
τῶν RA--GPN--- ὁ
ἐθνῶν N3E-GPN--- ἔθνος
ἐλογίσαντο VAI-AMI3P- λογίζομαι
θεούς N2--APM--- θεός
οἷς RR--DPN--- ὅς
οὔτε C--------- οὔτε
ὀμμάτων N3M-GPN--- ὄμμα
χρῆσις N3I-NSF--- χρῆσις
εἰς P--------- εἰς
ὅρασιν N3I-ASF--- ὅρασις
οὔτε C--------- οὔτε
ῥῖνες N3--NPF--- ῥίς
εἰς P--------- εἰς
συνολκὴν N1--ASF--- συνολκή
ἀέρος N3--GSM--- ἀήρ
οὔτε C--------- οὔτε
ὦτα N3T-ASN--- οὖς
ἀκούειν V1--PAN--- ἀκούω
οὔτε C--------- οὔτε
δάκτυλοι N2--NPM--- δάκτυλος
χειρῶν N3--GPF--- χείρ
εἰς P--------- εἰς
ψηλάφησιν N3I-ASF--- ψηλάφησις
καὶ C--------- καί
οἱ RA--NPM--- ὁ
πόδες N3D-NPM--- πούς
αὐτῶν RD--GPM--- αὐτός
ἀργοὶ A1--NPM--- ἀργός
πρὸς P--------- πρός
ἐπίβασιν N3I-ASF--- ἐπίβασις

Wis 15:16
ἄνθρωπος N2--NSM--- ἄνθρωπος
γὰρ X--------- γάρ
ἐποίησεν VAI-AAI3S- ποιέω
αὐτούς RD--APM--- αὐτός
καὶ C--------- καί
τὸ RA--ASN--- ὁ
πνεῦμα N3M-ASN--- πνεῦμα
δεδανεισμένος VT--XMPNSM δανείζω
ἔπλασεν VAI-AAI3S- πλάσσω
αὐτούς RD--APM--- αὐτός
οὐδεὶς A3--NSM--- οὐδείς
γὰρ X--------- γάρ
αὐτῷ RD--DSM--- αὐτός
ὅμοιον A1A-ASM--- ὅμοιος
ἄνθρωπος N2--NSM--- ἄνθρωπος
ἰσχύει V1--PAI3S- ἰσχύω
πλάσαι VA--AAN--- πλάσσω
θεόν N2--ASM--- θεός

Wis 15:17
θνητὸς A1--NSM--- θνητός
δὲ X--------- δέ
ὢν V9--PAPNSM εἰμί
νεκρὸν N2--ASM--- νεκρός
ἐργάζεται V1--PMI3S- ἐργάζομαι
χερσὶν N3--DPF--- χείρ
ἀνόμοις A1B-DPF--- ἄνομος
κρείττων A3C-NSM--- κρείσσων
γάρ X--------- γάρ
ἐστιν V9--PAI3S- εἰμί
τῶν RA--GPN--- ὁ
σεβασμάτων N3M-GPN--- σέβασμα
αὐτοῦ RD--GSM--- αὐτός
ὧν RR--GPN--- ὅς
αὐτὸς RD--NSM--- αὐτός
μὲν X--------- μέν
ἔζησεν VAI-AAI3S- ζάω
ἐκεῖνα RD--NPN--- ἐκεῖνος
δὲ X--------- δέ
οὐδέποτε D--------- οὐδέποτε

Wis 15:18
καὶ C--------- καί
τὰ RA--APN--- ὁ
ζῷα N2N-APN--- ζῷον
δὲ X--------- δέ
τὰ RA--APN--- ὁ
ἔχθιστα A1--APNS-- ἐχθρός
σέβονται V1--PMI3P- σέβομαι
ἀνοίᾳ N1A-DSF--- ἄνοια
γὰρ X--------- γάρ
συγκρινόμενα V1--PMPNPN κρίνω συν
τῶν RA--GPN--- ὁ
ἄλλων RD--GPN--- ἄλλος
ἐστὶ V9--PAI3S- εἰμί
χείρονα A3C-NPN--- χείρων

Wis 15:19
οὐδ' C--------- οὐδέ
ὅσον A1--ASN--- ὅσος
ἐπιποθῆσαι VA--AAN--- ποθέω ἐπι
ὡς C--------- ὡς
ἐν P--------- ἐν
ζῴων N2--GPN--- ζῷον
ὄψει N3I-DSF--- ὄψις
καλὰ A1--APN--- καλός
τυγχάνει V1--PAI3S- τυγχάνω
ἐκπέφευγεν VX--XAI3S- φεύγω ἐκ
δὲ X--------- δέ
καὶ C--------- καί
τὸν RA--ASM--- ὁ
τοῦ RA--GSM--- ὁ
θεοῦ N2--GSM--- θεός
ἔπαινον N2--ASM--- ἔπαινος
καὶ C--------- καί
τὴν RA--ASF--- ὁ
εὐλογίαν N1A-ASF--- εὐλογία
αὐτοῦ RD--GSM--- αὐτός

Wis 16:1
διὰ P--------- διά
τοῦτο RD--ASN--- οὗτος
δι' P--------- διά
ὁμοίων A1A-GPN--- ὅμοιος
ἐκολάσθησαν VSI-API3P- κολάζω
ἀξίως D--------- ἀξίως
καὶ C--------- καί
διὰ P--------- διά
πλήθους N3E-GSN--- πλῆθος
κνωδάλων N2N-GPN--- κνώδαλον
ἐβασανίσθησαν VSI-API3P- βασανίζω

Wis 16:2
ἀνθ' P--------- ἀντί
ἧς RR--GSF--- ὅς
κολάσεως N3I-GSF--- κόλασις
εὐεργετήσας VA--AAPNSM εὐεργετέω
τὸν RA--ASM--- ὁ
λαόν N2--ASM--- λαός
σου RP--GS---- σύ
εἰς P--------- εἰς
ἐπιθυμίαν N1A-ASF--- ἐπιθυμία
ὀρέξεως N3I-GSF--- ὄρεξις
ξένην A1--ASF--- ξένος
γεῦσιν N3I-ASF--- γεῦσις
τροφὴν N1--ASF--- τροφή
ἡτοίμασας VAI-AAI2S- ἑτοιμάζω
ὀρτυγομήτραν N1A-ASF--- ὀρτυγομήτρα

Wis 16:3
ἵνα C--------- ἵνα
ἐκεῖνοι RD--NPM--- ἐκεῖνος
μὲν X--------- μέν
ἐπιθυμοῦντες V4--PAPNPM θυμόω ἐπι
τροφὴν N1--ASF--- τροφή
διὰ P--------- διά
τὴν RA--ASF--- ὁ
εἰδέχθειαν N1A-ASF--- εἰδέχθεια
τῶν RA--GPM--- ὁ
ἐπαπεσταλμένων VM--XMPGPM στέλλω ἐπι ἀπο
καὶ C--------- καί
τὴν RA--ASF--- ὁ
ἀναγκαίαν A1A-ASF--- ἀναγκαῖος
ὄρεξιν N3I-ASF--- ὄρεξις
ἀποστρέφωνται V1--PMS3P- στρέφω ἀπο
αὐτοὶ RD--NPM--- αὐτός
δὲ X--------- δέ
ἐπ' P--------- ἐπί
ὀλίγον A1--ASN--- ὀλίγος
ἐνδεεῖς A3H-NPM--- ἐνδεής
γενόμενοι VB--AMPNPM γίγνομαι
καὶ C--------- καί
ξένης A1--GSF--- ξένος
μετάσχωσι VB--AAS3P- ἔχω μετα
γεύσεως N3I-GSF--- γεῦσις

Wis 16:4
ἔδει V2I-IAI3S- δέω
γὰρ X--------- γάρ
ἐκείνοις RD--DPM--- ἐκεῖνος
μὲν X--------- μέν
ἀπαραίτητον A1B-ASF--- ἀπαραίτητος
ἔνδειαν N1A-ASF--- ἔνδεια
ἐπελθεῖν VB--AAN--- ἔρχομαι ἐπι
τυραννοῦσιν V2--PAPDPM τυραννέω
τούτοις RD--DPM--- οὗτος
δὲ X--------- δέ
μόνον D--------- μόνον
δειχθῆναι VC--APN--- δεικνύω
πῶς D--------- πῶς
οἱ RA--NPM--- ὁ
ἐχθροὶ A1A-NPM--- ἐχθρός
αὐτῶν RD--GPM--- αὐτός
ἐβασανίζοντο V1I-IMI3P- βασανίζω

Wis 16:5
καὶ C--------- καί
γὰρ X--------- γάρ
ὅτε D--------- ὅτε
αὐτοῖς RD--DPM--- αὐτός
δεινὸς A1--NSM--- δεινός
ἐπῆλθεν VBI-AAI3S- ἔρχομαι ἐπι
θηρίων N2N-GPN--- θηρίον
θυμὸς N2--NSM--- θυμός
δήγμασίν N3M-DPN--- δῆγμα
τε X--------- τε
σκολιῶν A1A-GPM--- σκολιός
διεφθείροντο V1I-IMI3P- φθείρω δια
ὄφεων N3I-GPM--- ὄφις
οὐ D--------- οὐ
μέχρι P--------- μέχρι
τέλους N3E-GSN--- τέλος
ἔμεινεν VAI-AAI3S- μένω
ἡ RA--NSF--- ὁ
ὀργή N1--NSF--- ὀργή
σου RP--GS---- σύ

Wis 16:6
εἰς P--------- εἰς
νουθεσίαν N1A-ASF--- νουθεσία
δὲ X--------- δέ
πρὸς P--------- πρός
ὀλίγον A1--ASN--- ὀλίγος
ἐταράχθησαν VQI-API3P- ταράσσω
σύμβολον N2N-ASN--- σύμβολον
ἔχοντες V1--PAPNPM ἔχω
σωτηρίας N1A-GSF--- σωτηρία
εἰς P--------- εἰς
ἀνάμνησιν N3I-ASF--- ἀνάμνησις
ἐντολῆς N1--GSF--- ἐντολή
νόμου N2--GSM--- νόμος
σου RP--GS---- σύ

Wis 16:7
ὁ RA--NSM--- ὁ
γὰρ X--------- γάρ
ἐπιστραφεὶς VD--APPNSM στρέφω ἐπι
οὐ D--------- οὐ
διὰ P--------- διά
τὸ RA--ASN--- ὁ
θεωρούμενον V2--PMPASN θεωρέω
ἐσῴζετο V1I-IMI3S- σώζω
ἀλλὰ C--------- ἀλλά
διὰ P--------- διά
σὲ RP--AS---- σύ
τὸν RA--ASM--- ὁ
πάντων A3--GPM--- πᾶς
σωτῆρα N3H-ASM--- σωτήρ

Wis 16:8
καὶ C--------- καί
ἐν P--------- ἐν
τούτῳ RD--DSN--- οὗτος
δὲ X--------- δέ
ἔπεισας VAI-AAI2S- πείθω
τοὺς RA--APM--- ὁ
ἐχθροὺς A1A-APM--- ἐχθρός
ἡμῶν RP--GP---- ἐγώ
ὅτι C--------- ὅτι
σὺ RP--NS---- σύ
εἶ V9--PAI2S- εἰμί
ὁ RA--NSM--- ὁ
ῥυόμενος V1--PMPNSM ῥύομαι
ἐκ P--------- ἐκ
παντὸς A3--GSN--- πᾶς
κακοῦ A1--GSN--- κακός

Wis 16:9
οὓς RR--APM--- ὅς
μὲν X--------- μέν
γὰρ X--------- γάρ
ἀκρίδων N3D-GPF--- ἀκρίς
καὶ C--------- καί
μυιῶν N1A-GPF--- μυῖα
ἀπέκτεινεν VAI-AAI3S- κτείνω ἀπο
δήγματα N3M-APN--- δῆγμα
καὶ C--------- καί
οὐχ D--------- οὐ
εὑρέθη VC--API3S- εὑρίσκω
ἴαμα N3M-NSN--- ἴαμα
τῇ RA--DSF--- ὁ
ψυχῇ N1--DSF--- ψυχή
αὐτῶν RD--GPM--- αὐτός
ὅτι C--------- ὅτι
ἄξιοι A1A-NPM--- ἄξιος
ἦσαν V9--IAI3P- εἰμί
ὑπὸ P--------- ὑπό
τοιούτων A1--GPN--- τοιοῦτος
κολασθῆναι VS--APN--- κολάζω

Wis 16:10
τοὺς RA--APM--- ὁ
δὲ X--------- δέ
υἱούς N2--APM--- υἱός
σου RP--GS---- σύ
οὐδὲ C--------- οὐδέ
ἰοβόλων A1B-GPM--- ἰοβόλος
δρακόντων N3--GPM--- δράκων
ἐνίκησαν VAI-AAI3P- νικάω
ὀδόντες N3--NPM--- ὀδούς
τὸ RA--NSN--- ὁ
ἔλεος N3E-NSN--- ἔλεος
γάρ X--------- γάρ
σου RP--GS---- σύ
ἀντιπαρῆλθεν VBI-AAI3S- ἔρχομαι ἀντι παρα
καὶ C--------- καί
ἰάσατο VAI-AMI3S- ἰάομαι
αὐτούς RD--APM--- αὐτός

Wis 16:11
εἰς P--------- εἰς
γὰρ X--------- γάρ
ὑπόμνησιν N3I-ASF--- ὑπόμνησις
τῶν RA--GPN--- ὁ
λογίων N2N-GPN--- λόγιον
σου RP--GS---- σύ
ἐνεκεντρίζοντο V1I-IMI3P- κεντρίζω ἐν
καὶ C--------- καί
ὀξέως D--------- ὀξέως
διεσῴζοντο V1I-IMI3P- σώζω δια
ἵνα C--------- ἵνα
μὴ D--------- μή
εἰς P--------- εἰς
βαθεῖαν A3U-ASF--- βαθύς
ἐμπεσόντες VF--FAPNPM πίπτω ἐν
λήθην N1--ASF--- λήθη
ἀπερίσπαστοι A1B-NPM--- ἀπερίσπαστος
γένωνται VB--AMS3P- γίγνομαι
τῆς RA--GSF--- ὁ
σῆς A1--GSF--- σός
εὐεργεσίας N1A-GSF--- εὐεργεσία

Wis 16:12
καὶ C--------- καί
γὰρ X--------- γάρ
οὔτε C--------- οὔτε
βοτάνη N1--NSF--- βοτάνη
οὔτε C--------- οὔτε
μάλαγμα N3M-NSN--- μάλαγμα
ἐθεράπευσεν VAI-AAI3S- θεραπεύω
αὐτούς RD--APM--- αὐτός
ἀλλὰ C--------- ἀλλά
ὁ RA--NSM--- ὁ
σός A1--NSM--- σός
κύριε N2--VSM--- κύριος
λόγος N2--NSM--- λόγος
ὁ RA--NSM--- ὁ
πάντας A3--APM--- πᾶς
ἰώμενος V3--PMPNSM ἰάομαι

Wis 16:13
σὺ RP--NS---- σύ
γὰρ X--------- γάρ
ζωῆς N1--GSF--- ζωή
καὶ C--------- καί
θανάτου N2--GSM--- θάνατος
ἐξουσίαν N1A-ASF--- ἐξουσία
ἔχεις V1--PAI2S- ἔχω
καὶ C--------- καί
κατάγεις V1--PAI2S- ἄγω κατα
εἰς P--------- εἰς
πύλας N1--APF--- πύλη
ᾅδου N1M-GSM--- ᾅδης
καὶ C--------- καί
ἀνάγεις V1--PAI2S- ἄγω ἀνα

Wis 16:14
ἄνθρωπος N2--NSM--- ἄνθρωπος
δὲ X--------- δέ
ἀποκτέννει V1--PAI3S- κτείνω ἀπο
μὲν X--------- μέν
τῇ RA--DSF--- ὁ
κακίᾳ N1A-DSF--- κακία
αὐτοῦ RD--GSM--- αὐτός
ἐξελθὸν VB--AAPASN ἔρχομαι ἐκ
δὲ X--------- δέ
πνεῦμα N3M-ASN--- πνεῦμα
οὐκ D--------- οὐ
ἀναστρέφει V1--PAI3S- στρέφω ἀνα
οὐδὲ C--------- οὐδέ
ἀναλύει V1--PAI3S- λύω ἀνα
ψυχὴν N1--ASF--- ψυχή
παραλημφθεῖσαν VV--APPASF λαμβάνω παρα

Wis 16:15
τὴν RA--ASF--- ὁ
δὲ X--------- δέ
σὴν A1--ASF--- σός
χεῖρα N3--ASF--- χείρ
φυγεῖν VB--AAN--- φεύγω
ἀδύνατόν A1B-NSN--- ἀδύνατος
ἐστιν V9--PAI3S- εἰμί

Wis 16:16
ἀρνούμενοι V2--PMPNPM ἀρνέομαι
γάρ X--------- γάρ
σε RP--AS---- σύ
εἰδέναι VX--XAN--- οἶδα
ἀσεβεῖς A3H-NPM--- ἀσεβής
ἐν P--------- ἐν
ἰσχύι N3U-DSF--- ἰσχύς
βραχίονός N3N-GSM--- βραχίων
σου RP--GS---- σύ
ἐμαστιγώθησαν VCI-API3P- μαστιγόω
ξένοις A1--DPM--- ξένος
ὑετοῖς N2--DPM--- ὑετός
καὶ C--------- καί
χαλάζαις N1A-DPF--- χάλαζα
καὶ C--------- καί
ὄμβροις N2--DPM--- ὄμβρος
διωκόμενοι V1--PMPNPM διώκω
ἀπαραιτήτοις A1B-DPM--- ἀπαραίτητος
καὶ C--------- καί
πυρὶ N3--DSN--- πῦρ
καταναλισκόμενοι V1--PPPNPM ἁλίσκω κατα ἀνα

Wis 16:17
τὸ RA--NSN--- ὁ
γὰρ X--------- γάρ
παραδοξότατον A1B-NSNS-- παράδοξος
ἐν P--------- ἐν
τῷ RA--DSN--- ὁ
πάντα A3--APN--- πᾶς
σβεννύντι V5--PAPDSN σβέννυμι
ὕδατι N3T-DSN--- ὕδωρ
πλεῖον A3C-ASN--- πολύς
ἐνήργει V2I-IAI3S- ἐργέω ἐν
τὸ RA--NSN--- ὁ
πῦρ N3--NSN--- πῦρ
ὑπέρμαχος N2--NSM--- ὑπέρμαχος
γὰρ X--------- γάρ
ὁ RA--NSM--- ὁ
κόσμος N2--NSM--- κόσμος
ἐστὶν V9--PAI3S- εἰμί
δικαίων A1A-GPM--- δίκαιος

Wis 16:18
ποτὲ D--------- ποτέ
μὲν X--------- μέν
γὰρ X--------- γάρ
ἡμεροῦτο V4--IMI3S- ἡμερόομαι
φλόξ N3G-NSF--- φλόξ
ἵνα C--------- ἵνα
μὴ D--------- μή
καταφλέξῃ VA--AAS3S- φλέγω κατα
τὰ RA--APN--- ὁ
ἐπ' P--------- ἐπί
ἀσεβεῖς A3H-APM--- ἀσεβής
ἀπεσταλμένα VM--XMPAPN στέλλω ἀπο
ζῷα N2N-APN--- ζῷον
ἀλλ' C--------- ἀλλά
αὐτοὶ RD--NPM--- αὐτός
βλέποντες V1--PAPNPM βλέπω
εἰδῶσιν VX--XAS3P- οἶδα
ὅτι C--------- ὅτι
θεοῦ N2--GSM--- θεός
κρίσει N3I-DSF--- κρίσις
ἐλαύνονται V1--PMI3P- ἐλαύνω

Wis 16:19
ποτὲ D--------- ποτέ
δὲ X--------- δέ
καὶ C--------- καί
μεταξὺ D--------- μεταξύ
ὕδατος N3T-GSN--- ὕδωρ
ὑπὲρ P--------- ὑπέρ
τὴν RA--ASF--- ὁ
πυρὸς N3--GSN--- πῦρ
δύναμιν N3I-ASF--- δύναμις
φλέγει V1--PAI3S- φλέγω
ἵνα C--------- ἵνα
ἀδίκου A1B-GSF--- ἄδικος
γῆς N1--GSF--- γῆ
γενήματα N3M-APN--- γένημα
διαφθείρῃ V1--PAS3S- φθείρω δια

Wis 16:20
ἀνθ' P--------- ἀντί
ὧν RR--GPN--- ὅς
ἀγγέλων N2--GPM--- ἄγγελος
τροφὴν N1--ASF--- τροφή
ἐψώμισας VAI-AAI2S- ψωμίζω
τὸν RA--ASM--- ὁ
λαόν N2--ASM--- λαός
σου RP--GS---- σύ
καὶ C--------- καί
ἕτοιμον A1--ASM--- ἕτοιμος
ἄρτον N2--ASM--- ἄρτος
ἀπ' P--------- ἀπό
οὐρανοῦ N2--GSM--- οὐρανός
παρέσχες VBI-AAI2S- ἔχω παρα
αὐτοῖς RD--DPM--- αὐτός
ἀκοπιάτως D--------- ἀκοπιάστως
πᾶσαν A1S-ASF--- πᾶς
ἡδονὴν N1--ASF--- ἡδονή
ἰσχύοντα V1--PAPASM ἰσχύω
καὶ C--------- καί
πρὸς P--------- πρός
πᾶσαν A1S-ASF--- πᾶς
ἁρμόνιον A1B-ASF--- ἁρμόνιος
γεῦσιν N3I-ASF--- γεῦσις

Wis 16:21
ἡ RA--NSF--- ὁ
μὲν X--------- μέν
γὰρ X--------- γάρ
ὑπόστασίς N3I-NSF--- ὑπόστασις
σου RP--GS---- σύ
τὴν RA--ASF--- ὁ
σὴν A1--ASF--- σός
πρὸς P--------- πρός
τέκνα N2N-APN--- τέκνον
ἐνεφάνιζεν V1I-IAI3S- φανίζω ἐν
γλυκύτητα N3T-ASF--- γλυκύτης
τῇ RA--DSF--- ὁ
δὲ X--------- δέ
τοῦ RA--GSM--- ὁ
προσφερομένου V1--PMPGSM φέρω προς
ἐπιθυμίᾳ N1A-DSF--- ἐπιθυμία
ὑπηρετῶν V2--PAPNSM ἠρετέω ὑπο
πρὸς P--------- πρός
ὅ RR--ASN--- ὅς
τις RI--NSM--- τις
ἐβούλετο V1I-IMI3S- βούλομαι
μετεκιρνᾶτο V3I-IMI3S- κιρνάομαι μετα

Wis 16:22
χιὼν N3N-NSF--- χιών
δὲ X--------- δέ
καὶ C--------- καί
κρύσταλλος N2--NSM--- κρυστάλλος
ὑπέμεινε VAI-AAI3S- μένω ὑπο
πῦρ N3--ASN--- πῦρ
καὶ C--------- καί
οὐκ D--------- οὐ
ἐτήκετο V1I-IMI3S- τήκω
ἵνα C--------- ἵνα
γνῶσιν VZ--AAS3P- γιγνώσκω
ὅτι C--------- ὅτι
τοὺς RA--APM--- ὁ
τῶν RA--GPM--- ὁ
ἐχθρῶν A1A-GPM--- ἐχθρός
καρποὺς N2--APM--- καρπός
κατέφθειρε V1I-IAI3S- φθείρω κατα
πῦρ N3--ASN--- πῦρ
φλεγόμενον V1--PMPASM φλέγω
ἐν P--------- ἐν
τῇ RA--DSF--- ὁ
χαλάζῃ N1A-DSF--- χάλαζα
καὶ C--------- καί
ἐν P--------- ἐν
τοῖς RA--DPM--- ὁ
ὑετοῖς N2--DPM--- ὑετός
διαστράπτον V1--PAPNSN στράπτω δια

Wis 16:23
τοῦτο RD--NSN--- οὗτος
πάλιν D--------- πάλιν
δ' X--------- δέ
ἵνα C--------- ἵνα
τραφῶσιν VD--APS3P- τρέφω
δίκαιοι A1A-NPM--- δίκαιος
καὶ C--------- καί
τῆς RA--GSF--- ὁ
ἰδίας A1A-GSF--- ἴδιος
ἐπιλέλησται VT--XMI3S- λανθάνω ἐπι
δυνάμεως N3I-GSF--- δύναμις

Wis 16:24
ἡ RA--NSF--- ὁ
γὰρ X--------- γάρ
κτίσις N3I-NSF--- κτίσις
σοὶ RP--DS---- σύ
τῷ RA--DSM--- ὁ
ποιήσαντι VA--AAPDSM ποιέω
ὑπηρετοῦσα V2--PAPNSF ἠρετέω ὑπο
ἐπιτείνεται V1--PMI3S- τείνω ἐπι
εἰς P--------- εἰς
κόλασιν N3I-ASF--- κόλασις
κατὰ P--------- κατά
τῶν RA--GPM--- ὁ
ἀδίκων A1B-GPM--- ἄδικος
καὶ C--------- καί
ἀνίεται V7--PMI3S- ἵημι ἀνα
εἰς P--------- εἰς
εὐεργεσίαν N1A-ASF--- εὐεργεσία
ὑπὲρ P--------- ὑπέρ
τῶν RA--GPM--- ὁ
ἐπὶ P--------- ἐπί
σοὶ RP--DS---- σύ
πεποιθότων VX--XAPGPM πείθω

Wis 16:25
διὰ P--------- διά
τοῦτο RD--ASN--- οὗτος
καὶ D--------- καί
τότε D--------- τότε
εἰς P--------- εἰς
πάντα A3--APN--- πᾶς
μεταλλευομένη V1--PMPNSF μεταλλεύω
τῇ RA--DSF--- ὁ
παντοτρόφῳ A1B-DSF--- παντοτρόφος
σου RP--GS---- σύ
δωρεᾷ N1A-DSF--- δωρεά
ὑπηρέτει V2--IAI3S- ἠρετέω ὑπο
πρὸς P--------- πρός
τὴν RA--ASF--- ὁ
τῶν RA--GPM--- ὁ
δεομένων V2--PMPGPM δέω
θέλησιν N3I-ASF--- θέλησις

Wis 16:26
ἵνα C--------- ἵνα
μάθωσιν VB--AAS3P- μανθάνω
οἱ RA--NPM--- ὁ
υἱοί N2--NPM--- υἱός
σου RP--GS---- σύ
οὓς RR--APM--- ὅς
ἠγάπησας VAI-AAI2S- ἀγαπάω
κύριε N2--VSM--- κύριος
ὅτι C--------- ὅτι
οὐχ D--------- οὐ
αἱ RA--NPF--- ὁ
γενέσεις N3I-NPF--- γένεσις
τῶν RA--GPM--- ὁ
καρπῶν N2--GPM--- καρπός
τρέφουσιν V1--PAI3P- τρέφω
ἄνθρωπον N2--ASM--- ἄνθρωπος
ἀλλὰ C--------- ἀλλά
τὸ RA--NSN--- ὁ
ῥῆμά N3M-NSN--- ῥῆμα
σου RP--GS---- σύ
τοὺς RA--APM--- ὁ
σοὶ RP--DS---- σύ
πιστεύοντας V1--PAPAPM πιστεύω
διατηρεῖ V2--PAI3S- τηρέω δια

Wis 16:27
τὸ RA--NSN--- ὁ
γὰρ X--------- γάρ
ὑπὸ P--------- ὑπό
πυρὸς N3--GSN--- πῦρ
μὴ D--------- μή
φθειρόμενον V1--PMPNSN φθείρω
ἁπλῶς D--------- ἁπλῶς
ὑπὸ P--------- ὑπό
βραχείας A3U-GSF--- βραχύς
ἀκτῖνος N3--GSF--- ἀκτίς
ἡλίου N2--GSM--- ἥλιος
θερμαινόμενον V1--PMPNSN θερμαίνω
ἐτήκετο V1I-IMI3S- τήκω

Wis 16:28
ὅπως C--------- ὅπως
γνωστὸν A1--NSN--- γνωστός
ᾖ V9--PAS3S- εἰμί
ὅτι C--------- ὅτι
δεῖ V2--PAI3S- δέω
φθάνειν V1--PAN--- φθάνω
τὸν RA--ASM--- ὁ
ἥλιον N2--ASM--- ἥλιος
ἐπ' P--------- ἐπί
εὐχαριστίαν N1A-ASF--- εὐχαριστία
σου RP--GS---- σύ
καὶ C--------- καί
πρὸς P--------- πρός
ἀνατολὴν N1--ASF--- ἀνατολή
φωτὸς N3T-GSN--- φῶς
ἐντυγχάνειν V1--PAN--- τυγχάνω ἐν
σοι RP--DS---- σύ

Wis 16:29
ἀχαρίστου A1B-GSM--- ἀχάριστος
γὰρ X--------- γάρ
ἐλπὶς N3D-NSF--- ἐλπίς
ὡς C--------- ὡς
χειμέριος A1B-NSF--- χειμέριος
πάχνη N1--NSF--- πάχνη
τακήσεται VF--FMI3S- τήκω
καὶ C--------- καί
