Jdt 1:1
σφόδρα D--------- σφόδρα
τοῦ RA--GSN--- ὁ
συγγενέσθαι VB--AMN--- γίγνομαι συν
μετ' P--------- μετά
αὐτῆς RD--GSF--- αὐτός
καὶ C--------- καί
ἐτήρει V2I-IAI3S- τηρέω
καιρὸν N2--ASM--- καιρός
τοῦ RA--GSN--- ὁ
ἀπατῆσαι VA--AAN--- ἀπατάω
αὐτὴν RD--ASF--- αὐτός
ἀφ' P--------- ἀπό
ἧς RR--GSF--- ὅς
ἡμέρας N1A-GSF--- ἡμέρα
εἶδεν VBI-AAI3S- ὁράω
αὐτήν RD--ASF--- αὐτός

Jdt 12:17
καὶ C--------- καί
εἶπεν VBI-AAI3S- εἶπον
πρὸς P--------- πρός
αὐτὴν RD--ASF--- αὐτός
Ολοφέρνης N1M-NSM--- Ολοφέρνης
πίε VA--AAD2S- πίνω
δὴ X--------- δή
καὶ C--------- καί
γενήθητι VC--APD2S- γίγνομαι
μεθ' P--------- μετά
ἡμῶν RP--GP---- ἐγώ
εἰς P--------- εἰς
εὐφροσύνην N1--ASF--- εὐφροσύνη

Jdt 12:18
καὶ C--------- καί
εἶπεν VBI-AAI3S- εἶπον
Ιουδιθ N---NSF--- Ἰουδίθ
πίομαι VF--FMI1S- πίνω
δή X--------- δή
κύριε N2--VSM--- κύριος
ὅτι C--------- ὅτι
ἐμεγαλύνθη VCI-API3S- μεγαλύνω
τὸ RA--NSN--- ὁ
ζῆν V3--PAN--- ζάω
μου RP--GS---- ἐγώ
ἐν P--------- ἐν
ἐμοὶ RP--DS---- ἐγώ
σήμερον D--------- σήμερον
παρὰ P--------- παρά
πάσας A1S-APF--- πᾶς
τὰς RA--APF--- ὁ
ἡμέρας N1A-APF--- ἡμέρα
τῆς RA--GSF--- ὁ
γενέσεώς N3I-GSF--- γένεσις
μου RP--GS---- ἐγώ

Jdt 12:19
καὶ C--------- καί
λαβοῦσα VB--AAPNSF λαμβάνω
ἔφαγεν VBI-AAI3S- ἐσθίω
καὶ C--------- καί
ἔπιεν VBI-AAI3S- πίνω
κατέναντι P--------- κατέναντι
αὐτοῦ RD--GSM--- αὐτός
ἃ RR--APN--- ὅς
ἡτοίμασεν VAI-AAI3S- ἑτοιμάζω
ἡ RA--NSF--- ὁ
δούλη N1--NSF--- δούλη
αὐτῆς RD--GSF--- αὐτός

Jdt 12:20
καὶ C--------- καί
ηὐφράνθη VCI-API3S- εὐφραίνω
Ολοφέρνης N1M-NSM--- Ολοφέρνης
ἀπ' P--------- ἀπό
αὐτῆς RD--GSF--- αὐτός
καὶ C--------- καί
ἔπιεν VBI-AAI3S- πίνω
οἶνον N2--ASM--- οἶνος
πολὺν A1P-ASM--- πολύς
σφόδρα D--------- σφόδρα
ὅσον A1--ASM--- ὅσος
οὐκ D--------- οὐ
ἔπιεν VBI-AAI3S- πίνω
πώποτε D--------- πώποτε
ἐν P--------- ἐν
ἡμέρᾳ N1A-DSF--- ἡμέρα
μιᾷ A1A-DSF--- εἷς
ἀφ' P--------- ἀπό
οὗ RR--GSF--- ὅς
ἐγεννήθη VCI-API3S- γεννάω

Jdt 13:1
ὡς C--------- ὡς
δὲ X--------- δέ
ὀψία N1A-NSF--- ὀψία
ἐγένετο VBI-AMI3S- γίγνομαι
ἐσπούδασαν VAI-AAI3P- σπουδάζω
οἱ RA--NPM--- ὁ
δοῦλοι N2--NPM--- δοῦλος
αὐτοῦ RD--GSM--- αὐτός
ἀναλύειν V1--PAN--- λύω ἀνα
καὶ C--------- καί
Βαγώας N1T-NSM--- Βαγώας
συνέκλεισεν VAI-AAI3S- κλείω συν
τὴν RA--ASF--- ὁ
σκηνὴν N1--ASF--- σκηνή
ἔξωθεν D--------- ἔξωθεν
καὶ C--------- καί
ἀπέκλεισεν VAI-AAI3S- κλείω ἀπο
τοὺς RA--APM--- ὁ
παρεστῶτας VXI-XAPAPM ἵστημι παρα
ἐκ P--------- ἐκ
προσώπου N2N-GSN--- πρόσωπον
τοῦ RA--GSM--- ὁ
κυρίου N2--GSM--- κύριος
αὐτοῦ RD--GSM--- αὐτός
καὶ C--------- καί
ἀπῴχοντο V1I-IMI3P- οἴχομαι ἀπο
εἰς P--------- εἰς
τὰς RA--APF--- ὁ
κοίτας N1--APF--- κοίτη
αὐτῶν RD--GPM--- αὐτός
ἦσαν V9--IAI3P- εἰμί
γὰρ X--------- γάρ
πάντες A3--NPM--- πᾶς
κεκοπωμένοι VM--XMPNPM κοπόω
διὰ P--------- διά
τὸ RA--ASN--- ὁ
ἐπὶ P--------- ἐπί
πλεῖον A3C-ASN--- πολύς
γεγονέναι VX--XAN--- γίγνομαι
τὸν RA--ASM--- ὁ
πότον N2--ASM--- πότος

Jdt 13:2
ὑπελείφθη VVI-API3S- λείπω ὑπο
δὲ X--------- δέ
Ιουδιθ N---NSF--- Ἰουδίθ
μόνη A1--NSF--- μόνος
ἐν P--------- ἐν
τῇ RA--DSF--- ὁ
σκηνῇ N1--DSF--- σκηνή
καὶ C--------- καί
Ολοφέρνης N1M-NSM--- Ολοφέρνης
προπεπτωκὼς VX--XAPNSM πίπτω προ
ἐπὶ P--------- ἐπί
τὴν RA--ASF--- ὁ
κλίνην N1--ASF--- κλίνη
αὐτοῦ RD--GSM--- αὐτός
ἦν V9--IAI3S- εἰμί
γὰρ X--------- γάρ
περικεχυμένος VM--XMPNSM χέω περι
αὐτῷ RD--DSM--- αὐτός
ὁ RA--NSM--- ὁ
οἶνος N2--NSM--- οἶνος

Jdt 13:3
καὶ C--------- καί
εἶπεν VBI-AAI3S- εἶπον
Ιουδιθ N---NSF--- Ἰουδίθ
τῇ RA--DSF--- ὁ
δούλῃ N1--DSF--- δούλη
αὐτῆς RD--GSF--- αὐτός
στῆναι VH--AAN--- ἵστημι
ἔξω P--------- ἔξω
τοῦ RA--GSM--- ὁ
κοιτῶνος N3W-GSM--- κοιτών
αὐτῆς RD--GSF--- αὐτός
καὶ C--------- καί
ἐπιτηρεῖν V2--PAN--- τηρέω ἐπι
τὴν RA--ASF--- ὁ
ἔξοδον N2--ASF--- ἔξοδος
αὐτῆς RD--GSF--- αὐτός
καθάπερ D--------- καθάπερ
καθ' P--------- κατά
ἡμέραν N1A-ASF--- ἡμέρα
ἐξελεύσεσθαι VF--FMN--- ἔρχομαι ἐκ
γὰρ X--------- γάρ
ἔφη V6I-IAI3S- φημί
ἐπὶ P--------- ἐπί
τὴν RA--ASF--- ὁ
προσευχὴν N1--ASF--- προσευχή
αὐτῆς RD--GSF--- αὐτός
καὶ C--------- καί
τῷ RA--DSM--- ὁ
Βαγώᾳ N1T-DSM--- Βαγώας
ἐλάλησεν VAI-AAI3S- λαλέω
κατὰ P--------- κατά
τὰ RA--APN--- ὁ
ῥήματα N3M-APN--- ῥῆμα
ταῦτα RD--APN--- οὗτος

Jdt 13:4
καὶ C--------- καί
ἀπήλθοσαν VBI-AAI3P- ἔρχομαι ἀπο
πάντες A3--NPM--- πᾶς
ἐκ P--------- ἐκ
προσώπου N2N-GSN--- πρόσωπον
καὶ C--------- καί
οὐδεὶς A3--NSM--- οὐδείς
κατελείφθη VVI-API3S- λείπω κατα
ἐν P--------- ἐν
τῷ RA--DSM--- ὁ
κοιτῶνι N3N-DSM--- κοιτών
ἀπὸ P--------- ἀπό
μικροῦ A1A-GSM--- μικρός
ἕως P--------- ἕως
μεγάλου A1--GSM--- μέγας
καὶ C--------- καί
στᾶσα VH--AAPNSF ἵστημι
Ιουδιθ N---NSF--- Ἰουδίθ
παρὰ P--------- παρά
τὴν RA--ASF--- ὁ
κλίνην N1--ASF--- κλίνη
αὐτοῦ RD--GSM--- αὐτός
εἶπεν VBI-AAI3S- εἶπον
ἐν P--------- ἐν
τῇ RA--DSF--- ὁ
καρδίᾳ N1A-DSF--- καρδία
αὐτῆς RD--GSF--- αὐτός
κύριε N2--VSM--- κύριος
ὁ RA--NSM--- ὁ
θεὸς N2--NSM--- θεός
πάσης A1S-GSF--- πᾶς
δυνάμεως N3I-GSF--- δύναμις
ἐπίβλεψον VA--AAD2S- βλέπω ἐπι
ἐν P--------- ἐν
τῇ RA--DSF--- ὁ
ὥρᾳ N1A-DSF--- ὥρα
ταύτῃ RD--DSF--- οὗτος
ἐπὶ P--------- ἐπί
τὰ RA--APN--- ὁ
ἔργα N2N-APN--- ἔργον
τῶν RA--GPF--- ὁ
χειρῶν N3--GPF--- χείρ
μου RP--GS---- ἐγώ
εἰς P--------- εἰς
ὕψωμα N3M-ASN--- ὕψωμα
Ιερουσαλημ N---GSF--- Ἰερουσαλήμ

Jdt 13:5
ὅτι C--------- ὅτι
νῦν D--------- νῦν
καιρὸς N2--NSM--- καιρός
ἀντιλαβέσθαι VB--AMN--- λαμβάνω ἀντι
τῆς RA--GSF--- ὁ
κληρονομίας N1A-GSF--- κληρονομία
σου RP--GS---- σύ
καὶ C--------- καί
ποιῆσαι VA--AAN--- ποιέω
τὸ RA--ASN--- ὁ
ἐπιτήδευμά N3M-ASN--- ἐπιτήδευμα
μου RP--GS---- ἐγώ
εἰς P--------- εἰς
θραῦσμα N3M-ASN--- θραῦσμα
ἐχθρῶν A1A-GPM--- ἐχθρός
οἳ RR--NPM--- ὅς
ἐπανέστησαν VHI-AAI3P- ἵστημι ἐπι ἀνα
ἡμῖν RP--DP---- ἐγώ

Jdt 13:6
καὶ C--------- καί
προσελθοῦσα VB--AAPNSF ἔρχομαι προς
τῷ RA--DSM--- ὁ
κανόνι N3N-DSM--- κανών
τῆς RA--GSF--- ὁ
κλίνης N1--GSF--- κλίνη
ὃς RR--NSM--- ὅς
ἦν V9--IAI3S- εἰμί
πρὸς P--------- πρός
κεφαλῆς N1--GSF--- κεφαλή
Ολοφέρνου N1M-GSM--- Ολοφέρνης
καθεῖλεν VBI-AAI3S- αἱρέω κατα
τὸν RA--ASM--- ὁ
ἀκινάκην N1M-ASM--- ἀκινάκης
αὐτοῦ RD--GSM--- αὐτός
ἀπ' P--------- ἀπό
αὐτοῦ RD--GSM--- αὐτός

Jdt 13:7
καὶ C--------- καί
ἐγγίσασα VA--AAPNSF ἐγγίζω
τῆς RA--GSF--- ὁ
κλίνης N1--GSF--- κλίνη
ἐδράξατο VAI-AMI3S- δράσσομαι
τῆς RA--GSF--- ὁ
κόμης N1--GSF--- κόμη
τῆς RA--GSF--- ὁ
κεφαλῆς N1--GSF--- κεφαλή
αὐτοῦ RD--GSM--- αὐτός
καὶ C--------- καί
εἶπεν VBI-AAI3S- εἶπον
κραταίωσόν VA--AAD2S- κραταιόω
με RP--AS---- ἐγώ
κύριε N2--VSM--- κύριος
ὁ RA--NSM--- ὁ
θεὸς N2--NSM--- θεός
Ισραηλ N---GSM--- Ἰσραήλ
ἐν P--------- ἐν
τῇ RA--DSF--- ὁ
ἡμέρᾳ N1A-DSF--- ἡμέρα
ταύτῃ RD--DSF--- οὗτος

Jdt 13:8
καὶ C--------- καί
ἐπάταξεν VAI-AAI3S- πατάσσω
εἰς P--------- εἰς
τὸν RA--ASM--- ὁ
τράχηλον N2--ASM--- τράχηλος
αὐτοῦ RD--GSM--- αὐτός
δὶς D--------- δίς
ἐν P--------- ἐν
τῇ RA--DSF--- ὁ
ἰσχύι N3U-DSF--- ἰσχύς
αὐτῆς RD--GSF--- αὐτός
καὶ C--------- καί
ἀφεῖλεν VBI-AAI3S- αἱρέω ἀπο
τὴν RA--ASF--- ὁ
κεφαλὴν N1--ASF--- κεφαλή
αὐτοῦ RD--GSM--- αὐτός
ἀπ' P--------- ἀπό
αὐτοῦ RD--GSM--- αὐτός

Jdt 13:9
καὶ C--------- καί
ἀπεκύλισε VAI-AAI3S- κυλίω ἀπο
τὸ RA--ASN--- ὁ
σῶμα N3M-ASN--- σῶμα
αὐτοῦ RD--GSM--- αὐτός
ἀπὸ P--------- ἀπό
τῆς RA--GSF--- ὁ
στρωμνῆς N1--GSF--- στρωμνή
καὶ C--------- καί
ἀφεῖλε VBI-AAI3S- αἱρέω ἀπο
τὸ RA--ASN--- ὁ
κωνώπιον N2N-ASN--- κωνώπιον
ἀπὸ P--------- ἀπό
τῶν RA--GPM--- ὁ
στύλων N2--GPM--- στῦλος
καὶ C--------- καί
μετ' P--------- μετά
ὀλίγον A1--ASN--- ὀλίγος
ἐξῆλθεν VBI-AAI3S- ἔρχομαι ἐκ
καὶ C--------- καί
παρέδωκεν VAI-AAI3S- δίδωμι παρα
τῇ RA--DSF--- ὁ
ἅβρᾳ N1A-DSF--- ἅβρα
αὐτῆς RD--GSF--- αὐτός
τὴν RA--ASF--- ὁ
κεφαλὴν N1--ASF--- κεφαλή
Ολοφέρνου N1M-GSM--- Ολοφέρνης

Jdt 13:10
καὶ C--------- καί
ἐνέβαλεν VBI-AAI3S- βάλλω ἐν
αὐτὴν RD--ASF--- αὐτός
εἰς P--------- εἰς
τὴν RA--ASF--- ὁ
πήραν N1A-ASF--- πήρα
τῶν RA--GPN--- ὁ
βρωμάτων N3M-GPN--- βρῶμα
αὐτῆς RD--GSF--- αὐτός
καὶ C--------- καί
ἐξῆλθον VBI-AAI3P- ἔρχομαι ἐκ
αἱ RA--NPF--- ὁ
δύο M--------- δύο
ἅμα D--------- ἅμα
κατὰ P--------- κατά
τὸν RA--ASM--- ὁ
ἐθισμὸν N2--ASM--- ἐθισμός
αὐτῶν RD--GPF--- αὐτός
ἐπὶ P--------- ἐπί
τὴν RA--ASF--- ὁ
προσευχήν N1--ASF--- προσευχή
καὶ C--------- καί
διελθοῦσαι VB--AAPNPF ἔρχομαι δια
τὴν RA--ASF--- ὁ
παρεμβολὴν N1--ASF--- παρεμβολή
ἐκύκλωσαν VAI-AAI3P- κυκλόω
τὴν RA--ASF--- ὁ
φάραγγα N3G-ASF--- φάραγξ
ἐκείνην RD--ASF--- ἐκεῖνος
καὶ C--------- καί
προσανέβησαν VZI-AAI3P- βαίνω προς ἀνα
τὸ RA--ASN--- ὁ
ὄρος N3E-ASN--- ὄρος
Βαιτυλουα N---GSF--- Βαιτυλουα
καὶ C--------- καί
ἤλθοσαν VBI-AAI3P- ἔρχομαι
πρὸς P--------- πρός
τὰς RA--APF--- ὁ
πύλας N1--APF--- πύλη
αὐτῆς RD--GSF--- αὐτός

Jdt 13:11
καὶ C--------- καί
εἶπεν VBI-AAI3S- εἶπον
Ιουδιθ N---NSF--- Ἰουδίθ
μακρόθεν D--------- μακρόθεν
τοῖς RA--DPM--- ὁ
φυλάσσουσιν V1--PAPDPM φυλάσσω
ἐπὶ P--------- ἐπί
τῶν RA--GPF--- ὁ
πυλῶν N1--GPF--- πύλη
ἀνοίξατε VA--AAD2P- οἴγω ἀνα
ἀνοίξατε VA--AAD2P- οἴγω ἀνα
δὴ X--------- δή
τὴν RA--ASF--- ὁ
πύλην N1--ASF--- πύλη
μεθ' P--------- μετά
ἡμῶν RP--GP---- ἐγώ
ὁ RA--NSM--- ὁ
θεὸς N2--NSM--- θεός
ὁ RA--NSM--- ὁ
θεὸς N2--NSM--- θεός
ἡμῶν RP--GP---- ἐγώ
ποιῆσαι VA--AAN--- ποιέω
ἔτι D--------- ἔτι
ἰσχὺν N3--ASF--- ἰσχύς
ἐν P--------- ἐν
Ισραηλ N---DSM--- Ἰσραήλ
καὶ C--------- καί
κράτος N3E-ASN--- κράτος
κατὰ P--------- κατά
τῶν RA--GPM--- ὁ
ἐχθρῶν A1A-GPM--- ἐχθρός
καθὰ D--------- καθά
καὶ D--------- καί
σήμερον D--------- σήμερον
ἐποίησεν VAI-AAI3S- ποιέω

Jdt 13:12
καὶ C--------- καί
ἐγένετο VBI-AMI3S- γίγνομαι
ὡς C--------- ὡς
ἤκουσαν VAI-AAI3P- ἀκούω
οἱ RA--NPM--- ὁ
ἄνδρες N3--NPM--- ἀνήρ
τῆς RA--GSF--- ὁ
πόλεως N3I-GSF--- πόλις
αὐτῆς RD--GSF--- αὐτός
τὴν RA--ASF--- ὁ
φωνὴν N1--ASF--- φωνή
αὐτῆς RD--GSF--- αὐτός
ἐσπούδασαν VAI-AAI3P- σπουδάζω
τοῦ RA--GSN--- ὁ
καταβῆναι VZ--AAN--- βαίνω κατα
ἐπὶ P--------- ἐπί
τὴν RA--ASF--- ὁ
πύλην N1--ASF--- πύλη
τῆς RA--GSF--- ὁ
πόλεως N3I-GSF--- πόλις
αὐτῶν RD--GPM--- αὐτός
καὶ C--------- καί
συνεκάλεσαν VAI-AAI3P- καλέω συν
τοὺς RA--APM--- ὁ
πρεσβυτέρους A1A-APM--- πρεσβύτερος
τῆς RA--GSF--- ὁ
πόλεως N3I-GSF--- πόλις

Jdt 13:13
καὶ C--------- καί
συνέδραμον VBI-AAI3P- τρέχω συν
πάντες A3--NPM--- πᾶς
ἀπὸ P--------- ἀπό
μικροῦ A1A-GSM--- μικρός
ἕως P--------- ἕως
μεγάλου A1--GSM--- μέγας
αὐτῶν RD--GPM--- αὐτός
ὅτι C--------- ὅτι
παράδοξον N2--ASM--- παράδοξος
ἦν V9--IAI3S- εἰμί
αὐτοῖς RD--DPM--- αὐτός
τὸ RA--ASN--- ὁ
ἐλθεῖν VB--AAN--- ἔρχομαι
αὐτήν RD--ASF--- αὐτός
καὶ C--------- καί
ἤνοιξαν VAI-AAI3P- οἴγω ἀνα
τὴν RA--ASF--- ὁ
πύλην N1--ASF--- πύλη
καὶ C--------- καί
ὑπεδέξαντο VAI-AMI3P- δέχομαι ὑπο
αὐτὰς RD--APF--- αὐτός
καὶ C--------- καί
ἅψαντες VA--AAPNPM ἅπτω
πῦρ N3--ASN--- πῦρ
εἰς P--------- εἰς
φαῦσιν N3I-ASF--- φαῦσις
περιεκύκλωσαν VAI-AAI3P- κυκλόω περι
αὐτάς RD--APF--- αὐτός

Jdt 13:14
ἡ RA--NSF--- ὁ
δὲ X--------- δέ
εἶπεν VBI-AAI3S- εἶπον
πρὸς P--------- πρός
αὐτοὺς RD--APM--- αὐτός
φωνῇ N1--DSF--- φωνή
μεγάλῃ A1--DSF--- μέγας
αἰνεῖτε V2--PAD2P- αἰνέω
τὸν RA--ASM--- ὁ
θεόν N2--ASM--- θεός
αἰνεῖτε V2--PAD2P- αἰνέω
αἰνεῖτε V2--PAD2P- αἰνέω
τὸν RA--ASM--- ὁ
θεόν N2--ASM--- θεός
ὃς RR--NSM--- ὅς
οὐκ D--------- οὐ
ἀπέστησεν VHI-AAI3S- ἵστημι ἀπο
τὸ RA--ASN--- ὁ
ἔλεος N3E-ASN--- ἔλεος
αὐτοῦ RD--GSM--- αὐτός
ἀπὸ P--------- ἀπό
τοῦ RA--GSM--- ὁ
οἴκου N2--GSM--- οἶκος
Ισραηλ N---GSM--- Ἰσραήλ
ἀλλ' C--------- ἀλλά
ἔθραυσε VAI-AAI3S- θραύω
τοὺς RA--APM--- ὁ
ἐχθροὺς A1A-APM--- ἐχθρός
ἡμῶν RP--GP---- ἐγώ
διὰ P--------- διά
χειρός N3--GSF--- χείρ
μου RP--GS---- ἐγώ
ἐν P--------- ἐν
τῇ RA--DSF--- ὁ
νυκτὶ N3--DSF--- νύξ
ταύτῃ RD--DSF--- οὗτος

Jdt 13:15
καὶ C--------- καί
προελοῦσα VB--AAPNSF αἱρέω προ
τὴν RA--ASF--- ὁ
κεφαλὴν N1--ASF--- κεφαλή
ἐκ P--------- ἐκ
τῆς RA--GSF--- ὁ
πήρας N1A-GSF--- πήρα
ἔδειξεν VAI-AAI3S- δεικνύω
καὶ C--------- καί
εἶπεν VBI-AAI3S- εἶπον
αὐτοῖς RD--DPM--- αὐτός
ἰδοὺ I--------- ἰδού
ἡ RA--NSF--- ὁ
κεφαλὴ N1--NSF--- κεφαλή
Ολοφέρνου N1M-GSM--- Ολοφέρνης
ἀρχιστρατήγου N2--GSM--- ἀρχιστράτηγος
δυνάμεως N3I-GSF--- δύναμις
Ασσουρ N---GSM--- Ασσουρ
καὶ C--------- καί
ἰδοὺ I--------- ἰδού
τὸ RA--NSN--- ὁ
κωνώπιον N2N-NSN--- κωνώπιον
ἐν P--------- ἐν
ᾧ RR--DSN--- ὅς
κατέκειτο V5I-IMI3S- κεῖμαι κατα
ἐν P--------- ἐν
ταῖς RA--DPF--- ὁ
μέθαις RR--DPF--- μέθη
αὐτοῦ RD--GSM--- αὐτός
καὶ C--------- καί
ἐπάταξεν VAI-AAI3S- πατάσσω
αὐτὸν RD--ASM--- αὐτός
ὁ RA--NSM--- ὁ
κύριος N2--NSM--- κύριος
ἐν P--------- ἐν
χειρὶ N3--DSF--- χείρ
θηλείας A3U-GSF--- θῆλυς

Jdt 13:16
καὶ C--------- καί
ζῇ V3--PAS3S- ζάω
κύριος N2--NSM--- κύριος
ὃς RR--NSM--- ὅς
διεφύλαξέν VAI-AAI3S- φυλάσσω δια
με RP--AS---- ἐγώ
ἐν P--------- ἐν
τῇ RA--DSF--- ὁ
ὁδῷ N2--DSF--- ὁδός
μου RP--GS---- ἐγώ
ᾗ RR--DSF--- ὅς
ἐπορεύθην VCI-API1S- πορεύομαι
ὅτι C--------- ὅτι
ἠπάτησεν VAI-AAI3S- ἀπατάω
αὐτὸν RD--ASM--- αὐτός
τὸ RA--NSN--- ὁ
πρόσωπόν N2N-NSN--- πρόσωπον
μου RP--GS---- ἐγώ
εἰς P--------- εἰς
ἀπώλειαν N1A-ASF--- ἀπώλεια
αὐτοῦ RD--GSM--- αὐτός
καὶ C--------- καί
οὐκ D--------- οὐ
ἐποίησεν VAI-AAI3S- ποιέω
ἁμάρτημα N3M-ASN--- ἁμάρτημα
μετ' P--------- μετά
ἐμοῦ RP--GS---- ἐγώ
εἰς P--------- εἰς
μίασμα N3M-ASN--- μίασμα
καὶ C--------- καί
αἰσχύνην N1--ASF--- αἰσχύνη

Jdt 13:17
καὶ C--------- καί
ἐξέστη VHI-AAI3S- ἵστημι ἐκ
πᾶς A3--NSM--- πᾶς
ὁ RA--NSM--- ὁ
λαὸς N2--NSM--- λαός
σφόδρα D--------- σφόδρα
καὶ C--------- καί
κύψαντες VA--AAPNPM κύπτω
προσεκύνησαν VAI-AAI3P- κυνέω προς
τῷ RA--DSM--- ὁ
θεῷ N2--DSM--- θεός
καὶ C--------- καί
εἶπαν VAI-AAI3P- εἶπον
ὁμοθυμαδόν D--------- ὁμοθυμαδόν
εὐλογητὸς A1--NSM--- εὐλογητός
εἶ V9--PAI2S- εἰμί
ὁ RA--NSM--- ὁ
θεὸς N2--NSM--- θεός
ἡμῶν RP--GP---- ἐγώ
ὁ RA--NSM--- ὁ
ἐξουδενώσας VA--AAPNSM οὐδενέω ἐκ
ἐν P--------- ἐν
τῇ RA--DSF--- ὁ
ἡμέρᾳ N1A-DSF--- ἡμέρα
τῇ RA--DSF--- ὁ
σήμερον D--------- σήμερον
τοὺς RA--APM--- ὁ
ἐχθροὺς A1A-APM--- ἐχθρός
τοῦ RA--GSM--- ὁ
λαοῦ N2--GSM--- λαός
σου RP--GS---- σύ

Jdt 13:18
καὶ C--------- καί
εἶπεν VBI-AAI3S- εἶπον
αὐτῇ RD--DSF--- αὐτός
Οζιας N---NSM--- Οζιας
εὐλογητὴ A1--NSF--- εὐλογητός
σύ RP--NS---- σύ
θύγατερ N3R-VSF--- θυγάτηρ
τῷ RA--DSM--- ὁ
θεῷ N2--DSM--- θεός
τῷ RA--DSM--- ὁ
ὑψίστῳ A1--DSM--- ὕψιστος
παρὰ P--------- παρά
πάσας A1S-APF--- πᾶς
τὰς RA--APF--- ὁ
γυναῖκας N3K-APF--- γυνή
τὰς RA--APF--- ὁ
ἐπὶ P--------- ἐπί
τῆς RA--GSF--- ὁ
γῆς N1--GSF--- γῆ
καὶ C--------- καί
εὐλογημένος VM--XMPNSM εὐλογέω
κύριος N2--NSM--- κύριος
ὁ RA--NSM--- ὁ
θεός N2--NSM--- θεός
ὃς RR--NSM--- ὅς
ἔκτισεν VAI-AAI3S- κτίζω
τοὺς RA--APM--- ὁ
οὐρανοὺς N2--APM--- οὐρανός
καὶ C--------- καί
τὴν RA--ASF--- ὁ
γῆν N1--ASF--- γῆ
ὃς RR--NSM--- ὅς
κατεύθυνέν V1--PAI3S- εὐθύνω κατα
σε RP--AS---- σύ
εἰς P--------- εἰς
τραῦμα N3M-ASN--- τραῦμα
κεφαλῆς N1--GSF--- κεφαλή
ἄρχοντος N3--GSM--- ἄρχων
ἐχθρῶν A1A-GPM--- ἐχθρός
ἡμῶν RP--GP---- ἐγώ

Jdt 13:19
ὅτι C--------- ὅτι
οὐκ D--------- οὐ
ἀποστήσεται VF--FMI3S- ἵστημι ἀπο
ἡ RA--NSF--- ὁ
ἐλπίς N3D-NSF--- ἐλπίς
σου RP--GS---- σύ
ἀπὸ P--------- ἀπό
καρδίας N1A-GSF--- καρδία
ἀνθρώπων N2--GPM--- ἄνθρωπος
μνημονευόντων V1--PAPGPM μνημονεύω
ἰσχὺν N3--ASF--- ἰσχύς
θεοῦ N2--GSM--- θεός
ἕως P--------- ἕως
αἰῶνος N3W-GSM--- αἰών

Jdt 13:20
καὶ C--------- καί
ποιήσαι VA--AAN--- ποιέω
σοι RP--DS---- σύ
αὐτὰ RD--APN--- αὐτός
ὁ RA--NSM--- ὁ
θεὸς N2--NSM--- θεός
εἰς P--------- εἰς
ὕψος N3E-ASN--- ὕψος
αἰώνιον A1B-ASN--- αἰώνιος
τοῦ RA--GSN--- ὁ
ἐπισκέψασθαί VA--AMN--- σκέπτομαι ἐπι
σε RP--AS---- σύ
ἐν P--------- ἐν
ἀγαθοῖς A1--DPM--- ἀγαθός
ἀνθ' P--------- ἀντί
ὧν RR--GPM--- ὅς
οὐκ D--------- οὐ
ἐφείσω VAI-AMI2S- φείδομαι
τῆς RA--GSF--- ὁ
ψυχῆς N1--GSF--- ψυχή
σου RP--GS---- σύ
διὰ P--------- διά
τὴν RA--ASF--- ὁ
ταπείνωσιν N3I-ASF--- ταπείνωσις
τοῦ RA--GSN--- ὁ
γένους N3E-GSN--- γένος
ἡμῶν RP--GP---- ἐγώ
ἀλλ' C--------- ἀλλά
ἐπεξῆλθες VBI-AAI2S- ἔρχομαι ἐπι ἐκ
τῷ RA--DSN--- ὁ
πτώματι N3M-DSN--- πτῶμα
ἡμῶν RP--GP---- ἐγώ
ἐπ' P--------- ἐπί
εὐθεῖαν A3U-ASF--- εὐθύς
πορευθεῖσα VC--APPNSF πορεύομαι
ἐνώπιον P--------- ἐνώπιον
τοῦ RA--GSM--- ὁ
θεοῦ N2--GSM--- θεός
ἡμῶν RP--GP---- ἐγώ
καὶ C--------- καί
εἶπαν VAI-AAI3P- εἶπον
πᾶς A3--NSM--- πᾶς
ὁ RA--NSM--- ὁ
λαός N2--NSM--- λαός
γένοιτο VB--AMO3S- γίγνομαι
γένοιτο VB--AMO3S- γίγνομαι

Jdt 14:1
καὶ C--------- καί
εἶπεν VBI-AAI3S- εἶπον
πρὸς P--------- πρός
αὐτοὺς RD--APM--- αὐτός
Ιουδιθ N---NSF--- Ἰουδίθ
ἀκούσατε VA--AAD2P- ἀκούω
δή X--------- δή
μου RP--GS---- ἐγώ
ἀδελφοί N2--VPM--- ἀδελφός
καὶ C--------- καί
λαβόντες VB--AAPNPM λαμβάνω
τὴν RA--ASF--- ὁ
κεφαλὴν N1--ASF--- κεφαλή
ταύτην RD--ASF--- οὗτος
κρεμάσατε VA--AAD2P- κρεμάζω
αὐτὴν RD--ASF--- αὐτός
ἐπὶ P--------- ἐπί
τῆς RA--GSF--- ὁ
ἐπάλξεως N3I-GSF--- ἐπάλξις
τοῦ RA--GSN--- ὁ
τείχους N3E-GSN--- τεῖχος
ὑμῶν RP--GP---- σύ

Jdt 14:2
καὶ C--------- καί
ἔσται VF--FMI3S- εἰμί
ἡνίκα D--------- ἡνίκα
ἐὰν C--------- ἐάν
