Jer 1:1
ὃν RR--ASM--- ὅς
κατέστησεν VHI-AAI3S- ἵστημι κατα
βασιλεὺς N3V-NSM--- βασιλεύς
Βαβυλῶνος N3W-GSF--- Βαβυλών
ἐν P--------- ἐν
τῇ RA--DSF--- ὁ
γῇ N1--DSF--- γῆ

Jer 49:1
καὶ C--------- καί
προσῆλθον VBI-AAI3P- ἔρχομαι προς
πάντες A3--NPM--- πᾶς
οἱ RA--NPM--- ὁ
ἡγεμόνες N3N-NPM--- ἡγεμών
τῆς RA--GSF--- ὁ
δυνάμεως N3I-GSF--- δύναμις
καὶ C--------- καί
Ιωαναν N---NSM--- Ιωαναν
καὶ C--------- καί
Αζαριας N1T-NSM--- Αζαριας
υἱὸς N2--NSM--- υἱός
Μαασαιου N1T-GSM--- Μαασαιας
καὶ C--------- καί
πᾶς A3--NSM--- πᾶς
ὁ RA--NSM--- ὁ
λαὸς N2--NSM--- λαός
ἀπὸ P--------- ἀπό
μικροῦ A1A-GSM--- μικρός
ἕως P--------- ἕως
μεγάλου A1--GSM--- μέγας

Jer 49:2
πρὸς P--------- πρός
Ιερεμιαν N1T-ASM--- Ἰερεμίας
τὸν RA--ASM--- ὁ
προφήτην N1M-ASM--- προφήτης
καὶ C--------- καί
εἶπαν VAI-AAI3P- εἶπον
αὐτῷ RD--DSM--- αὐτός
πεσέτω VB--AAD3S- πίπτω
δὴ X--------- δή
τὸ RA--ASN--- ὁ
ἔλεος N3E-ASN--- ἔλεος
ἡμῶν RP--GP---- ἐγώ
κατὰ P--------- κατά
πρόσωπόν N2N-ASN--- πρόσωπον
σου RP--GS---- σύ
καὶ C--------- καί
πρόσευξαι VA--AAN--- εὔχομαι προς
πρὸς P--------- πρός
κύριον N2--ASM--- κύριος
τὸν RA--ASM--- ὁ
θεόν N2--ASM--- θεός
σου RP--GS---- σύ
περὶ P--------- περί
τῶν RA--GPM--- ὁ
καταλοίπων A1B-GPM--- κατάλοιπος
τούτων RD--GPM--- οὗτος
ὅτι C--------- ὅτι
κατελείφθημεν VVI-API1P- λείπω κατα
ὀλίγοι A1--NPM--- ὀλίγος
ἀπὸ P--------- ἀπό
πολλῶν A1--GPM--- πολύς
καθὼς D--------- καθώς
οἱ RA--NPM--- ὁ
ὀφθαλμοί N2--NPM--- ὀφθαλμός
σου RP--GS---- σύ
βλέπουσιν V1--PAI3P- βλέπω

Jer 49:3
καὶ C--------- καί
ἀναγγειλάτω VA--AAD3S- ἀγγέλλω ἀνα
ἡμῖν RP--DP---- ἐγώ
κύριος N2--NSM--- κύριος
ὁ RA--NSM--- ὁ
θεός N2--NSM--- θεός
σου RP--GS---- σύ
τὴν RA--ASF--- ὁ
ὁδόν N2--ASF--- ὁδός
ᾗ RR--DSF--- ὅς
πορευσόμεθα VF--FMI1P- πορεύομαι
ἐν P--------- ἐν
αὐτῇ RD--DSF--- αὐτός
καὶ C--------- καί
λόγον N2--ASM--- λόγος
ὃν RR--ASM--- ὅς
ποιήσομεν VF--FAI1P- ποιέω

Jer 49:4
καὶ C--------- καί
εἶπεν VBI-AAI3S- εἶπον
αὐτοῖς RD--DPM--- αὐτός
Ιερεμιας N1T-NSM--- Ἰερεμίας
ἤκουσα VAI-AAI1S- ἀκούω
ἰδοὺ I--------- ἰδού
ἐγὼ RP--NS---- ἐγώ
προσεύξομαι VF--FMI1S- εὔχομαι προς
πρὸς P--------- πρός
κύριον N2--ASM--- κύριος
τὸν RA--ASM--- ὁ
θεὸν N2--ASM--- θεός
ἡμῶν RP--GP---- ἐγώ
κατὰ P--------- κατά
τοὺς RA--APM--- ὁ
λόγους N2--APM--- λόγος
ὑμῶν RP--GP---- σύ
καὶ C--------- καί
ἔσται VF--FMI3S- εἰμί
ὁ RA--NSM--- ὁ
λόγος N2--NSM--- λόγος
ὃν RR--ASM--- ὅς
ἂν X--------- ἄν
ἀποκριθήσεται VC--FPI3S- κρίνω ἀπο
κύριος N2--NSM--- κύριος
ἀναγγελῶ VF2-FAI1S- ἀγγέλλω ἀνα
ὑμῖν RP--DP---- σύ
οὐ D--------- οὐ
μὴ D--------- μή
κρύψω VA--AAS1S- κρύπτω
ἀφ' P--------- ἀπό
ὑμῶν RP--GP---- σύ
ῥῆμα N3M-ASN--- ῥῆμα

Jer 49:5
καὶ C--------- καί
αὐτοὶ RD--NPM--- αὐτός
εἶπαν VAI-AAI3P- εἶπον
τῷ RA--DSM--- ὁ
Ιερεμια N1T-DSM--- Ἰερεμίας
ἔστω V9--PAD3S- εἰμί
κύριος N2--NSM--- κύριος
ἐν P--------- ἐν
ἡμῖν RP--DP---- ἐγώ
εἰς P--------- εἰς
μάρτυρα N3--ASM--- μάρτυς
δίκαιον A1A-ASM--- δίκαιος
καὶ C--------- καί
πιστόν A1--ASM--- πιστός
εἰ C--------- εἰ
μὴ D--------- μή
κατὰ P--------- κατά
πάντα A3--ASM--- πᾶς
τὸν RA--ASM--- ὁ
λόγον N2--ASM--- λόγος
ὃν RR--ASM--- ὅς
ἂν X--------- ἄν
ἀποστείλῃ VA--AAS3S- στέλλω ἀπο
σε RP--AS---- σύ
κύριος N2--NSM--- κύριος
πρὸς P--------- πρός
ἡμᾶς RP--AP---- ἐγώ
οὕτως D--------- οὕτως
ποιήσομεν VF--FAI1P- ποιέω

Jer 49:6
καὶ C--------- καί
ἐὰν C--------- ἐάν
ἀγαθὸν A1--ASM--- ἀγαθός
καὶ C--------- καί
ἐὰν C--------- ἐάν
κακόν A1--ASM--- κακός
τὴν RA--ASF--- ὁ
φωνὴν N1--ASF--- φωνή
κυρίου N2--GSM--- κύριος
τοῦ RA--GSM--- ὁ
θεοῦ N2--GSM--- θεός
ἡμῶν RP--GP---- ἐγώ
οὗ RR--GSM--- ὅς
ἡμεῖς RP--NP---- ἐγώ
ἀποστέλλομέν V1--PAI1P- στέλλω ἀπο
σε RP--AS---- σύ
πρὸς P--------- πρός
αὐτόν RD--ASM--- αὐτός
ἀκουσόμεθα VF--FMI1P- ἀκούω
ἵνα C--------- ἵνα
βέλτιον A3C-NSN--- βελτίων
ἡμῖν RP--DP---- ἐγώ
γένηται VB--AMS3S- γίγνομαι
ὅτι C--------- ὅτι
ἀκουσόμεθα VF--FMI1P- ἀκούω
τῆς RA--GSF--- ὁ
φωνῆς N1--GSF--- φωνή
κυρίου N2--GSM--- κύριος
τοῦ RA--GSM--- ὁ
θεοῦ N2--GSM--- θεός
ἡμῶν RP--GP---- ἐγώ

Jer 49:7
καὶ C--------- καί
ἐγενήθη VCI-API3S- γίγνομαι
μετὰ P--------- μετά
δέκα M--------- δέκα
ἡμέρας N1A-APF--- ἡμέρα
ἐγενήθη VCI-API3S- γίγνομαι
λόγος N2--NSM--- λόγος
κυρίου N2--GSM--- κύριος
πρὸς P--------- πρός
Ιερεμιαν N1T-ASM--- Ἰερεμίας

Jer 49:8
καὶ C--------- καί
ἐκάλεσεν VAI-AAI3S- καλέω
τὸν RA--ASM--- ὁ
Ιωαναν N---ASM--- Ιωαναν
καὶ C--------- καί
τοὺς RA--APM--- ὁ
ἡγεμόνας N3N-APM--- ἡγεμών
τῆς RA--GSF--- ὁ
δυνάμεως N3I-GSF--- δύναμις
καὶ C--------- καί
πάντα A3--ASM--- πᾶς
τὸν RA--ASM--- ὁ
λαὸν N2--ASM--- λαός
ἀπὸ P--------- ἀπό
μικροῦ A1A-GSM--- μικρός
ἕως P--------- ἕως
μεγάλου A1--GSM--- μέγας

Jer 49:9
καὶ C--------- καί
εἶπεν VBI-AAI3S- εἶπον
αὐτοῖς RD--DPM--- αὐτός
οὕτως D--------- οὕτως
εἶπεν VBI-AAI3S- εἶπον
κύριος N2--NSM--- κύριος

Jer 49:10
ἐὰν C--------- ἐάν
καθίσαντες VA--AAPNPM ἵζω κατα
καθίσητε VA--AAS2P- ἵζω κατα
ἐν P--------- ἐν
τῇ RA--DSF--- ὁ
γῇ N1--DSF--- γῆ
ταύτῃ RD--DSF--- οὗτος
οἰκοδομήσω VF--FAI1S- οἰκοδομέω
ὑμᾶς RP--AP---- σύ
καὶ C--------- καί
οὐ D--------- οὐ
μὴ D--------- μή
καθέλω VB--AAS1S- αἱρέω κατα
καὶ C--------- καί
φυτεύσω VA--AAS1S- φυτεύω
ὑμᾶς RP--AP---- σύ
καὶ C--------- καί
οὐ D--------- οὐ
μὴ D--------- μή
ἐκτίλω V1--PAI1S- τίλλω ἐκ
ὅτι C--------- ὅτι
ἀναπέπαυμαι VM--XMI1S- παύω ἀνα
ἐπὶ P--------- ἐπί
τοῖς RA--DPM--- ὁ
κακοῖς A1--DPM--- κακός
οἷς RR--DPM--- ὅς
ἐποίησα VAI-AAI1S- ποιέω
ὑμῖν RP--DP---- σύ

Jer 49:11
μὴ D--------- μή
φοβηθῆτε VC--APS2P- φοβέω
ἀπὸ P--------- ἀπό
προσώπου N2N-GSN--- πρόσωπον
βασιλέως N3V-GSM--- βασιλεύς
Βαβυλῶνος N3W-GSF--- Βαβυλών
οὗ RR--GSM--- ὅς
ὑμεῖς RP--NP---- σύ
φοβεῖσθε V2--PMI2P- φοβέω
ἀπὸ P--------- ἀπό
προσώπου N2N-GSN--- πρόσωπον
αὐτοῦ RD--GSM--- αὐτός
μὴ D--------- μή
φοβηθῆτε VC--APS2P- φοβέω
φησὶν V6--PAI3S- φημί
κύριος N2--NSM--- κύριος
ὅτι C--------- ὅτι
μεθ' P--------- μετά
ὑμῶν RP--GP---- σύ
ἐγώ RP--NS---- ἐγώ
εἰμι V9--PAI1S- εἰμί
τοῦ RA--GSN--- ὁ
ἐξαιρεῖσθαι V2--PMN--- αἱρέω ἐκ
ὑμᾶς RP--AP---- σύ
καὶ C--------- καί
σῴζειν V1--PAN--- σώζω
ὑμᾶς RP--AP---- σύ
ἐκ P--------- ἐκ
χειρὸς N3--GSF--- χείρ
αὐτοῦ RD--GSM--- αὐτός

Jer 49:12
καὶ C--------- καί
δώσω VF--FAI1S- δίδωμι
ὑμῖν RP--DP---- σύ
ἔλεος N3E-ASN--- ἔλεος
καὶ C--------- καί
ἐλεήσω VF--FAI1S- ἐλεέω
ὑμᾶς RP--AP---- σύ
καὶ C--------- καί
ἐπιστρέψω VF--FAI1S- στρέφω ἐπι
ὑμᾶς RP--AP---- σύ
εἰς P--------- εἰς
τὴν RA--ASF--- ὁ
γῆν N1--ASF--- γῆ
ὑμῶν RP--GP---- σύ

Jer 49:13
καὶ C--------- καί
εἰ C--------- εἰ
λέγετε V1--PAI2P- λέγω
ὑμεῖς RP--NP---- σύ
οὐ D--------- οὐ
μὴ D--------- μή
καθίσωμεν VA--AAS1P- ἵζω κατα
ἐν P--------- ἐν
τῇ RA--DSF--- ὁ
γῇ N1--DSF--- γῆ
ταύτῃ RD--DSF--- οὗτος
πρὸς P--------- πρός
τὸ RA--ASN--- ὁ
μὴ D--------- μή
ἀκοῦσαι VA--AAN--- ἀκούω
φωνῆς N1--GSF--- φωνή
κυρίου N2--GSM--- κύριος

Jer 49:14
ὅτι C--------- ὅτι
εἰς P--------- εἰς
γῆν N1--ASF--- γῆ
Αἰγύπτου N2--GSF--- Αἴγυπτος
εἰσελευσόμεθα VF--FMI1P- ἔρχομαι εἰς
καὶ C--------- καί
οὐ D--------- οὐ
μὴ D--------- μή
ἴδωμεν VB--AAS1P- ὁράω
πόλεμον N2--ASM--- πόλεμος
καὶ C--------- καί
φωνὴν N1--ASF--- φωνή
σάλπιγγος N3G-GSF--- σάλπιγξ
οὐ D--------- οὐ
μὴ D--------- μή
ἀκούσωμεν VA--AAS1P- ἀκούω
καὶ C--------- καί
ἐν P--------- ἐν
ἄρτοις N2--DPM--- ἄρτος
οὐ D--------- οὐ
μὴ D--------- μή
πεινάσωμεν VA--AAS1P- πεινάω
καὶ C--------- καί
ἐκεῖ D--------- ἐκεῖ
οἰκήσομεν VF--FAI1P- οἰκέω

Jer 49:15
διὰ P--------- διά
τοῦτο RD--ASN--- οὗτος
ἀκούσατε VA--AAD2P- ἀκούω
λόγον N2--ASM--- λόγος
κυρίου N2--GSM--- κύριος
οὕτως D--------- οὕτως
εἶπεν VBI-AAI3S- εἶπον
κύριος N2--NSM--- κύριος
ἐὰν C--------- ἐάν
ὑμεῖς RP--NP---- σύ
δῶτε VO--AAS2P- δίδωμι
τὸ RA--ASN--- ὁ
πρόσωπον N2N-ASN--- πρόσωπον
ὑμῶν RP--GP---- σύ
εἰς P--------- εἰς
Αἴγυπτον N2--ASF--- Αἴγυπτος
καὶ C--------- καί
εἰσέλθητε VB--AAS2P- ἔρχομαι εἰς
ἐκεῖ D--------- ἐκεῖ
κατοικεῖν V2--PAN--- οἰκέω κατα

Jer 49:16
καὶ C--------- καί
ἔσται VF--FMI3S- εἰμί
ἡ RA--NSF--- ὁ
ῥομφαία N1A-NSF--- ῥομφαία
ἣν RR--ASF--- ὅς
ὑμεῖς RP--NP---- σύ
φοβεῖσθε V2--PMI2P- φοβέω
ἀπὸ P--------- ἀπό
προσώπου N2N-GSN--- πρόσωπον
αὐτῆς RD--GSF--- αὐτός
εὑρήσει VF--FAI3S- εὑρίσκω
ὑμᾶς RP--AP---- σύ
ἐν P--------- ἐν
γῇ N1--DSF--- γῆ
Αἰγύπτου N2--GSF--- Αἴγυπτος
καὶ C--------- καί
ὁ RA--NSM--- ὁ
λιμός N2--NSM--- λιμός
οὗ RR--GSM--- ὅς
ὑμεῖς RP--NP---- σύ
λόγον N2--ASM--- λόγος
ἔχετε V1--PAI2P- ἔχω
ἀπὸ P--------- ἀπό
προσώπου N2N-GSN--- πρόσωπον
αὐτοῦ RD--GSM--- αὐτός
καταλήμψεται VF--FMI3S- λαμβάνω κατα
ὑμᾶς RP--AP---- σύ
ὀπίσω D--------- ὀπίσω
ὑμῶν RP--GP---- σύ
ἐν P--------- ἐν
Αἰγύπτῳ N2--DSF--- Αἴγυπτος
καὶ C--------- καί
ἐκεῖ D--------- ἐκεῖ
ἀποθανεῖσθε VF2-FMI2P- θνήσκω ἀπο

Jer 49:17
καὶ C--------- καί
ἔσονται VF--FMI3P- εἰμί
πάντες A3--NPM--- πᾶς
οἱ RA--NPM--- ὁ
ἄνθρωποι N2--NPM--- ἄνθρωπος
καὶ C--------- καί
πάντες A3--NPM--- πᾶς
οἱ RA--NPM--- ὁ
ἀλλογενεῖς A3H-NPM--- ἀλλογενής
οἱ RA--NPM--- ὁ
θέντες VE--AAPNPM τίθημι
τὸ RA--ASN--- ὁ
πρόσωπον N2N-ASN--- πρόσωπον
αὐτῶν RD--GPM--- αὐτός
εἰς P--------- εἰς
γῆν N1--ASF--- γῆ
Αἰγύπτου N2--GSF--- Αἴγυπτος
ἐνοικεῖν V2--PAN--- οἰκέω ἐν
ἐκεῖ D--------- ἐκεῖ
ἐκλείψουσιν VF--FAI3P- λείπω ἐκ
ἐν P--------- ἐν
τῇ RA--DSF--- ὁ
ῥομφαίᾳ N1A-DSF--- ῥομφαία
καὶ C--------- καί
ἐν P--------- ἐν
τῷ RA--DSM--- ὁ
λιμῷ N2--DSM--- λιμός
καὶ C--------- καί
οὐκ D--------- οὐ
ἔσται VF--FMI3S- εἰμί
αὐτῶν RD--GPM--- αὐτός
οὐθεὶς A3--NSM--- οὐδείς
σῳζόμενος V1--PMPNSM σώζω
ἀπὸ P--------- ἀπό
τῶν RA--GPN--- ὁ
κακῶν A1--GPN--- κακός
ὧν RR--GPN--- ὅς
ἐγὼ RP--NS---- ἐγώ
ἐπάγω V1--PAI1S- ἄγω ἐπι
ἐπ' P--------- ἐπί
αὐτούς RD--APM--- αὐτός

Jer 49:18
ὅτι C--------- ὅτι
οὕτως D--------- οὕτως
εἶπεν VBI-AAI3S- εἶπον
κύριος N2--NSM--- κύριος
καθὼς D--------- καθώς
ἔσταξεν VAI-AAI3S- στάζω
ὁ RA--NSM--- ὁ
θυμός N2--NSM--- θυμός
μου RP--GS---- ἐγώ
ἐπὶ P--------- ἐπί
τοὺς RA--APM--- ὁ
κατοικοῦντας V2--PAPAPM οἰκέω κατα
Ιερουσαλημ N---ASF--- Ἰερουσαλήμ
οὕτως D--------- οὕτως
στάξει VF--FAI3S- στάζω
ὁ RA--NSM--- ὁ
θυμός N2--NSM--- θυμός
μου RP--GS---- ἐγώ
ἐφ' P--------- ἐπί
ὑμᾶς RP--AP---- σύ
εἰσελθόντων VB--AAPGPM ἔρχομαι εἰς
ὑμῶν RP--GP---- σύ
εἰς P--------- εἰς
Αἴγυπτον N2--ASF--- Αἴγυπτος
καὶ C--------- καί
ἔσεσθε VF--FMI2P- εἰμί
εἰς P--------- εἰς
ἄβατον A1B-ASM--- ἄβατος
καὶ C--------- καί
ὑποχείριοι A1A-NPM--- ὑποχείριος
καὶ D--------- καί
εἰς P--------- εἰς
ἀρὰν N1A-ASF--- ἀρά
καὶ C--------- καί
εἰς P--------- εἰς
ὀνειδισμὸν N2--ASM--- ὀνειδισμός
καὶ C--------- καί
οὐ D--------- οὐ
μὴ D--------- μή
ἴδητε VB--AAS2P- ὁράω
οὐκέτι D--------- οὐκέτι
τὸν RA--ASM--- ὁ
τόπον N2--ASM--- τόπος
τοῦτον RD--ASM--- οὗτος

Jer 49:19
ἃ RR--APN--- ὅς
ἐλάλησεν VAI-AAI3S- λαλέω
κύριος N2--NSM--- κύριος
ἐφ' P--------- ἐπί
ὑμᾶς RP--AP---- σύ
τοὺς RA--APM--- ὁ
καταλοίπους A1B-APM--- κατάλοιπος
Ιουδα N---GSM--- Ιουδα
μὴ D--------- μή
εἰσέλθητε VB--AAS2P- ἔρχομαι εἰς
εἰς P--------- εἰς
Αἴγυπτον N2--ASF--- Αἴγυπτος
καὶ C--------- καί
νῦν D--------- νῦν
γνόντες VZ--AAPNPM γιγνώσκω
γνώσεσθε VF--FMI2P- γιγνώσκω

Jer 49:20
ὅτι C--------- ὅτι
ἐπονηρεύσασθε VAI-AMI2P- πονηρεύω
ἐν P--------- ἐν
ψυχαῖς N1--DPF--- ψυχή
ὑμῶν RP--GP---- σύ
ἀποστείλαντές VA--AAPNPM στέλλω ἀπο
με RP--AS---- ἐγώ
λέγοντες V1--PAPNPM λέγω
πρόσευξαι VA--AMD2S- εὔχομαι προς
περὶ P--------- περί
ἡμῶν RP--GP---- ἐγώ
πρὸς P--------- πρός
κύριον N2--ASM--- κύριος
καὶ C--------- καί
κατὰ P--------- κατά
πάντα A3--APN--- πᾶς
ἃ RR--APN--- ὅς
ἐὰν C--------- ἐάν
λαλήσῃ VF--FMI2S- λαλέω
σοι RP--DS---- σύ
κύριος N2--NSM--- κύριος
ποιήσομεν VF--FAI1P- ποιέω

Jer 49:21
καὶ C--------- καί
οὐκ D--------- οὐ
ἠκούσατε VAI-AAI2P- ἀκούω
τῆς RA--GSF--- ὁ
φωνῆς N1--GSF--- φωνή
κυρίου N2--GSM--- κύριος
ἧς RR--GSF--- ὅς
ἀπέστειλέν VAI-AAI3S- στέλλω ἀπο
με RP--AS---- ἐγώ
πρὸς P--------- πρός
ὑμᾶς RP--AP---- σύ

Jer 49:22
καὶ C--------- καί
νῦν D--------- νῦν
ἐν P--------- ἐν
ῥομφαίᾳ N1A-DSF--- ῥομφαία
καὶ C--------- καί
ἐν P--------- ἐν
λιμῷ N2--DSM--- λιμός
ἐκλείψετε VF--FAI2P- λείπω ἐκ
ἐν P--------- ἐν
τῷ RA--DSM--- ὁ
τόπῳ N2--DSM--- τόπος
οὗ RR--GSM--- ὅς
ὑμεῖς RP--NP---- σύ
βούλεσθε V1--PMI2P- βούλομαι
εἰσελθεῖν VB--AAN--- ἔρχομαι εἰς
κατοικεῖν V2--PAN--- οἰκέω κατα
ἐκεῖ D--------- ἐκεῖ

Jer 50:1
καὶ C--------- καί
ἐγενήθη VCI-API3S- γίγνομαι
ὡς C--------- ὡς
ἐπαύσατο VAI-AMI3S- παύω
Ιερεμιας N1T-NSM--- Ἰερεμίας
λέγων V1--PAPNSM λέγω
πρὸς P--------- πρός
τὸν RA--ASM--- ὁ
λαὸν N2--ASM--- λαός
πάντας A3--APM--- πᾶς
τοὺς RA--APM--- ὁ
λόγους N2--APM--- λόγος
κυρίου N2--GSM--- κύριος
οὓς RR--APM--- ὅς
ἀπέστειλεν VAI-AAI3S- στέλλω ἀπο
αὐτὸν RD--ASM--- αὐτός
κύριος N2--NSM--- κύριος
πρὸς P--------- πρός
αὐτούς RD--APM--- αὐτός
πάντας A3--APM--- πᾶς
τοὺς RA--APM--- ὁ
λόγους N2--APM--- λόγος
τούτους RD--APM--- οὗτος

Jer 50:2
καὶ C--------- καί
εἶπεν VBI-AAI3S- εἶπον
Αζαριας N1T-NSM--- Αζαριας
υἱὸς N2--NSM--- υἱός
Μαασαιου N1T-GSM--- Μαασαιας
καὶ C--------- καί
Ιωαναν N---NSM--- Ιωαναν
υἱὸς N2--NSM--- υἱός
Καρηε N---GSM--- Καρηε
καὶ C--------- καί
πάντες A3--NPM--- πᾶς
οἱ RA--NPM--- ὁ
ἄνδρες N3--NPM--- ἀνήρ
οἱ RA--NPM--- ὁ
εἴπαντες VA--AAPNPM εἶπον
τῷ RA--DSM--- ὁ
Ιερεμια N1T-DSM--- Ἰερεμίας
λέγοντες V1--PAPNPM λέγω
ψεύδη N3E-APN--- ψεῦδος
οὐκ D--------- οὐ
ἀπέστειλέν VAI-AAI3S- στέλλω ἀπο
σε RP--AS---- σύ
κύριος N2--NSM--- κύριος
πρὸς P--------- πρός
ἡμᾶς RP--AP---- ἐγώ
λέγων V1--PAPNSM λέγω
μὴ D--------- μή
εἰσέλθητε VB--AAS2P- ἔρχομαι εἰς
εἰς P--------- εἰς
Αἴγυπτον N2--ASF--- Αἴγυπτος
οἰκεῖν V2--PAN--- οἰκέω
ἐκεῖ D--------- ἐκεῖ

Jer 50:3
ἀλλ' C--------- ἀλλά
ἢ C--------- ἤ
Βαρουχ N---NSM--- Βαρουχ
υἱὸς N2--NSM--- υἱός
Νηριου N---GSM--- Νηριου
συμβάλλει V1--PAI3S- βάλλω συν
σε RP--AS---- σύ
πρὸς P--------- πρός
ἡμᾶς RP--AP---- ἐγώ
ἵνα C--------- ἵνα
δῷς VO--AAS2S- δίδωμι
ἡμᾶς RP--AP---- ἐγώ
εἰς P--------- εἰς
χεῖρας N3--APF--- χείρ
τῶν RA--GPM--- ὁ
Χαλδαίων N2--GPM--- Χαλδαῖος
τοῦ RA--GSN--- ὁ
θανατῶσαι VA--AAN--- θανατόω
ἡμᾶς RP--AP---- ἐγώ
καὶ C--------- καί
ἀποικισθῆναι VS--APN--- οἰκίζω ἀπο
ἡμᾶς RP--AP---- ἐγώ
εἰς P--------- εἰς
Βαβυλῶνα N3W-ASF--- Βαβυλών

Jer 50:4
καὶ C--------- καί
οὐκ D--------- οὐ
ἤκουσεν VAI-AAI3S- ἀκούω
Ιωαναν N---NSM--- Ιωαναν
καὶ C--------- καί
πάντες A3--NPM--- πᾶς
οἱ RA--NPM--- ὁ
ἡγεμόνες N3N-NPM--- ἡγεμών
τῆς RA--GSF--- ὁ
δυνάμεως N3I-GSF--- δύναμις
καὶ C--------- καί
πᾶς A3--NSM--- πᾶς
ὁ RA--NSM--- ὁ
λαὸς N2--NSM--- λαός
τῆς RA--GSF--- ὁ
φωνῆς N1--GSF--- φωνή
κυρίου N2--GSM--- κύριος
κατοικῆσαι VA--AAN--- οἰκέω κατα
ἐν P--------- ἐν
γῇ N1--DSF--- γῆ
Ιουδα N---GSM--- Ιουδα

Jer 50:5
καὶ C--------- καί
ἔλαβεν VBI-AAI3S- λαμβάνω
Ιωαναν N---NSM--- Ιωαναν
καὶ C--------- καί
πάντες A3--NPM--- πᾶς
οἱ RA--NPM--- ὁ
ἡγεμόνες N3N-NPM--- ἡγεμών
τῆς RA--GSF--- ὁ
δυνάμεως N3I-GSF--- δύναμις
πάντας A3--APM--- πᾶς
τοὺς RA--APM--- ὁ
καταλοίπους A1B-APM--- κατάλοιπος
Ιουδα N---GSM--- Ιουδα
τοὺς RA--APM--- ὁ
ἀποστρέψαντας VA--AAPAPM στρέφω ἀπο
κατοικεῖν V2--PAN--- οἰκέω κατα
ἐν P--------- ἐν
τῇ RA--DSF--- ὁ
γῇ N1--DSF--- γῆ

Jer 50:6
τοὺς RA--APM--- ὁ
δυνατοὺς A1--APM--- δυνατός
ἄνδρας N3--APM--- ἀνήρ
καὶ C--------- καί
τὰς RA--APF--- ὁ
γυναῖκας N3K-APF--- γυνή
καὶ C--------- καί
τὰ RA--APN--- ὁ
νήπια A1A-APN--- νήπιος
καὶ C--------- καί
τὰς RA--APF--- ὁ
θυγατέρας N3--APF--- θυγάτηρ
τοῦ RA--GSM--- ὁ
βασιλέως N3V-GSM--- βασιλεύς
καὶ C--------- καί
τὰς RA--APF--- ὁ
ψυχάς N1--APF--- ψυχή
ἃς RR--APF--- ὅς
κατέλιπεν VBI-AAI3S- λείπω κατα
Ναβουζαρδαν N---NSM--- Ναβουζαρδαν
μετὰ P--------- μετά
Γοδολιου N1T-GSM--- Γοδολιας
υἱοῦ N2--GSM--- υἱός
Αχικαμ N---GSM--- Αχικαμ
καὶ C--------- καί
Ιερεμιαν N1T-ASM--- Ἰερεμίας
τὸν RA--ASM--- ὁ
προφήτην N1M-ASM--- προφήτης
καὶ C--------- καί
Βαρουχ N---ASM--- Βαρουχ
υἱὸν N2--ASM--- υἱός
Νηριου N---GSM--- Νηριου

Jer 50:7
καὶ C--------- καί
εἰσῆλθον VBI-AAI3P- ἔρχομαι εἰς
εἰς P--------- εἰς
Αἴγυπτον N2--ASF--- Αἴγυπτος
ὅτι C--------- ὅτι
οὐκ D--------- οὐ
ἤκουσαν VAI-AAI3P- ἀκούω
τῆς RA--GSF--- ὁ
φωνῆς N1--GSF--- φωνή
κυρίου N2--GSM--- κύριος
καὶ C--------- καί
εἰσῆλθον VBI-AAI3P- ἔρχομαι εἰς
εἰς P--------- εἰς
Ταφνας N---AS---- Ταφνας

Jer 50:8
καὶ C--------- καί
ἐγένετο VBI-AMI3S- γίγνομαι
λόγος N2--NSM--- λόγος
κυρίου N2--GSM--- κύριος
πρὸς P--------- πρός
Ιερεμιαν N1T-ASM--- Ἰερεμίας
ἐν P--------- ἐν
Ταφνας N---DS---- Ταφνας
λέγων V1--PAPNSM λέγω

Jer 50:9
λαβὲ VB--AAD2S- λαμβάνω
σεαυτῷ RD--DSM--- σεαυτοῦ
λίθους N2--APM--- λίθος
μεγάλους A1--APM--- μέγας
καὶ C--------- καί
κατάκρυψον VA--AAD2S- κρύπτω κατα
αὐτοὺς RD--APM--- αὐτός
ἐν P--------- ἐν
προθύροις N2N-DPN--- πρόθυρον
ἐν P--------- ἐν
πύλῃ N1--DSF--- πύλη
τῆς RA--GSF--- ὁ
οἰκίας N1A-GSF--- οἰκία
Φαραω N---GSM--- Φαραώ
ἐν P--------- ἐν
Ταφνας N---DS---- Ταφνας
κατ' P--------- κατά
ὀφθαλμοὺς N2--APM--- ὀφθαλμός
ἀνδρῶν N3--GPM--- ἀνήρ
Ιουδα N---GSM--- Ιουδα

Jer 50:10
καὶ C--------- καί
ἐρεῖς VF2-FAI2S- εἶπον
οὕτως D--------- οὕτως
εἶπεν VBI-AAI3S- εἶπον
κύριος N2--NSM--- κύριος
ἰδοὺ I--------- ἰδού
ἐγὼ RP--NS---- ἐγώ
ἀποστέλλω V1--PAI1S- στέλλω ἀπο
καὶ C--------- καί
ἄξω VF--FAI1S- ἄγω
Ναβουχοδονοσορ N---ASM--- Ναβουχοδονοσορ
βασιλέα N3V-ASM--- βασιλεύς
Βαβυλῶνος N3W-GSF--- Βαβυλών
καὶ C--------- καί
θήσει VF--FAI3S- τίθημι
αὐτοῦ RD--GSM--- αὐτός
τὸν RA--ASM--- ὁ
