1Sa 1:1
θυσίας N1A-GSF--- θυσία
σου RP--GS---- σύ
καὶ C--------- καί
εἰ C--------- εἰ
υἱοὶ N2--NPM--- υἱός
ἀνθρώπων N2--GPM--- ἄνθρωπος
ἐπικατάρατοι A1B-NPM--- ἐπικατάρατος
οὗτοι RD--NPM--- οὗτος
ἐνώπιον P--------- ἐνώπιον
κυρίου N2--GSM--- κύριος
ὅτι C--------- ὅτι
ἐξέβαλόν VBI-AAI3P- βάλλω ἐκ
με RP--AS---- ἐγώ
σήμερον D--------- σήμερον
μὴ D--------- μή
ἐστηρίσθαι VMI-XMN--- στηρίζω
ἐν P--------- ἐν
κληρονομίᾳ N1A-DSF--- κληρονομία
κυρίου N2--GSM--- κύριος
λέγοντες V1--PAPNPM λέγω
πορεύου V1--PMD2S- πορεύομαι
δούλευε V1--PAD2S- δουλεύω
θεοῖς N2--DPM--- θεός
ἑτέροις A1A-DPM--- ἕτερος

1Sa 26:20
καὶ C--------- καί
νῦν D--------- νῦν
μὴ D--------- μή
πέσοι VF--FAO3S- πίπτω
τὸ RA--ASN--- ὁ
αἷμά N3M-ASN--- αἷμα
μου RP--GS---- ἐγώ
ἐπὶ P--------- ἐπί
τὴν RA--ASF--- ὁ
γῆν N1--ASF--- γῆ
ἐξ P--------- ἐκ
ἐναντίας A1A-GSF--- ἐναντίος
προσώπου N2N-GSN--- πρόσωπον
κυρίου N2--GSM--- κύριος
ὅτι C--------- ὅτι
ἐξελήλυθεν VX--XAI3S- ἔρχομαι ἐκ
ὁ RA--NSM--- ὁ
βασιλεὺς N3V-NSM--- βασιλεύς
Ισραηλ N---GSM--- Ἰσραήλ
ζητεῖν V2--PAN--- ζητέω
τὴν RA--ASF--- ὁ
ψυχήν N1--ASF--- ψυχή
μου RP--GS---- ἐγώ
καθὼς D--------- καθώς
καταδιώκει V1--PAI3S- διώκω κατα
ὁ RA--NSM--- ὁ
νυκτικόραξ N3K-NSM--- νυκτικόραξ
ἐν P--------- ἐν
τοῖς RA--DPN--- ὁ
ὄρεσιν N3E-DPN--- ὄρος

1Sa 26:21
καὶ C--------- καί
εἶπεν VBI-AAI3S- εἶπον
Σαουλ N---NSM--- Σαούλ
ἡμάρτηκα VX--XAI1S- ἁμαρτάνω
ἐπίστρεφε V1--PAD2S- στρέφω ἐπι
τέκνον N2N-NSN--- τέκνον
Δαυιδ N---NSM--- Δαυίδ
ὅτι C--------- ὅτι
οὐ D--------- οὐ
κακοποιήσω VA--AAS1S- κακοποιέω
σε RP--AS---- σύ
ἀνθ' P--------- ἀντί
ὧν RR--GPM--- ὅς
ἔντιμος A1B-NSM--- ἔντιμος
ψυχή N1--NSF--- ψυχή
μου RP--GS---- ἐγώ
ἐν P--------- ἐν
ὀφθαλμοῖς N2--DPM--- ὀφθαλμός
σου RP--GS---- σύ
ἐν P--------- ἐν
τῇ RA--DSF--- ὁ
σήμερον D--------- σήμερον
μεματαίωμαι VM--XPI1S- ματαιόω
καὶ C--------- καί
ἠγνόηκα VX--XAI1S- ἀγνοέω
πολλὰ A1--APN--- πολύς
σφόδρα D--------- σφόδρα

1Sa 26:22
καὶ C--------- καί
ἀπεκρίθη VCI-API3S- κρίνω ἀπο
Δαυιδ N---NSM--- Δαυίδ
καὶ C--------- καί
εἶπεν VBI-AAI3S- εἶπον
ἰδοὺ I--------- ἰδού
τὸ RA--ASN--- ὁ
δόρυ N3--ASN--- δόρυ
τοῦ RA--GSM--- ὁ
βασιλέως N3V-GSM--- βασιλεύς
διελθέτω VB--AAD3S- ἔρχομαι δια
εἷς A3--NSM--- εἷς
τῶν RA--GPN--- ὁ
παιδαρίων N2N-GPN--- παιδάριον
καὶ C--------- καί
λαβέτω VB--AAD3S- λαμβάνω
αὐτό RD--ASN--- αὐτός

1Sa 26:23
καὶ C--------- καί
κύριος N2--NSM--- κύριος
ἐπιστρέψει VF--FAI3S- στρέφω ἐπι
ἑκάστῳ A1--DSM--- ἕκαστος
τὰς RA--APF--- ὁ
δικαιοσύνας N1--APF--- δικαιοσύνη
αὐτοῦ RD--GSM--- αὐτός
καὶ C--------- καί
τὴν RA--ASF--- ὁ
πίστιν N3I-ASF--- πίστις
αὐτοῦ RD--GSM--- αὐτός
ὡς C--------- ὡς
παρέδωκέν VAI-AAI3S- δίδωμι παρα
σε RP--AS---- σύ
κύριος N2--NSM--- κύριος
σήμερον D--------- σήμερον
εἰς P--------- εἰς
χεῖράς N3--APF--- χείρ
μου RP--GS---- ἐγώ
καὶ C--------- καί
οὐκ D--------- οὐ
ἠθέλησα VAI-AAI1S- θέλω
ἐπενεγκεῖν VB--AAN--- φέρω ἐπι
χεῖρά N3--ASF--- χείρ
μου RP--GS---- ἐγώ
ἐπὶ P--------- ἐπί
χριστὸν A1--ASM--- χριστός
κυρίου N2--GSM--- κύριος

1Sa 26:24
καὶ C--------- καί
ἰδοὺ I--------- ἰδού
καθὼς D--------- καθώς
ἐμεγαλύνθη VCI-API3S- μεγαλυλύνω
ἡ RA--NSF--- ὁ
ψυχή N1--NSF--- ψυχή
σου RP--GS---- σύ
σήμερον D--------- σήμερον
ἐν P--------- ἐν
ταύτῃ RD--DSF--- οὗτος
ἐν P--------- ἐν
ὀφθαλμοῖς N2--DPM--- ὀφθαλμός
μου RP--GS---- ἐγώ
οὕτως D--------- οὕτως
μεγαλυνθείη VC--APPNSF μεγαλύνω
ἡ RA--NSF--- ὁ
ψυχή N1--NSF--- ψυχή
μου RP--GS---- ἐγώ
ἐνώπιον P--------- ἐνώπιον
κυρίου N2--GSM--- κύριος
καὶ C--------- καί
σκεπάσαι VA--AAN--- σκεπάζω
με RP--AS---- ἐγώ
καὶ C--------- καί
ἐξελεῖταί VF2-FMI3S- αἱρέω ἐκ
με RP--AS---- ἐγώ
ἐκ P--------- ἐκ
πάσης A1S-GSF--- πᾶς
θλίψεως N3I-GSF--- θλῖψις

1Sa 26:25
καὶ C--------- καί
εἶπεν VBI-AAI3S- εἶπον
Σαουλ N---NSM--- Σαούλ
πρὸς P--------- πρός
Δαυιδ N---NSM--- Δαυίδ
εὐλογημένος VM--XPPNSM εὐλογημένος
σύ RP--NS---- σύ
τέκνον N2N-NSN--- τέκνον
καὶ C--------- καί
ποιῶν V2--PAPNSM ποιέω
ποιήσεις VF--FAI2S- ποιέω
καὶ C--------- καί
δυνάμενος V6--PMPNSM δύναμαι
δυνήσει VF--FAI3S- δύναμαι
καὶ C--------- καί
ἀπῆλθεν VBI-AAI3S- ἔρχομαι ἀπο
Δαυιδ N---NSM--- Δαυίδ
εἰς P--------- εἰς
τὴν RA--ASF--- ὁ
ὁδὸν N2--ASF--- ὁδός
αὐτοῦ RD--GSM--- αὐτός
καὶ C--------- καί
Σαουλ N---NSM--- Σαούλ
ἀνέστρεψεν VAI-AAI3S- στρέφω ἀνα
εἰς P--------- εἰς
τὸν RA--ASM--- ὁ
τόπον N2--ASM--- τόπος
αὐτοῦ RD--GSM--- αὐτός

1Sa 27:1
καὶ C--------- καί
εἶπεν VBI-AAI3S- εἶπον
Δαυιδ N---NSM--- Δαυίδ
ἐν P--------- ἐν
τῇ RA--DSF--- ὁ
καρδίᾳ N1A-DSF--- καρδία
αὐτοῦ RD--GSM--- αὐτός
λέγων V1--PAPNSM λέγω
νῦν D--------- νῦν
προστεθήσομαι VC--FPI1S- τίθημι προς
ἐν P--------- ἐν
ἡμέρᾳ N1A-DSF--- ἡμέρα
μιᾷ A1A-DSF--- εἷς
εἰς P--------- εἰς
χεῖρας N3--APF--- χείρ
Σαουλ N---NSM--- Σαούλ
καὶ C--------- καί
οὐκ D--------- οὐ
ἔστιν V9--PAI3S- εἰμί
μοι RP--DS---- ἐγώ
ἀγαθόν A1--ASM--- ἀγαθός
ἐὰν C--------- ἐάν
μὴ D--------- μή
σωθῶ VC--APS1S- σώζω
εἰς P--------- εἰς
γῆν N1--ASF--- γῆ
ἀλλοφύλων A1B-GPM--- ἀλλόφυλος
καὶ C--------- καί
ἀνῇ VB--AAS3S- ἵημι ἀνα
Σαουλ N---NSM--- Σαούλ
τοῦ RA--GSN--- ὁ
ζητεῖν V2--PAN--- ζητέω
με RP--AS---- ἐγώ
εἰς P--------- εἰς
πᾶν A3--ASN--- πᾶς
ὅριον N2N-ASN--- ὅριον
Ισραηλ N---GSM--- Ἰσραήλ
καὶ C--------- καί
σωθήσομαι VC--FPI1S- σώζω
ἐκ P--------- ἐκ
χειρὸς N3--GSF--- χείρ
αὐτοῦ RD--GSM--- αὐτός

1Sa 27:2
καὶ C--------- καί
ἀνέστη VHI-AAI3S- ἵστημι ἀνα
Δαυιδ N---NSM--- Δαυίδ
καὶ C--------- καί
οἱ RA--NPM--- ὁ
τετρακόσιοι A1A-NPM--- τετρακόσιοι
ἄνδρες N3--NPM--- ἀνήρ
μετ' P--------- μετά
αὐτοῦ RD--GSM--- αὐτός
καὶ C--------- καί
ἐπορεύθη VCI-API3S- πορεύομαι
πρὸς P--------- πρός
Αγχους N---ASM--- Αγχους
υἱὸν N2--ASM--- υἱός
Αμμαχ N---GSM--- Αμμαχ
βασιλέα N3V-ASM--- βασιλεύς
Γεθ N---GSF--- Γεθ

1Sa 27:3
καὶ C--------- καί
ἐκάθισεν VAI-AAI3S- ἵζω κατα
Δαυιδ N---NSM--- Δαυίδ
μετὰ P--------- μετά
Αγχους N---GSM--- Αγχους
ἐν P--------- ἐν
Γεθ N---DSF--- Γεθ
αὐτὸς RD--NSM--- αὐτός
καὶ C--------- καί
οἱ RA--NPM--- ὁ
ἄνδρες N3--NPM--- ἀνήρ
αὐτοῦ RD--GSM--- αὐτός
ἕκαστος A1--NSM--- ἕκαστος
καὶ C--------- καί
ὁ RA--NSM--- ὁ
οἶκος N2--NSM--- οἶκος
αὐτοῦ RD--GSM--- αὐτός
καὶ C--------- καί
Δαυιδ N---NSM--- Δαυίδ
καὶ C--------- καί
ἀμφότεραι A1A-NPF--- ἀμφότεροι
αἱ RA--NPF--- ὁ
γυναῖκες N3K-NPF--- γυνή
αὐτοῦ RD--GSM--- αὐτός
Αχινααμ N---NSF--- Αχινααμ
ἡ RA--NSF--- ὁ
Ιεζραηλῖτις N3I-NSF--- Ιεζραηλῖτις
καὶ C--------- καί
Αβιγαια N---NSF--- Αβιγαια
ἡ RA--NSF--- ὁ
γυνὴ N3K-NSF--- γυνή
Ναβαλ N---GSM--- Ναβαλ
τοῦ RA--GSM--- ὁ
Καρμηλίου N2--GSM--- Καρμήλιος

1Sa 27:4
καὶ C--------- καί
ἀνηγγέλη VDI-API3S- ἀγγέλλω ἀνα
τῷ RA--DSM--- ὁ
Σαουλ N---DSM--- Σαούλ
ὅτι C--------- ὅτι
πέφευγεν VX--XAI3S- φεύγω
Δαυιδ N---NSM--- Δαυίδ
εἰς P--------- εἰς
Γεθ N---ASF--- Γεθ
καὶ C--------- καί
οὐ D--------- οὐ
προσέθετο VEI-AMI3S- τίθημι προς
ἔτι D--------- ἔτι
ζητεῖν V2--PAN--- ζητέω
αὐτόν RD--ASM--- αὐτός

1Sa 27:5
καὶ C--------- καί
εἶπεν VBI-AAI3S- εἶπον
Δαυιδ N---NSM--- Δαυίδ
πρὸς P--------- πρός
Αγχους N---ASM--- Αγχους
εἰ C--------- εἰ
δὴ X--------- δή
εὕρηκεν VX--XAI3S- εὑρίσκω
ὁ RA--NSM--- ὁ
δοῦλός N2--NSM--- δοῦλος
σου RP--GS---- σύ
χάριν N3--ASF--- χάρις
ἐν P--------- ἐν
ὀφθαλμοῖς N2--DPM--- ὀφθαλμός
σου RP--GS---- σύ
δότωσαν VO--AAD3P- δίδωμι
δή X--------- δή
μοι RP--DS---- ἐγώ
τόπον N2--ASM--- τόπος
ἐν P--------- ἐν
μιᾷ A1A-DSF--- εἷς
τῶν RA--GPM--- ὁ
πόλεων N3I-GPF--- πόλις
τῶν RA--GPM--- ὁ
κατ' P--------- κατά
ἀγρὸν N2--ASM--- ἀγρός
καὶ C--------- καί
καθήσομαι VF--FMI1S- ἷμαι κατα
ἐκεῖ D--------- ἐκεῖ
καὶ C--------- καί
ἵνα C--------- ἵνα
τί RI--ASN--- τίς
κάθηται V5--PMI3S- ἧμαι κατα
ὁ RA--NSM--- ὁ
δοῦλός N2--NSM--- δοῦλος
σου RP--GS---- σύ
ἐν P--------- ἐν
πόλει N3I-DSF--- πόλις
βασιλευομένῃ V1--PMPDSF βασιλεύω
μετὰ P--------- μετά
σοῦ RP--GS---- σύ

1Sa 27:6
καὶ C--------- καί
ἔδωκεν VAI-AAI3S- δίδωμι
αὐτῷ RD--DSM--- αὐτός
ἐν P--------- ἐν
τῇ RA--DSF--- ὁ
ἡμέρᾳ N1A-DSF--- ἡμέρα
ἐκείνῃ RD--DSF--- ἐκεῖνος
τὴν RA--ASF--- ὁ
Σεκελακ N---ASF--- Σεκελακ
διὰ P--------- διά
τοῦτο RD--ASN--- οὗτος
ἐγενήθη VCI-API3S- γίγνομαι
Σεκελακ N---NSF--- Σεκελακ
τῷ RA--DSM--- ὁ
βασιλεῖ N3V-DSM--- βασιλεύς
τῆς RA--GSF--- ὁ
Ιουδαίας N1A-GSF--- Ἰουδαία
ἕως P--------- ἕως
τῆς RA--GSF--- ὁ
ἡμέρας N1A-GSF--- ἡμέρα
ταύτης RD--GSF--- οὗτος

1Sa 27:7
καὶ C--------- καί
ἐγενήθη VCI-API3S- γίγνομαι
ὁ RA--NSM--- ὁ
ἀριθμὸς N2--NSM--- ἀριθμός
τῶν RA--GPF--- ὁ
ἡμερῶν N1A-GPF--- ἡμέρα
ὧν RR--GPM--- ὅς
ἐκάθισεν VAI-AAI3S- ἵζω κατα
Δαυιδ N---NSM--- Δαυίδ
ἐν P--------- ἐν
ἀγρῷ N2--DSM--- ἀγρός
τῶν RA--GPM--- ὁ
ἀλλοφύλων A1B-GPM--- ἀλλόφυλος
τέσσαρας A3--APM--- τέσσαρες
μῆνας N3--APM--- μήν

1Sa 27:8
καὶ C--------- καί
ἀνέβαινεν V1I-IAI3S- βαίνω ἀνα
Δαυιδ N---NSM--- Δαυίδ
καὶ C--------- καί
οἱ RA--NPM--- ὁ
ἄνδρες N3--NPM--- ἀνήρ
αὐτοῦ RD--GSM--- αὐτός
καὶ C--------- καί
ἐπετίθεντο V7I-IMI3P- τίθημι ἐπι
ἐπὶ P--------- ἐπί
πάντα A3--ASM--- πᾶς
τὸν RA--ASM--- ὁ
Γεσιρι N---ASM--- Γεσιρι
καὶ C--------- καί
ἐπὶ P--------- ἐπί
τὸν RA--ASM--- ὁ
Αμαληκίτην N1M-ASM--- Αμαληκίτης
καὶ C--------- καί
ἰδοὺ I--------- ἰδού
ἡ RA--NSF--- ὁ
γῆ N1--NSF--- γῆ
κατῳκεῖτο V2I-IMI3S- οἰκέω κατα
ἀπὸ P--------- ἀπό
ἀνηκόντων V1--PAPGPM ἥκω ἀνα
ἡ RA--NSF--- ὁ
ἀπὸ P--------- ἀπό
Γελαμψουρ N---GS---- Γελαμψουρ
τετειχισμένων VT--XMPGPM τειχίζω
καὶ C--------- καί
ἕως P--------- ἕως
γῆς N1--GSF--- γῆ
Αἰγύπτου N2--GSF--- Αἴγυπτος

1Sa 27:9
καὶ C--------- καί
ἔτυπτε V1I-IAI3S- τύπτω
τὴν RA--ASF--- ὁ
γῆν N1--ASF--- γῆ
καὶ C--------- καί
οὐκ D--------- οὐ
ἐζωογόνει VAI-AAI3S- ζωογονέω
ἄνδρα N3--ASM--- ἀνήρ
καὶ C--------- καί
γυναῖκα N3K-ASF--- γυνή
καὶ C--------- καί
ἐλάμβανεν V1I-IAI3S- λαμβάνω
ποίμνια N2N-APN--- ποίμνιον
καὶ C--------- καί
βουκόλια N2N-APN--- βουκόλιον
καὶ C--------- καί
ὄνους N2--APF--- ὄνος
καὶ C--------- καί
καμήλους N2--APM--- κάμηλος
καὶ C--------- καί
ἱματισμόν N2--ASM--- ἱματισμός
καὶ C--------- καί
ἀνέστρεψαν VAI-AAI3P- στρέφω ἀνα
καὶ C--------- καί
ἤρχοντο V1I-IMI3P- ἄρχω
πρὸς P--------- πρός
Αγχους N---ASM--- Αγχους

1Sa 27:10
καὶ C--------- καί
εἶπεν VBI-AAI3S- εἶπον
Αγχους N---NSM--- Αγχους
πρὸς P--------- πρός
Δαυιδ N---ASM--- Δαυίδ
ἐπὶ P--------- ἐπί
τίνα RI--ASM--- τίς
ἐπέθεσθε VEI-AMI2P- τίθημι ἐπι
σήμερον D--------- σήμερον
καὶ C--------- καί
εἶπεν VBI-AAI3S- εἶπον
Δαυιδ N---NSM--- Δαυίδ
πρὸς P--------- πρός
Αγχους N---ASM--- Αγχους
κατὰ P--------- κατά
νότον N2--ASM--- νότος
τῆς RA--GSF--- ὁ
Ιουδαίας N1A-GSF--- Ἰουδαία
καὶ C--------- καί
κατὰ P--------- κατά
νότον N2--ASM--- νότος
Ιεσμεγα N---GS---- Ιεσμεγα
καὶ C--------- καί
κατὰ P--------- κατά
νότον N2--ASM--- νότος
τοῦ RA--GS---- ὁ
Κενεζι N---GSM--- Κενεζι

1Sa 27:11
καὶ C--------- καί
ἄνδρα N3--ASM--- ἀνήρ
καὶ C--------- καί
γυναῖκα N3K-ASF--- γυνή
οὐκ D--------- οὐ
ἐζωογόνησεν VAI-AAI3S- ζωογονέω
τοῦ RA--GSN--- ὁ
εἰσαγαγεῖν VB--AAN--- ἄγω εἰς
εἰς P--------- εἰς
Γεθ N---ASF--- Γεθ
λέγων V1--PAPNSM λέγω
μὴ D--------- μή
ἀναγγείλωσιν VA--AAS3P- ἀγγέλλω ἀνα
εἰς P--------- εἰς
Γεθ N---ASF--- Γεθ
καθ' P--------- κατά
ἡμῶν RP--GP---- ἐγώ
λέγοντες V1--PAPNPM λέγω
τάδε RI--APN--- ὅδε
Δαυιδ N---NSM--- Δαυίδ
ποιεῖ V2--PAI3S- ποιέω
καὶ C--------- καί
τόδε RD--ASN--- ὅδε
τὸ RA--ASN--- ὁ
δικαίωμα N3M-ASN--- δικαίωμα
αὐτοῦ RD--GSM--- αὐτός
πάσας A1S-APF--- πᾶς
τὰς RA--APF--- ὁ
ἡμέρας N1A-APF--- ἡμέρα
ἃς RR--APF--- ὅς
ἐκάθητο V1I-IMI3S- ἧμαι κατα
Δαυιδ N---NSM--- Δαυίδ
ἐν P--------- ἐν
ἀγρῷ N2--DSM--- ἀγρός
τῶν RA--GPM--- ὁ
ἀλλοφύλων A1B-GPM--- ἀλλόφυλος

1Sa 27:12
καὶ C--------- καί
ἐπιστεύθη VCI-API3S- πιστεύω
Δαυιδ N---NSM--- Δαυίδ
ἐν P--------- ἐν
τῷ RA--DSM--- ὁ
Αγχους N---DSM--- Αγχους
σφόδρα D--------- σφόδρα
λέγων V1--PAPNSM λέγω
ᾔσχυνται VM--XMI3S- αἰσχύνω
αἰσχυνόμενος V1--PMPNSM αἰσχύνω
ἐν P--------- ἐν
τῷ RA--DSM--- ὁ
λαῷ N2--DSM--- λαός
αὐτοῦ RD--GSM--- αὐτός
ἐν P--------- ἐν
Ισραηλ N---DSM--- Ἰσραήλ
καὶ C--------- καί
ἔσται VF--FMI3S- εἰμί
μοι RP--DS---- ἐγώ
δοῦλος N2--NSM--- δοῦλος
εἰς P--------- εἰς
τὸν RA--ASM--- ὁ
αἰῶνα N3W-ASM--- αἰών

1Sa 28:1
καὶ C--------- καί
ἐγενήθη VCI-API3S- γίγνομαι
ἐν P--------- ἐν
ταῖς RA--DPF--- ὁ
ἡμέραις N1A-DPF--- ἡμέρα
ἐκείναις RD--DPF--- ἐκεῖνος
καὶ C--------- καί
συναθροίζονται V1--PMI3P- ἀθροίζω συν
ἀλλόφυλοι A1B-NPM--- ἀλλόφυλος
ἐν P--------- ἐν
ταῖς RA--DPF--- ὁ
παρεμβολαῖς N1--DPF--- παρεμβολή
αὐτῶν RD--GPM--- αὐτός
ἐξελθεῖν VB--AAN--- ἔρχομαι ἐκ
πολεμεῖν V2--PAN--- πολεμέω
μετὰ P--------- μετά
Ισραηλ N---GSM--- Ἰσραήλ
καὶ C--------- καί
εἶπεν VBI-AAI3S- εἶπον
Αγχους N---NSM--- Αγχους
πρὸς P--------- πρός
Δαυιδ N---ASM--- Δαυίδ
γινώσκων V1--PAPNSM γιγνώσκω
γνώσει VF--FMI2S- γιγνώσκω
ὅτι C--------- ὅτι
μετ' P--------- μετά
ἐμοῦ RP--GS---- ἐγώ
ἐξελεύσει VF--FAI3S- ἔρχομαι ἐκ
εἰς P--------- εἰς
πόλεμον N2--ASM--- πόλεμος
σὺ RP--NS---- σύ
καὶ C--------- καί
οἱ RA--NPM--- ὁ
ἄνδρες N3--NPM--- ἀνήρ
σου RP--GS---- σύ

1Sa 28:2
καὶ C--------- καί
εἶπεν VBI-AAI3S- εἶπον
Δαυιδ N---NSM--- Δαυίδ
πρὸς P--------- πρός
Αγχους N---ASM--- Αγχους
οὕτω D--------- οὕτως
νῦν D--------- νῦν
γνώσει VF--FMI2S- γιγνώσκω
ἃ RR--APN--- ὅς
ποιήσει VF--FAI3S- ποιέω
ὁ RA--NSM--- ὁ
δοῦλός N2--NSM--- δοῦλος
σου RP--GS---- σύ
καὶ C--------- καί
εἶπεν VBI-AAI3S- εἶπον
Αγχους N---NSM--- Αγχους
πρὸς P--------- πρός
Δαυιδ N---ASM--- Δαυίδ
οὕτως D--------- οὕτως
ἀρχισωματοφύλακα N3K-ASM--- ἀρχισωματοφύλαξ
θήσομαί VF--FMI1S- τίθημι
σε RP--AS---- σύ
πάσας A1S-APF--- πᾶς
τὰς RA--APF--- ὁ
ἡμέρας N1A-APF--- ἡμέρα

1Sa 28:3
καὶ C--------- καί
Σαμουηλ N---NSM--- Σαμουηλ
ἀπέθανεν VBI-AAI3S- θνήσκω ἀπο
καὶ C--------- καί
ἐκόψαντο VAI-AMI3P- κόπτω
αὐτὸν RD--ASM--- αὐτός
πᾶς A3--NSM--- πᾶς
Ισραηλ N---NSM--- Ἰσραήλ
καὶ C--------- καί
θάπτουσιν V1--PAI3P- θάπτω
αὐτὸν RD--ASM--- αὐτός
ἐν P--------- ἐν
Αρμαθαιμ N---DS---- Αρμαθαιμ
ἐν P--------- ἐν
πόλει N3I-DSF--- πόλις
αὐτοῦ RD--GSM--- αὐτός
καὶ C--------- καί
Σαουλ N---NSM--- Σαούλ
περιεῖλεν VBI-AAI3S- αἱρέω περι
τοὺς RA--APM--- ὁ
ἐγγαστριμύθους A1B-APM--- ἐγγαστρίμυθος
καὶ C--------- καί
τοὺς RA--APM--- ὁ
γνώστας N1M-APM--- γνώστης
ἀπὸ P--------- ἀπό
τῆς RA--GSF--- ὁ
γῆς N1--GSF--- γῆ

1Sa 28:4
καὶ C--------- καί
συναθροίζονται V1--PMI3P- ἀθροίζω συν
οἱ RA--NPM--- ὁ
ἀλλόφυλοι A1B-NPM--- ἀλλόφυλος
καὶ C--------- καί
ἔρχονται V1--PMI3P- ἔρχομαι
καὶ C--------- καί
παρεμβάλλουσιν V1--PAI3P- βάλλω παρα ἐν
εἰς P--------- εἰς
Σωμαν N---AS---- Σωμαν
καὶ C--------- καί
συναθροίζει V1--PAI3S- ἀθροίζω συν
Σαουλ N---NSM--- Σαούλ
πάντα A3--ASM--- πᾶς
ἄνδρα N3--ASM--- ἀνήρ
Ισραηλ N---GSM--- Ἰσραήλ
καὶ C--------- καί
παρεμβάλλουσιν V1--PAI3P- βάλλω παρα ἐν
εἰς P--------- εἰς
Γελβουε N---AS---- Γελβουε

1Sa 28:5
καὶ C--------- καί
εἶδεν VBI-AAI3S- ὁράω
Σαουλ N---NSM--- Σαούλ
τὴν RA--ASF--- ὁ
παρεμβολὴν N1--ASF--- παρεμβολή
τῶν RA--GPM--- ὁ
ἀλλοφύλων A1B-GPM--- ἀλλόφυλος
καὶ C--------- καί
ἐφοβήθη VCI-API3S- φοβέω
καὶ C--------- καί
ἐξέστη VHI-AAI3S- ἵστημι ἐκ
ἡ RA--NSF--- ὁ
καρδία N1A-NSF--- καρδία
αὐτοῦ RD--GSM--- αὐτός
σφόδρα D--------- σφόδρα

1Sa 28:6
καὶ C--------- καί
ἐπηρώτησεν VAI-AAI3S- ἐρωτάω ἐπι
Σαουλ N---NSM--- Σαούλ
διὰ P--------- διά
κυρίου N2--GSM--- κύριος
καὶ C--------- καί
οὐκ D--------- οὐ
ἀπεκρίθη VCI-API3S- κρίνω ἀπο
αὐτῷ RD--DSM--- αὐτός
κύριος N2--NSM--- κύριος
ἐν P--------- ἐν
τοῖς RA--DPN--- ὁ
ἐνυπνίοις N2N-DPN--- ἐνύπνιον
καὶ C--------- καί
ἐν P--------- ἐν
τοῖς RA--DPM--- ὁ
δήλοις A1--DPM--- δῆλος
καὶ C--------- καί
ἐν P--------- ἐν
τοῖς RA--DPM--- ὁ
προφήταις N1M-DPM--- προφήτης

1Sa 28:7
καὶ C--------- καί
εἶπεν VBI-AAI3S- εἶπον
Σαουλ N---NSM--- Σαούλ
τοῖς RA--DPM--- ὁ
παισὶν N3D-DPM--- παῖς
αὐτοῦ RD--GSM--- αὐτός
ζητήσατέ VA--AAD2P- ζητέω
μοι RP--DS---- ἐγώ
γυναῖκα N3K-ASF--- γυνή
ἐγγαστρίμυθον A1B-ASF--- ἐγγαστρίμυθος
καὶ C--------- καί
πορεύσομαι VF--FMI1S- πορεύομαι
πρὸς P--------- πρός
αὐτὴν RD--ASF--- αὐτός
καὶ C--------- καί
ζητήσω VF--FAI1S- ζητέω
ἐν P--------- ἐν
αὐτῇ RD--DSF--- αὐτός
καὶ C--------- καί
εἶπαν VAI-AAI3P- εἶπον
οἱ RA--NPM--- ὁ
παῖδες N3D-NPM--- παῖς
αὐτοῦ RD--GSM--- αὐτός
πρὸς P--------- πρός
αὐτόν RD--ASM--- αὐτός
ἰδοὺ I--------- ἰδού
γυνὴ N3K-NSF--- γυνή
ἐγγαστρίμυθος A1B-NSF--- ἐγγαστρίμυθος
ἐν P--------- ἐν
Αενδωρ N---DSF--- Αενδωρ

1Sa 28:8
καὶ C--------- καί
συνεκαλύψατο VAI-AMI3S- καλύπτω συν
Σαουλ N---NSM--- Σαούλ
καὶ C--------- καί
περιεβάλετο VBI-AMI3S- βάλλω περι
ἱμάτια N2N-APN--- ἱμάτιον
ἕτερα A1A-APN--- ἕτερος
καὶ C--------- καί
πορεύεται V1--PMI3S- πορεύομαι
αὐτὸς RD--NSM--- αὐτός
καὶ C--------- καί
δύο M--------- δύο
ἄνδρες N3--NPM--- ἀνήρ
μετ' P--------- μετά
αὐτοῦ RD--GSM--- αὐτός
καὶ C--------- καί
ἔρχονται V1--PMI3P- ἔρχομαι
πρὸς P--------- πρός
τὴν RA--ASF--- ὁ
γυναῖκα N3K-ASF--- γυνή
νυκτὸς N3--GSF--- νύξ
καὶ C--------- καί
εἶπεν VBI-AAI3S- εἶπον
αὐτῇ RD--DSF--- αὐτός
μάντευσαι VA--AMD2S- μαντεύομαι
δή X--------- δή
μοι RP--DS---- ἐγώ
ἐν P--------- ἐν
τῷ RA--DSM--- ὁ
ἐγγαστριμύθῳ A1B-DSM--- ἐγγαστρίμυθος
καὶ C--------- καί
ἀνάγαγέ VB--AAD2S- ἄγω ἀνα
μοι RP--DS---- ἐγώ
ὃν RR--ASM--- ὅς
ἐὰν C--------- ἐάν
εἴπω VB--AAS1S- εἶπον
σοι RP--DS---- σύ

1Sa 28:9
καὶ C--------- καί
εἶπεν VBI-AAI3S- εἶπον
ἡ RA--NSF--- ὁ
γυνὴ N3K-NSF--- γυνή
πρὸς P--------- πρός
αὐτόν RD--ASM--- αὐτός
ἰδοὺ I--------- ἰδού
δὴ X--------- δή
σὺ RP--NS---- σύ
οἶδας VX--XAI2S- οἶδα
ὅσα A1--APN--- ὅσος
