Tob 1:1
Τωβιαν N1T-ASM--- Τωβείας
τὸν RA--ASM--- ὁ
υἱόν N2--ASM--- υἱός
μου RP--GS---- ἐγώ

Tob 11:15
καὶ C--------- καί
εἰσῆλθεν VBI-AAI3S- ἔρχομαι εἰς
ὁ RA--NSM--- ὁ
υἱὸς N2--NSM--- υἱός
αὐτοῦ RD--GSM--- αὐτός
χαίρων V1--PAPNSM χαίρω
καὶ C--------- καί
ἀπήγγειλεν VAI-AAI3S- ἀγγέλλω ἀπο
τῷ RA--DSM--- ὁ
πατρὶ N3--DSM--- πατήρ
αὐτοῦ RD--GSM--- αὐτός
τὰ RA--APN--- ὁ
μεγαλεῖα A1A-APN--- μεγαλεῖος
τὰ RA--APN--- ὁ
γενόμενα VB--AMPAPN γίγνομαι
αὐτῷ RD--DSM--- αὐτός
ἐν P--------- ἐν
τῇ RA--DSF--- ὁ
Μηδίᾳ N---DSF--- Μηδεία

Tob 11:16
καὶ C--------- καί
ἐξῆλθεν VBI-AAI3S- ἔρχομαι ἐκ
Τωβιτ N---NSM--- Τωβιτ
εἰς P--------- εἰς
συνάντησιν N3I-ASF--- συνάντησις
τῇ RA--DSF--- ὁ
νύμφῃ N1--DSF--- νύμφη
αὐτοῦ RD--GSM--- αὐτός
χαίρων V1--PAPNSM χαίρω
καὶ C--------- καί
εὐλογῶν V2--PAPNSM εὐλογέω
τὸν RA--ASM--- ὁ
θεὸν N2--ASM--- θεός
πρὸς P--------- πρός
τῇ RA--DSF--- ὁ
πύλῃ N1--DSF--- πύλη
Νινευη N---DSF--- Νινευη
καὶ C--------- καί
ἐθαύμαζον V1I-IAI3P- θαυμάζω
οἱ RA--NPM--- ὁ
θεωροῦντες V2--PAPNPM θεωρέω
αὐτὸν RD--ASM--- αὐτός
πορευόμενον V1--PMPASM πορεύομαι
ὅτι C--------- ὅτι
ἔβλεψεν VAI-AAI3S- βλέπω
καὶ C--------- καί
Τωβιτ N---NSM--- Τωβιτ
ἐξωμολογεῖτο V2I-IMI3S- ὁμολογέω ἐκ
ἐνώπιον P--------- ἐνώπιον
αὐτῶν RD--GPM--- αὐτός
ὅτι C--------- ὅτι
ἠλέησεν VAI-AAI3S- ἐλεέω
αὐτὸν RD--ASM--- αὐτός
ὁ RA--NSM--- ὁ
θεός N2--NSM--- θεός

Tob 11:17
καὶ C--------- καί
ὡς D--------- ὡς
ἤγγισεν VAI-AAI3S- ἐγγίζω
Τωβιτ N---NSM--- Τωβιτ
Σαρρα N---DSF--- Σαρρα
τῇ RA--DSF--- ὁ
νύμφῃ N1--DSF--- νύμφη
αὐτοῦ RD--GSM--- αὐτός
κατευλόγησεν VA--AAI3S- εὐλογέω κατα
αὐτὴν RD--ASF--- αὐτός
λέγων V1--PAPNSM λέγω
ἔλθοις VA--AAO2S- ἔρχομαι
ὑγιαίνουσα V1--PAPNSF ὑγιαίνω
θύγατερ N3--VSM--- θυγάτηρ
εὐλογητὸς A1--NSM--- εὐλογητός
ὁ RA--NSM--- ὁ
θεός N2--NSM--- θεός
ὃς RR--NSM--- ὅς
ἤγαγέν VBI-AAI3S- ἄγω
σε RP--AS---- σύ
πρὸς P--------- πρός
ἡμᾶς RP--AP---- ἐγώ
καὶ C--------- καί
ὁ RA--NSM--- ὁ
πατήρ N3--NSM--- πατήρ
σου RP--GS---- σύ
καὶ C--------- καί
ἡ RA--NSF--- ὁ
μήτηρ N3--NSF--- μήτηρ
σου RP--GS---- σύ

Tob 11:18
καὶ C--------- καί
ἐγένετο VBI-AMI3S- γίγνομαι
χαρὰ N1A-NSF--- χαρά
πᾶσι A3--DPM--- πᾶς
τοῖς RA--DPM--- ὁ
ἐν P--------- ἐν
Νινευη N---DSF--- Νινευη
ἀδελφοῖς N2--DPM--- ἀδελφός
αὐτοῦ RD--GSM--- αὐτός

Tob 11:19
καὶ C--------- καί
παρεγένετο VBI-AMI3S- γίγνομαι παρα
Αχιαχαρος N2--NSM--- Αχιαχαρος
καὶ C--------- καί
Νασβας N---NSM--- Νασβας
ὁ RA--NSM--- ὁ
ἐξάδελφος N2--NSM--- ἐξάδελφος
αὐτοῦ RD--GSM--- αὐτός
καὶ C--------- καί
ἤχθη VCI-API3S- ἔχω
ὁ RA--NSM--- ὁ
γάμος N2--NSM--- γάμος
Τωβια N---GSM--- Τωβεία
μετ' P--------- μετά
εὐφροσύνης N1--GSF--- εὐφροσύνη
ἑπτὰ M--------- ἑπτά
ἡμέρας N1A-APF--- ἡμέρα

Tob 12:1
καὶ C--------- καί
ἐκάλεσεν VAI-AAI3S- καλέω
Τωβιτ N---NSM--- Τωβιτ
Τωβιαν N1T-ASM--- Τωβείας
τὸν RA--ASM--- ὁ
υἱὸν N2--ASM--- υἱός
αὐτοῦ RD--GSM--- αὐτός
καὶ C--------- καί
εἶπεν VBI-AAI3S- εἶπον
αὐτῷ RD--DSM--- αὐτός
ὅρα V3--PAD2S- ὁράω
τέκνον N2N-VSN--- τέκνον
μισθὸν N2--ASM--- μισθός
τῷ RA--DSM--- ὁ
ἀνθρώπῳ N2--DSM--- ἄνθρωπος
τῷ RA--DSM--- ὁ
συνελθόντι VB--AAPDSM ἔρχομαι συν
σοι RP--DS---- σύ
καὶ C--------- καί
προσθεῖναι VE--AAN--- τίθημι προς
αὐτῷ RD--DSM--- αὐτός
δεῖ V2--PAI3S- δέω

Tob 12:2
καὶ C--------- καί
εἶπεν VBI-AAI3S- εἶπον
αὐτῷ RD--DSM--- αὐτός
πάτερ N3--VSM--- πατήρ
οὐ D--------- οὐ
βλάπτομαι V1--PMI1S- βλάπτω
δοὺς VO--AAPNSM δίδωμι
αὐτῷ RD--DSM--- αὐτός
τὸ RA--ASN--- ὁ
ἥμισυ A3U-ASN--- ἥμισυς
ὧν RR--GPN--- ὅς
ἐνήνοχα VX--XAI1S- φέρω

Tob 12:3
ὅτι C--------- ὅτι
με RP--AS---- ἐγώ
ἀγείοχέν VX--XAI3S- ἄγω
σοι RP--DS---- σύ
ὑγιῆ A3H-APN--- ὑγιής
καὶ C--------- καί
τὴν RA--ASF--- ὁ
γυναῖκά N3K-ASF--- γυνή
μου RP--GS---- ἐγώ
ἐθεράπευσεν VAI-AAI3S- θεραπεύω
καὶ C--------- καί
τὸ RA--ASN--- ὁ
ἀργύριόν N2N-ASN--- ἀργύριον
μου RP--GS---- ἐγώ
ἤνεγκεν VAI-AAI3S- φέρω
καὶ C--------- καί
σὲ RP--AS---- σύ
ὁμοίως D--------- ὁμοίως
ἐθεράπευσεν VAI-AAI3S- θεραπεύω

Tob 12:4
καὶ C--------- καί
εἶπεν VBI-AAI3S- εἶπον
ὁ RA--NSM--- ὁ
πρεσβύτης N1M-NSM--- πρεσβύτης
δικαιοῦται V4--PMI3S- δικαιόω
αὐτῷ RD--DSM--- αὐτός

Tob 12:5
καὶ C--------- καί
ἐκάλεσεν VAI-AAI3S- καλέω
τὸν RA--ASM--- ὁ
ἄγγελον N2--ASM--- ἄγγελος
καὶ C--------- καί
εἶπεν VBI-AAI3S- εἶπον
αὐτῷ RD--DSM--- αὐτός
λαβὲ VB--AAD2S- λαμβάνω
τὸ RA--ASN--- ὁ
ἥμισυ A3U-ASN--- ἥμισυς
πάντων A3--GPN--- πᾶς
ὧν RR--GPN--- ὅς
ἐνηνόχατε VX--XAI2P- φέρω

Tob 12:6
τότε D--------- τότε
καλέσας VA--AAPNSM καλέω
τοὺς RA--APM--- ὁ
δύο M---NDM--- δύο
κρυπτῶς D--------- κρυπτῶς
εἶπεν VBI-AAI3S- εἶπον
αὐτοῖς RD--DPM--- αὐτός
εὐλογεῖτε V2--PAD2P- εὐλογέω
τὸν RA--ASM--- ὁ
θεὸν N2--ASM--- θεός
καὶ C--------- καί
αὐτῷ RD--DSM--- αὐτός
ἐξομολογεῖσθε V2--PMD2P- ὁμολογέω ἐκ
μεγαλωσύνην N1--ASF--- μεγαλωσύνη
δίδοτε V8--PAI2P- δίδωμι
αὐτῷ RD--DSM--- αὐτός
καὶ C--------- καί
ἐξομολογεῖσθε V2--PMD2P- ὁμολογέω ἐκ
ἐνώπιον P--------- ἐνώπιον
πάντων A3--GPN--- πᾶς
τῶν RA--GPN--- ὁ
ζώντων V3--PAPGPN ζάω
περὶ P--------- περί
ὧν RR--GPN--- ὅς
ἐποίησεν VAI-AAI3S- ποιέω
μεθ' P--------- μετά
ὑμῶν RP--GP---- σύ
ἀγαθὸν A1--NSN--- ἀγαθός
τὸ RA--NSN--- ὁ
εὐλογεῖν V2--PAN--- εὐλογέω
τὸν RA--ASM--- ὁ
θεὸν N2--ASM--- θεός
καὶ C--------- καί
ὑψοῦν V4--PAN--- ὑψόω
τὸ RA--ASN--- ὁ
ὄνομα N3M-ASN--- ὄνομα
αὐτοῦ RD--GSM--- αὐτός
τοὺς RA--APM--- ὁ
λόγους N2--APM--- λόγος
τῶν RA--GPN--- ὁ
ἔργων N2N-GPN--- ἔργον
τοῦ RA--GSM--- ὁ
θεοῦ N2--GSM--- θεός
ἐντίμως D--------- ἐντίμως
ὑποδεικνύοντες V1--PAPNPM δεικνύω ὑπο
καὶ C--------- καί
μὴ D--------- μή
ὀκνεῖτε V2--PAD2P- ὀκνέω
ἐξομολογεῖσθαι V2--PMN--- ὁμολογέω ἐκ
αὐτῷ RD--DSM--- αὐτός

Tob 12:7
μυστήριον N2N-ASN--- μυστήριον
βασιλέως N3V-GSM--- βασιλεύς
καλὸν A1--NSN--- καλός
κρύψαι VA--AAN--- κρύπτω
τὰ RA--APN--- ὁ
δὲ X--------- δέ
ἔργα N2N-APN--- ἔργον
τοῦ RA--GSM--- ὁ
θεοῦ N2--GSM--- θεός
ἀνακαλύπτειν V1--PAN--- καλύπτω ἀνα
ἐνδόξως D--------- ἐνδόξως
ἀγαθὸν A1--ASN--- ἀγαθός
ποιήσατε VA--AAD2P- ποιέω
καὶ C--------- καί
κακὸν A1--NSN--- κακός
οὐχ D--------- οὐ
εὑρήσει VF--FAI3S- εὑρίσκω
ὑμᾶς RP--AP---- σύ

Tob 12:8
ἀγαθὸν A1--NSN--- ἀγαθός
προσευχὴ N1--NSF--- προσευχή
μετὰ P--------- μετά
νηστείας N1A-GSF--- νηστεία
καὶ C--------- καί
ἐλεημοσύνης N1--GSF--- ἐλεημοσύνη
καὶ C--------- καί
δικαιοσύνης N1--GSF--- δικαιοσύνη
ἀγαθὸν A1--NSN--- ἀγαθός
τὸ RA--NSN--- ὁ
ὀλίγον A1--NSN--- ὀλίγος
μετὰ P--------- μετά
δικαιοσύνης N1--GSF--- δικαιοσύνη
ἢ C--------- ἤ
πολὺ A1P-ASN--- πολύς
μετὰ P--------- μετά
ἀδικίας N1A-GSF--- ἀδικία
καλὸν A1--NSN--- καλός
ποιῆσαι VA--AAN--- ποιέω
ἐλεημοσύνην N1--ASF--- ἐλεημοσύνη
ἢ C--------- ἤ
θησαυρίσαι VA--AAN--- θησαυρίζω
χρυσίον N2N-ASN--- χρυσίον

Tob 12:9
ἐλεημοσύνη N1--NSF--- ἐλεημοσύνη
γὰρ X--------- γάρ
ἐκ P--------- ἐκ
θανάτου N2--GSM--- θάνατος
ῥύεται V1--PMI3S- ῥύομαι
καὶ C--------- καί
αὐτὴ RD--NSF--- αὐτός
ἀποκαθαριεῖ VF2-FAI3S- καθαρίζω ἀπο
πᾶσαν A1S-ASF--- πᾶς
ἁμαρτίαν N1A-ASF--- ἁμαρτία
οἱ RA--NPM--- ὁ
ποιοῦντες V2--PAPNPM ποιέω
ἐλεημοσύνας N1--APF--- ἐλεημοσύνη
καὶ C--------- καί
δικαιοσύνας N1--APF--- δικαιοσύνη
πλησθήσονται VS--FPI3P- πίμπλημι
ζωῆς N1--GSF--- ζωή

Tob 12:10
οἱ RA--NPM--- ὁ
δὲ X--------- δέ
ἁμαρτάνοντες V1--PAPNPM ἁμαρτάνω
πολέμιοί A1A-NPM--- πολέμιος
εἰσιν V9--PAI3P- εἰμί
τῆς RA--GSF--- ὁ
ἑαυτῶν RD--GPM--- ἑαυτοῦ
ζωῆς N1--GSF--- ζωή

Tob 12:11
οὐ D--------- οὐ
μὴ D--------- μή
κρύψω VF--FAI1S- κρύπτω
ἀφ' P--------- ἀπό
ὑμῶν RP--GP---- σύ
πᾶν A3--ASN--- πᾶς
ῥῆμα N3M-ASN--- ῥῆμα
εἴρηκα VX--XAI1S- εἶπον
δή X--------- δή
μυστήριον N2N-ASN--- μυστήριον
βασιλέως N3V-GSM--- βασιλεύς
κρύψαι VA--AAN--- κρύπτω
καλόν A1--ASN--- καλός
τὰ RA--APN--- ὁ
δὲ X--------- δέ
ἔργα N2N-APN--- ἔργον
τοῦ RA--GSM--- ὁ
θεοῦ N2--GSM--- θεός
ἀνακαλύπτειν V1--PAN--- καλύπτω ἀνα
ἐνδόξως D--------- ἐνδόξως

Tob 12:12
καὶ C--------- καί
νῦν D--------- νῦν
ὅτε D--------- ὅτε
προσηύξω VAI-AMI2S- εὔχομαι προς
σὺ RP--NS---- σύ
καὶ C--------- καί
ἡ RA--NSF--- ὁ
νύμφη N1--NSF--- νύμφη
σου RP--GS---- σύ
Σαρρα N---NSF--- Σαρρα
ἐγὼ RP--NS---- ἐγώ
προσήγαγον VBI-AAI1S- ἄγω προς
τὸ RA--ASN--- ὁ
μνημόσυνον N2N-ASN--- μνημόσυνον
τῆς RA--GSF--- ὁ
προσευχῆς N1--GSF--- προσευχή
ὑμῶν RP--GP---- σύ
ἐνώπιον P--------- ἐνώπιον
τοῦ RA--GSM--- ὁ
ἁγίου A1A-GSM--- ἅγιος
καὶ C--------- καί
ὅτε D--------- ὅτε
ἔθαπτες V1I-IAI2S- θάπτω
τοὺς RA--APM--- ὁ
νεκρούς N2--APM--- νεκρός
ὡσαύτως D--------- ὡσαύτως
συμπαρήμην V9--IMI1S- εἰμί συν παρα
σοι RP--DS---- σύ

Tob 12:13
καὶ C--------- καί
ὅτε D--------- ὅτε
οὐκ D--------- οὐ
ὤκνησας VAI-AAI2S- ὀκνέω
ἀναστῆναι VH--AAN--- ἵστημι ἀνα
καὶ C--------- καί
καταλιπεῖν VB--AAN--- λείπω κατα
τὸ RA--ASN--- ὁ
ἄριστόν N2N-ASN--- ἄριστον
σου RP--GS---- σύ
ὅπως C--------- ὅπως
ἀπελθὼν VB--AAPNSM ἔρχομαι ἀπο
περιστείλῃς VA--AAS2S- στέλλω περι
τὸν RA--ASM--- ὁ
νεκρόν N2--ASM--- νεκρός
οὐκ D--------- οὐ
ἔλαθές VBI-AAI2S- λανθάνω
με RP--AS---- ἐγώ
ἀγαθοποιῶν V2--PAPNSM ἀγαθοποιέω
ἀλλὰ C--------- ἀλλά
σὺν P--------- σύν
σοὶ RP--DS---- σύ
ἤμην V9--IMI1S- εἰμί

Tob 12:14
καὶ C--------- καί
νῦν D--------- νῦν
ἀπέστειλέν VAI-AAI3S- στέλλω ἀπο
με RP--AS---- ἐγώ
ὁ RA--NSM--- ὁ
θεὸς N2--NSM--- θεός
ἰάσασθαί VA--AMN--- ἰάομαι
σε RP--AS---- σύ
καὶ C--------- καί
τὴν RA--ASF--- ὁ
νύμφην N1--ASF--- νύμφη
σου RP--GS---- σύ
Σαρραν N---ASF--- Σαρραν

Tob 12:15
ἐγώ RP--NS---- ἐγώ
εἰμι V9--PAI1S- εἰμί
Ραφαηλ N---NSM--- Ῥαφαήλ
εἷς M---NSM--- εἷς
ἐκ P--------- ἐκ
τῶν RA--GPM--- ὁ
ἑπτὰ M--------- ἑπτά
ἁγίων A1A-GPM--- ἅγιος
ἀγγέλων N2--GPM--- ἄγγελος
οἳ RR--NPM--- ὅς
προσαναφέρουσιν V1--PAI3P- φέρω προς ἀνα
τὰς RA--APF--- ὁ
προσευχὰς N1--APF--- προσευχή
τῶν RA--GPM--- ὁ
ἁγίων A1A-GPM--- ἅγιος
καὶ C--------- καί
εἰσπορεύονται V1--PMI3P- πορεύομαι εἰς
ἐνώπιον P--------- ἐνώπιον
τῆς RA--GSF--- ὁ
δόξης N1S-GSF--- δόξα
τοῦ RA--GSM--- ὁ
ἁγίου A1A-GSM--- ἅγιος

Tob 12:16
καὶ C--------- καί
ἐταράχθησαν VQI-API3P- ταράσσω
οἱ RA--NPM--- ὁ
δύο M---NDM--- δύο
καὶ C--------- καί
ἔπεσον VBI-AAI3P- πίπτω
ἐπὶ P--------- ἐπί
πρόσωπον N2N-ASN--- πρόσωπον
ὅτι C--------- ὅτι
ἐφοβήθησαν VCI-API3P- φοβέω

Tob 12:17
καὶ C--------- καί
εἶπεν VBI-AAI3S- εἶπον
αὐτοῖς RD--DPM--- αὐτός
μὴ D--------- μή
φοβεῖσθε V2--PMD2P- φοβέω
εἰρήνη N1--NSF--- εἰρήνη
ὑμῖν RP--DP---- σύ
ἔσται VF--FMI3S- εἰμί
τὸν RA--ASM--- ὁ
δὲ X--------- δέ
θεὸν N2--ASM--- θεός
εὐλογεῖτε V2--PAI2P- εὐλογέω
εἰς P--------- εἰς
τὸν RA--ASM--- ὁ
αἰῶνα N3W-ASM--- αἰών

Tob 12:18
ὅτι C--------- ὅτι
οὐ D--------- οὐ
τῇ RA--DSF--- ὁ
ἐμαυτοῦ RD--GSM--- ἐμαυτοῦ
χάριτι N3T-DSF--- χάρις
ἀλλὰ C--------- ἀλλά
τῇ RA--DSF--- ὁ
θελήσει N3I-DSF--- θέλης
τοῦ RA--GSM--- ὁ
θεοῦ N2--GSM--- θεός
ἡμῶν RP--GP---- ἐγώ
ἦλθον VBI-AAI1S- ἔρχομαι
ὅθεν D--------- ὅθεν
εὐλογεῖτε V2--PAD2P- εὐλογέω
αὐτὸν RD--ASM--- αὐτός
εἰς P--------- εἰς
τὸν RA--ASM--- ὁ
αἰῶνα N3W-ASM--- αἰών

Tob 12:19
πάσας A1S-APF--- πᾶς
τὰς RA--APF--- ὁ
ἡμέρας N1A-APF--- ἡμέρα
ὠπτανόμην V1I-IMI1S- ὀπτάνω
ὑμῖν RP--DP---- σύ
καὶ C--------- καί
οὐκ D--------- οὐ
ἔφαγον VBI-AAI3P- ἐσθίω
οὐδὲ C--------- οὐδέ
ἔπιον VBI-AAI3P- πίνω
ἀλλὰ C--------- ἀλλά
ὅρασιν N3I-ASF--- ὅρασις
ὑμεῖς RP--NP---- σύ
ἐθεωρεῖτε V2I-IAI2P- θεωρέω

Tob 12:20
καὶ C--------- καί
νῦν D--------- νῦν
ἐξομολογεῖσθε V2--PMD2P- ὁμολογέω ἐκ
τῷ RA--DSM--- ὁ
θεῷ N2--DSM--- θεός
διότι C--------- διότι
ἀναβαίνω V1--PAI1S- βαίνω ἀνα
πρὸς P--------- πρός
τὸν RA--ASM--- ὁ
ἀποστείλαντά VA--AAPASM στέλλω ἀπο
με RP--AS---- ἐγώ
καὶ C--------- καί
γράψατε VA--AAD2P- γράφω
πάντα A3--APN--- πᾶς
τὰ RA--APN--- ὁ
συντελεσθέντα VS--APPAPN τελέω συν
εἰς P--------- εἰς
βιβλίον N2N-ASN--- βιβλίον

Tob 12:21
καὶ C--------- καί
ἀνέστησαν VHI-AAI3P- ἵστημι ἀνα
καὶ C--------- καί
οὐκέτι D--------- οὐκέτι
εἶδον VBI-AAI3P- ὁράω
αὐτόν RD--ASM--- αὐτός

Tob 12:22
καὶ C--------- καί
ἐξωμολογοῦντο V2I-IMI3P- ὁμολογέω ἐκ
τὰ RA--APN--- ὁ
ἔργα N2N-APN--- ἔργον
τὰ RA--APN--- ὁ
μεγάλα A1--APN--- μέγας
καὶ C--------- καί
θαυμαστὰ A1--APN--- θαυμαστός
τοῦ RA--GSM--- ὁ
θεοῦ N2--GSM--- θεός
καὶ D--------- καί
ὡς D--------- ὡς
ὤφθη VVI-API3S- ὁράω
αὐτοῖς RD--DPM--- αὐτός
ὁ RA--NSM--- ὁ
ἄγγελος N2--NSM--- ἄγγελος
κυρίου N2--GSM--- κύριος

Tob 13:1
καὶ C--------- καί
Τωβιτ N---NSM--- Τωβιτ
ἔγραψεν VAI-AAI3S- γράφω
προσευχὴν N1--ASF--- προσευχή
εἰς P--------- εἰς
ἀγαλλίασιν N3I-ASF--- ἀγαλλίασις
καὶ C--------- καί
εἶπεν VBI-AAI3S- εἶπον

Tob 13:2
εὐλογητὸς A1--NSM--- εὐλογητός
ὁ RA--NSM--- ὁ
θεὸς N2--NSM--- θεός
ὁ RA--NSM--- ὁ
ζῶν V3--PAPNSM ζάω
εἰς P--------- εἰς
τοὺς RA--APM--- ὁ
αἰῶνας N3W-APM--- αἰών
καὶ C--------- καί
ἡ RA--NSF--- ὁ
βασιλεία N1A-NSF--- βασιλεία
αὐτοῦ RD--GSM--- αὐτός
ὅτι C--------- ὅτι
αὐτὸς RD--NSM--- αὐτός
μαστιγοῖ V4--PAI3S- μαστιγόω
καὶ C--------- καί
ἐλεᾷ V3--PAI3S- ἐλεάω
κατάγει V1--PAI3S- ἄγω κατα
εἰς P--------- εἰς
ᾅδην N1M-ASM--- ᾅδης
καὶ C--------- καί
ἀνάγει V1--PAI3S- ἄγω ἀνα
καὶ C--------- καί
οὐκ D--------- οὐ
ἔστιν V9--PAI3S- εἰμί
ὃς RR--NSM--- ὅς
ἐκφεύξεται VF--FMI3S- φεύγω ἐκ
τὴν RA--ASF--- ὁ
χεῖρα N3--ASF--- χείρ
αὐτοῦ RD--GSM--- αὐτός

Tob 13:3
ἐξομολογεῖσθε V2--PMD2P- ὁμολογέω ἐκ
αὐτῷ RD--DSM--- αὐτός
οἱ RA--NPM--- ὁ
υἱοὶ N2--NPM--- υἱός
Ισραηλ N---GSM--- Ἰσραήλ
ἐνώπιον P--------- ἐνώπιον
τῶν RA--GPN--- ὁ
ἐθνῶν N3E-GPN--- ἔθνος
ὅτι C--------- ὅτι
αὐτὸς RD--NSM--- αὐτός
διέσπειρεν VAI-AAI3S- σπείρω δια
ἡμᾶς RP--AP---- ἐγώ
ἐν P--------- ἐν
αὐτοῖς RD--DPM--- αὐτός

Tob 13:4
ἐκεῖ D--------- ἐκεῖ
ὑποδείξατε VA--AAD2P- δεικνύω ὑπο
τὴν RA--ASF--- ὁ
μεγαλωσύνην N1--ASF--- μεγαλωσύνη
αὐτοῦ RD--GSM--- αὐτός
ὑψοῦτε V4--PAD2P- ὑψόω
αὐτὸν RD--ASM--- αὐτός
ἐνώπιον P--------- ἐνώπιον
παντὸς A3--GSN--- πᾶς
ζῶντος V3--PAPGSN ζάω
καθότι C--------- καθότι
αὐτὸς RD--NSM--- αὐτός
κύριος N2--NSM--- κύριος
ἡμῶν RP--GP---- ἐγώ
καὶ C--------- καί
θεός N2--NSM--- θεός
αὐτὸς RD--NSM--- αὐτός
πατὴρ N3--NSM--- πατήρ
ἡμῶν RP--GP---- ἐγώ
εἰς P--------- εἰς
πάντας A3--APM--- πᾶς
τοὺς RA--APM--- ὁ
αἰῶνας N3W-APM--- αἰών

Tob 13:5
καὶ C--------- καί
μαστιγώσει VF--FAI3S- μαστιγόω
ἡμᾶς RP--AP---- ἐγώ
ἐν P--------- ἐν
ταῖς RA--DPF--- ὁ
ἀδικίαις N1A-DPF--- ἀδικία
ἡμῶν RP--GP---- ἐγώ
καὶ C--------- καί
πάλιν D--------- πάλιν
ἐλεήσει VF--FAI3S- ἐλεέω
καὶ C--------- καί
συνάξει VF--FAI3S- ἄγω συν
ἡμᾶς RP--AP---- ἐγώ
ἐκ P--------- ἐκ
πάντων A3--GPN--- πᾶς
τῶν RA--GPN--- ὁ
ἐθνῶν N3E-GPN--- ἔθνος
οὗ RR--GSN--- ὅς
ἐὰν C--------- ἐάν
σκορπισθῆτε VC--APS2P- σκορπίζω
ἐν P--------- ἐν
αὐτοῖς RD--DPM--- αὐτός

Tob 13:6
ἐὰν C--------- ἐάν
ἐπιστρέψητε VA--AAS2P- στρέφω ἐπι
πρὸς P--------- πρός
αὐτὸν RD--ASM--- αὐτός
ἐν P--------- ἐν
ὅλῃ A1--DSF--- ὅλος
καρδίᾳ N1A-DSF--- καρδία
ὑμῶν RP--GP---- σύ
καὶ C--------- καί
ἐν P--------- ἐν
ὅλῃ A1--DSF--- ὅλος
τῇ RA--DSF--- ὁ
ψυχῇ N1--DSF--- ψυχή
ποιῆσαι VA--AAN--- ποιέω
ἐνώπιον P--------- ἐνώπιον
αὐτοῦ RD--GSM--- αὐτός
ἀλήθειαν N1A-ASF--- ἀλήθεια
τότε D--------- τότε
ἐπιστρέψει VF--FAI3S- στρέφω ἐπι
πρὸς P--------- πρός
ὑμᾶς RP--AP---- σύ
καὶ C--------- καί
οὐ D--------- οὐ
μὴ D--------- μή
κρύψῃ VF--FMI2S- κρύπτω
τὸ RA--ASN--- ὁ
πρόσωπον N2N-ASN--- πρόσωπον
αὐτοῦ RD--GSM--- αὐτός
ἀφ' P--------- ἀπό
ὑμῶν RP--GP---- σύ

Tob 13:7
καὶ C--------- καί
θεάσασθε VA--AMD2P- θεάομαι
ἃ RR--APN--- ὅς
ποιήσει VF--FAI3S- ποιέω
μεθ' P--------- μετά
ὑμῶν RP--GP---- σύ
καὶ C--------- καί
ἐξομολογήσασθε VA--AMD2P- ὁμολογέω ἐκ
αὐτῷ RD--DSM--- αὐτός
ἐν P--------- ἐν
ὅλῳ A1--DSN--- ὅλος
τῷ RA--DSN--- ὁ
στόματι N3M-DSN--- στόμα
ὑμῶν RP--GP---- σύ
καὶ C--------- καί
εὐλογήσατε VA--AAD2P- εὐλογέω
τὸν RA--ASM--- ὁ
κύριον N2--ASM--- κύριος
τῆς RA--GSF--- ὁ
δικαιοσύνης N1--GSF--- δικαιοσύνη
καὶ C--------- καί
ὑψώσατε VA--AAD2P- ὑψόω
τὸν RA--ASM--- ὁ
βασιλέα N3V-ASM--- βασιλεύς
τῶν RA--GPM--- ὁ
αἰώνων N3W-GPM--- αἰών

Tob 13:8
ἐγὼ RP--NS---- ἐγώ
ἐν P--------- ἐν
τῇ RA--DSF--- ὁ
γῇ N1--DSF--- γῆ
τῆς RA--GSF--- ὁ
αἰχμαλωσίας N1A-GSF--- αἰχμαλωσία
μου RP--GS---- ἐγώ
ἐξομολογοῦμαι V2--PMI1S- ὁμολογέω ἐκ
αὐτῷ RD--DSM--- αὐτός
καὶ C--------- καί
δεικνύω V1--PAS1S- δεικνύω
τὴν RA--ASF--- ὁ
ἰσχὺν N3--ASF--- ἰσχύς
καὶ C--------- καί
τὴν RA--ASF--- ὁ
μεγαλωσύνην N1--ASF--- μεγαλωσύνη
αὐτοῦ RD--GSM--- αὐτός
ἔθνει N3E-DSN--- ἔθνος
ἁμαρτωλῶν A1B-GPM--- ἁμαρτωλός
ἐπιστρέψατε VA--AAD2P- στρέφω ἐπι
ἁμαρτωλοί A1B-VPM--- ἁμαρτωλός
καὶ C--------- καί
ποιήσατε VA--AAD2P- ποιέω
δικαιοσύνην N1--ASF--- δικαιοσύνη
ἐνώπιον P--------- ἐνώπιον
αὐτοῦ RD--GSM--- αὐτός
τίς RI--NSM--- τίς
γινώσκει V1--PAI3S- γιγνώσκω
εἰ C--------- εἰ
θελήσει VF--FAI3S- θέλω
ὑμᾶς RP--AP---- σύ
καὶ C--------- καί
ποιήσει VF--FAI3S- ποιέω
ἐλεημοσύνην N1--ASF--- ἐλεημοσύνη
ὑμῖν RP--DP---- σύ

Tob 13:9
τὸν RA--ASM--- ὁ
θεόν N2--ASM--- θεός
μου RP--GS---- ἐγώ
ὑψῶ V4--PAI1S- ὑψόω
καὶ C--------- καί
ἡ RA--NSF--- ὁ
ψυχή N1--NSF--- ψυχή
μου RP--GS---- ἐγώ
τὸν RA--ASM--- ὁ
βασιλέα N3V-ASM--- βασιλεύς
τοῦ RA--GSM--- ὁ
οὐρανοῦ N2--GSM--- οὐρανός
καὶ C--------- καί
